ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2614538,A,Acanthaceae,,Acanthodium,,"glabrum",,"","Nees",Unresolved,,L,WCSP (in review),746943,44794-1,"Prodr.","11: 278","","1847"
kew-2895433,A,Acanthaceae,,Acanthopale,,"aethiogermanica",,"","Ensermu",Accepted,,M,WCSP (in review),1018451,,"Kew Bull.","64: 58","","2009"
kew-2615007,A,Acanthaceae,,Acanthopale,,"albosetulosa",,"","C.B.Clarke",Accepted,,M,WCSP (in review),747412,44815-1,"Fl. Trop. Afr.","5: 64","","1899"
kew-2615008,A,Acanthaceae,,Acanthopale,,"azaleoides",,"","C.B.Clarke",Unresolved,,L,WCSP (in review),747413,44816-1,"Fl. Trop. Afr.","5: 63","","1899"
tro-50128803,A,Acanthaceae,,Acanthopale,,"cameronensis",,"","Bremek.",Unresolved,,L,TRO,50128803,,"Bot. Jahrb. Syst.","73: 145","145","1943"
kew-2615011,A,Acanthaceae,,Acanthopale,,"confertiflora",,"","(Lindau) C.B.Clarke",Accepted,,L,WCSP (in review),747416,44819-1,"Fl. Trop. Afr.","5: 64","","1899"
kew-2615012,A,Acanthaceae,,Acanthopale,,"dalzielii",,"","W.W.Sm.",Unresolved,,L,WCSP (in review),747417,44820-1,"Notes Roy. Bot. Gard. Edinburgh","11: 193","","1920"
tro-100371675,A,Acanthaceae,,Acanthopale,,"debilis",,"","C.B. Clarke ex S. Moore",Unresolved,,L,TRO,100371675,,"","","",""
kew-2615013,A,Acanthaceae,,Acanthopale,,"decempedalis",,"","C.B.Clarke",Accepted,,M,WCSP (in review),747418,44821-1,"Fl. Trop. Afr.","5: 63","","1899"
kew-2615015,A,Acanthaceae,,Acanthopale,,"labordei",,"","(H.Lév.) Hand.-Mazz.",Unresolved,,L,WCSP (in review),747420,44823-1,"Sinensia","5: 20","","1934"
kew-2615016,A,Acanthaceae,,Acanthopale,,"laxiflora",,"","(Lindau) C.B.Clarke",Accepted,,M,WCSP (in review),747421,44824-1,"Fl. Trop. Afr.","5: 63","","1899"
