ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-4617230,A,Achariaceae,,Acharia,,"tragodes",,"","Thunb.",Accepted,,M,WCSP (in review),1030042,674030-1,"Prodr. Pl. Cap.","14","","1794"
kew-4667878,A,Achariaceae,,Baileyoxylon,,"lanceolatum",,"","C.T.White",Accepted,,M,WCSP (in review),1030127,364940-1,"J. Arnold Arbor.","22: 143","","1941"
kew-4674939,A,Achariaceae,,Bergsmia,,"acuminata",,"","Miq.",Unresolved,,L,WCSP (in review),1030235,,"Fl. Ned. Ind., Eerste Bijv.","389","","1861"
kew-4685197,A,Achariaceae,,Buchnerodendron,,"lasiocalyx",,"","(Oliv.) Gilg",Accepted,,L,WCSP (in review),1030297,364995-1,"Bot. Jahrb. Syst.","40: 467","","1908"
kew-4685200,A,Achariaceae,,Buchnerodendron,,"speciosum",,"","Gürke",Accepted,,M,WCSP (in review),1030300,,"Bot. Jahrb. Syst.","18: 161","","1894"
kew-4685201,A,Achariaceae,,Buchnerodendron,,"stipulatum",,"","(Oliv.) Bullock",Unresolved,,L,WCSP (in review),1030301,364998-1,"Bull. Misc. Inform. Kew","1933: 468","","1933"
kew-4693043,A,Achariaceae,,Caloncoba,,"brevipes",,"","(Stapf) Gilg",Accepted,,M,WCSP (in review),1030319,365005-1,"Bot. Jahrb. Syst.","40: 459","","1908"
kew-4693045,A,Achariaceae,,Caloncoba,,"crepiniana",,"","(De Wild. & T.Durand) Gilg",Accepted,,M,WCSP (in review),1030321,365007-1,"Bot. Jahrb. Syst.","40: 460","","1908"
kew-4693047,A,Achariaceae,,Caloncoba,,"echinata",,"","(Oliv.) Gilg",Accepted,,M,WCSP (in review),1030323,365009-1,"Bot. Jahrb. Syst.","40: 464","","1908"
kew-4693048,A,Achariaceae,,Caloncoba,,"ficifolia",,"","Chipp",Unresolved,,L,WCSP (in review),1030324,365010-1,"Bull. Misc. Inform. Kew","1923: 266","","1923"
kew-4693049,A,Achariaceae,,Caloncoba,,"flagelliflora",,"","(Mildbr.) Gilg ex Pellegr.",Accepted,,M,WCSP (in review),1030325,365011-1,"Mém. Soc. Bot. France","1952: 111","","1953"
kew-4693051,A,Achariaceae,,Caloncoba,,"gilgiana",,"","(Sprague) Gilg",Accepted,,M,WCSP (in review),1030327,365013-1,"Bot. Jahrb. Syst.","40: 460","","1908"
kew-4693052,A,Achariaceae,,Caloncoba,,"glauca",,"","(P.Beauv.) Gilg",Accepted,,M,WCSP (in review),1030328,365014-1,"Bot. Jahrb. Syst.","40: 459","","1908"
kew-4693055,A,Achariaceae,,Caloncoba,,"lophocarpa",,"","(Oliv.) Gilg",Accepted,,M,WCSP (in review),1030331,365018-1,"Bot. Jahrb. Syst.","40: 462","","1908"
kew-4693058,A,Achariaceae,,Caloncoba,,"subtomentosa",,"","Gilg",Accepted,,M,WCSP (in review),1030334,365021-1,"Bot. Jahrb. Syst.","40: 463","","1908"
kew-4693059,A,Achariaceae,,Caloncoba,,"suffruticosa",,"","(Milne-Redh.) Exell & Sleumer",Accepted,,M,WCSP (in review),1030335,365022-1,"Repert. Spec. Nov. Regni Veg.","39: 274","","1936"
kew-4693060,A,Achariaceae,,Caloncoba,,"welwitschii",,"","(Oliv.) Gilg",Accepted,,M,WCSP (in review),1030336,365023-1,"Bot. Jahrb. Syst.","40: 462","","1908"
kew-4695375,A,Achariaceae,,Camptostylus,,"kivuensis",,"","Bamps",Accepted,,M,WCSP (in review),1030340,365025-1,"Bull. Jard. Bot. État","34: 495","","1964"
kew-4695377,A,Achariaceae,,Camptostylus,,"mannii",,"","(Oliv.) Gilg",Accepted,,M,WCSP (in review),1030342,365027-1,"Nat. Pflanzenfam. ed. 2","21: 398","","1925"
kew-4695378,A,Achariaceae,,Camptostylus,,"ovalis",,"","(Oliv.) Chipp",Accepted,,M,WCSP (in review),1030343,365028-1,"Bull. Misc. Inform. Kew","1923: 266","","1923"
kew-4701367,A,Achariaceae,,Carpotroche,,"amazonica",,"","Mart. ex Eichler",Accepted,,M,WCSP (in review),1030346,,"Fl. Bras.","13(1): 437","","1871"
kew-4701368,A,Achariaceae,,Carpotroche,,"angustifolia",,"","Pittier",Unresolved,,L,WCSP (in review),1030347,47686-2,"Bol. Soc. Venez. Ci. Nat.","11: 28","","1947"
kew-4701371,A,Achariaceae,,Carpotroche,,"brasiliensis",,"","(Raddi) A.Gray",Accepted,,M,WCSP (in review),1030350,,"U.S. Expl. Exped., Phan.","1: 72","","1854"
tro-50224203,A,Achariaceae,,Carpotroche,,"brasiliensis",,"","(Raddi) Endl.",Unresolved,,L,TRO,50224203,111507-1,"Gen. Pl.","918","918","1839"
kew-4701375,A,Achariaceae,,Carpotroche,,"criapidentata",,"","Ducke",Accepted,,M,WCSP (in review),1030354,,"Arq. Inst. Biol. Veg.","4: 55","","1938"
tro-50150694,A,Achariaceae,,Carpotroche,,"crispidentata",,"","Ducke",Accepted,,M,TRO,50150694,47692-2,"Arq. Inst. Biol. Veg.","4: 55","55","1938"
kew-4701376,A,Achariaceae,,Carpotroche,,"denticulata",,"","(Benth.) Benth. ex Walp.",Unresolved,,L,WCSP (in review),1030355,,"Repert. Bot. Syst.","1: 203","","1842"
kew-4701377,A,Achariaceae,,Carpotroche,,"froesiana",,"","Sleumer",Accepted,,M,WCSP (in review),1030356,47693-2,"Fl. Neotrop. Monogr.","22: 42","","1980"
kew-4701379,A,Achariaceae,,Carpotroche,,"grandiflora",,"","Spruce ex Eichler",Accepted,,M,WCSP (in review),1030358,111509-1,"Fl. Bras.","13(1): 437","","1871"
tro-13200071,A,Achariaceae,,Carpotroche,,"grandiflora",,"","Spruce ex Benth.",Unresolved,,L,TRO,13200071,,"J. Proc. Linn. Soc., Bot.","5(Suppl. 2): 81","81","1861"
kew-4701380,A,Achariaceae,,Carpotroche,,"integrifolia",,"","Kuhlm.",Accepted,,M,WCSP (in review),1030359,47696-2,"Mem. Inst. Oswaldo Cruz","21: 396","","1928"
kew-4701381,A,Achariaceae,,Carpotroche,,"laxiflora",,"","(Benth.) Benth. ex Walp.",Unresolved,,L,WCSP (in review),1030360,,"Repert. Bot. Syst.","1: 203","","1842"
kew-4701383,A,Achariaceae,,Carpotroche,,"longifolia",,"","(Poepp.) Benth.",Accepted,,M,WCSP (in review),1030362,111511-1,"J. Linn. Soc., Bot.","5(Suppl. 2): 82","","1861"
kew-4701386,A,Achariaceae,,Carpotroche,,"mollis",,"","J.F.Macbr.",Unresolved,,L,WCSP (in review),1030365,47700-2,"Candollea","5: 390","","1934"
kew-4701387,A,Achariaceae,,Carpotroche,,"pacifica",,"","(Cuatrec.) Cuatrec.",Accepted,,L,WCSP (in review),1030366,47701-2,"Trop. Woods","101: 28","","1955"
kew-4701389,A,Achariaceae,,Carpotroche,,"paludosa",,"","(Benth.) Walp.",Unresolved,,L,WCSP (in review),1030368,,"Repert. Bot. Syst.","1: 203","","1842"
kew-4701391,A,Achariaceae,,Carpotroche,,"platyptera",,"","Pittier",Accepted,,M,WCSP (in review),1030370,47704-2,"Contr. U. S. Natl. Herb.","12: 178","","1909"
kew-4701392,A,Achariaceae,,Carpotroche,,"ramosii",,"","(Cuatrec.) Cuatrec.",Accepted,,M,WCSP (in review),1030371,47705-2,"Trop. Woods","101: 28","","1955"
kew-4701393,A,Achariaceae,,Carpotroche,,"subintegra",,"","Standl.",Unresolved,,L,WCSP (in review),1030372,,"Publ. Field Mus. Nat. Hist., Bot. Ser.","4: 236","","1929"
kew-4701394,A,Achariaceae,,Carpotroche,,"surinamensis",,"","Uittien",Accepted,,M,WCSP (in review),1030373,47706-2,"Recueil Trav. Bot. Néerl.","22: 368","","1925"
kew-4711057,A,Achariaceae,,Ceratiosicyos,,"laevis",,"","(Thunb.) A.Meeuse",Accepted,,M,WCSP (in review),1030866,56878-1,"Bothalia","8: 20","","1962"
