ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2630171,A,Alseuosmiaceae,,Alseuosmia,,"banksii",,"","A.Cunn.",Accepted,,M,WCSP (in review),762336,,"Ann. Nat. Hist.","2: 209","","1839"
kew-2630172,A,Alseuosmiaceae,,Alseuosmia,,"banksii",var.,"linariifolia","(A.Cunn.) R.O.Gardner",Accepted,,L,WCSP (in review),762337,874072-1,"New Zealand J. Bot.","16: 272","","1978"
kew-2630174,A,Alseuosmiaceae,,Alseuosmia,,"hookeria",,"","Colenso",Unresolved,,L,WCSP (in review),762339,148245-1,"Excurs. North Isl.","84","","1844"
kew-2630178,A,Alseuosmiaceae,,Alseuosmia,,"macrophylla",,"","A.Cunn.",Accepted,,M,WCSP (in review),762343,,"Ann. Nat. Hist.","2: 210","","1839"
kew-2630180,A,Alseuosmiaceae,,Alseuosmia,,"pusilla",,"","Colenso",Accepted,,M,WCSP (in review),762345,148251-1,"Trans. & Proc. New Zealand Inst.","17: 241","","1885"
kew-2630181,A,Alseuosmiaceae,,Alseuosmia,,"quercifolia",,"","A.Cunn.",Accepted,,M,WCSP (in review),762346,,"Ann. Nat. Hist.","2: 210","","1839"
kew-2630184,A,Alseuosmiaceae,,Alseuosmia,,"turneri",,"","R.O.Gardner",Accepted,,M,WCSP (in review),762349,58614-1,"New Zealand J. Bot.","16: 271","","1978"
kew-2742772,A,Alseuosmiaceae,,Crispiloba,,"disperma",,"","(S.Moore) Steenis",Accepted,,M,WCSP (in review),873028,913843-1,"Blumea","29: 393","","1984"
kew-2364744,A,Alseuosmiaceae,,Memecylanthus,,"neocaledonicus",,"","Gilg & Schltr.",Unresolved,,L,WCSP (in review),504026,149211-1,"Bot. Jahrb. Syst.","39: 269","","1906"
kew-2407963,A,Alseuosmiaceae,,Pachydiscus,,"gaultherioides",,"","Gilg & Schltr.",Unresolved,,L,WCSP (in review),546409,149265-1,"Bot. Jahrb. Syst.","39: 270","","1906"
tro-50213488,A,Alseuosmiaceae,,Periomphale,,"neocaledonia",,"","Steenis",Unresolved,,L,TRO,50213488,,"Blumea","24(2): 481","481","1978"
kew-2407682,A,Alseuosmiaceae,,Periomphale,,"pancheri",,"","Baill.",Unresolved,,L,WCSP (in review),546131,382280-1,"Bull. Mens. Soc. Linn. Paris","1: 732","","1888"
kew-2466075,A,Alseuosmiaceae,,Wittsteinia,,"balansae",,"","(Baill.) Steenis",Unresolved,,L,WCSP (in review),603533,914755-1,"Blumea","29: 391","","1984"
kew-2466097,A,Alseuosmiaceae,,Wittsteinia,,"papuana",,"","(Steenis) Steenis",Unresolved,,L,WCSP (in review),603555,914756-1,"Blumea","29: 391","","1984"
kew-2466125,A,Alseuosmiaceae,,Wittsteinia,,"vacciniacea",,"","F.Muell.",Unresolved,,L,WCSP (in review),603583,859193-1,"Fragm.","2: 136","","1861"
