ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35102221,B,Amblystegiaceae,,Acrocladium,,"auriculatum",,"","(Mont.) Mitt.",Accepted,,M,TRO,35102221,,"J. Linn. Soc., Bot.","12: 532","532","1869"
tro-35102222,B,Amblystegiaceae,,Acrocladium,,"chlamydophyllum",,"","(Hook. f. & Wilson) Müll. Hal. & Broth.",Accepted,,M,TRO,35102222,,"Abh. Naturwiss. Vereine Bremen","16(3): 507","507","1900"
tro-35102223,B,Amblystegiaceae,,Acrocladium,,"cordifolium",,"","(Hedw.) P.W. Richards & E.C. Wallace",Accepted,,M,TRO,35102223,,"Trans. Brit. Bryol. Soc.","1(4): xxv","xxv","1950"
tro-35102224,B,Amblystegiaceae,,Acrocladium,,"cuspidatum",,"","(Hedw.) Lindb.",Accepted,,M,TRO,35102224,,"Musci Scand.","39","39","1879"
tro-35204006,B,Amblystegiaceae,,Acrocladium,,"cuspidatum",f.,"reptans","(Warnst.) C.E.O. Jensen",Accepted,,L,TRO,35204006,,"Skand. Bladmossfl.","497","497","1939"
tro-35102244,B,Amblystegiaceae,,Acrocladium,,"draytonii",,"","(Sull.) Broth.",Accepted,,M,TRO,35102244,,"Index Bryol. (ed. 2)","5: 145","145","1906"
tro-35102247,B,Amblystegiaceae,,Acrocladium,,"giganteum",,"","(Schimp.) P.W. Richards & E.C. Wallace",Accepted,,M,TRO,35102247,,"Trans. Brit. Bryol. Soc.","1(4): xxv","xxv","1950"
tro-35102255,B,Amblystegiaceae,,Acrocladium,,"sarmentosum",var.,"fontinaloides","(Berggr.) Alb. E. Wade",Unresolved,,L,TRO,35102255,,"Bryologist","57: 227","227","1954"
tro-35102257,B,Amblystegiaceae,,Acrocladium,,"trichocladium",,"","Bosw.",Accepted,,M,TRO,35102257,,"J. Bot.","30: 99","99","1892"
tro-35102258,B,Amblystegiaceae,,Acrocladium,,"trifarium",,"","(F. Weber & D. Mohr) P.W. Richards & E.C. Wallace",Accepted,,M,TRO,35102258,,"Trans. Brit. Bryol. Soc.","1(4): xxv","xxv","1950"
tro-35102630,B,Amblystegiaceae,,Amblystegiella,,"densissima",,"","(Cardot) Broth.",Accepted,,M,TRO,35102630,,"Nat. Pflanzenfam.","I(3): 1025","1025","1908"
tro-35102632,B,Amblystegiaceae,,Amblystegiella,,"jungermannioides",,"","(Brid.) Giacom.",Accepted,,M,TRO,35102632,,"Ist. Bot. Reale Univ. Reale Lab. Crittog. Pavia, Atti","4: 262","262","1947"
tro-35102633,B,Amblystegiaceae,,Amblystegiella,,"jungermannioides",var.,"minutissima","(Sull. & Lesq.) Podp.",Accepted,,L,TRO,35102633,,"Consp. Musc. Eur.","562","562","1954"
tro-35204015,B,Amblystegiaceae,,Amblystegiella,,"jungermannioides",f.,"serrata","(Meyl.) Podp.",Accepted,,L,TRO,35204015,,"Consp. Musc. Eur.","562","562","1954"
