ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35102430,B,Andreaeaceae,,Acroschisma,,"andensis",,"","Spruce",Accepted,,M,TRO,35102430,,"J. Proc. Linn. Soc., Bot.","5: 46","46","1861"
tro-35102432,B,Andreaeaceae,,Acroschisma,,"wilsonii",,"","(Hook. f.) A. Jaeger",Accepted,,M,TRO,35102432,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1869–70: 248","248","1870"
tro-35103550,B,Andreaeaceae,,Andreaea,,"acuminata",,"","Mitt.",Accepted,,M,TRO,35103550,,"Fl. Tasman.","2: 161. pl. 171: f. 2","161","1859"
tro-35103551,B,Andreaeaceae,,Andreaea,,"acutifolia",,"","Hook. f. & Wilson",Accepted,,M,TRO,35103551,,"London J. Bot.","3: 535","535","1844"
tro-35103556,B,Andreaeaceae,,Andreaea,,"alpina",,"","Hedw.",Accepted,,M,TRO,35103556,,"Sp. Musc. Frond.","49. 7 f. 2p","49","1801"
tro-35215870,B,Andreaeaceae,,Andreaea,,"alpina",f.,"compacta","(Hook.) Podp.",Accepted,,L,TRO,35215870,,"Consp. Musc. Eur.","47","47","1954"
tro-35103563,B,Andreaeaceae,,Andreaea,,"amblyophylla",,"","Müll. Hal. ex Broth.",Accepted,,M,TRO,35103563,,"Oefvers. Förh. Finska Vetensk.-Soc.","37: 149","149","1895"
tro-35103567,B,Andreaeaceae,,Andreaea,,"angustata",,"","S.O. Lindberg ex Limpr.",Accepted,,M,TRO,35103567,,"Laubm. Deutschl.","1: 144","144","1885"
tro-35103568,B,Andreaeaceae,,Andreaea,,"angustifolia",,"","Broth.",Accepted,,M,TRO,35103568,,"Biblioth. Bot.","87: 9","9","1916"
tro-35103569,B,Andreaeaceae,,Andreaea,,"apiculata",,"","R. Br. bis",Accepted,,M,TRO,35103569,,"Trans. & Proc. New Zealand Inst.","25: 280. 26","280","1893"
tro-35103570,B,Andreaeaceae,,Andreaea,,"appendiculata",,"","Schimp.",Accepted,,M,TRO,35103570,,"Bryol. Eur.","6: 133 (fasc. 62–64 Mon. 5)","133","1855"
tro-35103573,B,Andreaeaceae,,Andreaea,,"arachnoidea",,"","Müll. Hal.",Accepted,,M,TRO,35103573,,"Linnaea","42: 220","220","1879"
tro-35103580,B,Andreaeaceae,,Andreaea,,"aterrima",,"","Müll. Hal.",Accepted,,M,TRO,35103580,,"Bot. Jahrb. Syst.","5: 76","76","1883"
tro-35161067,B,Andreaeaceae,,Andreaea,,"atlantica",,"","Dixon",Accepted,,M,TRO,35161067,,"Results Norweg. Sci. Exped. Tristan da Cunha","48: 9","9","1960"
tro-35103582,B,Andreaeaceae,,Andreaea,,"australis",,"","F. Muell. ex Mitt.",Accepted,,M,TRO,35103582,,"Hooker's J. Bot. Kew Gard. Misc.","8: 257. 12A","257","1856"
tro-35103583,B,Andreaeaceae,,Andreaea,,"australis",var.,"aquatilis","(R. Br. bis) W. Martin",Accepted,,L,TRO,35103583,,"Bryologist","598: 229","229","1956"
tro-35103586,B,Andreaeaceae,,Andreaea,,"barbuloides",,"","Broth.",Accepted,,M,TRO,35103586,,"Biblioth. Bot.","87: 10","10","1916"
tro-35100010,B,Andreaeaceae,,Andreaea,,"bistratosa",,"","Magill",Accepted,,M,TRO,35100010,,"Fl. S. Africa, Bryophyta","1: 37. f. 7: 1–10","37","1981"
tro-35103587,B,Andreaeaceae,,Andreaea,,"blyttii",,"","Schimp.",Accepted,,M,TRO,35103587,,"Bryol. Eur.","6: 155. pl. 635 (fasc. 62–64. Monogr. 25. pl. 13)","155","1855"
tro-35103589,B,Andreaeaceae,,Andreaea,,"borbonica",,"","Besch.",Accepted,,M,TRO,35103589,,"Ann. Sci. Nat., Bot., sér. 6,","10: 328","328","1880"
tro-35103590,B,Andreaeaceae,,Andreaea,,"brevifolia",,"","Dusén",Accepted,,M,TRO,35103590,,"Ark. Bot.","1: 452. 22 f. 1–15","452","1903"
tro-35103591,B,Andreaeaceae,,Andreaea,,"brevipes",,"","Spruce",Accepted,,M,TRO,35103591,,"J. Proc. Linn. Soc., Bot.","5: 45","45","1861"
tro-35103592,B,Andreaeaceae,,Andreaea,,"camerunensis",,"","P.W. Richards",Accepted,,M,TRO,35103592,,"Trans. Brit. Bryol. Soc.","2: 66","66","1952"
tro-35103593,B,Andreaeaceae,,Andreaea,,"clavata",,"","Broth.",Accepted,,M,TRO,35103593,,"Biblioth. Bot.","87: 10. 1 f. 4","10","1916"
tro-35103597,B,Andreaeaceae,,Andreaea,,"cockaynei",,"","R. Br. bis",Accepted,,M,TRO,35103597,,"Trans. & Proc. New Zealand Inst.","25: 281. 27","281","1893"
tro-35168726,B,Andreaeaceae,,Andreaea,,"crassinervia",var.,"dentata","(Culm.) W. Schultze-Motel",Unresolved,,L,TRO,35168726,,"Herzogia","1: 69","69","1968"
tro-35161069,B,Andreaeaceae,,Andreaea,,"crassinervia",subsp.,"huntii","(Limpr.) J.J. Amann",Unresolved,,L,TRO,35161069,,"Fl. Mouss. Suisse","1: 28","28","1918"
tro-35103608,B,Andreaeaceae,,Andreaea,,"cucullata",,"","Dixon",Accepted,,M,TRO,35103608,,"Repert. Spec. Nov. Regni Veg.","38: 102","102","1935"
tro-35103610,B,Andreaeaceae,,Andreaea,,"densifolia",,"","Mitt.",Accepted,,M,TRO,35103610,,"J. Proc. Linn. Soc., Bot., Suppl.","1: 7","7","1859"
tro-35103611,B,Andreaeaceae,,Andreaea,,"depressinervis",,"","Cardot",Accepted,,M,TRO,35103611,,"Rev. Bryol.","27: 43","43","1900"
tro-35103615,B,Andreaeaceae,,Andreaea,,"dissitifolia",,"","Broth.",Accepted,,M,TRO,35103615,,"Biblioth. Bot.","87: 9","9","1916"
tro-35103618,B,Andreaeaceae,,Andreaea,,"erythrodictyon",,"","Herzog",Accepted,,M,TRO,35103618,,"Beih. Bot. Centralbl., Abt. 2","26(2): 47","47","1909"
tro-35103619,B,Andreaeaceae,,Andreaea,,"eximia",,"","Müll. Hal.",Accepted,,M,TRO,35103619,,"Hedwigia","37: 84","84","1898"
tro-35103624,B,Andreaeaceae,,Andreaea,,"filiformis",,"","Müll. Hal.",Accepted,,M,TRO,35103624,,"Bot. Centralbl.","16: 62","62","1883"
tro-35103625,B,Andreaeaceae,,Andreaea,,"firma",,"","Müll. Hal.",Accepted,,M,TRO,35103625,,"Flora","71: 406","406","1888"
tro-35103626,B,Andreaeaceae,,Andreaea,,"flabellata",,"","Müll. Hal.",Accepted,,M,TRO,35103626,,"Bot. Jahrb. Syst.","5: 76","76","1883"
tro-35103627,B,Andreaeaceae,,Andreaea,,"flexuosa",,"","R. Br. bis",Accepted,,M,TRO,35103627,,"Trans. & Proc. New Zealand Inst.","25: 279. 23","279","1893"
tro-35103628,B,Andreaeaceae,,Andreaea,,"fragilis",,"","Müll. Hal.",Accepted,,M,TRO,35103628,,"Linnaea","42: 223","223","1879"
tro-35103629,B,Andreaeaceae,,Andreaea,,"frigida",,"","Huebener",Accepted,,M,TRO,35103629,,"Hepaticol. Germ.","305","305","1834"
tro-35169663,B,Andreaeaceae,,Andreaea,,"fuegiana",,"","(Cardot) S.W. Greene",Accepted,,M,TRO,35169663,,"Brit. Antarct. Surv. Bull.","31: 109","109","1972"
tro-35103632,B,Andreaeaceae,,Andreaea,,"gainii",,"","Cardot",Accepted,,M,TRO,35103632,,"Compt. Rend. Hebd. Séances Acad. Sci.","153: 602","602","1911"
tro-35103633,B,Andreaeaceae,,Andreaea,,"gibbosa",,"","R. Br. bis",Accepted,,M,TRO,35103633,,"Trans. & Proc. New Zealand Inst.","25: 278. 21","278","1893"
tro-35103634,B,Andreaeaceae,,Andreaea,,"grimmioides",,"","Dusén",Accepted,,M,TRO,35103634,,"Ark. Bot.","1: 457. 25 f. 9–13,","475","1903"
tro-35103635,B,Andreaeaceae,,Andreaea,,"grimsulana",,"","Bruch",Accepted,,M,TRO,35103635,,"London J. Bot.","3: 537","537","1844"
tro-35103636,B,Andreaeaceae,,Andreaea,,"hamulata",,"","Herzog",Accepted,,M,TRO,35103636,,"Repert. Spec. Nov. Regni Veg.","21: 27. 3 f. 5","27","1925"
tro-35103637,B,Andreaeaceae,,Andreaea,,"hartmanii",,"","Thed.",Accepted,,M,TRO,35103637,,"Bot. Not.","1849: 77. f. 1–17, 23–26","77","1849"
tro-35103641,B,Andreaeaceae,,Andreaea,,"heinemannii",,"","Hampe & Müll. Hal.",Accepted,,M,TRO,35103641,,"Bot. Zeitung (Berlin)","4: 324. 2","324","1846"
tro-35103642,B,Andreaeaceae,,Andreaea,,"heterophylla",,"","Cardot",Unresolved,,L,TRO,35103642,,"Bull. Herb. Boissier, sér. 2,","6: 3","3","1906"
tro-35103646,B,Andreaeaceae,,Andreaea,,"huttonii",,"","R. Br. bis",Accepted,,M,TRO,35103646,,"Trans. & Proc. New Zealand Inst.","25: 279. 23","279","1893"
tro-35103647,B,Andreaeaceae,,Andreaea,,"indica",,"","Mitt.",Accepted,,M,TRO,35103647,,"J. Proc. Linn. Soc., Bot., Suppl.","1: 6","6","1859"
tro-35103649,B,Andreaeaceae,,Andreaea,,"javanica",,"","J. Froehl.",Accepted,,M,TRO,35103649,,"Arch. Hydrobiol.","21: 302","302","1955"
tro-35103650,B,Andreaeaceae,,Andreaea,,"jonesii",,"","R. Br. bis",Unresolved,,L,TRO,35103650,,"Trans. & Proc. New Zealand Inst.","25: 281. 28, 29","281","1893"
tro-35103654,B,Andreaeaceae,,Andreaea,,"karsteniana",,"","Müll. Hal.",Accepted,,M,TRO,35103654,,"Linnaea","38: 572","572","1874"
tro-35103655,B,Andreaeaceae,,Andreaea,,"kilimandscharica",,"","Paris",Accepted,,M,TRO,35103655,,"Index Bryol.","30","30","1894"
tro-35103656,B,Andreaeaceae,,Andreaea,,"kinabaluensis",,"","Dixon",Accepted,,M,TRO,35103656,,"J. Linn. Soc., Bot.","50: 66. 1 f. 1","66","1935"
tro-35103658,B,Andreaeaceae,,Andreaea,,"lanceolata",,"","R. Br. bis",Unresolved,,L,TRO,35103658,,"Trans. & Proc. New Zealand Inst.","25: 282. 30","282","1893"
tro-35103661,B,Andreaeaceae,,Andreaea,,"laticuspis",,"","Broth.",Accepted,,M,TRO,35103661,,"Biblioth. Bot.","87: 10","10","1916"
tro-35161074,B,Andreaeaceae,,Andreaea,,"latinervis",,"","E.B. Bartram",Accepted,,M,TRO,35161074,,"Ann. Bot. Soc. Zool.-Bot. Fenn. ""Vanamo""","9(2): 15. 9","15","1937"
tro-35103662,B,Andreaeaceae,,Andreaea,,"laxifolia",,"","Hook. f. & Wilson",Accepted,,M,TRO,35103662,,"London J. Bot.","3: 536","536","1844"
tro-35103664,B,Andreaeaceae,,Andreaea,,"leiophylla",,"","Cardot ex G. Roth",Accepted,,M,TRO,35103664,,"Hedwigia","53: 82. 1 f. 2","82","1913"
tro-35103666,B,Andreaeaceae,,Andreaea,,"lorentziana",,"","Müll. Hal.",Accepted,,M,TRO,35103666,,"Linnaea","42: 221","221","1879"
tro-35103669,B,Andreaeaceae,,Andreaea,,"marginata",,"","Hook. f. & Wilson",Accepted,,M,TRO,35103669,,"London J. Bot.","3: 535","535","1844"
tro-35183416,B,Andreaeaceae,,Andreaea,,"megistospora",,"","B.M. Murray",Accepted,,M,TRO,35183416,,"Bryologist","90: 18. f. 9–23, 25–28","18","1987"
