ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2609650,A,Annonaceae,,Aberemoa,,"furfuracea",,"","Baill.",Unresolved,,L,WCSP (in review),742533,1103784-2,"Hist. Pl.","1: 204","","1868"
kew-2609655,A,Annonaceae,,Aberemoa,,"jonasiana",,"","R.E.Fr.",Unresolved,,L,WCSP (in review),742538,1166844-2,"Ark. Bot.","4(19): 10","","1905"
kew-2609657,A,Annonaceae,,Aberemoa,,"lanceolata",,"","Warm.",Unresolved,,L,WCSP (in review),742540,71963-1,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn","1855: 146","","1855"
kew-2609671,A,Annonaceae,,Aberemoa,,"stelechantha",,"","Diels ex Pilg.",Unresolved,,L,WCSP (in review),742554,71975-1,"Verh. Bot. Vereins Prov. Brandenburg","47: 129","","1905"
kew-2624910,A,Annonaceae,,Afroguatteria,,"bequaertii",,"","(De Wild.) Boutique",Accepted,,M,WCSP (in review),757254,71977-1,"Bull. Jard. Bot. État","21: 106","","1951"
kew-2624911,A,Annonaceae,,Afroguatteria,,"globosa",,"","C.N.Paiva",Accepted,,M,WCSP (in review),757255,,"Mem. Soc. Brot.","19: 25","","1966"
kew-2630009,A,Annonaceae,,Alphonsea,,"boniana",,"","Finet & Gagnep.",Accepted,,M,WCSP (in review),762175,71981-1,"Bull. Soc. Bot. France","53(4): 162","","1906"
kew-2888439,A,Annonaceae,,Alphonsea,,"borneensis",,"","I.M.Turner",Accepted,,M,WCSP (in review),1011978,,"Gard. Bull. Singapore","61: 185","","2009"
kew-2630011,A,Annonaceae,,Alphonsea,,"coriacea",,"","(Hook.) Finet & Gagnep.",Unresolved,,L,WCSP (in review),762177,71983-1,"Bull. Soc. Bot. France","53(4): 160","","1906"
kew-2630012,A,Annonaceae,,Alphonsea,,"curtisii",,"","King",Accepted,,M,WCSP (in review),762178,71984-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","61(2): 127","","1892"
kew-2630013,A,Annonaceae,,Alphonsea,,"cylindrica",,"","King",Accepted,,M,WCSP (in review),762179,71985-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","61(2): 127","","1892"
kew-2630014,A,Annonaceae,,Alphonsea,,"elliptica",,"","Hook.f. & Thomson",Accepted,,M,WCSP (in review),762180,71986-1,"Fl. Ind.","1: 90","","1855"
kew-2630015,A,Annonaceae,,Alphonsea,,"gaudichaudiana",,"","(Baill.) Finet & Gagnep.",Accepted,,L,WCSP (in review),762181,77070651-1,"Bull. Soc. Bot. France","53(4): 162","","1906"
kew-2630017,A,Annonaceae,,Alphonsea,,"glabrifolia",,"","Craib",Accepted,,M,WCSP (in review),762183,71987-1,"Bull. Misc. Inform. Kew","1913: 65","","1913"
kew-2630018,A,Annonaceae,,Alphonsea,,"hainanensis",,"","Merr. & Chun",Accepted,,M,WCSP (in review),762184,71988-1,"Sunyatsenia","5: 62","","1940"
kew-2630019,A,Annonaceae,,Alphonsea,,"havilandii",,"","P.J.A.Kessler",Accepted,,M,WCSP (in review),762185,,"Bot. Jahrb. Syst.","118: 91","","1996"
kew-2630020,A,Annonaceae,,Alphonsea,,"hortensis",,"","H.Huber",Accepted,,M,WCSP (in review),762186,905635-1,"Revised Handb. Fl. Ceylon","5: 28","","1985"
kew-2630021,A,Annonaceae,,Alphonsea,,"javanica",,"","Scheff.",Accepted,,M,WCSP (in review),762187,71989-1,"Natuurk. Tijdschr. Ned.-Indië","31: 340","","1870"
kew-2630022,A,Annonaceae,,Alphonsea,,"johorensis",,"","J.Sinclair",Accepted,,M,WCSP (in review),762188,71990-1,"Gard. Bull. Singapore","14: 386","","1955"
kew-2630023,A,Annonaceae,,Alphonsea,,"keithii",,"","Ridl.",Accepted,,M,WCSP (in review),762189,71991-1,"J. Straits Branch Roy. Asiat. Soc.","59: 66","","1911"
kew-2630024,A,Annonaceae,,Alphonsea,,"kinabaluensis",,"","J.Sinclair",Accepted,,M,WCSP (in review),762190,71992-1,"Sarawak Mus. J.","5: 597","","1951"
kew-2630025,A,Annonaceae,,Alphonsea,,"kingii",,"","J.Sinclair",Accepted,,M,WCSP (in review),762191,71993-1,"Gard. Bull. Singapore","14: 386","","1955"
kew-2630026,A,Annonaceae,,Alphonsea,,"lucida",,"","King",Accepted,,M,WCSP (in review),762192,71994-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","61(2): 126","","1892"
kew-2630027,A,Annonaceae,,Alphonsea,,"lutea",,"","(Roxb.) Hook.f. & Thomson",Accepted,,M,WCSP (in review),762193,71996-1,"Fl. Ind.","1: 153","","1855"
kew-2630029,A,Annonaceae,,Alphonsea,,"madraspatana",,"","Bedd.",Accepted,,M,WCSP (in review),762195,71997-1,"Fl. Sylv. S. India","1: t. 76","","1871"
kew-2630030,A,Annonaceae,,Alphonsea,,"maingayi",,"","Hook.f. & Thomson",Accepted,,M,WCSP (in review),762196,71998-1,"Fl. Ind.","1: 90","","1855"
kew-2630032,A,Annonaceae,,Alphonsea,,"malayana",,"","P.J.A.Kessler",Accepted,,M,WCSP (in review),762198,,"Bot. Jahrb. Syst.","118: 97","","1996"
kew-2630033,A,Annonaceae,,Alphonsea,,"mollis",,"","Dunn",Accepted,,M,WCSP (in review),762199,71999-1,"J. Linn. Soc., Bot.","35: 485","","1902"
kew-2630034,A,Annonaceae,,Alphonsea,,"monogyna",,"","Merr. & Chun",Accepted,,M,WCSP (in review),762200,72000-1,"Sunyatsenia","2: 26","","1934"
kew-2630035,A,Annonaceae,,Alphonsea,,"obliqua",,"","(Hook.f. & Thomson) Finet & Gagnep.",Unresolved,,L,WCSP (in review),762201,72001-1,"Bull. Soc. Bot. France","53(4): 160","","1906"
kew-2630036,A,Annonaceae,,Alphonsea,,"orthopetala",,"","H.Okada",Accepted,,M,WCSP (in review),762202,990855-1,"Acta Phytotax. Geobot.","47: 1","","1996"
kew-2630037,A,Annonaceae,,Alphonsea,,"ovata",,"","(Scheff.) J.Sinclair",Accepted,,M,WCSP (in review),762203,72002-1,"Gard. Bull. Singapore","15: 5","","1956"
kew-2630039,A,Annonaceae,,Alphonsea,,"pallida",,"","Craib",Accepted,,M,WCSP (in review),762205,72004-1,"J. Nat. Hist. Soc. Siam","6: 45","","1923"
kew-2630040,A,Annonaceae,,Alphonsea,,"papuasica",,"","Diels",Accepted,,M,WCSP (in review),762206,72005-1,"Bot. Jahrb. Syst.","52: 184","","1915"
kew-2630041,A,Annonaceae,,Alphonsea,,"philastreana",,"","(Pierre) Pierre ex Finet & Gagnep.",Accepted,,M,WCSP (in review),762207,72006-1,"Bull. Soc. Bot. France","53(4): 164","","1906"
kew-2630043,A,Annonaceae,,Alphonsea,,"prolifica",,"","Chun & F.C.How",Unresolved,,L,WCSP (in review),762209,72008-1,"Acta Phytotax. Sin.","7: 1","","1958"
