ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35202362,B,Antheliaceae,,Anthelia,,"africana",,"","Stephani",Unresolved,,L,TRO,35202362,,"Hedwigia","31: 121","121","1892"
tro-35209752,B,Antheliaceae,,Anthelia,,"andina",,"","Herzog",Unresolved,,L,TRO,35209752,,"Biblioth. Bot.","88: 29","29","1921"
tro-35214021,B,Antheliaceae,,Anthelia,,"asperifolia",,"","(Taylor) Spruce",Accepted,,M,TRO,35214021,,"Cephalozia","83","83","1882"
tro-35214023,B,Antheliaceae,,Anthelia,,"filum",,"","(Dumort.) Dumort.",Accepted,,M,TRO,35214023,,"Recueil Observ. Jungerm.","18","18","1835"
tro-35184442,B,Antheliaceae,,Anthelia,,"julacea",,"","(L.) Dumort.",Accepted,,M,TRO,35184442,,"Recueil Observ. Jungerm.","18","18","1835"
tro-35184443,B,Antheliaceae,,Anthelia,,"juratzkana",,"","(Limpr.) Trevis.",Accepted,,M,TRO,35184443,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 416 (: 34)","416 ","1877"
tro-35214024,B,Antheliaceae,,Anthelia,,"subaequifolia",,"","(Nees & Mont.) Trevis.",Accepted,,M,TRO,35214024,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 416","416","1877"
tro-35214027,B,Antheliaceae,,Anthelia,,"viridissima",,"","(Nees) Dumort.",Accepted,,M,TRO,35214027,,"Bull. Soc. Roy. Bot. Belgique","13: 100","100","1874"
kew-2641507,B,Antheliaceae,,Anthelis,,"albidus",,"","Raf.",Unresolved,,L,WCSP (in review),773611,168148-1,"Chlor. Aetn.","9","","1813"
kew-2641512,B,Antheliaceae,,Anthelis,,"podanisia",,"","Raf.",Unresolved,,L,WCSP (in review),773616,168153-1,"New Fl.","3: 30","","1838"
tro-35208216,B,Antheliaceae,,Grollea,,"antheliopsis",,"","R.M. Schust.",Unresolved,,L,TRO,35208216,,"Nova Hedwigia","8: 288","288","1964"
