ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35184449,B,Anthocerotaceae,,Anthoceros,,"adscendens",,"","Lehm. & Lindenb.",Accepted,,M,TRO,35184449,,"Nov. Stirp. Pug.","4: 24","24","1832"
tro-35201125,B,Anthocerotaceae,,Anthoceros,,"adscendens",subsp.,"granulatus","(Gottsche) D. Cargill & G.A.M. Scott",Accepted,,L,TRO,35201125,,"J. Hattori Bot. Lab.","82: 55","55","1997"
tro-35216174,B,Anthocerotaceae,,Anthoceros,,"aethyopicus",,"","Gola",Accepted,,M,TRO,35216174,,"Ann. Bot. (Rome)","13: 73","73","1914"
tro-35191588,B,Anthocerotaceae,,Anthoceros,,"affinis",,"","Schiffner",Unresolved,,L,TRO,35191588,,"Forschungsr. Gazelle","4(4): 45","45","1889"
tro-35200612,B,Anthocerotaceae,,Anthoceros,,"agrestis",,"","Paton",Accepted,,M,TRO,35200612,,"J. Bryol.","10: 257. f. 1","257","1979"
tro-35191589,B,Anthocerotaceae,,Anthoceros,,"alatifrons",,"","Stephani",Unresolved,,L,TRO,35191589,,"Symb. Antill.","2: 469","469","1901"
tro-35191590,B,Anthocerotaceae,,Anthoceros,,"alpinus",,"","Stephani",Unresolved,,L,TRO,35191590,,"Sp. Hepat.","6: 425","425","1923"
tro-35214028,B,Anthocerotaceae,,Anthoceros,,"andinus",,"","Stephani",Unresolved,,L,TRO,35214028,,"Sp. Hepat.","5: 979","979","1916"
tro-35214029,B,Anthocerotaceae,,Anthoceros,,"aneuraeformis",,"","Stephani",Unresolved,,L,TRO,35214029,,"Hedwigia","32: 141","141","1893"
tro-35209594,B,Anthocerotaceae,,Anthoceros,,"angustus",,"","Stephani",Accepted,,M,TRO,35209594,,"Sp. Hepat.","5: 1001","1001","1916"
tro-35214030,B,Anthocerotaceae,,Anthoceros,,"arachnoideus",,"","Stephani",Unresolved,,L,TRO,35214030,,"J. Linn. Soc., Bot.","29: 265","265","1892"
