ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-117,A,Apocynaceae,,Absolmsia,,"spartioides",,"","(Benth.) Kuntze",Accepted,,L,WCSP,117,93836-1,"Revis. Gen. Pl.","2: 418","","1891"
kew-2616668,A,Apocynaceae,,Acerates,,"bifida",,"","Rusby ex A.Gray",Unresolved,,L,WCSP (in review),749053,93848-1,"Proc. Amer. Acad. Arts","20: 295","","1885"
kew-2616670,A,Apocynaceae,,Acerates,,"connivens",,"","Decne.",Unresolved,,L,WCSP (in review),749055,93850-1,"Prodr.","8: 521","","1844"
kew-2616674,A,Apocynaceae,,Acerates,,"delticola",,"","Small",Unresolved,,L,WCSP (in review),749059,93853-1,"Man. S.E. Fl.","1067","","1933"
tro-50003642,A,Apocynaceae,,Acerates,,"engelmanniana",,"","Woods",Unresolved,,L,TRO,50003642,,"","","",""
kew-2616678,A,Apocynaceae,,Acerates,,"gomphocarpoides",,"","Benth.",Unresolved,,L,WCSP (in review),749063,93857-1,"Pl. Hartw.","66","","1840"
tro-2610393,A,Apocynaceae,,Acerates,,"monocephala",,"","Lapham ex A. Gray",Unresolved,,L,TRO,2610393,,"Manual","704","704","1856"
kew-2160,A,Apocynaceae,,Acokanthera,,"laevigata",,"","Kupicha",Accepted,,H,WCSP,2160,899079-1,"Kew Bull.","37: 58","","1982"
kew-2163,A,Apocynaceae,,Acokanthera,,"lycioides",,"","(Licht. ex Roem. & Schult.) G.Don",Unresolved,,L,WCSP,2163,76346-1,"Gen. Hist.","4: 485","","1837"
kew-2164,A,Apocynaceae,,Acokanthera,,"oblongifolia",,"","(Hochst.) Benth. & Hook.f. ex B.D.Jacks.",Accepted,,H,WCSP,2164,,"Index Kew.","2: 1262","","1895"
kew-2165,A,Apocynaceae,,Acokanthera,,"oppositifolia",,"","(Lam.) Codd",Accepted,,H,WCSP,2165,76349-1,"Bothalia","7: 448","","1961"
