ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2644240,A,Apodanthaceae,,Apodanthes,,"blanchetii",,"","Gardner",Unresolved,,L,WCSP (in review),776320,316015-1,"Hooker's Icon. Pl.","7: t. 655b","","1844"
kew-2644242,A,Apodanthaceae,,Apodanthes,,"caseariae",,"","Poit.",Accepted,,M,WCSP (in review),776322,316017-1,"Ann. Sci. Nat. (Paris)","3: 422","","1824"
kew-2644246,A,Apodanthaceae,,Apodanthes,,"minarum",,"","Vattimo",Accepted,,M,WCSP (in review),776326,895958-1,"Revista Brasil. Biol.","33: 140","","1973"
kew-2644247,A,Apodanthaceae,,Apodanthes,,"panamensis",,"","Vattimo",Accepted,,M,WCSP (in review),776327,895959-1,"Revista Brasil. Biol.","33: 140","","1973"
kew-2644250,A,Apodanthaceae,,Apodanthes,,"surinamensis",,"","Pulle",Accepted,,M,WCSP (in review),776330,16718-2,"Recueil Trav. Bot. Néerl.","6: 259","","1909"
kew-2644251,A,Apodanthaceae,,Apodanthes,,"tribracteata",,"","Rusby",Accepted,,M,WCSP (in review),776331,16719-2,"Descr. S. Amer. Pl.","15","","1920"
kew-2675019,A,Apodanthaceae,,Berlinianche,,"aethiopica",,"","(Welw.) Vattimo",Accepted,,M,WCSP (in review),806845,707060-1,"Taxon","4: 212","","1955"
kew-2675020,A,Apodanthaceae,,Berlinianche,,"holtzii",,"","(Engl.) Vattimo",Accepted,,M,WCSP (in review),806846,707061-1,"Taxon","4: 212","","1955"
kew-2544456,A,Apodanthaceae,,Pilostyles,,"berteroi",,"","Guill.",Accepted,,M,WCSP (in review),680299,316057-1,"Ann. Sci. Nat., Bot.","II, 2: 21","","1834"
tro-27000001,A,Apodanthaceae,,Pilostyles,,"blanchetii",,"","(Gardner) R. Br.",Accepted,,M,TRO,27000001,,"Trans. Linn. Soc. London","19: 247","247","1845"
tro-50158822,A,Apodanthaceae,,Pilostyles,,"calliandrae",,"","(Gardner) R. Br.",Accepted,,L,TRO,50158822,,"Trans. Linn. Soc. London","247","247","1845"
kew-2544459,A,Apodanthaceae,,Pilostyles,,"caulotreti",,"","(H.Karst.) Hook.f.",Accepted,,M,WCSP (in review),680302,316060-1,"Prodr.","17: 116","","1873"
kew-2608235,A,Apodanthaceae,,Pilostyles,,"coccoidea",,"","K.R.Thiele",Unresolved,,L,WCSP (in review),741187,77092673-1,"Nuytsia","18: 281","","2008"
kew-2544460,A,Apodanthaceae,,Pilostyles,,"collina",,"","Dell",Unresolved,,L,WCSP (in review),680303,902768-1,"Nuytsia","4: 293","","1983"
