ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50280622,A,Araceae,,Acontias,,"hastifolia",,"","Hook.",Unresolved,,L,TRO,50280622,,"","","",""
kew-4598,A,Araceae,,Aglaodorum,,"griffithii",,"","(Schott) Schott",Accepted,,H,WCSP,4598,84039-1,"Gen. Aroid.","58","","1858"
kew-4606,A,Araceae,,Aglaonema,,"brevispathum",,"","(Engl.) Engl.",Accepted,,H,WCSP,4606,,"Pflanzenr.","IV, 23Dc: 32","","1915"
kew-4608,A,Araceae,,Aglaonema,,"brevispathum",f.,"hospitum","(F.N.Williams) Nicolson",Accepted,,L,WCSP,4608,,"Baileya","15: 124","","1968"
kew-4611,A,Araceae,,Aglaonema,,"chermsiriwattanae",,"","D.Sookchaloem",Accepted,,H,WCSP,4611,,"Thai For. Bull. (Bot.)","25: 54","","1997"
tro-100142548,A,Araceae,,Aglaonema,,"cochinchense",,"","Engl.",Unresolved,,L,TRO,100142548,,"Pflanzenr.","IV, 23Dc: 16","16","1915"
kew-4613,A,Araceae,,Aglaonema,,"cochinchinense",,"","Engl.",Accepted,,H,WCSP,4613,,"Pflanzenr.","IV, 23Dc: 16","","1915"
kew-4614,A,Araceae,,Aglaonema,,"commutatum",,"","Schott",Accepted,,H,WCSP,4614,84050-1,"Syn. Aroid.","123","","1856"
kew-4618,A,Araceae,,Aglaonema,,"commutatum",var.,"elegans","(Engl.) Nicolson",Accepted,,L,WCSP,4618,,"Baileya","15: 125","","1968"
kew-4619,A,Araceae,,Aglaonema,,"commutatum",var.,"maculatum","(Hook.f.) Nicolson",Accepted,,L,WCSP,4619,,"Baileya","15: 125","","1968"
kew-4623,A,Araceae,,Aglaonema,,"commutatum",var.,"warburgii","(Engl.) Nicolson",Accepted,,L,WCSP,4623,,"Smithsonian Contr. Bot.","1: 50","","1969"
kew-4624,A,Araceae,,Aglaonema,,"cordifolium",,"","Engl.",Accepted,,H,WCSP,4624,,"Pflanzenr.","IV, 23Dc: 29","","1915"
kew-4625,A,Araceae,,Aglaonema,,"costatum",,"","N.E.Br.",Accepted,,H,WCSP,4625,,"Gard. Chron.","III, 1892: 426","","1892"
kew-4632,A,Araceae,,Aglaonema,,"costatum",f.,"immaculatum","(Ridl.) Nicolson",Accepted,,L,WCSP,4632,,"Smithsonian Contr. Bot.","1: 24","","1969"
kew-4637,A,Araceae,,Aglaonema,,"costatum",f.,"virescens","(Ridl. ex Engl.) Nicolson",Accepted,,L,WCSP,4637,,"Smithsonian Contr. Bot.","1: 24","","1969"
kew-4639,A,Araceae,,Aglaonema,,"crispum",,"","(Pitcher & Manda) Nicolson",Accepted,,H,WCSP,4639,84053-1,"Baileya","15: 126","","1968"
kew-4644,A,Araceae,,Aglaonema,,"densinervium",,"","Engl.",Accepted,,H,WCSP,4644,84056-1,"Bot. Jahrb. Syst.","37: 134","","1905"
kew-4649,A,Araceae,,Aglaonema,,"flemingianum",,"","A.Hay",Accepted,,H,WCSP,4649,1004140-1,"Gard. Bull. Singapore","50: 1","","1998"
tro-50086170,A,Araceae,,Aglaonema,,"fumeum",,"","Serebryanyi",Unresolved,,L,TRO,50086170,,"","","",""
kew-4656,A,Araceae,,Aglaonema,,"hookerianum",,"","Schott",Accepted,,H,WCSP,4656,84067-1,"Bonplandia (Hannover)","7: 30","","1859"
kew-4659,A,Araceae,,Aglaonema,,"immaculatum",,"","Engl.",Unresolved,,L,WCSP,4659,,"Pflanzenr.","IV, 23Dc: 33","","1915"
kew-4668,A,Araceae,,Aglaonema,,"marantifolium",,"","Blume",Accepted,,H,WCSP,4668,84078-1,"Rumphia","1: 153","","1837"
kew-4675,A,Araceae,,Aglaonema,,"modestum",,"","Schott ex Engl.",Accepted,,H,WCSP,4675,84081-1,"Monogr. Phan.","2: 442","","1879"
kew-4677,A,Araceae,,Aglaonema,,"nebulosum",,"","N.E.Br.",Accepted,,H,WCSP,4677,84083-1,"Ill. Hort.","31: 67","","1887"
kew-4678,A,Araceae,,Aglaonema,,"nebulosum",f.,"nanum","(Hook.f.) Nicolson",Accepted,,L,WCSP,4678,,"Smithsonian Contr. Bot.","1: 31","","1969"
kew-4682,A,Araceae,,Aglaonema,,"nitidum",,"","(Jack) Kunth",Accepted,,H,WCSP,4682,84086-1,"Enum. Pl.","3: 56","","1841"
kew-4684,A,Araceae,,Aglaonema,,"nitidum",f.,"curtisii","(N.E.Br.) Nicolson",Accepted,,L,WCSP,4684,,"Baileya","15: 126","","1968"
kew-4685,A,Araceae,,Aglaonema,,"nitidum",var.,"helferi","(Hook.f.) Nicolson",Accepted,,L,WCSP,4685,,"Smithsonian Contr. Bot.","1: 37","","1969"
kew-4694,A,Araceae,,Aglaonema,,"ovatum",,"","Engl.",Accepted,,H,WCSP,4694,84091-1,"Bot. Jahrb. Syst.","25: 21","","1898"
kew-4699,A,Araceae,,Aglaonema,,"philippinense",,"","Engl.",Accepted,,H,WCSP,4699,84093-1,"Bot. Jahrb. Syst.","25: 21","","1898"
kew-4703,A,Araceae,,Aglaonema,,"philippinense",var.,"stenophyllum","(Merr.) Jervis",Accepted,,L,WCSP,4703,,"Aglaonema","31","","1980"
kew-4704,A,Araceae,,Aglaonema,,"pictum",,"","(Roxb.) Kunth",Accepted,,H,WCSP,4704,84094-1,"Enum. Pl.","3: 55","","1841"
kew-4712,A,Araceae,,Aglaonema,,"pumilum",,"","Hook.f.",Accepted,,H,WCSP,4712,84098-1,"Fl. Brit. India","6: 530","","1893"
kew-4719,A,Araceae,,Aglaonema,,"rotundum",,"","N.E.Br.",Accepted,,H,WCSP,4719,84103-1,"Gard. Chron.","III, 1893: 86","","1893"
kew-4728,A,Araceae,,Aglaonema,,"simplex",,"","(Blume) Blume",Accepted,,H,WCSP,4728,84107-1,"Rumphia","1: 152","","1837"
kew-4740,A,Araceae,,Aglaonema,,"treubii",,"","Engl.",Unresolved,,L,WCSP,4740,84113-1,"Bot. Jahrb. Syst.","25: 22","","1898"
kew-4741,A,Araceae,,Aglaonema,,"tricolor",,"","Jervis",Accepted,,H,WCSP,4741,,"Aglaonema","38","","1980"
kew-4743,A,Araceae,,Aglaonema,,"vittatum",,"","Ridl. ex Engl.",Accepted,,H,WCSP,4743,,"Pflanzenr.","IV, 23Dc: 33","","1915"
kew-6220,A,Araceae,,Alloschemone,,"inopinata",,"","Bogner & P.C.Boyce",Accepted,,H,WCSP,6220,20001019-1,"Aroideana","24: 91","","2001"
kew-6221,A,Araceae,,Alloschemone,,"occidentalis",,"","(Poepp.) Engl. & K.Krause",Accepted,,H,WCSP,6221,,"Pflanzenr.","IV, 23B: 117","","1908"
kew-6679,A,Araceae,,Alocasia,,"acuminata",,"","Schott",Accepted,,H,WCSP,6679,84120-1,"Bonplandia (Hannover)","7: 28","","1859"
kew-6683,A,Araceae,,Alocasia,,"aequiloba",,"","N.E.Br.",Accepted,,H,WCSP,6683,84122-1,"Bull. Misc. Inform. Kew","1895: 119","","1895"
kew-6684,A,Araceae,,Alocasia,,"alba",,"","Schott",Accepted,,H,WCSP,6684,84123-1,"Oesterr. Bot. Wochenbl.","2: 59","","1852"
kew-6689,A,Araceae,,Alocasia,,"arifolia",,"","Hallier f.",Accepted,,H,WCSP,6689,84128-1,"Bull. Herb. Boissier","II, 1: 670","","1901"
kew-6690,A,Araceae,,Alocasia,,"atropurpurea",,"","Engl.",Accepted,,H,WCSP,6690,,"Pflanzenr.","IV, 23E: 132","","1920"
kew-6692,A,Araceae,,Alocasia,,"augustiana",,"","L.Linden & Rodigas",Accepted,,H,WCSP,6692,84131-1,"Ill. Hort.","33: 61","","1886"
kew-6693,A,Araceae,,Alocasia,×,"bachii",,"","Rodigas",Unresolved,,L,WCSP,6693,,"Ill. Hort.","37: 77","","1890"
kew-468320,A,Araceae,,Alocasia,,"baginda",,"","Kurniawan & P.C.Boyce",Accepted,,H,WCSP,468320,60456116-2,"Acta Phytotax. Geobot.","61: 123","","2011"
kew-6694,A,Araceae,,Alocasia,,"balgooyi",,"","A.Hay",Accepted,,H,WCSP,6694,1006575-1,"Gard. Bull. Singapore","50: 291","","1998"
kew-6697,A,Araceae,,Alocasia,,"beccarii",,"","Engl.",Accepted,,H,WCSP,6697,84134-1,"Bull. Soc. Tosc. Ortic.","4: 300","","1879"
kew-6698,A,Araceae,,Alocasia,,"boa",,"","A.Hay",Accepted,,H,WCSP,6698,959173-1,"Blumea","35: 517","","1991"
kew-6699,A,Araceae,,Alocasia,,"boyceana",,"","A.Hay",Accepted,,H,WCSP,6699,1010788-1,"Gard. Bull. Singapore","51: 9","","1999"
kew-6700,A,Araceae,,Alocasia,,"brancifolia",,"","(Schott) A.Hay",Accepted,,H,WCSP,6700,962406-1,"Aroids Papua New Guinea","31","","1990"
kew-6701,A,Araceae,,Alocasia,,"brisbanensis",,"","(F.M.Bailey) Domin",Accepted,,H,WCSP,6701,84136-1,"Biblioth. Bot.","85: 504","","1915"
kew-6702,A,Araceae,,Alocasia,,"cadieri",,"","Chantrier",Accepted,,H,WCSP,6702,84138-1,"Rev. Hort.","26: 326","","1939"
kew-6703,A,Araceae,,Alocasia,,"celebica",,"","Engl. ex Koord.",Accepted,,H,WCSP,6703,84139-1,"Meded. Lands Plantentuin","19: 299","","1898"
kew-345844,A,Araceae,,Alocasia,,"chaii",,"","P.C.Boyce",Accepted,,H,WCSP,345844,,"Gard. Bull. Singapore","58: 142","","2007"
kew-6704,A,Araceae,,Alocasia,×,"chantrieri",,"","André",Unresolved,,L,WCSP,6704,84140-1,"Rev. Hort.","59: 465","","1887"
tro-2100169,A,Araceae,,Alocasia,,"chantrieriana",,"","Rodigas",Unresolved,,L,TRO,2100169,84142-1,"Ill. Hort.","25: 79, t. 64","79","1888"
kew-6706,A,Araceae,,Alocasia,,"clypeolata",,"","A.Hay",Accepted,,H,WCSP,6706,1010789-1,"Gard. Bull. Singapore","51: 12","","1999"
kew-6709,A,Araceae,,Alocasia,×,"conspicua",,"","André",Unresolved,,L,WCSP,6709,84145-1,"Rev. Hort.","63: 175","","1891"
kew-6711,A,Araceae,,Alocasia,,"coriacea",,"","L.Linden",Unresolved,,L,WCSP,6711,84147-1,"Gard. Chron.","III, 1893(1): 475","","1893"
kew-6714,A,Araceae,,Alocasia,,"cucullata",,"","(Lour.) G.Don",Accepted,,H,WCSP,6714,84151-1,"Hort. Brit.","ed. 3: 631","","1839"
kew-6715,A,Araceae,,Alocasia,,"culionensis",,"","Engl.",Accepted,,H,WCSP,6715,84152-1,"Bot. Jahrb. Syst.","37: 135","","1905"
kew-6716,A,Araceae,,Alocasia,,"cuprea",,"","K.Koch",Accepted,,H,WCSP,6716,84153-1,"Berliner Klin. Wochenschr.","4: 141","","1861"
kew-6720,A,Araceae,,Alocasia,,"decipiens",,"","Schott",Accepted,,H,WCSP,6720,84157-1,"Bonplandia (Hannover)","7: 28","","1859"
kew-6721,A,Araceae,,Alocasia,,"decumbens",,"","Buchet",Accepted,,H,WCSP,6721,84158-1,"Bull. Mus. Natl. Hist. Nat.","II, 11: 417","","1939"
kew-6725,A,Araceae,,Alocasia,,"devansayana",,"","(L.Linden & Rodigas) Engl.",Accepted,,H,WCSP,6725,84161-1,"Nova Guinea","8: 808","","1912"
kew-6729,A,Araceae,,Alocasia,,"evrardii",,"","Gagnep.",Unresolved,,L,WCSP,6729,84166-1,"Fl. Indo-Chine","6: 1150","","1942"
kew-6730,A,Araceae,,Alocasia,,"fallax",,"","Schott",Accepted,,H,WCSP,6730,84167-1,"Bonplandia (Hannover)","7: 28","","1859"
kew-6731,A,Araceae,,Alocasia,,"flabellifera",,"","A.Hay",Accepted,,H,WCSP,6731,959176-1,"Blumea","35: 537","","1991"
kew-6732,A,Araceae,,Alocasia,,"flemingiana",,"","Yuzammi & A.Hay",Accepted,,H,WCSP,6732,1006576-1,"Gard. Bull. Singapore","50: 292","","1998"
kew-6733,A,Araceae,,Alocasia,,"fornicata",,"","(Roxb.) Schott",Accepted,,H,WCSP,6733,84168-1,"Oesterr. Bot. Wochenbl.","4: 410","","1854"
kew-6734,A,Araceae,,Alocasia,,"gageana",,"","Engl. & K.Krause",Accepted,,H,WCSP,6734,,"Pflanzenr.","IV, 23E: 80","","1920"
kew-6735,A,Araceae,,Alocasia,×,"gaulainii",,"","André",Unresolved,,L,WCSP,6735,,"Wiener Ill. Gart.-Zeitung","15: 380","","1890"
kew-6739,A,Araceae,,Alocasia,,"grata",,"","Prain ex Engl. & Krause",Accepted,,H,WCSP,6739,,"Pflanzenr.","IV, 23E: 93","","1920"
kew-6743,A,Araceae,,Alocasia,,"hainanica",,"","N.E.Br.",Accepted,,H,WCSP,6743,,"J. Linn. Soc., Bot.","36: 183","","1903"
kew-6745,A,Araceae,,Alocasia,,"heterophylla",,"","(C.Presl) Merr.",Accepted,,H,WCSP,6745,84179-1,"Philipp. J. Sci., C","3: 220","","1908"
kew-6746,A,Araceae,,Alocasia,,"hollrungii",,"","Engl.",Accepted,,H,WCSP,6746,84180-1,"Bot. Jahrb. Syst.","25: 24","","1898"
kew-329680,A,Araceae,,Alocasia,,"hypnosa",,"","J.T.Yin, Y.H.Wang & Z.F.Xu",Accepted,,H,WCSP,329680,77068708-1,"Ann. Bot. Fenn.","42: 395","","2005"
kew-456239,A,Araceae,,Alocasia,,"hypoleuca",,"","P.C.Boyce",Accepted,,H,WCSP,456239,77095868-1,"Thai Forest Bull., Bot.","36: 9","","2008"
kew-345845,A,Araceae,,Alocasia,,"infernalis",,"","P.C.Boyce",Accepted,,H,WCSP,345845,,"Gard. Bull. Singapore","58: 145","","2007"
kew-6756,A,Araceae,,Alocasia,,"inornata",,"","Hallier f.",Accepted,,H,WCSP,6756,84183-1,"Meded. Rijks-Herb.","26: 7","","1915"
kew-462171,A,Araceae,,Alocasia,,"jiewhoei",,"","V.D.Nguyen",Accepted,,H,WCSP,462171,77107767-1,"Gard. Bull. Singapore","62: 121","","2010"
kew-6759,A,Araceae,,Alocasia,,"kerinciensis",,"","A.Hay",Accepted,,H,WCSP,6759,1006578-1,"Gard. Bull. Singapore","50: 322","","1998"
kew-6761,A,Araceae,,Alocasia,,"lancifolia",,"","Engl.",Accepted,,H,WCSP,6761,84188-1,"Nova Guinea","8: 807","","1912"
kew-6762,A,Araceae,,Alocasia,,"lauterbachiana",,"","(Engl.) A.Hay",Accepted,,H,WCSP,6762,962407-1,"Aroids Papua New Guinea","31","","1990"
kew-6763,A,Araceae,,Alocasia,,"lecomtei",,"","Engl.",Accepted,,H,WCSP,6763,,"Pflanzenr.","IV, 23E: 90","","1920"
kew-6770,A,Araceae,,Alocasia,,"longiloba",,"","Miq.",Accepted,,H,WCSP,6770,84195-1,"Fl. Ned. Ind.","3: 207","","1856"
kew-6775,A,Araceae,,Alocasia,,"macrorrhizos",,"","(L.) G.Don",Accepted,,H,WCSP,6775,60444565-2,"Hort. Brit.","ed. 3: 631","","1839"
tro-2100136,A,Araceae,,Alocasia,,"malarchalli",,"","Engl.",Unresolved,,L,TRO,2100136,,"Monogr. Phan.","2: 494","494",""
kew-6779,A,Araceae,,Alocasia,,"maquilingensis",,"","Merr.",Accepted,,H,WCSP,6779,84201-1,"Philipp. J. Sci.","13: 3","","1918"
kew-218627,A,Araceae,,Alocasia,,"megawatiae",,"","Yuzammi & A.Hay",Accepted,,H,WCSP,218627,20011463-1,"Aroideana","25: 70","","2002 publ. 2003"
kew-6784,A,Araceae,,Alocasia,,"melo",,"","A.Hay, P.C.Boyce & K.M.Wong",Accepted,,H,WCSP,6784,995487-1,"Bot. Mag.","14: 84","","1997"
kew-6788,A,Araceae,,Alocasia,,"micholitziana",,"","Sander",Accepted,,H,WCSP,6788,84208-1,"Gard. Chron.","III, 51(Suppl.):","","1912"
tro-2100236,A,Araceae,,Alocasia,,"micholitzii",,"","hort.",Unresolved,,L,TRO,2100236,,"Rev. Hort.","n.s. xiii. 557, sphalm.","","1913"
kew-6789,A,Araceae,,Alocasia,,"miniuscula",,"","A.Hay",Accepted,,H,WCSP,6789,1006577-1,"Gard. Bull. Singapore","50: 320","","1998"
kew-6791,A,Araceae,,Alocasia,,"monticola",,"","A.Hay",Accepted,,H,WCSP,6791,959175-1,"Blumea","35: 527","","1991"
