ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35184457,B,Arnelliaceae,,Arnellia,,"fennica",,"","(Gottsche & Rabenh.) Lindb.",Accepted,,M,TRO,35184457,,"Kongl. Svenska Vetensk. Acad. Handl., n.s.","23(5): 35","35","1889"
tro-35189289,B,Arnelliaceae,,Gongylanthus,,"ericetorum",,"","(Raddi) Nees",Accepted,,M,TRO,35189289,,"Naturgesch. Eur. Leberm.","2: 407","407","1836"
tro-35200455,B,Arnelliaceae,,Gongylanthus,,"gollanii",,"","(Stephani) Grolle",Accepted,,M,TRO,35200455,,"J. Hattori Bot. Lab.","61: 250","250","1986"
tro-35206495,B,Arnelliaceae,,Gongylanthus,,"granatensis",,"","(Gottsche) Stephani",Accepted,,M,TRO,35206495,,"Sp. Hepat.","3: 41.","41","1906"
tro-35200432,B,Arnelliaceae,,Gongylanthus,,"himalayensis",,"","Grolle",Accepted,,M,TRO,35200432,,"Khumbu Himal","1(4): 285. f. 7","285","1966"
tro-35216794,B,Arnelliaceae,,Gongylanthus,,"indicus",,"","S.C. Srivast. & P.K. Verma",Accepted,,M,TRO,35216794,,"Indian J. Forest.","28: 201","201","2005"
tro-35187109,B,Arnelliaceae,,Gongylanthus,,"liebmannianus",,"","(Lindenb. & Gottsche) Stephani",Accepted,,M,TRO,35187109,,"Sp. Hepat.","6:","","1906"
tro-35210612,B,Arnelliaceae,,Gongylanthus,,"limbatus",,"","(Herzog) Grolle & Váňa",Accepted,,M,TRO,35210612,,"Folia Geobot. Phytotax.","9: 198","198","1974"
tro-35203753,B,Arnelliaceae,,Gongylanthus,,"muelleri",,"","(Gottsche) Stephani",Accepted,,M,TRO,35203753,,"Sp. Hepat.","3: 44","44","1906"
tro-35190872,B,Arnelliaceae,,Gongylanthus,,"oniscoides",,"","(Spruce) Stephani",Accepted,,M,TRO,35190872,,"Sp. Hepat.","3: 42","42","1906"
tro-35209916,B,Arnelliaceae,,Gongylanthus,,"pringlei",,"","Underw. ex Steph.",Accepted,,M,TRO,35209916,,"Sp. Hepat.","3:","","1906"
tro-35201723,B,Arnelliaceae,,Gongylanthus,,"reniformis",,"","(Mitt.) Stephani",Accepted,,M,TRO,35201723,,"Sp. Hepat.","3: 43","43","1906"
tro-35216562,B,Arnelliaceae,,Gongylanthus,,"richardsii",,"","E.W. Jones",Unresolved,,L,TRO,35216562,,"Trans. Brit. Bryol. Soc.","4: 650","650","1964"
tro-35201749,B,Arnelliaceae,,Gongylanthus,,"scariosus",,"","(Lehm.) Stephani",Accepted,,M,TRO,35201749,,"Sp. Hepat.","3: 45","45","1906"
tro-35214969,B,Arnelliaceae,,Gongylanthus,,"uleanus",,"","Stephani",Unresolved,,L,TRO,35214969,,"Sp. Hepat.","3: 45","45",""
tro-35200456,B,Arnelliaceae,,Southbya,,"grollei",,"","N. Kitag.",Unresolved,,L,TRO,35200456,,"Acta Phytotax. Geobot.","25: 127","127","1973"
tro-35210452,B,Arnelliaceae,,Southbya,,"hyalina",,"","(Lyell) Husn.",Accepted,,M,TRO,35210452,,"Hepaticol. Gall.","16","16","1875"
tro-35210453,B,Arnelliaceae,,Southbya,,"hyalina",var.,"major","(Nees) Husn.",Accepted,,L,TRO,35210453,,"Hepaticol. Gall.","16","16","1875"
tro-35210454,B,Arnelliaceae,,Southbya,,"hyalina",var.,"minor","(Nees) Husn.",Accepted,,L,TRO,35210454,,"Hepaticol. Gall.","16","16","1875"
tro-35208468,B,Arnelliaceae,,Southbya,,"nigrella",,"","(De Not.) Henriq.",Accepted,,M,TRO,35208468,,"Bol. Soc. Brot.","4: 244","244","1886"
tro-35214970,B,Arnelliaceae,,Southbya,,"organensis",,"","Herzog",Accepted,,M,TRO,35214970,,"Memoranda Soc. Fauna Fl. Fenn.","25: 53","53","1949"
tro-35208467,B,Arnelliaceae,,Southbya,,"tophacea",,"","(Spruce) Spruce",Accepted,,M,TRO,35208467,,"Ann. Mag. Nat. Hist., ser. 2","3: 501","501","1850"
