ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50042567,P,Athyriaceae,,Allantodia,,"aemula",,"","(Aiton) Desv.",Accepted,,M,TRO,50042567,17014120-1,"Mém. Soc. Linn. Paris","6: 265","265","1827"
ifn-53660,P,Athyriaceae,,Allantodia,,"agyokuensis",,"","C.M.Kuo",Unresolved,,L,IPNI,77089235-1,77089235-1,"Concise Fl. Vasc. Pl. Taiwan","1: 113","","2007?"
tro-26622791,P,Athyriaceae,,Allantodia,,"alata",,"","(Christ) Ching",Accepted,,M,TRO,26622791,1091834-2,"Acta Phytotax. Sin.","9(1): 49","49","1964"
tro-50173914,P,Athyriaceae,,Allantodia,,"amamiana",,"","(Tagawa) W.M. Chu & Z.R. He",Accepted,,M,TRO,50173914,,"Fl. Reipubl. Popularis Sin.","3(2): 454","454","1999"
ifn-53663,P,Athyriaceae,,Allantodia,,"anshunica",,"","P.S.Wang",Unresolved,,L,IPNI,325072-2,325072-2,"Pterid. Fl. Guizhou","64","","2001 [1 Dec 2001]"
tro-26612734,P,Athyriaceae,,Allantodia,,"aspera",,"","(Blume) Ching",Accepted,,M,TRO,26612734,17426080-1,"Acta Phytotax. Sin.","9(1): 54","54","1964"
ifn-53665,P,Athyriaceae,,Allantodia,,"aspidioides",,"","Kunze",Unresolved,,L,IPNI,17014130-1,17014130-1,"Bot. Zeitung (Berlin)","6: 191","","1848"
ifn-53666,P,Athyriaceae,,Allantodia,,"aspidioides",,"","de Vriese; Kze.",Unresolved,,L,IPNI,17014140-1,17014140-1,"Linnaea","24. 269 in obs. 1851","","1851"
tro-26618160,P,Athyriaceae,,Allantodia,,"austrochinensis",,"","Ching",Accepted,,M,TRO,26618160,17426090-1,"Acta Phytotax. Sin.","9(4): 353–354","353","1964"
tro-50042562,P,Athyriaceae,,Allantodia,,"axillaris",,"","(Aiton) Desv.",Accepted,,M,TRO,50042562,,"Mém. Soc. Linn. Paris","6: 265","265","1827"
tro-50139564,P,Athyriaceae,,Allantodia,,"baishanzuensis",,"","Ching & P.X. Chiu",Accepted,,M,TRO,50139564,,"Acta Phytotax. Sin.","36(4): 375–377, pl. 1, f. 1–2","375","1998"
tro-26622774,P,Athyriaceae,,Allantodia,,"bella",,"","(C.B. Clarke) Ching",Accepted,,M,TRO,26622774,17426100-1,"Acta Phytotax. Sin.","9(1): 48","48","1964"
tro-26622926,P,Athyriaceae,,Allantodia,,"bittynensis",,"","(Tagawa) Ching",Accepted,,M,TRO,26622926,17426110-1,"Acta Phytotax. Sin.","9(1): 57","57","1964"
tro-26622884,P,Athyriaceae,,Allantodia,,"calogramma",,"","(Christ) Ching",Accepted,,M,TRO,26622884,17426120-1,"Acta Phytotax. Sin.","9(1): 54","54","1964"
tro-50139570,P,Athyriaceae,,Allantodia,,"calogrammoides",,"","Ching ex W.M. Chu & Z.R. He",Accepted,,M,TRO,50139570,17571260-1,"Acta Phytotax. Sin.","36(4): 377–379, pl. 1, f. 3–7","377","1998"
tro-26609712,P,Athyriaceae,,Allantodia,,"chinensis",,"","(Baker) Ching",Accepted,,M,TRO,26609712,1066716-2,"Acta Phytotax. Sin.","9(1): 57","57","1964"
tro-26622764,P,Athyriaceae,,Allantodia,,"contermina",,"","(Christ) Ching",Accepted,,M,TRO,26622764,1158596-2,"Acta Phytotax. Sin.","9(1): 47","47","1964"
tro-50042561,P,Athyriaceae,,Allantodia,,"cordifolia",,"","(Lag.) Desv.",Accepted,,M,TRO,50042561,17014180-1,"Mém. Soc. Linn. Paris","6: 265","265","1827"
tro-26625299,P,Athyriaceae,,Allantodia,,"costalis",,"","Desv.",Unresolved,,L,TRO,26625299,17014190-1,"Mém. Soc. Linn. Paris","6: 265","265","1827"
tro-26619660,P,Athyriaceae,,Allantodia,,"crenata",,"","(Sommerf.) Ching",Accepted,,M,TRO,26619660,17426160-1,"Acta Phytotax. Sin.","10(4): 303","303","1965"
tro-50073513,P,Athyriaceae,,Allantodia,,"crenata",var.,"glabra","(Tagawa) W.M. Chu",Accepted,,L,TRO,50073513,17560010-1,"Vasc. Pl. Hengduan Mountains","1: 90","90","1993"
tro-26622866,P,Athyriaceae,,Allantodia,,"crinipes",,"","(Ching) Ching",Accepted,,M,TRO,26622866,1133179-2,"Acta Phytotax. Sin.","9(1): 53","53","1964"
tro-26622879,P,Athyriaceae,,Allantodia,,"cycloloba",,"","(Christ) Ching",Accepted,,M,TRO,26622879,17426180-1,"Acta Phytotax. Sin.","9(1): 54","54","1964"
ifn-53687,P,Athyriaceae,,Allantodia,,"decurtata",,"","Kunze",Unresolved,,L,IPNI,17014200-1,17014200-1,"Linnaea","24. 268. 1851.","","1851"
tro-26622880,P,Athyriaceae,,Allantodia,,"dilatata",,"","(Blume) Ching",Accepted,,M,TRO,26622880,1000669-2,"Acta Phytotax. Sin.","9(1): 54","54","1964"
tro-26622763,P,Athyriaceae,,Allantodia,,"doederleinii",,"","(Luerss.) Ching",Accepted,,M,TRO,26622763,1210481-2,"Acta Phytotax. Sin.","9(1): 47–48","47","1964"
tro-50042572,P,Athyriaceae,,Allantodia,,"dombei",,"","Desv.",Unresolved,,L,TRO,50042572,,"Mém. Soc. Linn. Paris","6: 266","266","1827"
tro-50047736,P,Athyriaceae,,Allantodia,,"dulongjiangensis",,"","W.M. Chu",Accepted,,M,TRO,50047736,,"Acta Bot. Yunnan.","5: 38–39, f. 9–11","38","1992"
tro-50139571,P,Athyriaceae,,Allantodia,,"dushanensis",,"","Ching ex W.M. Chu & Z.R. He",Accepted,,M,TRO,50139571,17571270-1,"Acta Phytotax. Sin.","36(4): 379, pl. 2, f. 1–2","379","1998"
ifn-53693,P,Athyriaceae,,Allantodia,,"fieldingiana",,"","Kunze",Unresolved,,L,IPNI,17014220-1,17014220-1,"Linnaea","24. 268. 1851.","","1851"
tro-50073141,P,Athyriaceae,,Allantodia,,"forrestii",,"","Ching ex Z.R. Wang",Accepted,,M,TRO,50073141,17563490-1,"Acta Phytotax. Sin.","32(1): 82–83, pl. 1, f. 1–2","82","1994"
tro-26622903,P,Athyriaceae,,Allantodia,,"gigantea",,"","(Baker) Ching",Accepted,,M,TRO,26622903,1161007-2,"Acta Phytotax. Sin.","9(1): 55","55","1964"
tro-50173918,P,Athyriaceae,,Allantodia,,"glandulifera",,"","Ching",Unresolved,,L,TRO,50173918,,"Sporae Pterid. Sin.","149, pl. 49, f. 2","149","1976"
tro-50074911,P,Athyriaceae,,Allantodia,,"glingensis",,"","Ching & Y.X. Ling",Accepted,,M,TRO,50074911,17509010-1,"Acta Phytotax. Sin.","22(3): 199–200, pl. 2, f. 2","199","1984"
