ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2620026,A,Balanophoraceae,,Acroblastum,,"ambavanense",,"","Venkatareddi",Unresolved,,L,WCSP (in review),752400,,"Willdenowia","5: 389","","1969"
kew-2647075,A,Balanophoraceae,,Archimedea,,"pyramidalis",,"","Leandro",Unresolved,,L,WCSP (in review),779140,103190-1,"Ann. Sci. Nat., Bot.","II, 7: 32","","1837"
kew-2667977,A,Balanophoraceae,,Balaniella,,"junghuehnii",,"","Tiegh.",Unresolved,,L,WCSP (in review),799929,103214-1,"Ann. Sci. Nat., Bot.","IX, 6: 185","","1907"
kew-2668013,A,Balanophoraceae,,Balanophora,,"abbreviata",,"","Blume",Accepted,,M,WCSP (in review),799965,103224-1,"Enum. Pl. Javae","1: 87","","1827"
kew-2668020,A,Balanophoraceae,,Balanophora,,"capensis",,"","Eckl. & Zeyh. ex Eichler",Unresolved,,L,WCSP (in review),799972,103231-1,"Prodr.","17: 125","","1873"
kew-2668026,A,Balanophoraceae,,Balanophora,,"dentata",,"","Tiegh.",Unresolved,,L,WCSP (in review),799978,103235-1,"Ann. Sci. Nat., Bot.","IX, 6: 151","","1907"
kew-2668027,A,Balanophoraceae,,Balanophora,,"dioica",,"","R.Br. ex Royle",Accepted,,M,WCSP (in review),799979,,"Ill. Bot. Himal. Mts.","330","","1836"
kew-2668032,A,Balanophoraceae,,Balanophora,,"elongata",,"","Blume",Accepted,,M,WCSP (in review),799984,103242-1,"Enum. Pl. Javae","1: 87","","1827"
kew-2668034,A,Balanophoraceae,,Balanophora,,"elongata",var.,"ungeriana","(Valeton) B.Hansen",Accepted,,L,WCSP (in review),799986,874634-1,"Dansk Bot. Ark.","28: 120","","1972"
kew-2668036,A,Balanophoraceae,,Balanophora,,"fargesii",,"","(Tiegh.) Harms",Accepted,,M,WCSP (in review),799988,,"Nat. Pflanzenfam. ed. 2","16b: 332","","1935"
kew-2668043,A,Balanophoraceae,,Balanophora,,"fungosa",,"","J.R.Forst. & G.Forst.",Accepted,,M,WCSP (in review),799995,103250-1,"Char. Gen. Pl.","50","","1775"
