ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2855887,A,Balsaminaceae,,Hydrocera,,"angustifolia",,"","Blume",Unresolved,,L,WCSP (in review),982630,373936-1,"Bijdr.","241","","1825"
kew-2899096,A,Balsaminaceae,,Hydrocera,,"angustifolia",,"","(Blume) Blume ex Wight & Arn.",Unresolved,,L,WCSP (in review),1021859,60454784-2,"Prodr. Fl. Ind. Orient.","1: 141","","1834"
kew-2855888,A,Balsaminaceae,,Hydrocera,,"madagascariensis",,"","Endl. ex Walp.",Unresolved,,L,WCSP (in review),982631,373937-1,"Repert. Bot. Syst.","1: 477","","1842"
tro-3100287,A,Balsaminaceae,,Hydrocera,,"triflora",,"","(L.) Wight & Arn.",Accepted,,M,TRO,3100287,373938-1,"Prodr. Fl. Ind. Orient.","1: 140","140","1834"
tro-50275535,A,Balsaminaceae,,Impatiens,,"abbatis",,"","Hook. f.",Accepted,,M,TRO,50275535,103435-1,"Hooker's Icon. Pl.","29: , pl. 2861","","1908"
kew-2607494,A,Balsaminaceae,,Impatiens,,"academiae-moguntiae",,"","Eb.Fisch. & Raheliv.",Unresolved,,L,WCSP (in review),740516,77087081-1,"Adansonia","III, 29: 280","","2007"
kew-2862087,A,Balsaminaceae,,Impatiens,,"acaulis",,"","Arn.",Accepted,,M,WCSP (in review),988803,373942-1,"Compan. Bot. Mag.","1: 325","","1836"
kew-2862088,A,Balsaminaceae,,Impatiens,,"acaulis",,"","Humbert",Unresolved,Illegitimate,L,WCSP (in review),988804,103436-1,"Notul. Syst. (Paris)","15: 114","","1956"
kew-2862089,A,Balsaminaceae,,Impatiens,,"acehensis",,"","Grey-Wilson",Unresolved,,L,WCSP (in review),988805,936772-1,"Kew Bull.","44: 78","","1989"
kew-2862090,A,Balsaminaceae,,Impatiens,,"acmanthera",,"","Hook.f.",Accepted,,M,WCSP (in review),988806,373943-1,"Rec. Bot. Surv. India","4: 17","","1905"
kew-2904432,A,Balsaminaceae,,Impatiens,,"aconitoides",,"","Y.M.Shui & W.H.Chen",Unresolved,,L,WCSP (in review),1026888,77115454-1,"Syst. Bot.","36: 432","","2011"
kew-2862091,A,Balsaminaceae,,Impatiens,,"acuminata",,"","Benth.",Unresolved,,L,WCSP (in review),988807,373944-1,"Numer. List","4754","","1831"
kew-2896385,A,Balsaminaceae,,Impatiens,,"adenioides",,"","Suksathan & Keerat.",Unresolved,,L,WCSP (in review),1019214,,"Gard. Bull. Singapore","61: 160","","2009"
kew-2862094,A,Balsaminaceae,,Impatiens,,"aganantha",,"","Hook.f.",Accepted,,M,WCSP (in review),988810,373946-1,"Rec. Bot. Surv. India","4: 16","","1905"
tro-3100043,A,Balsaminaceae,,Impatiens,,"agumbeyana",,"","Bhask.",Unresolved,,L,TRO,3100043,,"","","",""
kew-2862096,A,Balsaminaceae,,Impatiens,,"ahernii",,"","Hook.f.",Unresolved,,L,WCSP (in review),988812,103438-1,"Bull. Misc. Inform. Kew","1909: 284","","1909"
kew-2862100,A,Balsaminaceae,,Impatiens,,"alba",,"","Houllet",Unresolved,,L,WCSP (in review),988816,373949-1,"Rev. Hort.","56: 143","","1884"
kew-2862102,A,Balsaminaceae,,Impatiens,,"alboflava",,"","Miq.",Unresolved,,L,WCSP (in review),988818,373951-1,"Fl. Ned. Ind., Eerste Bijv.","396","","1861"
tro-50226053,A,Balsaminaceae,,Impatiens,,"albopurpurea",,"","Eb. Fisch. & Raheliv.",Accepted,,M,TRO,50226053,20010549-1,"Adansonia, sér. 3,","24(2): 286, f. 11","286","2002"
tro-3100191,A,Balsaminaceae,,Impatiens,,"albopustulosa",,"","H. Perrier",Accepted,,M,TRO,3100191,103440-1,"Arch. Bot. Mém.","7(1): 99","99","1934"
kew-2862105,A,Balsaminaceae,,Impatiens,,"alborosea",,"","Tardieu",Unresolved,,L,WCSP (in review),988821,103442-1,"Notul. Syst. (Paris)","11: 171","","1944"
kew-2862106,A,Balsaminaceae,,Impatiens,,"alborubra",,"","Hook.f. ex Baker f.",Unresolved,,L,WCSP (in review),988822,,"J. Bot.","62(Suppl.): 27","","1924"
kew-2862107,A,Balsaminaceae,,Impatiens,,"aliciae",,"","C.E.C.Fisch.",Unresolved,,L,WCSP (in review),988823,103443-1,"Bull. Misc. Inform. Kew","1934: 389","","1934"
