ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35186432,B,Brachytheciaceae,,Aerolindigia,,"capillacea",,"","(Hornsch.) M. Menzel",Accepted,,M,TRO,35186432,,"Nova Hedwigia","52: 322","322","1991"
tro-35216130,B,Brachytheciaceae,,Brachytheciastrum,,"bellicum",,"","(W.R. Buck, J. A. Jiménez, Ros & M.J. Cano) Vanderp., Ignatov, Huttunen & Goffinet",Accepted,,M,TRO,35216130,,"Taxon","54: 373","373","2005"
tro-35213775,B,Brachytheciaceae,,Brachytheciastrum,,"collinum",,"","(Schleich. ex Müll. Hal.) Ignatov & Huttunen",Accepted,,M,TRO,35213775,,"Arctoa","11: 260","260","2002"
tro-100367506,B,Brachytheciaceae,,Brachytheciastrum,,"delicatulum",,"","(Flowers) Ignatov",Accepted,,M,TRO,100367506,,"Arctoa","19: 30","30",""
tro-35213776,B,Brachytheciaceae,,Brachytheciastrum,,"dieckei",,"","(Roll) Ignatov & Huttunen",Accepted,,M,TRO,35213776,,"Arctoa","11: 260","260","2002"
tro-35213777,B,Brachytheciaceae,,Brachytheciastrum,,"falcatulum",,"","(Broth.) Ignatov & Huttunen",Accepted,,M,TRO,35213777,,"Arctoa","11: 260","260","2002"
tro-35215003,B,Brachytheciaceae,,Brachytheciastrum,,"fendleri",,"","(Sull.) Ochyra & Żarnowiec",Accepted,,M,TRO,35215003,,"Biodivers. Poland","3: 172","172","2003"
tro-35213778,B,Brachytheciaceae,,Brachytheciastrum,,"kashmirense",,"","(Broth.) Ignatov & Huttunen",Accepted,,M,TRO,35213778,,"Arctoa","11: 260","260","2002"
tro-35213779,B,Brachytheciaceae,,Brachytheciastrum,,"leibergii",,"","(Grout) Ignatov & Huttunen",Accepted,,M,TRO,35213779,,"Arctoa","11: 260","260","2002"
tro-35213780,B,Brachytheciaceae,,Brachytheciastrum,,"microcollinum",,"","(E.B. Bartram) Ignatov & Huttunen",Accepted,,M,TRO,35213780,,"Arctoa","11: 260","260","2002"
