ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35153154,B,Buxbaumiaceae,,Buxbaumia,,"aphylla",,"","Hedw.",Accepted,,M,TRO,35153154,,"Sp. Musc. Frond.","166","166","1801"
tro-35153158,B,Buxbaumiaceae,,Buxbaumia,,"colyerae",,"","Burges",Accepted,,M,TRO,35153158,,"Proc. Linn. Soc. New South Wales","57(34): 242","242","1932"
tro-35169275,B,Buxbaumiaceae,,Buxbaumia,,"himalayensis",,"","Udar, S.C. Srivast. & D. Kumar",Accepted,,M,TRO,35169275,,"Trans. Brit. Bryol. Soc.","6: 266. f. 1–2. pl. 1","266","1971"
tro-35153163,B,Buxbaumiaceae,,Buxbaumia,,"javanica",,"","Müll. Hal.",Accepted,,M,TRO,35153163,,"Syn. Musc. Frond.","1: 152","152","1848"
tro-35153164,B,Buxbaumiaceae,,Buxbaumia,,"minakatae",,"","S. Okamura",Accepted,,M,TRO,35153164,,"Bot. Mag. (Tokyo)","25: 30. f. 1","30","1911"
tro-35153165,B,Buxbaumiaceae,,Buxbaumia,,"novae-zelandiae",,"","Dixon",Accepted,,M,TRO,35153165,,"New Zealand Inst. Bull.","3(6): 369. pl. 10: f. 13","369","1929"
tro-35153166,B,Buxbaumiaceae,,Buxbaumia,,"piperi",,"","Best",Accepted,,M,TRO,35153166,,"Bull. Torrey Bot. Club","20: 116","116","1893"
tro-35168308,B,Buxbaumiaceae,,Buxbaumia,,"punctata",,"","P.C. Chen & X.J. Li",Accepted,,M,TRO,35168308,,"Acta Phytotax. Sin.","9: 278. pl. 29","278","1964"
tro-35168309,B,Buxbaumiaceae,,Buxbaumia,,"symmetrica",,"","P.C. Chen & X.J. Li",Accepted,,M,TRO,35168309,,"Acta Phytotax. Sin.","9: 279. pl. 30","279","1964"
tro-35153169,B,Buxbaumiaceae,,Buxbaumia,,"tasmanica",,"","Mitt.",Accepted,,M,TRO,35153169,,"J. Proc. Linn. Soc., Bot.","4: 96","96","1859"
tro-35182925,B,Buxbaumiaceae,,Buxbaumia,,"thorsborneae",,"","I.G. Stone",Accepted,,M,TRO,35182925,,"J. Bryol.","12: 541. f. 1–2. pl. 1: a","541","1983"
tro-35153170,B,Buxbaumiaceae,,Buxbaumia,,"viridis",,"","(DC.) Moug. & Nestl.",Accepted,,M,TRO,35153170,,"Stirpes Cryptog. Vogeso-Rhenan.","8: 724","724","1823"
tro-35132294,B,Buxbaumiaceae,,Diphascum,,"foliosum",,"","(Hedw.) Eaton",Accepted,,M,TRO,35132294,,"Man. Bot. (ed. 2)","233","233","1818"
tro-35132296,B,Buxbaumiaceae,,Diphyscium,,"calcareum",,"","Dixon",Accepted,,M,TRO,35132296,,"J. Siam Soc., Nat. Hist. Suppl.","9(1): 50","50","1932"
tro-35182550,B,Buxbaumiaceae,,Diphyscium,,"chiapense",,"","D.H. Norris",Accepted,,M,TRO,35182550,,"Bryologist","84: 375. f. 1–12","375","1981"
tro-35208010,B,Buxbaumiaceae,,Diphyscium,,"chiapense",subsp.,"unipapillosum","(Deguchi) T.Y. Chiang & S.H. Lin",Accepted,,L,TRO,35208010,,"Bot. Bull. Acad. Sin.","42: 217","217","2001"
tro-35181446,B,Buxbaumiaceae,,Diphyscium,,"domingense",,"","(Brid.) W.R. Buck & Steere",Accepted,,M,TRO,35181446,,"Moscosoa","2: 34","34","1983"
tro-35132299,B,Buxbaumiaceae,,Diphyscium,,"elmeri",,"","(Broth.) Broth.",Accepted,,M,TRO,35132299,,"Nat. Pflanzenfam. (ed. 2)","11: 491","491","1925"
tro-35132301,B,Buxbaumiaceae,,Diphyscium,,"fasciculatum",,"","Mitt.",Accepted,,M,TRO,35132301,,"J. Proc. Linn. Soc., Bot., Suppl.","2: 150","150","1859"
tro-35132302,B,Buxbaumiaceae,,Diphyscium,,"fendleri",,"","Müll. Hal.",Accepted,,M,TRO,35132302,,"Linnaea","42: 468","468","1879"
tro-35132303,B,Buxbaumiaceae,,Diphyscium,,"foliosum",,"","(Hedw.) D. Mohr",Accepted,,M,TRO,35132303,,"Index Mus. Pl. Crypt.","[3]","","1803"
tro-35132304,B,Buxbaumiaceae,,Diphyscium,,"foliosum",var.,"acutifolium","Bruch & Schimp.",Accepted,,L,TRO,35132304,,"Mém. Soc. Mus. Hist. Nat. Strasbourg","2AA: 6","6","1835"
tro-35132310,B,Buxbaumiaceae,,Diphyscium,,"foliosum",var.,"rostromitratum","(Bott.) Podp.",Accepted,,L,TRO,35132310,,"Consp. Musc. Eur.","51","51","1954"
tro-35132311,B,Buxbaumiaceae,,Diphyscium,,"formosicum",,"","Horik.",Unresolved,,L,TRO,35132311,,"Bot. Mag. (Tokyo)","49: 677. 31","677","1935"
tro-35132312,B,Buxbaumiaceae,,Diphyscium,,"fulvifolium",,"","Mitt.",Accepted,,M,TRO,35132312,,"Trans. Linn. Soc. London, Bot.","3: 193","193","1891"
tro-35132315,B,Buxbaumiaceae,,Diphyscium,,"integerrimum",,"","(Broth.) Broth.",Accepted,,M,TRO,35132315,,"Nat. Pflanzenfam. (ed. 2)","11: 491","491","1925"
tro-35211933,B,Buxbaumiaceae,,Diphyscium,,"kashmirense",,"","(H. Rob.) Magombo, Zacharia Lekodi",Accepted,,M,TRO,35211933,,"Novon","12: 502","502","2002"
tro-35132317,B,Buxbaumiaceae,,Diphyscium,,"longifolium",,"","Griff.",Accepted,,M,TRO,35132317,,"Calcutta J. Nat. Hist.","2: 477","477","1842"
tro-35211934,B,Buxbaumiaceae,,Diphyscium,,"lorifolium",,"","(Cardot) Magombo, Zacharia Lekodi",Accepted,,M,TRO,35211934,,"Novon","12: 502","502","2002"
tro-35132319,B,Buxbaumiaceae,,Diphyscium,,"mucronifolium",,"","Mitt.",Accepted,,M,TRO,35132319,,"Bryol. Jav.","1: 35. pl. 26","35","1855"
tro-35132320,B,Buxbaumiaceae,,Diphyscium,,"perminutum",,"","Takaki",Accepted,,M,TRO,35132320,,"J. Jap. Bot.","25: 185. 6","185","1950"
tro-35211935,B,Buxbaumiaceae,,Diphyscium,,"pilmaiquen",,"","Magombo, Zacharia Lekodi",Accepted,,M,TRO,35211935,,"Novon","12: 503","503","2002"
tro-35188806,B,Buxbaumiaceae,,Diphyscium,,"pocsii",,"","(Bizot) R.H. Zander",Accepted,,M,TRO,35188806,,"Bull. Buffalo Soc. Nat. Sci.","32: 275","275","1993"
tro-35132325,B,Buxbaumiaceae,,Diphyscium,,"satoi",,"","Tuzibe",Accepted,,M,TRO,35132325,,"Iconogr. Pl. As. Orient.","2(1): 114. pl. 47","114","1937"
tro-35214499,B,Buxbaumiaceae,,Diphyscium,,"tamasii",,"","B.C. Tan & Ninh",Accepted,,M,TRO,35214499,,"Acta Acad. Paedagog. Agriensis, Sect. Biol.","24: 88","88","2003"
