ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2690893,A,Calceolariaceae,,Calceolaria,,"aconcaguina",,"","Phil.",Accepted,,M,WCSP (in review),822534,41189-2,"Anales Univ. Chile","91: 150","","1895"
kew-2690896,A,Calceolariaceae,,Calceolaria,,"adenanthera",,"","Molau",Accepted,,M,WCSP (in review),822537,41192-2,"Bot. Not.","131: 300","","1978"
kew-2690898,A,Calceolariaceae,,Calceolaria,,"adenocalyx",,"","Molau",Accepted,,M,WCSP (in review),822539,41193-2,"Nordic J. Bot.","1: 174","","1981"
kew-2690900,A,Calceolariaceae,,Calceolaria,,"aiseniana",,"","C.Ehrh.",Accepted,,M,WCSP (in review),822541,995826-1,"Sendtnera","4: 63","","1997"
kew-2690901,A,Calceolariaceae,,Calceolaria,,"ajugoides",,"","Kraenzl.",Accepted,,M,WCSP (in review),822542,273682-2,"Bot. Jahrb. Syst.","50(111): 75","","1913"
kew-2690902,A,Calceolariaceae,,Calceolaria,,"alata",,"","(Pennell) Pennell",Accepted,,M,WCSP (in review),822543,800144-1,"Proc. Acad. Nat. Sci. Philadelphia","103: 159","","1951"
kew-2690905,A,Calceolariaceae,,Calceolaria,,"alba",,"","Ruiz & Pav.",Accepted,,M,WCSP (in review),822546,41200-2,"Fl. Peruv.","1: 19","","1798"
kew-2690906,A,Calceolariaceae,,Calceolaria,,"albotomentosa",,"","Pennell",Accepted,,M,WCSP (in review),822547,41201-2,"Proc. Acad. Nat. Sci. Philadelphia","103: 181","","1951"
kew-2690907,A,Calceolariaceae,,Calceolaria,,"albula",,"","Colenso",Unresolved,,L,WCSP (in review),822548,800147-1,"Trans. & Proc. New Zealand Inst.","27: 391","","1894 publ. 1895"
kew-2690913,A,Calceolariaceae,,Calceolaria,,"amoena",,"","Molau",Accepted,,M,WCSP (in review),822554,273684-2,"Nordic J. Bot.","4: 643","","1984"
kew-2690918,A,Calceolariaceae,,Calceolaria,,"andina",,"","Benth.",Accepted,,M,WCSP (in review),822559,41208-2,"Prodr.","10: 219","","1846"
kew-2690924,A,Calceolariaceae,,Calceolaria,,"angustiflora",,"","Ruiz & Pav.",Accepted,,M,WCSP (in review),822565,273685-2,"Fl. Peruv.","1: 17, 28","","1798"
kew-2690926,A,Calceolariaceae,,Calceolaria,,"angustifolia",,"","(Lindl.) Sweet",Accepted,,M,WCSP (in review),822567,800160-1,"Hort. Brit.","ed. 2: 396","","1830"
kew-2690927,A,Calceolariaceae,,Calceolaria,,"anisanthera",,"","Pennell",Accepted,,M,WCSP (in review),822568,41213-2,"Proc. Acad. Nat. Sci. Philadelphia","103: 139","","1951"
kew-2690928,A,Calceolariaceae,,Calceolaria,,"annua",,"","Edwin",Accepted,,M,WCSP (in review),822569,41214-2,"Phytologia","19: 370","","1970"
kew-2690930,A,Calceolariaceae,,Calceolaria,,"aperta",,"","Edwin",Accepted,,M,WCSP (in review),822571,41215-2,"Phytologia","19: 371","","1970"
kew-2690931,A,Calceolariaceae,,Calceolaria,,"aperta",subsp.,"incana","(Molau) Molau",Accepted,,L,WCSP (in review),822572,954798-1,"Fl. Neotrop. Monogr.","47: 195","","1988"
kew-2690934,A,Calceolariaceae,,Calceolaria,,"aquatica",,"","A.Braun & C.D.Bouché",Accepted,,M,WCSP (in review),822575,273687-2,"Index Seminum (B)","1852(App.): 2","","1852"
kew-2690935,A,Calceolariaceae,,Calceolaria,,"arachnoidea",,"","Graham",Accepted,,M,WCSP (in review),822576,800167-1,"Edinburgh New Philos. J.","Sept. 1828: 371","","1828"
kew-2690937,A,Calceolariaceae,,Calceolaria,,"arachnoidea",subsp.,"nubigena","(Poepp.) C.Ehrh.",Accepted,,L,WCSP (in review),822578,1037845-2,"Biblioth. Bot.","153: 152","","2000"
tro-29200943,A,Calceolariaceae,,Calceolaria,,"arachnoides",,"","Benth.",Accepted,,M,TRO,29200943,,"","","",""
kew-2690943,A,Calceolariaceae,,Calceolaria,,"arbuscula",,"","Molau",Accepted,,M,WCSP (in review),822584,273688-2,"Nordic J. Bot.","4: 632","","1984"
kew-2690944,A,Calceolariaceae,,Calceolaria,,"argentea",,"","Kunth",Accepted,,M,WCSP (in review),822585,800171-1,"Nov. Gen. Sp.","2: 387","","1818"
kew-2690945,A,Calceolariaceae,,Calceolaria,,"ascendens",,"","Lindl.",Accepted,,M,WCSP (in review),822586,41224-2,"Bot. Reg.","14: t. 1215","","1829"
kew-2690949,A,Calceolariaceae,,Calceolaria,,"ascendens",subsp.,"glandulifera","(Witasek) C.Ehrh.",Accepted,,L,WCSP (in review),822590,1124039-2,"Biblioth. Bot.","153: 118","","2000"
kew-2690951,A,Calceolariaceae,,Calceolaria,,"ascendens",subsp.,"pristiphylla","(Phil.) C.Ehrh.",Accepted,,L,WCSP (in review),822592,1134162-2,"Biblioth. Bot.","153: 119","","2000"
kew-2690953,A,Calceolariaceae,,Calceolaria,,"asperula",,"","Phil.",Accepted,,M,WCSP (in review),822594,41229-2,"Anales Univ. Chile","91: 153","","1895"
kew-2690954,A,Calceolariaceae,,Calceolaria,,"atahualpae",,"","Kraenzl.",Accepted,,M,WCSP (in review),822595,273689-2,"Pflanzenr.","IV, 257C: 107","","1907"
kew-2690955,A,Calceolariaceae,,Calceolaria,,"atahualpae",subsp.,"witasekiana","(Kraenzl.) Molau",Accepted,,L,WCSP (in review),822596,954794-1,"Fl. Neotrop. Monogr.","47: 54","","1988"
kew-2690956,A,Calceolariaceae,,Calceolaria,×,"atkinsiana",,"","Sweet",Unresolved,,L,WCSP (in review),822597,,"Brit. Fl. Gard.","5: t. 168","","1832"
kew-2690959,A,Calceolariaceae,,Calceolaria,,"aurea",,"","Colla",Unresolved,,L,WCSP (in review),822600,800176-1,"Herb. Pedem.","4: 331","","1835"
kew-2690961,A,Calceolariaceae,,Calceolaria,,"auriculata",,"","Phil.",Accepted,,M,WCSP (in review),822602,41233-2,"Anales Univ. Chile","91: 151","","1895"
kew-2690962,A,Calceolariaceae,,Calceolaria,,"australis",,"","(Molau) Molau",Accepted,,M,WCSP (in review),822603,273691-2,"in Fl. Ecuador","21(177): 63","","1984"
kew-2690964,A,Calceolariaceae,,Calceolaria,,"ballotifolia",,"","Kraenzl.",Accepted,,M,WCSP (in review),822605,273692-2,"Repert. Spec. Nov. Regni Veg.","27: 18","","1929"
kew-2690966,A,Calceolariaceae,,Calceolaria,,"barbata",,"","Molau",Accepted,,M,WCSP (in review),822607,273693-2,"Fl. Neotrop. Monogr.","47: 132","","1988"
kew-2690967,A,Calceolariaceae,,Calceolaria,,"bartsiifolia",,"","Wedd.",Accepted,,M,WCSP (in review),822608,800180-1,"Chlor. Andina","2: 134","","1860"
kew-2690971,A,Calceolariaceae,,Calceolaria,,"belophora",,"","Pennell",Accepted,,M,WCSP (in review),822612,41238-2,"Proc. Acad. Nat. Sci. Philadelphia","103: 177","","1951"
kew-2690972,A,Calceolariaceae,,Calceolaria,,"bentae",,"","Molau",Accepted,,M,WCSP (in review),822613,935674-1,"Fl. Neotrop. Monogr.","47: 318","","1988"
kew-2690977,A,Calceolariaceae,,Calceolaria,,"bicolor",,"","Ruiz & Pav.",Accepted,,L,WCSP (in review),822618,273694-2,"Fl. Peruv.","1: 16","","1798"
kew-2690978,A,Calceolariaceae,,Calceolaria,,"bicrenata",,"","Ruiz & Pav.",Accepted,,M,WCSP (in review),822619,273695-2,"Fl. Peruv.","1: 15","","1798"
kew-2690980,A,Calceolariaceae,,Calceolaria,,"biflora",,"","Lam.",Accepted,,M,WCSP (in review),822621,41242-2,"Encycl.","1: 556","","1785"
kew-2690990,A,Calceolariaceae,,Calceolaria,,"bogotensis",,"","(Pennell) Pennell",Accepted,,M,WCSP (in review),822631,800196-1,"Proc. Acad. Nat. Sci. Philadelphia","103: 137","","1951"
tro-29200548,A,Calceolariaceae,,Calceolaria,,"bolivariana",,"","Melch.",Unresolved,,L,TRO,29200548,,"","","",""
kew-2690991,A,Calceolariaceae,,Calceolaria,,"boliviana",,"","(Britton ex Rusby) Pennell",Accepted,,M,WCSP (in review),822632,41248-2,"Proc. Acad. Nat. Sci. Philadelphia","97: 170","","1945"
kew-2690994,A,Calceolariaceae,,Calceolaria,,"borsinii",,"","Rossow",Accepted,,M,WCSP (in review),822635,1012881-1,"in Fl. Patagonica","6: 313","","1999"
kew-2690997,A,Calceolariaceae,,Calceolaria,,"brachiata",,"","Kraenzl.",Accepted,,M,WCSP (in review),822638,41251-2,"Repert. Spec. Nov. Regni Veg.","1: 106","","1905"
kew-2690998,A,Calceolariaceae,,Calceolaria,,"brachyantha",,"","Edwin",Unresolved,Invalid,L,WCSP (in review),822639,41252-2,"Phytologia","19: 373","","1970"
kew-2691004,A,Calceolariaceae,,Calceolaria,,"brunellifolia",,"","Phil.",Accepted,,M,WCSP (in review),822645,41253-2,"Anales Univ. Chile","91: 155","","1895"
kew-2691005,A,Calceolariaceae,,Calceolaria,,"buchtieniana",,"","Kraenzl.",Accepted,,M,WCSP (in review),822646,273697-2,"Repert. Spec. Nov. Regni Veg.","5: 369","","1908"
kew-2691006,A,Calceolariaceae,,Calceolaria,,"bullata",,"","Molau",Accepted,,M,WCSP (in review),822647,273698-2,"Nordic J. Bot.","4: 641","","1984"
kew-2691007,A,Calceolariaceae,,Calceolaria,×,"burbidgei",,"","auct.",Unresolved,,L,WCSP (in review),822648,,"Gard. Chron.","n.s., 1886: 464","","1886"
kew-2691008,A,Calceolariaceae,,Calceolaria,,"caerulescens",,"","Jacques",Unresolved,,L,WCSP (in review),822649,1013734-1,"Ann. Fl. Pomone","1835-1836: 155","","1836"
kew-2691009,A,Calceolariaceae,,Calceolaria,,"caespitosa",,"","Molau",Accepted,,M,WCSP (in review),822650,273699-2,"Nordic J. Bot.","4: 653","","1984"
kew-2691011,A,Calceolariaceae,,Calceolaria,,"cajabambae",,"","Kraenzl.",Accepted,,M,WCSP (in review),822652,273700-2,"Repert. Spec. Nov. Regni Veg.","1: 102","","1905"
kew-2899513,A,Calceolariaceae,,Calceolaria,,"caleuana",,"","Muñoz-Schick & A.Moreira",Accepted,,M,WCSP (in review),1022227,77105355-1,"Gayana, Bot.","66: 279","","2009"
kew-2691014,A,Calceolariaceae,,Calceolaria,,"calycina",,"","Benth.",Accepted,,M,WCSP (in review),822655,800210-1,"Prodr.","10: 211","","1846"
kew-2691015,A,Calceolariaceae,,Calceolaria,,"campanae",,"","Phil.",Accepted,,M,WCSP (in review),822656,41259-2,"Anales Univ. Chile","91: 152","","1895"
kew-2691018,A,Calceolariaceae,,Calceolaria,,"cana",,"","Cav.",Accepted,,M,WCSP (in review),822659,,"Icon.","5: 27","","1799"
kew-2691026,A,Calceolariaceae,,Calceolaria,,"cataractarum",,"","Molau",Accepted,,M,WCSP (in review),822667,41267-2,"Bot. Not.","133: 363","","1980"
kew-2691028,A,Calceolariaceae,,Calceolaria,,"cavanillesii",,"","Phil.",Accepted,,M,WCSP (in review),822669,313806-2,"Anales Univ. Chile","43: 532","","1873"
kew-2691031,A,Calceolariaceae,,Calceolaria,,"chaetostemon",,"","Pennell",Accepted,,M,WCSP (in review),822672,41270-2,"Proc. Acad. Nat. Sci. Philadelphia","97: 171","","1945"
kew-2691034,A,Calceolariaceae,,Calceolaria,,"chelidonioides",,"","Kunth",Accepted,,M,WCSP (in review),822675,800227-1,"Nov. Gen. Sp.","2: 378","","1818"
tro-29204850,A,Calceolariaceae,,Calceolaria,,"chelodonifolia",,"","Kunth",Unresolved,,L,TRO,29204850,,"","","",""
kew-2691044,A,Calceolariaceae,,Calceolaria,,"chrysosphaera",,"","Pennell",Accepted,,M,WCSP (in review),822685,41279-2,"Proc. Acad. Nat. Sci. Philadelphia","97: 156","","1945"
kew-2691045,A,Calceolariaceae,,Calceolaria,,"chubutensis",,"","Skottsb.",Unresolved,,L,WCSP (in review),822686,41280-2,"Kongl. Svenska Vetensk. Acad. Handl.","n.s., 56(5): 298","","1916"
kew-2691050,A,Calceolariaceae,,Calceolaria,,"collina",,"","Phil.",Accepted,,M,WCSP (in review),822691,323656-2,"Linnaea","29: 30","","1857"
kew-2691051,A,Calceolariaceae,,Calceolaria,,"collina",subsp.,"conferta","(Witasek) C.Ehrh.",Accepted,,L,WCSP (in review),822692,1084914-2,"Biblioth. Bot.","153: 113","","2000"
kew-2691052,A,Calceolariaceae,,Calceolaria,,"collina",subsp.,"subincisa","(Benth.) C.Ehrh.",Accepted,,L,WCSP (in review),822693,1105635-2,"Biblioth. Bot.","153: 113","","2000"
kew-2691053,A,Calceolariaceae,,Calceolaria,,"colombiana",,"","Pennell",Accepted,,M,WCSP (in review),822694,41284-2,"Proc. Acad. Nat. Sci. Philadelphia","103: 110","","1951"
