ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35179013,B,Calymperaceae,,Arthrocormus,,"africanus",,"","Broth.",Accepted,,M,TRO,35179013,,"Bot. Centralbl.","36: 85","85","1888"
tro-35179014,B,Calymperaceae,,Arthrocormus,,"asper",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35179014,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1871–72: 320 (Gen. Sp. Musc. 1: 168)","320 ","1873"
tro-35179015,B,Calymperaceae,,Arthrocormus,,"dentatus",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35179015,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1871–72: 320 (Gen. Sp. Musc. 1: 168)","320 ","1873"
tro-35179022,B,Calymperaceae,,Arthrocormus,,"schimperi",,"","(Dozy & Molk.) Dozy & Molk.",Accepted,,M,TRO,35179022,,"Musci Frond. Ined. Archip. Ind.","76. 27","76","1846"
tro-35153557,B,Calymperaceae,,Calymperes,,"acanthoneuron",,"","P. de la Varde",Accepted,,M,TRO,35153557,,"Bull. Jard. Bot. État Brux.","18: 167. 14","167","1947"
tro-35153560,B,Calymperaceae,,Calymperes,,"aeruginosum",,"","Hampe ex Sande Lac.",Accepted,,M,TRO,35153560,,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk.","13: 7. 5A","7","1872"
tro-35153562,B,Calymperaceae,,Calymperes,,"afzelii",,"","Sw.",Accepted,,M,TRO,35153562,,"Jahrb. Gewächsk.","1: 3. 1","3","1818"
tro-35153565,B,Calymperaceae,,Calymperes,,"albo-vaginatum",,"","(Schwägr.) Arn.",Accepted,,M,TRO,35153565,,"Mém. Soc. Linn. Paris","5: 232","232","1827"
tro-35153566,B,Calymperaceae,,Calymperes,,"altissimum",,"","M. Fleisch.",Unresolved,,L,TRO,35153566,,"Nat. Pflanzenfam. (ed. 2)","10: 240","240","1925"
tro-35153581,B,Calymperaceae,,Calymperes,,"asperum",,"","Müll. Hal. ex Besch.",Accepted,,M,TRO,35153581,,"Ann. Sci. Nat., Bot., sér. 8,","1: 268. 277","268","1896"
tro-35153585,B,Calymperaceae,,Calymperes,,"australe",,"","Besch.",Unresolved,,L,TRO,35153585,,"Ann. Sci. Nat., Bot., sér. 8,","1: 277","277","1896"
tro-35153586,B,Calymperaceae,,Calymperes,,"badium",,"","(Schimp.) Broth.",Accepted,,M,TRO,35153586,,"Nat. Pflanzenfam.","I(3): 379","379","1901"
tro-35161778,B,Calymperaceae,,Calymperes,,"bartramii",,"","W.D. Reese",Accepted,,M,TRO,35161778,,"Bryologist","64: 136. f. 106–111","136, 106","1961"
tro-35153591,B,Calymperaceae,,Calymperes,,"beccarii",,"","Hampe",Accepted,,M,TRO,35153591,,"Nuovo Giorn. Bot. Ital.","4: 279","279","1872"
tro-35153592,B,Calymperaceae,,Calymperes,,"berterii",,"","Spreng.",Accepted,,M,TRO,35153592,,"Neue Entdeck. Pflanzenk.","3: 3","3","1822"
tro-35183092,B,Calymperaceae,,Calymperes,,"boninense",,"","Z. Iwats.",Accepted,,M,TRO,35183092,,"Bull. Natl. Sci. Mus., Tokyo, B","11: 58. f. 1","58","1985"
tro-35153600,B,Calymperaceae,,Calymperes,,"boulayi",,"","Besch.",Accepted,,M,TRO,35153600,,"Ann. Sci. Nat., Bot., sér. 8,","1: 268, 278","268, 278","1896"
tro-35153616,B,Calymperaceae,,Calymperes,,"cardoti",,"","(M. Fleisch.) Paris",Accepted,,M,TRO,35153616,,"Index Bryol. (ed. 2)","1: 276","276","1904"
tro-35153621,B,Calymperaceae,,Calymperes,,"cernense",,"","Mitt. ex Besch.",Accepted,,M,TRO,35153621,,"Ann. Sci. Nat., Bot., sér. 8,","1: 268, 280","268, 280","1896"
tro-35153626,B,Calymperaceae,,Calymperes,,"chevalieri",,"","Thér.",Unresolved,,L,TRO,35153626,,"Bull. Mus. Natl. Hist. Nat.","18: 110","110","1912"
tro-35153630,B,Calymperaceae,,Calymperes,,"clemensiae",,"","Broth.",Accepted,,M,TRO,35153630,,"Philipp. J. Sci.","8: 69","69","1913"
tro-35153632,B,Calymperaceae,,Calymperes,,"congolense",,"","(Renauld & Cardot) Cardot",Accepted,,M,TRO,35153632,,"Rev. Bryol.","35: 66","66","1908"
tro-35153633,B,Calymperaceae,,Calymperes,,"constrictum",,"","Sull.",Accepted,,M,TRO,35153633,,"U.S. Expl. Exped., Musci","6. pl. 3: a","a","1859"
tro-35153638,B,Calymperaceae,,Calymperes,,"corbieri",,"","Thér.",Unresolved,,L,TRO,35153638,,"Bull. Mus. Natl. Hist. Nat.","18: 110","110","1912"
tro-35153639,B,Calymperaceae,,Calymperes,,"couguiense",,"","Besch.",Accepted,,M,TRO,35153639,,"Ann. Sci. Nat., Bot., sér. 5,","18: 206","206","1873"
tro-35153640,B,Calymperaceae,,Calymperes,,"crassilimbatum",,"","Renauld & Cardot",Accepted,,M,TRO,35153640,,"Bull. Soc. Roy. Bot. Belgique","32(2): 18","18","1893"
tro-35153641,B,Calymperaceae,,Calymperes,,"crassinerve",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35153641,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1871–72: 481 (Gen. Sp. Musc. 1: 329)","481 ","1873"
tro-35153648,B,Calymperaceae,,Calymperes,,"cuspidatum",,"","(M. Fleisch.) Paris",Accepted,,M,TRO,35153648,,"Index Bryol. (ed. 2)","1: 276","276","1904"
tro-35217812,B,Calymperaceae,,Calymperes,,"dawsoniaefolium",,"","Broth. & Paris",Unresolved,,L,TRO,35217812,,"Hedwigia","51: 132","132","1911"
tro-35153657,B,Calymperaceae,,Calymperes,,"derelictum",,"","Thér. & P. de la Varde",Accepted,,M,TRO,35153657,,"Rev. Gén. Bot.","29: 296. 23 f.5","296","1917"
tro-35183785,B,Calymperaceae,,Calymperes,,"dixoconstrictum",,"","B.C. Tan & Mohamed",Accepted,,M,TRO,35183785,,"Bryologist","91: 29","29","1988"
tro-35153675,B,Calymperaceae,,Calymperes,,"erosum",,"","Müll. Hal.",Accepted,,M,TRO,35153675,,"Linnaea","21: 182","182","1848"
tro-35153679,B,Calymperaceae,,Calymperes,,"fasciculatum",,"","Dozy & Molk.",Accepted,,M,TRO,35153679,,"Bryol. Jav.","1: 50. 41","50","1856"
tro-35153684,B,Calymperaceae,,Calymperes,,"fluviatile",,"","R.S. Williams",Accepted,,M,TRO,35153684,,"Bull. Torrey Bot. Club","47(9): 394. 12","394","1920"
tro-35153691,B,Calymperaceae,,Calymperes,,"gardneri",,"","Hook.",Accepted,,M,TRO,35153691,,"Musci Exot.","2: 146","146","1819"
tro-35153693,B,Calymperaceae,,Calymperes,,"gemmiphyllum",,"","M. Fleisch.",Accepted,,M,TRO,35153693,,"Musci Buitenzorg","1: 258. 39","258","1904"
tro-35153694,B,Calymperaceae,,Calymperes,,"geppii",,"","Besch.",Accepted,,M,TRO,35153694,,"Ann. Sci. Nat., Bot., sér. 8,","1: 285","285","1896"
tro-35153699,B,Calymperaceae,,Calymperes,,"graeffeanum",,"","Müll. Hal.",Accepted,,M,TRO,35153699,,"J. Mus. Godeffroy","3(6): 64","64","1874"
tro-35153703,B,Calymperaceae,,Calymperes,,"guildingii",,"","Hook. & Grev.",Accepted,,M,TRO,35153703,,"Edinburgh J. Sci.","3: 223. 9","223","1825"
tro-35153704,B,Calymperaceae,,Calymperes,,"guineense",,"","Paris & Broth.",Accepted,,M,TRO,35153704,,"Rev. Bryol.","30: 119","119","1904"
tro-35168452,B,Calymperaceae,,Calymperes,,"hasegawae",,"","(Takaki & Z. Iwats.) Iwasaki",Accepted,,M,TRO,35168452,,"J. Hattori Bot. Lab.","28: 220","220","1965"
tro-35153715,B,Calymperaceae,,Calymperes,,"hispidum",,"","Renauld & Cardot",Accepted,,M,TRO,35153715,,"Bull. Soc. Roy. Bot. Belgique","32(2): 14","14","1893"
tro-35153722,B,Calymperaceae,,Calymperes,,"hyophilaceum",,"","Müll. Hal. ex Besch.",Accepted,,M,TRO,35153722,,"Ann. Sci. Nat., Bot., sér. 8,","1: 265. 287","265","1896"
tro-35153727,B,Calymperaceae,,Calymperes,,"incompletum",,"","(Schwägr.) Arn.",Accepted,,M,TRO,35153727,,"Mém. Soc. Linn. Paris","5: 232","232","1827"
tro-35153739,B,Calymperaceae,,Calymperes,,"johannis-winkleri",,"","Broth.",Accepted,,M,TRO,35153739,,"Mitt. Inst. Allg. Bot. Hamburg","7(2): 122","122","1928"
tro-35153750,B,Calymperaceae,,Calymperes,,"lamellosulum",,"","Cardot",Accepted,,M,TRO,35153750,,"Hist. Phys. Madagascar, Mousses","190","190","1915"
tro-35153759,B,Calymperaceae,,Calymperes,,"leucomitrium",,"","Müll. Hal.",Accepted,,M,TRO,35153759,,"Flora","69: 512","512","1886"
tro-35153760,B,Calymperaceae,,Calymperes,,"levyanum",,"","Besch.",Accepted,,M,TRO,35153760,,"Ann. Sci. Nat., Bot., sér. 8,","1: 290","290","1896"
tro-35153767,B,Calymperaceae,,Calymperes,,"linealifolium",,"","Müll. Hal. ex Besch.",Accepted,,M,TRO,35153767,,"Ann. Sci. Nat., Bot., sér. 8,","1: 265. 290","265","1896"
tro-35153768,B,Calymperaceae,,Calymperes,,"linearifolium",,"","Müll. Hal.",Accepted,,M,TRO,35153768,,"J. Mus. Godeffroy","3(6): 65","65","1874"
tro-35153769,B,Calymperaceae,,Calymperes,,"linguatum",,"","Müll. Hal. ex Besch.",Accepted,,M,TRO,35153769,,"Ann. Sci. Nat., Bot., sér. 8,","1: 265, 290","265, 290","1896"
tro-35153770,B,Calymperaceae,,Calymperes,,"lonchobasis",,"","Dixon",Accepted,,M,TRO,35153770,,"Ann. Bryol.","5: 27","27","1932"
