ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-223844,A,Cannaceae,,Canna,×,"aurantiaca",,"","Tineo ex Tod.",Unresolved,,L,WCSP,223844,795968-1,"Ann. Sci. Nat., Bot.","IV, 11: 377","","1859"
kew-223846,A,Cannaceae,,Canna,,"bangii",,"","Kraenzl.",Accepted,,H,WCSP,223846,44407-2,"Pflanzenr.","IV, 47: 38","","1912"
kew-371248,A,Cannaceae,,Canna,×,"ehemannii",,"","auct.",Unresolved,,L,WCSP,371248,,"Garden (London 1871-1927)","21: 42","","1882"
kew-223885,A,Cannaceae,,Canna,,"flaccida",,"","Salisb.",Accepted,,H,WCSP,223885,146049-1,"Icon. Stirp. Rar.","3","","1791"
kew-223893,A,Cannaceae,,Canna,×,"generalis",,"","L.H.Bailey",Unresolved,,L,WCSP,223893,146051-1,"Gentes Herb.","1: 120","","1923"
tro-5800001,A,Cannaceae,,Canna,×,"generalis",,"","L.H. Bailey & E.Z. Bailey",Accepted,,M,TRO,5800001,146050-1,"Hortus","118","118","1930"
tro-5800042,A,Cannaceae,,Canna,,"generalis",,"","L.H. Bailey & E.Z. Bailey",Unresolved,,L,TRO,5800042,146050-1,"Hortus","118","118","1930"
kew-223895,A,Cannaceae,,Canna,,"glauca",,"","L.",Accepted,,H,WCSP,223895,796016-1,"Sp. Pl.","1","","1753"
kew-223904,A,Cannaceae,,Canna,×,"hortensis",,"","Guillaumin",Unresolved,,L,WCSP,223904,146053-1,"Fl. Jard.","3: 54","","1934"
tro-5800002,A,Cannaceae,,Canna,,"hybrida",,"","Hort. various cultivars",Unresolved,,L,TRO,5800002,,"","","",""
kew-223906,A,Cannaceae,,Canna,,"indica",,"","L.",Accepted,,H,WCSP,223906,319130-2,"Sp. Pl.","1","","1753"
kew-223921,A,Cannaceae,,Canna,,"iridiflora",,"","Ruiz & Pav.",Accepted,,H,WCSP,223921,796025-1,"Fl. Peruv.","1: 1","","1798"
kew-223925,A,Cannaceae,,Canna,,"jaegeriana",,"","Urb.",Accepted,,H,WCSP,223925,44425-2,"Repert. Spec. Nov. Regni Veg.","15: 102","","1917"
kew-223936,A,Cannaceae,,Canna,,"liliiflora",,"","Warsz. ex Planch.",Accepted,,H,WCSP,223936,,"Fl. Serres Jard. Eur.","10: 211","","1855"
kew-371247,A,Cannaceae,,Canna,×,"noutonnii",,"","Carrière",Unresolved,,L,WCSP,371247,,"Rev. Hort.","50: 439","","1878"
tro-5800003,A,Cannaceae,,Canna,,"orchiodes",,"","L.H. Bailey",Accepted,,M,TRO,5800003,146058-1,"Gentes Herb.","1(3): 120","120","1923"
tro-5800078,A,Cannaceae,,Canna,,"orchioides",,"","Bailey",Unresolved,,L,TRO,5800078,,"Man. Cult. Pl.","291","291","1949"
kew-223965,A,Cannaceae,,Canna,,"paniculata",,"","Ruiz & Pav.",Accepted,,H,WCSP,223965,315579-2,"Fl. Peruv.","1: 1","","1798"
kew-223968,A,Cannaceae,,Canna,,"pedunculata",,"","Sims",Accepted,,H,WCSP,223968,,"Bot. Mag.","49: t. 2323","","1822"
kew-224009,A,Cannaceae,,Canna,,"tuerckheimii",,"","Kraenzl.",Accepted,,H,WCSP,224009,44441-2,"Pflanzenr.","IV, 47: 70","","1912"
tro-50324742,A,Cannaceae,,Canna,,"tulianensis",,"","Nb. Tanaka",Unresolved,,L,TRO,50324742,,"J. Jap. Bot.","83(1): 7–10, f. 1A, 2A–I","7","2008"
