ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-5900626,A,Capparaceae,,Acome,,"micrantha",,"","(Bojer) Baker",Accepted,,M,TRO,5900626,,"J. Bot.","20: 18","18","1882"
kew-2606211,A,Capparaceae,,Anisocapparis,,"speciosa",,"","(Griseb.) Cornejo & Iltis",Accepted,,M,WCSP (in review),739265,60450134-2,"J. Bot. Res. Inst. Texas","2: 65","","2008"
kew-2644337,A,Capparaceae,,Apophyllum,,"anomalum",,"","F.Muell.",Accepted,,M,WCSP (in review),776417,146068-1,"Hooker's J. Bot. Kew Gard. Misc.","9: 307","","1857"
tro-50333823,A,Capparaceae,,Arivela,,"viscosa",var.,"viscosa","",Unresolved,,L,TRO,50333823,,"","","",""
kew-2664513,A,Capparaceae,,Atamisquea,,"emarginata",,"","Miers ex Hook. & Arn.",Accepted,,M,WCSP (in review),796542,25963-2,"Bot. Misc.","3: 143","","1833"
kew-2667561,A,Capparaceae,,Bachmannia,,"woodii",,"","(Oliv.) Gilg",Accepted,,M,WCSP (in review),799516,,"Bot. Jahrb. Syst.","33: 204","","1904"
kew-2672281,A,Capparaceae,,Beautempsia,,"avicenniifolia",,"","(Kunth) Gaudich.",Accepted,,M,WCSP (in review),804148,60452345-2,"Voy. Bonite, Bot.","4: 38","","1866"
kew-2672828,A,Capparaceae,,Belencita,,"nemorosa",,"","(Jacq.) Dugand",Accepted,,M,WCSP (in review),804690,31086-2,"Caldasia","2: 371","","1944"
kew-2680166,A,Capparaceae,,Borthwickia,,"trifoliata",,"","W.W.Sm.",Accepted,,M,WCSP (in review),811891,146082-1,"Trans. & Proc. Bot. Soc. Edinburgh","24: 175","","1911"
kew-2680290,A,Capparaceae,,Boscia,,"albitrunca",,"","(Burch.) Gilg & Benedict",Accepted,,M,WCSP (in review),812015,,"Bot. Jahrb. Syst.","53: 212","","1915"
tro-5900503,A,Capparaceae,,Boscia,,"albitrunca",,"","Gilg & Gilg-Ben.",Unresolved,,L,TRO,5900503,,"","","",""
tro-5900504,A,Capparaceae,,Boscia,,"albitrunca",var.,"albitrunca","",Accepted,,L,TRO,5900504,,"","","",""
kew-2680292,A,Capparaceae,,Boscia,,"angustifolia",,"","A.Rich.",Accepted,,M,WCSP (in review),812017,,"Fl. Seneg. Tent.","26","","1831"
kew-2680294,A,Capparaceae,,Boscia,,"angustifolia",var.,"corymbosa","(Gilg) DeWolf",Accepted,,L,WCSP (in review),812019,,"Kew Bull.","16: 82","","1962"
kew-2680295,A,Capparaceae,,Boscia,,"arabica",,"","Pestal.",Accepted,,M,WCSP (in review),812020,,"Bull. Herb. Boissier","6(App. 3): 127","","1898"
kew-2680296,A,Capparaceae,,Boscia,,"caffra",,"","Sond.",Unresolved,,L,WCSP (in review),812021,146087-1,"Linnaea","23: 8","","1850"
kew-2680299,A,Capparaceae,,Boscia,,"cauliflora",,"","Wild",Accepted,,M,WCSP (in review),812024,146090-1,"Bol. Soc. Brot.","II, 32: 40","","1958"
kew-2680300,A,Capparaceae,,Boscia,,"coriacea",,"","Graells",Accepted,,M,WCSP (in review),812025,,"Bot. Jahrb. Syst.","14: 299","","1892"
kew-2680305,A,Capparaceae,,Boscia,,"fadeniorum",,"","Fici",Accepted,,M,WCSP (in review),812030,983161-1,"Kew Bull.","50: 409","","1995"
kew-2680310,A,Capparaceae,,Boscia,,"foetida",,"","Schinz",Accepted,,M,WCSP (in review),812035,146100-1,"Verh. Bot. Vereins Prov. Brandenburg","29(Abh.): 49","","1888"
kew-2680311,A,Capparaceae,,Boscia,,"foetida",subsp.,"filipes","(Gilg) Lötter",Accepted,,L,WCSP (in review),812036,70027682-1,"Trees Shrubs Mpumalanga","676","","2002"
kew-2680312,A,Capparaceae,,Boscia,,"foetida",subsp.,"longipedicellata","(Gilg) Toelken",Accepted,,L,WCSP (in review),812037,,"Bothalia","10: 62","","1969"
kew-2680315,A,Capparaceae,,Boscia,,"foetida",subsp.,"rehmanniana","(Pestal.) Toelken",Accepted,,L,WCSP (in review),812040,,"Bothalia","10: 62","","1969"
kew-2680316,A,Capparaceae,,Boscia,,"gossweileri",,"","Exell",Accepted,,M,WCSP (in review),812041,146101-1,"J. Bot.","73(Suppl.): 11","","1935"
kew-2680319,A,Capparaceae,,Boscia,,"hexamitocarpa",,"","Gilg-Ben.",Accepted,,M,WCSP (in review),812044,146104-1,"Notizbl. Bot. Gart. Berlin-Dahlem","14: 187","","1938"
kew-2680321,A,Capparaceae,,Boscia,,"holstii",,"","Pax ex Engl.",Unresolved,,L,WCSP (in review),812046,146106-1,"Abh. Königl. Akad. Wiss. Berlin","1894: 40","","1894"
kew-2680323,A,Capparaceae,,Boscia,,"homblei",,"","De Wild.",Accepted,,M,WCSP (in review),812048,146108-1,"Repert. Spec. Nov. Regni Veg.","11: 511","","1913"
kew-2680327,A,Capparaceae,,Boscia,,"kalachariensis",,"","Pestal.",Accepted,,M,WCSP (in review),812052,,"Bull. Herb. Boissier","6(App. 3): 98","","1898"
kew-2680328,A,Capparaceae,,Boscia,,"keniensis",,"","Beentje",Accepted,,M,WCSP (in review),812053,938358-1,"Kew Bull.","44: 743","","1989"
kew-2680329,A,Capparaceae,,Boscia,,"longifolia",,"","Hadj-Moust.",Accepted,,M,WCSP (in review),812054,146113-1,"Adansonia","n.s., 5: 30","","1965"
kew-2680331,A,Capparaceae,,Boscia,,"madagascariensis",,"","(DC.) Hadj-Moust.",Accepted,,M,WCSP (in review),812056,146115-1,"Adansonia","n.s., 5: 29","","1965"
kew-2680332,A,Capparaceae,,Boscia,,"matabelensis",,"","Pestal.",Accepted,,M,WCSP (in review),812057,,"Bull. Herb. Boissier","6(App. 3): 115","","1898"
kew-2680333,A,Capparaceae,,Boscia,,"mazzocchii",,"","(Chiov.) Fici & Kers",Accepted,,M,WCSP (in review),812058,,"","","",""
kew-2680334,A,Capparaceae,,Boscia,,"microphylla",,"","Oliv.",Accepted,,M,WCSP (in review),812059,146117-1,"Fl. Trop. Afr.","1: 93","","1868"
kew-2680335,A,Capparaceae,,Boscia,,"minimifolia",,"","Chiov.",Accepted,,M,WCSP (in review),812060,146118-1,"Result. Sci. Miss. Stefan.-Paoli Somal. Ital.","1: 19","","1916"
kew-2680336,A,Capparaceae,,Boscia,,"mossambicensis",,"","Klotzsch",Accepted,,M,WCSP (in review),812061,146119-1,"Naturw. Reise Mossambique","164","","1861"
kew-2680339,A,Capparaceae,,Boscia,,"oleoides",,"","(Burch. ex DC.) Toelken",Accepted,,M,WCSP (in review),812064,146122-1,"Bothalia","10: 59","","1969"
