ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35156893,B,Catagoniaceae,,Catagonium,,"brevicaudatum",,"","Müll. Hal. ex Broth.",Accepted,,M,TRO,35156893,,"Nat. Pflanzenfam.","I(3): 1088","1088","1897"
tro-35156894,B,Catagoniaceae,,Catagonium,,"complanatum",,"","(Cardot & Broth.) Broth.",Accepted,,M,TRO,35156894,,"Nat. Pflanzenfam. (ed. 2)","11: 902","902","1925"
tro-35182680,B,Catagoniaceae,,Catagonium,,"emarginatum",,"","S.H. Lin",Accepted,,M,TRO,35182680,,"J. Hattori Bot. Lab.","55: 299","299","1984"
tro-35156898,B,Catagoniaceae,,Catagonium,,"gracile",,"","(Besch.) Broth.",Accepted,,M,TRO,35156898,,"Nat. Pflanzenfam.","I(3): 1088","1088","1908"
tro-35156899,B,Catagoniaceae,,Catagonium,,"mucronatum",,"","(A. Jaeger) Broth.",Accepted,,M,TRO,35156899,,"Nat. Pflanzenfam.","I(3): 1088","1088","1908"
tro-35156901,B,Catagoniaceae,,Catagonium,,"nitens",,"","(Brid.) Cardot",Accepted,,M,TRO,35156901,,"Hist. Phys. Madagascar, Mousses","469","469","1915"
tro-35182683,B,Catagoniaceae,,Catagonium,,"nitens",subsp.,"maritimum","(Hook.) S.H. Lin",Accepted,,L,TRO,35182683,,"J. Hattori Bot. Lab.","55: 298","298","1984"
tro-35184444,B,Catagoniaceae,,Catagonium,,"nitens",var.,"myurum","(Cardot & Thér.) S.H. Lin",Accepted,,L,TRO,35184444,,"Yushania","6: 19","19","1989"
tro-35156902,B,Catagoniaceae,,Catagonium,,"nitidum",,"","(Hook. f. & Wilson) Broth.",Accepted,,M,TRO,35156902,,"Nat. Pflanzenfam.","I(3): 1088","1088","1908"
tro-35156903,B,Catagoniaceae,,Catagonium,,"politum",,"","(Hook. f. & Wilson) Dusén ex Broth.",Accepted,,M,TRO,35156903,,"Nat. Pflanzenfam.","I(3): 1088, 1237","1088, 1237","1908"
tro-35156907,B,Catagoniaceae,,Catagonium,,"serrulatum",,"","(Cardot) Broth.",Accepted,,M,TRO,35156907,,"Nat. Pflanzenfam. (ed. 2)","11: 402","402","1925"
tro-35135539,B,Catagoniaceae,,Eucatagonium,,"brevicaudatum",,"","(Müll. Hal. ex Broth.) Broth.",Accepted,,M,TRO,35135539,,"Nat. Pflanzenfam. (ed. 2)","11: 178","178","1925"
tro-35135540,B,Catagoniaceae,,Eucatagonium,,"gracile",,"","(Besch.) Broth.",Accepted,,M,TRO,35135540,,"Nat. Pflanzenfam. (ed. 2)","11: 178","178","1925"
tro-35135541,B,Catagoniaceae,,Eucatagonium,,"mucronatum",,"","(A. Jaeger) Broth.",Accepted,,M,TRO,35135541,,"Nat. Pflanzenfam. (ed. 2)","11: 178","178","1925"
tro-35135542,B,Catagoniaceae,,Eucatagonium,,"politum",,"","(Hook. f. & Wilson) Broth.",Accepted,,M,TRO,35135542,,"Nat. Pflanzenfam. (ed. 2)","11: 178","178","1925"
