ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-1632,A,Celastraceae,,Acanthothamnus,,"aphyllus",,"","(Schltdl.) Standl.",Accepted,,L,WCSP,1632,159955-1,"Contr. U. S. Natl. Herb.","23: 684","","1923"
kew-2629026,A,Celastraceae,,Allocassine,,"laurifolia",,"","(Harv.) N.Robson",Accepted,,M,WCSP (in review),761338,159957-1,"Bol. Soc. Brot.","II, 39: 32","","1965"
kew-2641674,A,Celastraceae,,Anthodon,,"crassifolium",,"","Mart.",Unresolved,,L,WCSP (in review),773778,430909-1,"Mant.","1: 348","","1822"
kew-2641675,A,Celastraceae,,Anthodon,,"decussatum",,"","Ruiz & Pav.",Accepted,,M,WCSP (in review),773779,430910-1,"Fl. Peruv.","1: 45","","1798"
kew-2641677,A,Celastraceae,,Anthodon,,"glomeratum",,"","Mart.",Unresolved,,L,WCSP (in review),773781,15012-2,"Mant.","1: 348","","1822"
kew-2641679,A,Celastraceae,,Anthodon,,"grandifolium",,"","Mart.",Unresolved,,L,WCSP (in review),773783,430914-1,"Mant.","1: 348","","1822"
kew-2641682,A,Celastraceae,,Anthodon,,"micranthum",,"","Mart.",Unresolved,,L,WCSP (in review),773786,15014-2,"Mant.","1: 348","","1822"
kew-2641683,A,Celastraceae,,Anthodon,,"oblongifolium",,"","Mart.",Unresolved,,L,WCSP (in review),773787,15015-2,"Mant.","1: 348","","1822"
tro-15600036,A,Celastraceae,,Anthodon,,"panamense",,"","A.C. Sm.",Accepted,,M,TRO,15600036,,"Brittonia","3(3): 422, f. 8a–f","422","1940"
kew-2641684,A,Celastraceae,,Anthodon,,"panamensis",,"","A.C.Sm.",Accepted,,M,WCSP (in review),773788,15016-2,"Brittonia","3: 422","","1940"
kew-2641686,A,Celastraceae,,Anthodon,,"selloanum",,"","Schult.",Accepted,,M,WCSP (in review),773790,430921-1,"Mant.","3(2): 411","","1827"
kew-2641687,A,Celastraceae,,Anthodon,,"trinerve",,"","(Spreng.) Schult.",Accepted,,M,WCSP (in review),773791,,"Mant.","3(2): 411","","1827"
kew-2641688,A,Celastraceae,,Anthodon,,"undulatum",,"","Mart.",Unresolved,,L,WCSP (in review),773792,15018-2,"Mant.","1: 348","","1822"
kew-2641689,A,Celastraceae,,Anthodon,,"verrucosum",,"","Griseb.",Unresolved,,L,WCSP (in review),773793,,"Mem. Amer. Acad. Arts","n.s., 8: 172","","1861"
kew-2643226,A,Celastraceae,,Apatophyllum,,"constablei",,"","McGill.",Accepted,,M,WCSP (in review),775320,159961-1,"Kew Bull.","25: 403","","1971"
kew-2643227,A,Celastraceae,,Apatophyllum,,"flavovirens",,"","A.R.Bean & Jessup",Accepted,,M,WCSP (in review),775321,1018316-1,"Austrobaileya","5: 693","","2000"
