ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2654499,A,Chloranthaceae,,Ascarina,,"coursii",,"","(Humbert & Capuron) J.-F.Leroy & Jérémie",Accepted,,M,WCSP (in review),786548,167763-1,"Adansonia","n.s., 20: 282","","1980"
kew-2654500,A,Chloranthaceae,,Ascarina,,"diffusa",,"","A.C.Sm.",Accepted,,M,WCSP (in review),786549,167764-1,"J. Arnold Arbor.","57: 415","","1976"
kew-2654501,A,Chloranthaceae,,Ascarina,,"lanceolata",,"","Hook.f.",Unresolved,,L,WCSP (in review),786550,167765-1,"J. Proc. Linn. Soc., Bot.","1: 127","","1857"
kew-2654503,A,Chloranthaceae,,Ascarina,,"lucida",,"","Hook.f.",Accepted,,M,WCSP (in review),786552,167766-1,"Fl. Nov.-Zel.","1: 228","","1853"
kew-2654506,A,Chloranthaceae,,Ascarina,,"maheshwarii",,"","Swamy",Accepted,,M,WCSP (in review),786555,167768-1,"Proc. Natl. Inst. Sci. India","19: 377","","1953"
kew-2654507,A,Chloranthaceae,,Ascarina,,"marquesensis",,"","A.C.Sm.",Accepted,,M,WCSP (in review),786556,167769-1,"J. Arnold Arbor.","57: 409","","1976"
kew-2654508,A,Chloranthaceae,,Ascarina,,"philippinensis",,"","C.B.Rob.",Accepted,,M,WCSP (in review),786557,167770-1,"Philipp. J. Sci., C","4: 70","","1909"
kew-2654509,A,Chloranthaceae,,Ascarina,,"polystachya",,"","J.R.Forst. & G.Forst.",Accepted,,M,WCSP (in review),786558,167772-1,"Char. Gen. Pl.","59","","1775"
kew-2654512,A,Chloranthaceae,,Ascarina,,"rubra",,"","Poir.",Unresolved,,L,WCSP (in review),786561,,"Encycl.","Suppl. 1: 475","","1811"
kew-2654513,A,Chloranthaceae,,Ascarina,,"rubricaulis",,"","Solms",Accepted,,M,WCSP (in review),786562,167776-1,"Prodr.","16(1): 478","","1869"
kew-2654515,A,Chloranthaceae,,Ascarina,,"solmsiana",,"","Schltr.",Accepted,,M,WCSP (in review),786564,167778-1,"Bot. Jahrb. Syst.","39: 94","","1906"
kew-2654517,A,Chloranthaceae,,Ascarina,,"subfalcata",,"","J.W.Moore",Accepted,,M,WCSP (in review),786566,167779-1,"Bernice P. Bishop Mus. Bull.","102: 26","","1933"
kew-2654518,A,Chloranthaceae,,Ascarina,,"subsessilis",,"","Verdc.",Accepted,,M,WCSP (in review),786567,905690-1,"Kew Bull.","40: 213","","1985"
kew-2654519,A,Chloranthaceae,,Ascarina,,"swamyana",,"","A.C.Sm.",Accepted,,M,WCSP (in review),786568,167780-1,"J. Arnold Arbor.","57: 418","","1976"
kew-2719121,A,Chloranthaceae,,Chloranthus,,"angustifolius",,"","Oliv.",Accepted,,M,WCSP (in review),849530,167782-1,"Hooker's Icon. Pl.","16: t. 1580","","1886"
kew-2719122,A,Chloranthaceae,,Chloranthus,,"anhuiensis",,"","K.F.Wu",Accepted,,M,WCSP (in review),849531,167783-1,"Acta Phytotax. Sin.","18: 222","","1980"
kew-2719130,A,Chloranthaceae,,Chloranthus,,"elatior",,"","Link",Accepted,,M,WCSP (in review),849539,77112331-1,"Enum. Hort. Berol. Alt.","1: 140","","1821"
kew-2719133,A,Chloranthaceae,,Chloranthus,,"fortunei",,"","(A.Gray) Solms",Accepted,,M,WCSP (in review),849542,167791-1,"Prodr.","16(1): 476","","1869"
kew-2719140,A,Chloranthaceae,,Chloranthus,,"henryi",,"","Hemsl.",Accepted,,M,WCSP (in review),849549,167795-1,"J. Linn. Soc., Bot.","26: 367","","1891"
kew-2719142,A,Chloranthaceae,,Chloranthus,,"holostegius",,"","(Hand.-Mazz.) C.Pei & San",Accepted,,M,WCSP (in review),849551,167796-1,"Contr. Biol. Lab. Chin. Assoc. Advancem. Sci., Sect. Bot.","10: 210","","1938"
kew-2719146,A,Chloranthaceae,,Chloranthus,,"ilicifolius",,"","Blume ex Miq.",Unresolved,,L,WCSP (in review),849555,167798-1,"Ann. Mus. Bot. Lugduno-Batavi","3: 129","","1867"
kew-2719150,A,Chloranthaceae,,Chloranthus,,"insignis",,"","Kurz",Unresolved,,L,WCSP (in review),849559,167802-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","42(2): 108","","1873"
kew-2719152,A,Chloranthaceae,,Chloranthus,,"japonicus",,"","Siebold",Accepted,,M,WCSP (in review),849561,167804-1,"Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur.","14(2): 681","","1829"
kew-2719154,A,Chloranthaceae,,Chloranthus,,"kachinensis",,"","Prain",Unresolved,,L,WCSP (in review),849563,167805-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","69: 173","","1900"
