ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2718247,A,Cleomaceae,,Chilocalyx,,"maculatus",,"","Gilg & Benedict",Unresolved,,L,WCSP (in review),848679,,"Bot. Jahrb. Syst.","53: 168","","1915"
kew-2727142,A,Cleomaceae,,Cleome,,"aculeata",,"","L.",Accepted,,M,WCSP (in review),857475,316362-2,"Syst. Nat. ed. 12","3: 232","","1768"
kew-2727143,A,Cleomaceae,,Cleome,,"aculeata",var.,"cordobensis","(Eichler ex Griseb.) Kuntze",Accepted,,L,WCSP (in review),857476,60478-2,"Revis. Gen. Pl.","3(2): 7","","1898"
kew-2727148,A,Cleomaceae,,Cleome,,"affinis",,"","DC.",Accepted,,M,WCSP (in review),857481,146907-1,"Prodr.","1: 241","","1824"
kew-2727151,A,Cleomaceae,,Cleome,,"afrospina",,"","H.H.Iltis",Accepted,,M,WCSP (in review),857484,,"Amer. J. Bot.","54: 955","","1967"
kew-2727152,A,Cleomaceae,,Cleome,,"albescens",,"","Franch.",Accepted,,M,WCSP (in review),857485,146910-1,"Sert. Somal.","11","","1882"
kew-2727154,A,Cleomaceae,,Cleome,,"aldenella",,"","W.R.Ernst",Unresolved,,L,WCSP (in review),857487,60481-2,"J. Arnold Arbor.","44: 89","","1963"
kew-2727155,A,Cleomaceae,,Cleome,,"allamanii",,"","Chiov.",Accepted,,M,WCSP (in review),857488,,"Racc. Bot. Miss. Consol. Kenya","3","","1935"
kew-2727159,A,Cleomaceae,,Cleome,,"amblyocarpa",,"","Barratte & Murb.",Accepted,,M,WCSP (in review),857492,146916-1,"Acta Univ. Lund., 2","1(4): 25","","1905"
kew-2727161,A,Cleomaceae,,Cleome,,"angulata",,"","Schult. & Schult.f.",Unresolved,,L,WCSP (in review),857494,146917-1,"Syst. Veg.","7: 45","","1829"
kew-2727162,A,Cleomaceae,,Cleome,,"angustifolia",,"","Forssk.",Accepted,,M,WCSP (in review),857495,146918-1,"Fl. Aegypt.-Arab.","120","","1775"
kew-2727164,A,Cleomaceae,,Cleome,,"angustifolia",subsp.,"diandra","(Burch.) Kers",Accepted,,L,WCSP (in review),857497,,"Svensk Bot. Tidskr.","63: 21","","1969"
kew-2727167,A,Cleomaceae,,Cleome,,"angustifolia",var.,"pteropoda","(Welw. ex Oliv.) Kers",Accepted,,L,WCSP (in review),857500,,"Svensk Bot. Tidskr.","63: 24","","1969"
kew-2727168,A,Cleomaceae,,Cleome,,"anomala",,"","Kunth",Accepted,,M,WCSP (in review),857501,146919-1,"Nov. Gen. Sp.","5: 85","","1821"
kew-2727170,A,Cleomaceae,,Cleome,,"arabica",,"","L.",Accepted,,M,WCSP (in review),857503,146921-1,"Cent. Pl. I","20","","1755"
kew-2727173,A,Cleomaceae,,Cleome,,"arborea",,"","Kunth",Accepted,,M,WCSP (in review),857506,146924-1,"Nov. Gen. Sp.","5: 86","","1821"
kew-2899530,A,Cleomaceae,,Cleome,,"arenitensis",,"","Craven, Lepschi & Fryxell",Accepted,,M,WCSP (in review),1022243,77104926-1,"Blumea","55: 100","","2010"
kew-2727177,A,Cleomaceae,,Cleome,,"ariana",,"","Hedge & Lamond",Accepted,,M,WCSP (in review),857510,146928-1,"in Fl. Iran.","68: 17","","1970"
kew-2727180,A,Cleomaceae,,Cleome,,"aspera",,"","J.Koenig ex DC.",Accepted,,M,WCSP (in review),857513,,"Prodr.","1: 241","","1824"
kew-2727181,A,Cleomaceae,,Cleome,,"asperrima",,"","Blatt.",Accepted,,M,WCSP (in review),857514,146932-1,"J. Proc. Asiat. Soc. Bengal","26: 340","","1930 publ. 1931"
kew-2727182,A,Cleomaceae,,Cleome,,"atropurpurea",,"","Schott",Unresolved,,L,WCSP (in review),857515,146933-1,"Nachr. Österr. Naturf. Bras.","1: 129","","1820"
kew-2727183,A,Cleomaceae,,Cleome,,"augustinensis",,"","(Hochr.) Briq.",Accepted,,M,WCSP (in review),857516,146934-1,"Annuaire Conserv. Jard. Bot. Genève","17: 360","","1914"
kew-2877443,A,Cleomaceae,,Cleome,,"augustinensis",var.,"goudotii","(Briq.) Hadj-Moust.",Accepted,,L,WCSP (in review),1002090,,"in Fl. Madag.","83: 60","","1965"
kew-2727186,A,Cleomaceae,,Cleome,,"austroarabica",,"","D.F.Chamb. & Lamond",Accepted,,M,WCSP (in review),857519,977323-1,"Edinburgh J. Bot.","51: 51","","1994"
kew-2727188,A,Cleomaceae,,Cleome,,"bangiana",,"","Gilg ex Heilbr.",Accepted,,M,WCSP (in review),857521,,"Ark. Bot.","23A(10): 12","","1931"
kew-2727190,A,Cleomaceae,,Cleome,,"beckiana",,"","Rech.f.",Unresolved,,L,WCSP (in review),857523,146939-1,"Anz. Österr. Akad. Wiss., Math.-Naturwiss. Kl.","87: 296","","1950"
kew-2727191,A,Cleomaceae,,Cleome,,"bicolor",,"","Gardner",Accepted,,M,WCSP (in review),857524,146941-1,"London J. Bot.","2: 330","","1843"
kew-2727194,A,Cleomaceae,,Cleome,,"bojeri",,"","Hadj-Moust.",Accepted,,M,WCSP (in review),857527,146944-1,"Adansonia","n.s., 5: 36","","1965"
kew-2727195,A,Cleomaceae,,Cleome,,"boliviensis",,"","Iltis",Accepted,,M,WCSP (in review),857528,,"Novon","15: 147","","2005"
kew-2727196,A,Cleomaceae,,Cleome,,"bororensis",,"","(Klotzsch) Oliv.",Accepted,,M,WCSP (in review),857529,146945-1,"Fl. Trop. Afr.","1: 81","","1868"
kew-2727197,A,Cleomaceae,,Cleome,,"brachiata",,"","(Bojer) Briq.",Accepted,,M,WCSP (in review),857530,146946-1,"Annuaire Conserv. Jard. Bot. Genève","17: 359","","1914"
kew-2727198,A,Cleomaceae,,Cleome,,"brachyadenia",,"","Schwartz",Accepted,,M,WCSP (in review),857531,146947-1,"Mitt. Inst. Allg. Bot. Hamburg","10: 62","","1939"
kew-2727199,A,Cleomaceae,,Cleome,,"brachycarpa",,"","(Forssk.) Vahl ex DC.",Accepted,,M,WCSP (in review),857532,146948-1,"Prodr.","1: 240","","1824"
tro-5900736,A,Cleomaceae,,Cleome,,"brachycarpa",,"","M. Vahl ex Triana & Planchon",Unresolved,,L,TRO,5900736,,"Ann. Sci. Nat., Bot., sér. 4,","17: 73","73","1862"
kew-2727206,A,Cleomaceae,,Cleome,,"brasiliensis",,"","Weinm.",Accepted,,M,WCSP (in review),857539,146952-1,"Syll. Ratisb.","1: 122","","1824"
kew-2727207,A,Cleomaceae,,Cleome,,"breviflora",,"","(Wooton & Standl.) Pax & K.Hoffm.",Unresolved,,L,WCSP (in review),857540,60487-2,"Nat. Pflanzenfam. ed. 2","17b: 215","","1936"
kew-2727208,A,Cleomaceae,,Cleome,,"brevipetiolata",,"","D.F.Chamb. & Lamond",Accepted,,M,WCSP (in review),857541,977322-1,"Edinburgh J. Bot.","51: 49","","1994"
kew-2727211,A,Cleomaceae,,Cleome,,"briquetii",,"","Polhill",Accepted,,M,WCSP (in review),857544,146956-1,"Kew Bull.","17 163","","1963"
kew-2903578,A,Cleomaceae,,Cleome,,"bundeica",,"","P.S.Short",Unresolved,,L,WCSP (in review),1026035,77109877-1,"Beagle","26: 2","","2010"
tro-5900786,A,Cleomaceae,,Cleome,,"burtii",,"","R. A. Graham",Unresolved,,L,TRO,5900786,,"Kew Bull.","13: 179","179","1958"
kew-2727214,A,Cleomaceae,,Cleome,,"burttii",,"","R.A.Graham",Accepted,,M,WCSP (in review),857547,146959-1,"Kew Bull.","13: 179","","1958"
kew-2727220,A,Cleomaceae,,Cleome,,"cardaminoides",,"","Hoffmanns.",Unresolved,,L,WCSP (in review),857553,146966-1,"Verz. Pfl.-Kult.","Nachtr. 2: 93","","1826"
kew-2727221,A,Cleomaceae,,Cleome,,"cardinalis",,"","DC.",Accepted,,M,WCSP (in review),857554,146967-1,"Prodr.","1: 238","","1824"
kew-2727222,A,Cleomaceae,,Cleome,,"carnosa",,"","(Pax) Gilg & Benedict",Accepted,,M,WCSP (in review),857555,,"Bot. Jahrb. Syst.","53: 153","","1915"
tro-5900439,A,Cleomaceae,,Cleome,,"carnosa",,"","Gilg & Gilg-Ben.",Unresolved,,L,TRO,5900439,,"","","",""
kew-2727223,A,Cleomaceae,,Cleome,,"chapalaensis",,"","Iltis",Accepted,,M,WCSP (in review),857556,,"Bol. Inst. Bot. (Guadalajara)","5: 428","","1998"
kew-2727225,A,Cleomaceae,,Cleome,,"chelidonii",,"","L.f.",Accepted,,M,WCSP (in review),857558,146970-1,"Suppl. Pl.","300","","1782"
kew-2727228,A,Cleomaceae,,Cleome,,"chilensis",,"","DC.",Accepted,,M,WCSP (in review),857561,146972-1,"Prodr.","1: 238","","1824"
tro-5900096,A,Cleomaceae,,Cleome,,"chlorantha",,"","E. Ule",Unresolved,,L,TRO,5900096,,"","","",""
kew-2727232,A,Cleomaceae,,Cleome,,"chodatiana",,"","H.H.Iltis",Accepted,,M,WCSP (in review),857565,,"Brittonia","11: 161","","1959"
kew-2727233,A,Cleomaceae,,Cleome,,"christii",,"","Urb.",Accepted,,M,WCSP (in review),857566,60491-2,"Symb. Antill.","5: 345","","1907"
kew-2727234,A,Cleomaceae,,Cleome,,"chrysantha",,"","Decne.",Accepted,,M,WCSP (in review),857567,146976-1,"Ann. Sci. Nat., Bot.","II, 3: 274","","1835"
tro-5900097,A,Cleomaceae,,Cleome,×,"chrysogyna",,"","Gilg ex Heilborn",Accepted,,M,TRO,5900097,60492-2,"Ark. Bot.","23(A): 10: 13","10","1931"
kew-2727237,A,Cleomaceae,,Cleome,,"circassica",,"","Tzvelev",Accepted,,M,WCSP (in review),857570,146979-1,"Bot. Mater. Gerb. Bot. Inst. Komarova Akad. Nauk S.S.S.R.","22: 132","","1963"
kew-2727238,A,Cleomaceae,,Cleome,,"cleomoides",,"","(F.Muell.) H.H.Iltis",Accepted,,M,WCSP (in review),857571,,"in Fl. Australia","8: 389","","1982"
kew-2727239,A,Cleomaceae,,Cleome,,"coeruleorosea",,"","Gilg & Benedict",Accepted,,M,WCSP (in review),857572,,"Bot. Jahrb. Syst.","53: 157","","1915"
kew-2727240,A,Cleomaceae,,Cleome,,"coluteoides",,"","Boiss.",Accepted,,M,WCSP (in review),857573,146981-1,"Diagn. Pl. Orient.","1: 3","","1843"
kew-2727242,A,Cleomaceae,,Cleome,,"conrathii",,"","Burtt Davy",Accepted,,M,WCSP (in review),857575,146983-1,"Bull. Misc. Inform. Kew","1924: 224","","1924"
kew-2727243,A,Cleomaceae,,Cleome,,"consimilis",,"","Ernst",Accepted,,M,WCSP (in review),857576,60493-2,"Notizbl. Bot. Gart. Berlin-Dahlem","13: 379","","1936"
kew-2727247,A,Cleomaceae,,Cleome,,"costaricensis",,"","Iltis",Accepted,,M,WCSP (in review),857580,60441184-2,"Brenesia","63-64: 1","","2005"
kew-2727248,A,Cleomaceae,,Cleome,,"cremoloba",,"","Turcz.",Accepted,,M,WCSP (in review),857581,146988-1,"Bull. Soc. Imp. Naturalistes Moscou","27(2): 318","","1854"
kew-2727249,A,Cleomaceae,,Cleome,,"crenopetala",,"","DC.",Unresolved,,L,WCSP (in review),857582,146989-1,"Mém. Soc. Phys. Genève","6: 220","","1836"
kew-2727257,A,Cleomaceae,,Cleome,,"dendroidea",,"","Schult. & Schult.f.",Accepted,,M,WCSP (in review),857590,146998-1,"Syst. Veg.","7: 28","","1829"
kew-2727260,A,Cleomaceae,,Cleome,,"densifolia",,"","C.H.Wright",Accepted,,M,WCSP (in review),857593,146999-1,"Bull. Misc. Inform. Kew","1907: 360","","1907"
kew-2727264,A,Cleomaceae,,Cleome,,"dichotoma",,"","Turcz.",Accepted,,M,WCSP (in review),857597,147002-1,"Bull. Soc. Imp. Naturalistes Moscou","27(2): 318","","1854"
kew-2727266,A,Cleomaceae,,Cleome,,"diffusa",,"","Banks ex DC.",Accepted,,M,WCSP (in review),857599,60497-2,"Prodr.","1: 241","","1824"
kew-2727269,A,Cleomaceae,,Cleome,,"digitata",,"","Forssk.",Unresolved,,L,WCSP (in review),857602,147006-1,"Fl. Aegypt.-Arab.","120","","1775"
kew-2727273,A,Cleomaceae,,Cleome,,"dodecaphylla",,"","Vell.",Accepted,,M,WCSP (in review),857606,147011-1,"Fl. Flumin.","271","","1829"
kew-2727274,A,Cleomaceae,,Cleome,,"dolichocarpa",,"","Gilg & Benedict",Unresolved,,L,WCSP (in review),857607,,"Bot. Jahrb. Syst.","53: 163","","1915"
kew-2727275,A,Cleomaceae,,Cleome,,"dolichostyla",,"","Jafri",Accepted,,M,WCSP (in review),857608,147013-1,"Kew Bull.","12: 174","","1957"
tro-5900770,A,Cleomaceae,,Cleome,,"domingensis",,"","Iltis",Unresolved,,L,TRO,5900770,60500-2,"Brittonia","10(2): 56","56","1958"
kew-2727278,A,Cleomaceae,,Cleome,,"droserifolia",,"","(Forssk.) Delile",Accepted,,M,WCSP (in review),857611,147016-1,"Descr. Egypte, Hist. Nat.","250","","1813"
kew-2727280,A,Cleomaceae,,Cleome,,"dumosa",,"","Baker",Accepted,,M,WCSP (in review),857613,147018-1,"J. Bot.","20: 18","","1882"
tro-5900273,A,Cleomaceae,,Cleome,,"dumosa",,"","Hook. & Jack.",Unresolved,,L,TRO,5900273,,"Index Kew.","1: 584","584","1894"
