ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-43185,A,Clethraceae,,Clethra,,"acuminata",,"","Michx.",Accepted,,H,WCSP,43185,327566-1,"Fl. Bor.-Amer.","1: 260","","1803"
kew-43186,A,Clethraceae,,Clethra,,"alcoceri",,"","Greenm.",Accepted,,H,WCSP,43186,60667-2,"Proc. Amer. Acad. Arts","41: 240","","1905"
kew-43187,A,Clethraceae,,Clethra,,"alexandri",,"","Griseb.",Accepted,,H,WCSP,43187,327568-1,"Fl. Brit. W. I.","142","","1859"
kew-43188,A,Clethraceae,,Clethra,,"alnifolia",,"","L.",Accepted,,H,WCSP,43188,319146-2,"Sp. Pl.","396","","1753"
kew-43199,A,Clethraceae,,Clethra,,"arborea",,"","Aiton",Accepted,,H,WCSP,43199,,"Hort. Kew.","2: 73","","1789"
kew-43201,A,Clethraceae,,Clethra,,"arfakana",,"","Sleumer",Accepted,,H,WCSP,43201,169429-1,"Bot. Jahrb. Syst.","87: 95","","1967"
kew-43203,A,Clethraceae,,Clethra,,"barbinervis",,"","Siebold & Zucc.",Accepted,,H,WCSP,43203,327574-1,"Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.","4(3): 128","","1846"
kew-43206,A,Clethraceae,,Clethra,,"bodinieri",,"","H.Lév.",Accepted,,H,WCSP,43206,169432-1,"Repert. Spec. Nov. Regni Veg.","10: 475","","1912"
kew-43218,A,Clethraceae,,Clethra,,"breedlovei",,"","C.W.Ham.",Accepted,,H,WCSP,43218,274747-2,"Ann. Missouri Bot. Gard.","72: 540","","1985"
kew-43224,A,Clethraceae,,Clethra,,"canescens",,"","Reinw. ex Blume",Accepted,,H,WCSP,43224,327580-1,"Bijdr.","863","","1826"
kew-43226,A,Clethraceae,,Clethra,,"canescens",var.,"clementis","(Merr.) Sleumer",Accepted,,L,WCSP,43226,,"Bot. Jahrb. Syst.","87: 86","","1967"
kew-43227,A,Clethraceae,,Clethra,,"canescens",var.,"ledermannii","(Schltr.) Sleumer",Accepted,,L,WCSP,43227,,"Bot. Jahrb. Syst.","87: 87","","1967"
kew-43228,A,Clethraceae,,Clethra,,"canescens",var.,"luzonica","(Merr.) Sleumer",Accepted,,L,WCSP,43228,,"Bot. Jahrb. Syst.","87: 88","","1967"
kew-43229,A,Clethraceae,,Clethra,,"canescens",var.,"novoguineensis","(Kaneh. & Hatus.) Sleumer",Accepted,,L,WCSP,43229,,"Bot. Jahrb. Syst.","87: 90","","1967"
kew-43230,A,Clethraceae,,Clethra,,"cardenasii",,"","Sleumer",Accepted,,H,WCSP,43230,60686-2,"Bot. Jahrb. Syst.","87: 109","","1967"
kew-43232,A,Clethraceae,,Clethra,,"castaneifolia",,"","Meisn.",Accepted,,H,WCSP,43232,327581-1,"Fl. Bras.","7: 169","","1863"
kew-43236,A,Clethraceae,,Clethra,,"chiapensis",,"","L.M.González",Accepted,,H,WCSP,43236,315778-2,"Bol. Inst. Bot. (Guadalajara)","5: 138","","1998"
kew-43238,A,Clethraceae,,Clethra,,"coloradensis",,"","C.W.Ham.",Accepted,,H,WCSP,43238,274748-2,"Ann. Missouri Bot. Gard.","72: 543","","1985"
tro-50300672,A,Clethraceae,,Clethra,,"concordia",,"","D.A. Neill, H. Beltrán & Quizhpe",Unresolved,,L,TRO,50300672,,"Novon","","",""
kew-43241,A,Clethraceae,,Clethra,,"consimilis",,"","Sleumer",Accepted,,H,WCSP,43241,60688-2,"Bot. Jahrb. Syst.","87: 131","","1967"
kew-43242,A,Clethraceae,,Clethra,,"conzattiana",,"","L.M.González",Accepted,,H,WCSP,43242,315779-2,"Bol. Inst. Bot. (Guadalajara)","5: 141","","1998"
kew-43245,A,Clethraceae,,Clethra,,"crispa",,"","Gust.",Accepted,,H,WCSP,43245,305336-2,"in Fl. Ecuador","45(146A): 19","","1992"
kew-43246,A,Clethraceae,,Clethra,,"cubensis",,"","A.Rich.",Accepted,,H,WCSP,43246,,"Hist. Fis. Cuba, Bot.","11: 75","","1850"
kew-43247,A,Clethraceae,,Clethra,,"cuneata",,"","Rusby",Accepted,,H,WCSP,43247,60691-2,"Bull. New York Bot. Gard.","4: 314","","1907"
kew-43249,A,Clethraceae,,Clethra,,"delavayi",,"","Franch.",Accepted,,H,WCSP,43249,327585-1,"J. Bot. (Morot)","9: 370","","1895"
kew-43255,A,Clethraceae,,Clethra,,"elongata",,"","Rusby",Accepted,,H,WCSP,43255,60692-2,"Bull. New York Bot. Gard.","4: 405","","1907"
kew-43258,A,Clethraceae,,Clethra,,"fabri",,"","Hance",Accepted,,H,WCSP,43258,327588-1,"J. Bot.","21: 130","","1883"
kew-43261,A,Clethraceae,,Clethra,,"fagifolia",,"","Kunth",Accepted,,H,WCSP,43261,327589-1,"Nov. Gen. Sp.","3: 289","","1819"
kew-43262,A,Clethraceae,,Clethra,,"fagifolia",var.,"bicolor","(Kunth) Sleumer",Accepted,,L,WCSP,43262,60693-2,"Bot. Jahrb. Syst.","87: 113","","1967"
kew-43265,A,Clethraceae,,Clethra,,"fargesii",,"","Franch.",Accepted,,H,WCSP,43265,327590-1,"J. Bot. (Morot)","9: 369","","1895"
kew-43266,A,Clethraceae,,Clethra,,"ferruginea",,"","(Ruiz & Pav.) Link ex Spreng.",Accepted,,H,WCSP,43266,,"Syst. Veg.","2: 316","","1825"
kew-43267,A,Clethraceae,,Clethra,,"fimbriata",,"","Kunth",Accepted,,H,WCSP,43267,327593-1,"Nov. Gen. Sp.","3: 290","","1819"
kew-346428,A,Clethraceae,,Clethra,,"formosa",,"","E.Alfaro & J.F.Morales",Accepted,,H,WCSP,346428,,"Anales Jard. Bot. Madrid","63: 36","","2006"
kew-372402,A,Clethraceae,,Clethra,,"fragrans",,"","L.M.González & R.Delgad.",Accepted,,H,WCSP,372402,77088555-1,"Ibugana","13(1): 11","","2005 publ. 2006"
tro-7700019,A,Clethraceae,,Clethra,,"galepensis",,"","Klotzsch",Unresolved,,L,TRO,7700019,,"","","",""
kew-43270,A,Clethraceae,,Clethra,,"gelida",,"","Standl.",Accepted,,H,WCSP,43270,60697-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","18: 867","","1938"
kew-43277,A,Clethraceae,,Clethra,,"guyanensis",,"","Klotzsch ex Meisn.",Accepted,,H,WCSP,43277,327597-1,"Fl. Bras.","7: 170","","1863"
kew-43278,A,Clethraceae,,Clethra,,"hartwegii",,"","Britton",Accepted,,H,WCSP,43278,60702-2,"N. Amer. Fl.","29: 6","","1914"
kew-43279,A,Clethraceae,,Clethra,,"hendersonii",,"","Sleumer",Accepted,,H,WCSP,43279,169462-1,"Bot. Jahrb. Syst.","87: 79","","1967"
kew-468919,A,Clethraceae,,Clethra,,"hirsutovillosa",,"","S.Valencia & Cruz Durán",Accepted,,H,WCSP,468919,,"Brittonia","63: 251","","2011"
kew-43285,A,Clethraceae,,Clethra,,"javanica",,"","Turcz.",Accepted,,H,WCSP,43285,327601-1,"Bull. Soc. Imp. Naturalistes Moscou","36(2): 232","","1863"
kew-43289,A,Clethraceae,,Clethra,,"kaipoensis",,"","H.Lév.",Accepted,,H,WCSP,43289,169466-1,"Repert. Spec. Nov. Regni Veg.","10: 475","","1912"
tro-7700025,A,Clethraceae,,Clethra,,"karstenii",,"","Fed",Unresolved,,L,TRO,7700025,,"","","",""
kew-43293,A,Clethraceae,,Clethra,,"kebarensis",,"","Sleumer",Accepted,,H,WCSP,43293,169467-1,"Bot. Jahrb. Syst.","87: 92","","1967"
kew-43298,A,Clethraceae,,Clethra,,"lanata",,"","M.Martens & Galeotti",Accepted,,H,WCSP,43298,327604-1,"Bull. Acad. Roy. Sci. Bruxelles","9(2): 538","","1842"
kew-43303,A,Clethraceae,,Clethra,,"licanioides",,"","Standl. & Steyerm.",Accepted,,H,WCSP,43303,60708-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","23: 17","","1943"
kew-43307,A,Clethraceae,,Clethra,,"longispicata",,"","J.J.Sm.",Accepted,,H,WCSP,43307,169476-1,"Bull. Jard. Bot. Buitenzorg","III, 4: 240","","1922"
kew-43309,A,Clethraceae,,Clethra,,"luzmariae",,"","L.M.González",Accepted,,H,WCSP,43309,315780-2,"Bol. Inst. Bot. (Guadalajara)","5: 145","","1998"
tro-7700031,A,Clethraceae,,Clethra,,"macrostachys",,"","Loiseleur",Unresolved,,L,TRO,7700031,,"","","",""
kew-43318,A,Clethraceae,,Clethra,,"mexicana",,"","DC.",Accepted,,H,WCSP,43318,327610-1,"Prodr.","7: 590","","1839"
kew-43320,A,Clethraceae,,Clethra,,"michoacana",,"","C.W.Ham.",Accepted,,H,WCSP,43320,274749-2,"Ann. Missouri Bot. Gard.","72: 541","","1985"
kew-43332,A,Clethraceae,,Clethra,,"nicaraguensis",,"","C.W.Ham.",Accepted,,H,WCSP,43332,274750-2,"Ann. Missouri Bot. Gard.","72: 541","","1985"
kew-43334,A,Clethraceae,,Clethra,,"nutantiflora",,"","Standl. & L.O.Williams ex A.Molina",Accepted,,H,WCSP,43334,,"Ceiba","14: 3","","1968"
kew-43335,A,Clethraceae,,Clethra,,"oaxacana",,"","C.W.Ham.",Accepted,,H,WCSP,43335,274751-2,"Ann. Missouri Bot. Gard.","72: 541","","1985"
kew-43338,A,Clethraceae,,Clethra,,"obovata",,"","(Ruiz & Pav.) G.Don",Accepted,,H,WCSP,43338,,"Gen. Hist.","3: 842","","1834"
kew-43341,A,Clethraceae,,Clethra,,"occidentalis",,"","(L.) Kuntze",Accepted,,H,WCSP,43341,60716-2,"Revis. Gen. Pl.","2: 389","","1891"
kew-43342,A,Clethraceae,,Clethra,,"oleoides",,"","L.O.Williams",Accepted,,H,WCSP,43342,60717-2,"Fieldiana, Bot.","31: 167","","1965"
kew-43344,A,Clethraceae,,Clethra,,"ovalifolia",,"","Turcz.",Accepted,,H,WCSP,43344,327621-1,"Bull. Soc. Imp. Naturalistes Moscou","36(2): 232","","1863"
tro-7700094,A,Clethraceae,,Clethra,,"ovata",,"","G. Don",Unresolved,,L,TRO,7700094,,"","","",""
kew-43345,A,Clethraceae,,Clethra,,"pachecoana",,"","Standl. & Steyerm.",Accepted,,H,WCSP,43345,60718-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","22: 259","","1940"
