ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35190924,B,Cleveaceae,,Athalamia,,"andina",,"","(Spruce) S. Hatt.",Accepted,,M,TRO,35190924,,"J. Hattori Bot. Lab.","12: 54","54","1954"
tro-35208534,B,Cleveaceae,,Athalamia,,"chinensis",,"","(Stephani) S. Hatt.",Accepted,,M,TRO,35208534,,"J. Hattori Bot. Lab.","12: 54","54","1954"
tro-35209073,B,Cleveaceae,,Athalamia,,"glaucovirens",,"","Shimizu & S. Hatt.",Unresolved,,L,TRO,35209073,,"J. Hattori Bot. Lab.","12: 56. pl. 10, 11: a–h","56","1954"
tro-35208536,B,Cleveaceae,,Athalamia,,"handelii",,"","(Herzog) S. Hatt.",Accepted,,M,TRO,35208536,,"J. Hattori Bot. Lab.","12: 54","54","1954"
tro-35184717,B,Cleveaceae,,Athalamia,,"hyalina",,"","(Sommerf.) S. Hatt.",Accepted,,M,TRO,35184717,,"J. Hattori Bot. Lab.","12: 54","54","1954"
tro-35209137,B,Cleveaceae,,Athalamia,,"nana",,"","(Shimizu & S. Hatt.) S. Hatt.",Accepted,,M,TRO,35209137,,"J. Hattori Bot. Lab.","12: 56","56","1954"
tro-35200370,B,Cleveaceae,,Athalamia,,"pinguis",,"","Falc.",Unresolved,,L,TRO,35200370,,"Trans. Linn. Soc. London","20: 397","397","1851"
tro-35216200,B,Cleveaceae,,Athalamia,,"pulcherrima",,"","(Stephani) S. Hatt.",Accepted,,M,TRO,35216200,,"J. Hattori Bot. Lab.","12: 54","54","1954"
tro-35191195,B,Cleveaceae,,Athalamia,,"pygmaea",,"","R.M. Schust.",Accepted,,M,TRO,35191195,,"Phytologia","57: 411","411","1985"
tro-35200913,B,Cleveaceae,,Athalamia,,"spathysii",,"","(Lindenb.) S. Hatt.",Accepted,,M,TRO,35200913,,"J. Hattori Bot. Lab.","12: 54","54","1954"
tro-35190923,B,Cleveaceae,,Clevea,,"andina",,"","Spruce",Accepted,,M,TRO,35190923,,"Trans. & Proc. Bot. Soc. Edinburgh","15: 569","569","1885"
tro-35212934,B,Cleveaceae,,Clevea,,"crassa",,"","Trab.",Unresolved,,L,TRO,35212934,,"Rev. Bryol. Lichénol.","12: 7","7","1942"
tro-35207366,B,Cleveaceae,,Clevea,,"hyalina",,"","(Sommerf.) Lindb.",Accepted,,M,TRO,35207366,,"Not. Sällsk. Fauna Fl. Fenn. Förh.","9: 291","291","1868"
tro-100374230,B,Cleveaceae,,Clevea,,"pusilla",,"","(Stephani) Rubasinghe, Sumudu C. K. & D.G. Long",Accepted,,M,TRO,100374230,,"J. Bryol.","33(2): 167","167","2011"
tro-35204851,B,Cleveaceae,,Peltolepis,,"japonica",,"","(Shimizu & S. Hatt.) S. Hatt.",Accepted,,M,TRO,35204851,,"J. Hattori Bot. Lab.","14: 103","103","1955"
tro-35185696,B,Cleveaceae,,Peltolepis,,"quadrata",,"","(Saut.) K. Müller",Accepted,,M,TRO,35185696,,"Hedwigia","79: 74","74","1940"
tro-35185940,B,Cleveaceae,,Sauteria,,"alpina",,"","(Nees & Bisch.) Nees",Accepted,,M,TRO,35185940,,"Naturgesch. Eur. Leberm.","4: 143","143","1838"
tro-35190097,B,Cleveaceae,,Sauteria,,"berteroana",,"","Mont.",Unresolved,,L,TRO,35190097,,"Voy. Amér. Mérid., Bot.","56","56","1839"
tro-35201504,B,Cleveaceae,,Sauteria,,"chilensis",,"","(Lindenb. ex Mont.) Grolle",Accepted,,M,TRO,35201504,,"J. Hattori Bot. Lab.","58: 200","200","1985"
tro-100351988,B,Cleveaceae,,Sauteria,,"grandis",,"","S.O. Lindberg",Unresolved,,L,TRO,100351988,,"Morgonbladet (Helsinki)","76: 1","1","1875"
tro-35189603,B,Cleveaceae,,Sauteria,,"inflata",,"","C. Gao & G.C. Zhang",Accepted,,M,TRO,35189603,,"Acta Bot. Yunnan.","3: 389. f. 1: 13–16","389","1981"
tro-35209138,B,Cleveaceae,,Sauteria,,"japonica",,"","(Shimizu & S. Hatt.) S. Hatt.",Accepted,,M,TRO,35209138,,"J. Hattori Bot. Lab.","12: 62","62","1954"
tro-35200548,B,Cleveaceae,,Sauteria,,"spongiosa",,"","(Kashyap) S. Hatt.",Accepted,,M,TRO,35200548,,"J. Hattori Bot. Lab.","12: 62","62","1954"
tro-35209136,B,Cleveaceae,,Sauteria,,"yatsuensis",,"","S. Hatt.",Accepted,,M,TRO,35209136,,"J. Hattori Bot. Lab.","14: 99","99","1955"
