ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2606174,A,Clusiaceae,,Agasthiyamalaia,,"pauciflora",,"","(Bedd.) S.Rajkumar & Janarth.",Accepted,,L,WCSP (in review),739229,60448443-2,"J. Bot. Res. Inst. Texas","1: 131","","2007"
kew-2628579,A,Clusiaceae,,Allanblackia,,"floribunda",,"","Oliv.",Accepted,,M,WCSP (in review),760892,427040-1,"J. Linn. Soc., Bot.","10: 43","","1869"
kew-2628582,A,Clusiaceae,,Allanblackia,,"gabonensis",,"","(Pellegr.) Bamps",Accepted,,M,WCSP (in review),760895,427041-1,"Bull. Jard. Bot. Natl. Belg.","39: 356","","1969"
kew-2628583,A,Clusiaceae,,Allanblackia,,"kimbiliensis",,"","Spirlet",Accepted,,M,WCSP (in review),760896,,"Bull. Jard. Bot. État","29: 357","","1959"
kew-2628584,A,Clusiaceae,,Allanblackia,,"kisonghi",,"","Vermoesen",Accepted,,M,WCSP (in review),760897,,"Man. Ess. Forest. Congo","11","","1923"
kew-2628586,A,Clusiaceae,,Allanblackia,,"marienii",,"","Staner",Accepted,,M,WCSP (in review),760899,427044-1,"Bull. Jard. Bot. État","13: 110","","1934"
kew-2628588,A,Clusiaceae,,Allanblackia,,"parviflora",,"","A.Chev.",Accepted,,M,WCSP (in review),760901,427047-1,"Veg. Ut. Afr. Trop. Franç.","5: 163","","1909"
kew-2628590,A,Clusiaceae,,Allanblackia,,"staneriana",,"","Exell & Mendonça",Accepted,,M,WCSP (in review),760903,427049-1,"J. Bot.","74(Suppl.): 20","","1936"
kew-2628591,A,Clusiaceae,,Allanblackia,,"stuhlmannii",,"","(Engl.) Engl.",Accepted,,M,WCSP (in review),760904,427050-1,"Nat. Pflanzenfam.","Nachtr. 1: 249","","1897"
kew-2628592,A,Clusiaceae,,Allanblackia,,"ulugurensis",,"","Engl.",Accepted,,M,WCSP (in review),760905,427051-1,"Bot. Jahrb. Syst.","28: 435","","1900"
kew-2636764,A,Clusiaceae,,Ancistrolobus,,"brevipes",,"","Turcz.",Unresolved,,L,WCSP (in review),768890,432907-1,"Bull. Soc. Imp. Naturalistes Moscou","31(1): 383","","1858"
kew-2636766,A,Clusiaceae,,Ancistrolobus,,"formosus",,"","Zoll. & Moritzi",Unresolved,,L,WCSP (in review),768892,432909-1,"Syst. Verz. Java","25","","1846"
kew-2636767,A,Clusiaceae,,Ancistrolobus,,"glaucescens",,"","Turcz.",Unresolved,,L,WCSP (in review),768893,432910-1,"Bull. Soc. Imp. Naturalistes Moscou","31(1): 383","","1858"
kew-2636769,A,Clusiaceae,,Ancistrolobus,,"micradenius",,"","Turcz.",Unresolved,,L,WCSP (in review),768895,432912-1,"Bull. Soc. Imp. Naturalistes Moscou","31(1): 382","","1858"
kew-2636770,A,Clusiaceae,,Ancistrolobus,,"prunifolius",,"","Pierre",Unresolved,,L,WCSP (in review),768896,427052-1,"Fl. Forest. Cochinch.","t. 52","","1882"
kew-2653226,A,Clusiaceae,,Arrudea,,"clusioides",,"","A.St.-Hil. & Cambess.",Unresolved,,L,WCSP (in review),785277,427063-1,"Fl. Bras. Merid.","1: 319","","1828"
tro-7800051,A,Clusiaceae,,Astrotheca,,"sulphurea",,"","(Poepp. & Endl.) Vesque",Accepted,,M,TRO,7800051,427069-1,"Monogr. Phan.","8: 173","173","1893"
kew-2683400,A,Clusiaceae,,Brindonia,,"cochinchinensis",,"","(Lour.) Thouars",Unresolved,,L,WCSP (in review),815091,,"Dict. Sci. Nat.","5: 341","","1817"
kew-2693188,A,Clusiaceae,,Calophyllum,,"acidus",,"","Kosterm.",Accepted,,M,WCSP (in review),824701,899396-1,"Acta Bot. Neerl.","31: 122","","1982"
kew-2693189,A,Clusiaceae,,Calophyllum,,"acuminatum",,"","Lam.",Unresolved,,L,WCSP (in review),824702,427088-1,"Encycl.","1: 553","","1785"
kew-2693190,A,Clusiaceae,,Calophyllum,,"acutiputamen",,"","P.F.Stevens",Accepted,,M,WCSP (in review),824703,169531-1,"Austral. J. Bot.","22: 359","","1974"
kew-2693191,A,Clusiaceae,,Calophyllum,,"aerarium",,"","P.F.Stevens",Accepted,,M,WCSP (in review),824704,169532-1,"J. Arnold Arbor.","61: 443","","1980"
kew-2693192,A,Clusiaceae,,Calophyllum,,"akara",,"","Burm.f.",Unresolved,,L,WCSP (in review),824705,427090-1,"Fl. Indica","121","","1768"
kew-2693193,A,Clusiaceae,,Calophyllum,,"alboramulum",,"","P.F.Stevens",Accepted,,M,WCSP (in review),824706,169533-1,"J. Arnold Arbor.","61: 204","","1980"
kew-2693194,A,Clusiaceae,,Calophyllum,,"amblyphyllum",,"","A.C.Sm. & S.P.Darwin",Accepted,,M,WCSP (in review),824707,169534-1,"J. Arnold Arbor.","55: 232","","1974"
kew-2693198,A,Clusiaceae,,Calophyllum,,"andersonii",,"","P.F.Stevens",Accepted,,M,WCSP (in review),824711,169535-1,"J. Arnold Arbor.","61: 429","","1980"
kew-2693199,A,Clusiaceae,,Calophyllum,,"angulare",,"","A.C.Sm.",Accepted,,M,WCSP (in review),824712,42744-2,"Bull. Torrey Bot. Club","60: 379","","1933"
kew-2693200,A,Clusiaceae,,Calophyllum,,"angustifolium",,"","Roxb.",Unresolved,,L,WCSP (in review),824713,427094-1,"Fl. Ind.","2: 608","","1824"
kew-2693202,A,Clusiaceae,,Calophyllum,,"apetalum",,"","Willd.",Accepted,,M,WCSP (in review),824715,427097-1,"Mag. Neuesten Entdeck. Gesammten Naturk. Ges. Naturf. Freunde Berlin","5: 79","","1811"
kew-2693204,A,Clusiaceae,,Calophyllum,,"archipelagi",,"","P.F.Stevens",Accepted,,M,WCSP (in review),824717,169536-1,"J. Arnold Arbor.","61: 583","","1980"
