ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2623242,A,Crassulaceae,,Adromischus,,"alstonii",,"","(Schönland & E.G.Baker) C.A.Sm.",Accepted,,M,WCSP (in review),755598,272114-1,"Bothalia","3: 638","","1939"
kew-2623246,A,Crassulaceae,,Adromischus,,"bicolor",,"","Hutchison",Accepted,,M,WCSP (in review),755602,272118-1,"Cact. Succ. J. (Los Angeles)","29: 15","","1957"
kew-2623249,A,Crassulaceae,,Adromischus,,"caryophyllaceus",,"","(Burm.f.) Lem.",Accepted,,M,WCSP (in review),755605,272121-1,"Jard. Fleur.","2(Misc.): 60","","1852"
kew-2895445,A,Crassulaceae,,Adromischus,,"coleorum",,"","G.Will.",Accepted,,M,WCSP (in review),1018458,77095529-1,"Cactus & Co.","12: 267","","2008"
kew-2623252,A,Crassulaceae,,Adromischus,,"cooperi",,"","(Baker) A.Berger",Accepted,,M,WCSP (in review),755608,272124-1,"Nat. Pflanzenfam. ed. 2","18a: 416","","1930"
tro-8901179,A,Crassulaceae,,Adromischus,,"cooperi",,"","Berger",Unresolved,,L,TRO,8901179,,"","","",""
kew-2623253,A,Crassulaceae,,Adromischus,,"cristatus",,"","(Haw.) Lem.",Accepted,,M,WCSP (in review),755609,272125-1,"Jard. Fleur.","2(Misc.): 60","","1852"
kew-2623254,A,Crassulaceae,,Adromischus,,"cristatus",var.,"clavifolius","(Haw.) Toelken",Accepted,,L,WCSP (in review),755610,,"Bothalia","12: 385","","1978"
kew-2623256,A,Crassulaceae,,Adromischus,,"cristatus",var.,"schonlandii","(E.Phillips) Toelken",Accepted,,L,WCSP (in review),755612,878698-1,"Bothalia","12: 390","","1978"
kew-2623257,A,Crassulaceae,,Adromischus,,"cristatus",var.,"zeyheri","(Harv.) Toelken",Accepted,,L,WCSP (in review),755613,878699-1,"Bothalia","12: 390","","1978"
kew-2623259,A,Crassulaceae,,Adromischus,,"diabolicus",,"","Toelken",Accepted,,M,WCSP (in review),755615,272128-1,"Bothalia","12: 633","","1979"
kew-2623260,A,Crassulaceae,,Adromischus,,"fallax",,"","Toelken",Accepted,,M,WCSP (in review),755616,272129-1,"Bothalia","12: 387","","1978"
kew-2623262,A,Crassulaceae,,Adromischus,,"filicaulis",,"","(Eckl. & Zeyh.) C.A.Sm.",Accepted,,M,WCSP (in review),755618,272131-1,"Bothalia","3: 630","","1939"
kew-2623263,A,Crassulaceae,,Adromischus,,"filicaulis",subsp.,"marlothii","(Schönland) Toelken",Accepted,,L,WCSP (in review),755619,878700-1,"Bothalia","12: 385","","1978"
kew-2623272,A,Crassulaceae,,Adromischus,,"hemisphaericus",,"","(L.) Lem.",Accepted,,M,WCSP (in review),755628,272139-1,"Jard. Fleur.","2(Misc.): 60","","1852"
kew-2623273,A,Crassulaceae,,Adromischus,,"herrei",,"","(W.F.Barker) Poelln.",Unresolved,,L,WCSP (in review),755629,272140-1,"Repert. Spec. Nov. Regni Veg.","44: 62","","1938"
kew-2623275,A,Crassulaceae,,Adromischus,,"humilis",,"","(Mart.) Poelln.",Accepted,,M,WCSP (in review),755631,272142-1,"Repert. Spec. Nov. Regni Veg.","48: 91","","1940"
kew-2623276,A,Crassulaceae,,Adromischus,,"inamoenus",,"","Toelken",Accepted,,M,WCSP (in review),755632,272143-1,"Bothalia","12: 388","","1978"
kew-2623279,A,Crassulaceae,,Adromischus,,"keilhackii",,"","Werderm.",Unresolved,,L,WCSP (in review),755635,272146-1,"Repert. Spec. Nov. Regni Veg.","30: 52","","1932"
kew-2623283,A,Crassulaceae,,Adromischus,,"leucophyllus",,"","Uitewaal",Accepted,,M,WCSP (in review),755639,272150-1,"Natl. Cact. Succ. J.","9: 58","","1954"
tro-8901209,A,Crassulaceae,,Adromischus,,"leucophyllus",,"","Uitew.",Unresolved,,L,TRO,8901209,,"","","",""
kew-2623285,A,Crassulaceae,,Adromischus,,"liebenbergii",,"","Hutchison",Accepted,,M,WCSP (in review),755641,272152-1,"Cact. Succ. J. (Los Angeles)","31: 80","","1959"
kew-2623287,A,Crassulaceae,,Adromischus,,"maculatus",,"","(Salm-Dyck) Lem.",Accepted,,M,WCSP (in review),755643,272153-1,"Jard. Fleur.","2(Misc.): 60","","1852"
kew-2623288,A,Crassulaceae,,Adromischus,,"mammillaris",,"","(L.f.) Lem.",Accepted,,M,WCSP (in review),755644,,"Jard. Fleur.","2(Misc.): 60","","1852"
kew-2623293,A,Crassulaceae,,Adromischus,,"marianae",,"","(Marloth) A.Berger",Accepted,,M,WCSP (in review),755649,272155-1,"Nat. Pflanzenfam. ed. 2","18a: 416","","1930"
