ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2610155,A,Cucurbitaceae,,Abobra,,"tenuifolia",,"","(Gillies ex Hook. & Arn.) Cogn.",Accepted,,M,WCSP (in review),742563,,"Diagn. Cucurb. Nouv.","2: 69","","1878"
kew-2615175,A,Cucurbitaceae,,Acanthosicyos,,"horridus",,"","Welw. ex Hook.f.",Accepted,,M,WCSP (in review),747580,291170-1,"Gen. Pl.","1: 824","","1867"
kew-2615176,A,Cucurbitaceae,,Acanthosicyos,,"naudinianus",,"","(Sond.) C.Jeffrey",Accepted,,L,WCSP (in review),747581,291171-1,"Kew Bull.","15: 346","","1962"
kew-2621015,A,Cucurbitaceae,,Actinostemma,,"chaffanjonii",,"","H.Lév.",Unresolved,,L,WCSP (in review),753385,291173-1,"Fl. Kouy-Tchéou","121","","1914"
kew-2621017,A,Cucurbitaceae,,Actinostemma,,"lobatum",,"","(Maxim.) Maxim. ex Franch. & Sav.",Accepted,,M,WCSP (in review),753387,,"Enum. Pl. Jap.","1: 175","","1875"
kew-2621027,A,Cucurbitaceae,,Actinostemma,,"parvifolium",,"","Cogn.",Accepted,,M,WCSP (in review),753397,,"Pflanzenr.","IV, 275 I: 35","","1916"
kew-2621029,A,Cucurbitaceae,,Actinostemma,,"tenerum",,"","Griff.",Accepted,,M,WCSP (in review),753399,,"Pl. Cantor.","25","","1837"
tro-50329719,A,Cucurbitaceae,,Adenopus,,"chariensis",,"","A. Chev.",Unresolved,,L,TRO,50329719,291185-1,"Fl. Afr. Centr., Énum. Pl. Récolt.","1: 136 (1913), nomen","136","1913"
kew-2621849,A,Cucurbitaceae,,Adenopus,,"diversifolius",,"","Cogn.",Unresolved,,L,WCSP (in review),754209,291187-1,"Bull. Jard. Bot. État","5: 113","","1916"
kew-2621852,A,Cucurbitaceae,,Adenopus,,"intermedius",,"","Cogn.",Unresolved,,L,WCSP (in review),754212,291190-1,"Bol. Soc. Brot.","7: 227","","1889"
kew-2621853,A,Cucurbitaceae,,Adenopus,,"ledermannii",,"","Harms",Unresolved,,L,WCSP (in review),754213,,"Pflanzenr.","IV, 275 II: 230","","1924"
