ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-26600002,P,Cystopteridaceae,,Acystopteris,,"japonica",,"","(Luerss.) Nakai",Accepted,,M,TRO,26600002,1115100-2,"Bot. Mag. (Tokyo)","47(555): 180","180","1933"
tro-26626088,P,Cystopteridaceae,,Acystopteris,,"taiwaniana",,"","(Tagawa) Á. Löve & D. Löve",Accepted,,M,TRO,26626088,17553650-1,"Taxon","26(2–3): 326","326","1977"
tro-26600004,P,Cystopteridaceae,,Acystopteris,,"tenuisecta",,"","(Blume) Tagawa",Accepted,,M,TRO,26600004,17367820-1,"Acta Phytotax. Geobot.","7(2): 73","73","1938"
ifn-55031,P,Cystopteridaceae,,Cyclopteris,,"dentata",,"","Gray",Unresolved,,L,IPNI,17075700-1,17075700-1,"Nat. Arr. Brit. Pl.","2. in corr. 1821","","1821"
ifn-55033,P,Cystopteridaceae,,Cyclopteris,,"regia",,"","Gray",Unresolved,,L,IPNI,17075720-1,17075720-1,"Nat. Arr. Brit. Pl.","2. in corr. 1821","","1821"
ifn-88547,P,Cystopteridaceae,,Cystea,,"alpina",,"","Sm.",Unresolved,,L,IPNI,17076120-1,17076120-1,"Engl. Fl.","4. 291. 1828","","1828"
ifn-55041,P,Cystopteridaceae,,Cystea,,"montana",,"","Watt",Unresolved,,L,IPNI,17318140-1,17318140-1,"Canad. Naturalist","II. 13. 160. 1867.","","1867"
ifn-88597,P,Cystopteridaceae,,Cystea,,"regia",,"","Sm.",Unresolved,,L,IPNI,17268440-1,17268440-1,"Engl. Fl.","4: 275, 302","","1828"
tro-26617899,P,Cystopteridaceae,,Cystoathyrium,,"chinense",,"","Ching",Accepted,,M,TRO,26617899,17434670-1,"Acta Phytotax. Sin.","11(1): 23–24, pl. 4","23","1966"
ifn-55052,P,Cystopteridaceae,,Cystopteris,,"abyssinica",,"","F",Unresolved,,L,IPNI,17076220-1,17076220-1,"M","300. 1850-52","","1850"
ifn-55054,P,Cystopteridaceae,,Cystopteris,,"affinis",,"","F",Unresolved,,L,IPNI,17076240-1,17076240-1,"M","299. 1850-52","","1850"
ifn-55056,P,Cystopteridaceae,,Cystopteris,,"albescens",,"","Link",Unresolved,,L,IPNI,17076250-1,17076250-1,"Fil. sp.","47. 1841","","1841"
tro-26610731,P,Cystopteridaceae,,Cystopteris,,"almaatensis",,"","Kotukhov",Unresolved,,L,TRO,26610731,17434680-1,"Bot. Mater. Gerb. Bot. Inst. Bot. Akad. Nauk Kazakhsk. S.S.R.","4: 27, fig. 1","27","1966"
tro-50042552,P,Cystopteridaceae,,Cystopteris,,"alpina",,"","(Jacq.) Desv.",Accepted,,M,TRO,50042552,17076270-1,"Mém. Soc. Linn. Paris","6: 264","264","1827"
ifn-55061,P,Cystopteridaceae,,Cystopteris,,"anthriscifolia",,"","Fomin in Kusn. & al.Fl.",Unresolved,,L,IPNI,17387140-1,17387140-1,"Fl. Caucas. Crit.","1(1): 15. 1911.","","1911"
ifn-55062,P,Cystopteridaceae,,Cystopteris,,"apiiformis",,"","Gand.",Unresolved,,L,IPNI,75662-2,75662-2,"Bull. Soc. Bot. France","60: 28","","1913"
ifn-55065,P,Cystopteridaceae,,Cystopteris,,"atrovirescens",,"","C.Presl",Unresolved,,L,IPNI,17076300-1,17076300-1,"Tent. Pterid.","93. 1836; Epim. 66. 1849 (atrovirens)","","1836"
ifn-55066,P,Cystopteridaceae,,Cystopteris,,"azorica",,"","F",Unresolved,,L,IPNI,17076310-1,17076310-1,"M","300. 1850-52","","1850"
ifn-55068,P,Cystopteridaceae,,Cystopteris,,"blindi",,"","P.Parm.",Unresolved,,L,IPNI,17076330-1,17076330-1,"Bull. Acad. Geogr. Bot. Le Mans","9. 40 c. tab. 1900","","1900"
tro-100367860,P,Cystopteridaceae,,Cystopteris,,"brasiliana",,"","C. Presl",Unresolved,,L,TRO,100367860,17076340-1,"Tent. Pterid.","93","93","1836"
ifn-55070,P,Cystopteridaceae,,Cystopteris,,"brevinervis",,"","F",Unresolved,,L,IPNI,17076350-1,17076350-1,"M","300. 1850-52; 7 mem. 65 t. 26 f. 2","","1850"
tro-26602771,P,Cystopteridaceae,,Cystopteris,,"bulbifera",,"","(L.) Bernh.",Accepted,,M,TRO,26602771,17076360-1,"Neues J. Bot.","1(2): 10","10","1806"
ifn-55077,P,Cystopteridaceae,,Cystopteris,,"caucasica",,"","F",Unresolved,,L,IPNI,17076380-1,17076380-1,"M","299. 1850-52","","1850"
