ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35184124,B,Dicnemonaceae,,Dicnemon,,"aneitense",,"","(Broth. & Watts) B.H. Allen",Accepted,,M,TRO,35184124,,"Hikobia","10: 262","262","1989"
tro-35120785,B,Dicnemonaceae,,Dicnemon,,"calycinum",,"","(Hook.) Schwägr.",Accepted,,M,TRO,35120785,,"Sp. Musc. Frond., Suppl. 2","2: 126. pl. 124","126","1824"
tro-35183833,B,Dicnemonaceae,,Dicnemon,,"cochlearifolium",,"","(Thér.) B.H. Allen",Accepted,,M,TRO,35183833,,"J. Hattori Bot. Lab.","62: 62","62","1987"
tro-35120808,B,Dicnemonaceae,,Dicnemon,,"connivens",,"","Besch.",Accepted,,M,TRO,35120808,,"Ann. Sci. Nat., Bot., sér. 5,","18: 190","190","1873"
tro-35120809,B,Dicnemonaceae,,Dicnemon,,"cuspidatum",,"","Besch.",Accepted,,M,TRO,35120809,,"Ann. Sci. Nat., Bot., sér. 5,","18: 191","191","1873"
tro-35183421,B,Dicnemonaceae,,Dicnemon,,"dixonianum",,"","B.H. Allen",Accepted,,M,TRO,35183421,,"J. Hattori Bot. Lab.","62: 30. pl. 14","30","1987"
tro-35183837,B,Dicnemonaceae,,Dicnemon,,"novae-guineae",,"","(Dixon) B.H. Allen",Accepted,,M,TRO,35183837,,"J. Hattori Bot. Lab.","62: 78","78","1987"
tro-35120794,B,Dicnemonaceae,,Dicnemon,,"pallidum",,"","(Hook.) Sull.",Accepted,,M,TRO,35120794,,"U.S. Expl. Exped., Musci","5","5","1859"
tro-35120815,B,Dicnemonaceae,,Dicnemon,,"pancheri",,"","Besch.",Accepted,,M,TRO,35120815,,"Ann. Sci. Nat., Bot., sér. 5,","18: 193","193","1873"
tro-35190276,B,Dicnemonaceae,,Dicnemon,,"pancheri",var.,"falcatum","(Broth. & Paris) B.H. Allen",Accepted,,L,TRO,35190276,,"J. Hattori Bot. Lab.","62: 59","59","1987"
tro-35120817,B,Dicnemonaceae,,Dicnemon,,"planifolium",,"","Besch.",Accepted,,M,TRO,35120817,,"Ann. Sci. Nat., Bot., sér. 5,","18: 192","192","1873"
tro-35183836,B,Dicnemonaceae,,Dicnemon,,"robbinsii",,"","(E.B. Bartram) B.H. Allen",Accepted,,M,TRO,35183836,,"J. Hattori Bot. Lab.","62: 75","75","1987"
tro-35120799,B,Dicnemonaceae,,Dicnemon,,"rugosum",,"","(Hook.) Schwägr.",Accepted,,M,TRO,35120799,,"Sp. Musc. Frond., Suppl. 2","2: 127","127","1824"
tro-35120801,B,Dicnemonaceae,,Dicnemon,,"semicryptum",,"","Müll. Hal.",Accepted,,M,TRO,35120801,,"Hedwigia","36: 364","364","1897"
tro-35183443,B,Dicnemonaceae,,Dicnemon,,"seriatum",,"","(Broth. & Paris) B.H. Allen",Accepted,,M,TRO,35183443,,"J. Hattori Bot. Lab.","62: 48","48","1987"
tro-35120820,B,Dicnemonaceae,,Dicnemon,,"spathoideum",,"","Duby ex Besch.",Accepted,,M,TRO,35120820,,"Ann. Sci. Nat., Bot., sér. 5,","18: 191","191","1873"
tro-35183834,B,Dicnemonaceae,,Dicnemon,,"subpiliferum",,"","(Broth. & Paris) B.H. Allen",Accepted,,M,TRO,35183834,,"J. Hattori Bot. Lab.","62: 70","70","1987"
tro-35135518,B,Dicnemonaceae,,Eucamptodon,,"banksii",,"","(Müll. Hal.) Müll. Hal.",Accepted,,M,TRO,35135518,,"Gen. Musc. Frond.","248","248","1900"
tro-35135520,B,Dicnemonaceae,,Eucamptodon,,"edentulus",,"","(Mitt.) Müll. Hal.",Accepted,,M,TRO,35135520,,"Linnaea","36: 11","11","1869"
tro-35135528,B,Dicnemonaceae,,Eucamptodon,,"muelleri",,"","Hampe & Müll. Hal.",Accepted,,M,TRO,35135528,,"Linnaea","36: 513","513","1870"
tro-35135529,B,Dicnemonaceae,,Eucamptodon,,"novae-guineae",,"","Dixon",Accepted,,M,TRO,35135529,,"Farlowia","1: 29","29","1943"
tro-35135530,B,Dicnemonaceae,,Eucamptodon,,"perichaetialis",,"","(Mont.) Mont.",Accepted,,M,TRO,35135530,,"Ann. Sci. Nat., Bot., sér. 3,","4: 14 f. 3","14 f","1845"
tro-35135533,B,Dicnemonaceae,,Eucamptodon,,"pilifer",,"","Mitt.",Accepted,,M,TRO,35135533,,"J. Linn. Soc., Bot.","12: 69","69","1869"
