ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2603411,A,Dilleniaceae,,Acrotrema,,"agastyamalayanum",,"","E.S.S.Kumar, Dan & G.M.Nair",Accepted,,M,WCSP (in review),736660,,"Nordic J. Bot.","24: 543","","2006 publ. 2007"
kew-2620425,A,Dilleniaceae,,Acrotrema,,"arnottianum",,"","Wight",Accepted,,M,WCSP (in review),752797,316445-1,"Ill. Ind. Bot.","1: 9","","1840"
kew-2620427,A,Dilleniaceae,,Acrotrema,,"costatum",,"","Jack",Accepted,,M,WCSP (in review),752799,316447-1,"Malayan Misc.","1(5): 36","","1820"
kew-2620428,A,Dilleniaceae,,Acrotrema,,"dissectum",,"","Thwaites",Accepted,,M,WCSP (in review),752800,316449-1,"Hooker's J. Bot. Kew Gard. Misc.","8: 242","","1856"
kew-2620430,A,Dilleniaceae,,Acrotrema,,"intermedium",,"","Thwaites",Accepted,,M,WCSP (in review),752802,316451-1,"Enum. Pl. Zeyl.","3","","1858"
kew-2620431,A,Dilleniaceae,,Acrotrema,,"lanceolatum",,"","Hook.",Accepted,,M,WCSP (in review),752803,316452-1,"Hooker's Icon. Pl.","2: t. 157","","1837"
kew-2620432,A,Dilleniaceae,,Acrotrema,,"lyratum",,"","Thwaites",Accepted,,M,WCSP (in review),752804,316453-1,"Hooker's J. Bot. Kew Gard. Misc.","8: 242","","1856"
kew-2620434,A,Dilleniaceae,,Acrotrema,,"thwaitesii",,"","Hook.f. & Thomson",Accepted,,M,WCSP (in review),752806,316455-1,"Hooker's J. Bot. Kew Gard. Misc.","8: 241","","1856"
kew-2620436,A,Dilleniaceae,,Acrotrema,,"uniflorum",,"","Hook.",Accepted,,M,WCSP (in review),752808,316456-1,"Hooker's Icon. Pl.","2: t. 157","","1837"
kew-2620438,A,Dilleniaceae,,Acrotrema,,"uniflorum",var.,"bullatum","(Thwaites) Hook.f. & Thomson",Accepted,,L,WCSP (in review),752810,,"Fl. Brit. India","1: 33","","1872"
kew-2620444,A,Dilleniaceae,,Acrotrema,,"uniflorum",var.,"sylvaticum","(Thwaites) Hook.f. & Thomson",Accepted,,L,WCSP (in review),752816,,"Fl. Brit. India","1: 33","","1872"
kew-2620446,A,Dilleniaceae,,Acrotrema,,"walkeri",,"","Wight ex Thwaites",Accepted,,M,WCSP (in review),752818,316457-1,"Enum. Pl. Zeyl.","3","","1858"
kew-2623240,A,Dilleniaceae,,Adrastaea,,"salicifolia",,"","DC.",Unresolved,,L,WCSP (in review),755596,316487-1,"Syst. Nat.","1: 424","","1817"
kew-2691878,A,Dilleniaceae,,Calinea,,"bentegeati",,"","Walp. & Duchass. ex Eichler",Unresolved,,L,WCSP (in review),823517,316491-1,"Fl. Bras.","13(1): 71","","1863"
kew-2696343,A,Dilleniaceae,,Candollea,,"cygnorum",,"","Steud.",Unresolved,,L,WCSP (in review),827801,316498-1,"Pl. Preiss.","1: 275","","1845"
kew-2696357,A,Dilleniaceae,,Candollea,,"exasperata",,"","Steud.",Unresolved,,L,WCSP (in review),827815,316501-1,"Pl. Preiss.","1: 276","","1845"
kew-2696374,A,Dilleniaceae,,Candollea,,"huegelii",,"","Benth.",Unresolved,,L,WCSP (in review),827832,316506-1,"Enum. Pl. Hügel","4","","1837"
kew-2696422,A,Dilleniaceae,,Candollea,,"striata",,"","Steud.",Unresolved,,L,WCSP (in review),827880,316516-1,"Pl. Preiss.","1: 274","","1845"
kew-2696718,A,Dilleniaceae,,Capellia,,"multiflora",,"","Blume",Unresolved,,L,WCSP (in review),828149,316525-1,"Bijdr.","5","","1825"
kew-2730735,A,Dilleniaceae,,Colbertia,,"minor",,"","Zoll. & Moritzi",Unresolved,,L,WCSP (in review),861043,316536-1,"Natuur- Geneesk. Arch. Ned.-Indië","2: 579","","1845"
kew-2748841,A,Dilleniaceae,,Curatella,,"americana",,"","L.",Accepted,,M,WCSP (in review),878798,321019-2,"Syst. Nat. ed. 10","2: 1079","","1759"
tro-10900006,A,Dilleniaceae,,Curatella,,"anomola",,"","Taub.",Unresolved,,L,TRO,10900006,,"","","",""
kew-2748844,A,Dilleniaceae,,Curatella,,"coriacea",,"","(Mart. & Zucc.) Benoist",Unresolved,,L,WCSP (in review),878801,72712-2,"Bull. Soc. Bot. France","60: 394","","1913"
kew-2758391,A,Dilleniaceae,,Davilla,,"alata",,"","(Vent.) Briq.",Accepted,,L,WCSP (in review),888043,77008-2,"Annuaire Conserv. Jard. Bot. Genève","4: 217","","1900"
kew-2758392,A,Dilleniaceae,,Davilla,,"angustifolia",,"","A.St.-Hil.",Accepted,,M,WCSP (in review),888044,316555-1,"Fl. Bras. Merid.","1: 19","","1824"
kew-2895962,A,Dilleniaceae,,Davilla,,"aymardii",,"","Fraga",Accepted,,M,WCSP (in review),1018846,77099654-1,"Brittonia","60: 359","","2008"
kew-2604145,A,Dilleniaceae,,Davilla,,"bahiana",,"","Aymard",Accepted,,M,WCSP (in review),737358,77083940-1,"Novon","17: 282","","2007"
kew-2604146,A,Dilleniaceae,,Davilla,,"bilobata",,"","Aymard",Accepted,,M,WCSP (in review),737359,77083941-1,"Novon","17: 284","","2007"
kew-2758401,A,Dilleniaceae,,Davilla,,"cearensis",,"","Huber",Accepted,,M,WCSP (in review),888053,77014-2,"Bull. Herb. Boissier","II, 1: 312","","1901"
kew-2758403,A,Dilleniaceae,,Davilla,,"cuatrecasasii",,"","Aymard",Accepted,,M,WCSP (in review),888055,70029999-1,"Acta Bot. Venez.","25: 153","","2002"
kew-2758404,A,Dilleniaceae,,Davilla,,"cuspidulata",,"","Mart. ex Eichler",Accepted,,M,WCSP (in review),888056,316563-1,"Fl. Bras.","13(1): 191","","1864"
kew-2758407,A,Dilleniaceae,,Davilla,,"elliptica",,"","A.St.-Hil.",Accepted,,M,WCSP (in review),888059,316566-1,"Fl. Bras. Merid.","1: 17","","1824"
kew-2758409,A,Dilleniaceae,,Davilla,,"emarginata",,"","Sleumer",Unresolved,,L,WCSP (in review),888061,77017-2,"Repert. Spec. Nov. Regni Veg.","39: 274","","1936"
kew-2758410,A,Dilleniaceae,,Davilla,,"flexuosa",,"","A.St.-Hil.",Accepted,,M,WCSP (in review),888062,316569-1,"Fl. Bras. Merid.","1: 17","","1824"
kew-2758412,A,Dilleniaceae,,Davilla,,"glabrata",,"","Mart. ex Eichler",Accepted,,M,WCSP (in review),888064,316571-1,"Fl. Bras.","13(1): 97","","1863"
