ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50173965,P,Diplaziopsidaceae,,Diplaziopsis,,"brunoniana",,"","(Wall.) W.M. Chu",Accepted,,M,TRO,50173965,17564320-1,"Acta Bot. Yunnan.","16(2): 127","127","1994"
tro-26618443,P,Diplaziopsidaceae,,Diplaziopsis,,"cavaleriana",,"","(Christ) C. Chr.",Accepted,,M,TRO,26618443,17245830-1,"Index Filic., Suppl. 1,","25","25","1913"
tro-26618444,P,Diplaziopsidaceae,,Diplaziopsis,,"hainanensis",,"","Ching",Accepted,,M,TRO,26618444,17435430-1,"Acta Phytotax. Sin.","9(1): 34–35, pl. 3","34","1964"
tro-26618445,P,Diplaziopsidaceae,,Diplaziopsis,,"intermedia",,"","Ching",Accepted,,M,TRO,26618445,17435440-1,"Acta Phytotax. Sin.","9(1): 32–33, pl. 2, f. 3–4","32","1964"
tro-26600134,P,Diplaziopsidaceae,,Diplaziopsis,,"javanica",,"","(Blume) C. Chr.",Accepted,,M,TRO,26600134,,"Index Filic.","fasc. 4: 227","227","1905"
tro-100355970,P,Diplaziopsidaceae,,Diplaziopsis,,"pycnocarpa",,"","(Spreng.) M.G. Price",Accepted,,M,TRO,100355970,1045472-2,"Contr. Univ. Michigan Herb.","17: 269","269","1990"
ifn-56459,P,Diplaziopsidaceae,,Hemidictyum,,"brunonis",,"","C.Presl",Unresolved,,L,IPNI,17116850-1,17116850-1,"Tent. Pterid.","111 t. 3 f. 25, 26. 1836","","1836"
ifn-56460,P,Diplaziopsidaceae,,Hemidictyum,,"ceterach",,"","Bedd.",Unresolved,,L,IPNI,17116860-1,17116860-1,"Ferns br. Ind. Suppl.","13. 1876","","1876"
ifn-56461,P,Diplaziopsidaceae,,Hemidictyum,,"douglasii",,"","C.Presl",Unresolved,,L,IPNI,17116870-1,17116870-1,"Tent. Pterid.","111. 1836","","1836"
ifn-56462,P,Diplaziopsidaceae,,Hemidictyum,,"drummondii",,"","E.Fourn.",Unresolved,,L,IPNI,17116880-1,17116880-1,"Ann. Sci. Nat., Bot.","s","","1873"
ifn-56464,P,Diplaziopsidaceae,,Hemidictyum,,"hookerianum",,"","T.Moore",Unresolved,,L,IPNI,17116900-1,17116900-1,"Index Fil. (T. Moore)","130. 1859","","1859"
tro-26602290,P,Diplaziopsidaceae,,Hemidictyum,,"marginatum",,"","(L.) C. Presl",Accepted,,M,TRO,26602290,17116920-1,"Tent. Pterid.","111, t. 3, f. 24","111","1836"
ifn-56467,P,Diplaziopsidaceae,,Hemidictyum,,"peruvianum",,"","C.Presl",Unresolved,,L,IPNI,17116930-1,17116930-1,"Epimel. Bot.","74","","1851 [Oct 1851]"
ifn-56471,P,Diplaziopsidaceae,,Homalosorus,,"pycnocarpus",,"","Small",Unresolved,,L,IPNI,123747-2,123747-2,"Ferns Vicin. New York","80","","1935"
