ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35100369,B,Encalyptaceae,,Bryobrittonia,,"longipes",,"","(Mitt.) D.G. Horton",Accepted,,M,TRO,35100369,,"Brittonia","30: 19","19","1978"
tro-35134246,B,Encalyptaceae,,Encalypta,,"affinis",,"","R. Hedw.",Accepted,,M,TRO,35134246,,"Beitr. Naturk.","1: 121. pl. 4","121","1805"
tro-35134248,B,Encalyptaceae,,Encalypta,,"alpina",,"","Sm.",Accepted,,M,TRO,35134248,,"Engl. Bot.","20: 1419","1419","1805"
tro-35134249,B,Encalyptaceae,,Encalypta,,"alpina",var.,"fimbriata","(Kindb.) Podp.",Accepted,,L,TRO,35134249,,"Consp. Musc. Eur.","160","160","1954"
tro-35134256,B,Encalyptaceae,,Encalypta,,"armata",,"","Broth. ex Dusén",Accepted,,M,TRO,35134256,,"Ark. Bot.","6(8): 32. 12 f. 12–14","32","1906"
tro-35217377,B,Encalyptaceae,,Encalypta,,"asiatica",,"","J.C. Zhao & L. Li",Accepted,,M,TRO,35217377,,"Hikobia","14: 383","383","2006"
tro-35134257,B,Encalyptaceae,,Encalypta,,"asperifolia",,"","Mitt.",Accepted,,M,TRO,35134257,,"J. Linn. Soc., Bot.","12: 181","181","1869"
tro-35134263,B,Encalyptaceae,,Encalypta,,"brevicollis",,"","(Bruch & Schimp.) Ångström",Accepted,,M,TRO,35134263,,"Nova Acta Regiae Soc. Sci. Upsal.","12: 362","362","1844"
tro-35183811,B,Encalyptaceae,,Encalypta,,"brevipes",,"","Schljakov",Accepted,,M,TRO,35183811,,"Bot. Mater. Otd. Sporov. Rast., Bot. Inst. Komarova Akad Nauk SSSR","7: 227. pl. 1","227","1951"
tro-35186258,B,Encalyptaceae,,Encalypta,,"buxbaumioidea",,"","T. Cao, C. Gao & X.L. Bai",Accepted,,M,TRO,35186258,,"Acta Bryol. Asiat.","2: 1. f. 1","1","1990"
tro-35134268,B,Encalyptaceae,,Encalypta,,"ciliata",,"","Hedw.",Accepted,,M,TRO,35134268,,"Sp. Musc. Frond.","61","61","1801"
tro-35134285,B,Encalyptaceae,,Encalypta,,"cirrata",,"","(Hedw.) Sw.",Accepted,,M,TRO,35134285,,"Monthly Rev.","34: 538","538","1801"
tro-35134300,B,Encalyptaceae,,Encalypta,,"cuspidata",,"","Bruch & Schimp. ex Müll. Hal.",Accepted,,M,TRO,35134300,,"Syn. Musc. Frond.","1: 515","515","1849"
tro-35134302,B,Encalyptaceae,,Encalypta,,"daviesii",,"","(Dicks. ex With.) Sm.",Accepted,,M,TRO,35134302,,"Fl. Brit.","3: 1183","1183","1804"
tro-35140587,B,Encalyptaceae,,Encalypta,,"flowersiana",,"","D.G. Horton",Accepted,,M,TRO,35140587,,"Bryologist","82: 374. f. 12–23","374","1979"
tro-35134320,B,Encalyptaceae,,Encalypta,,"grandis",,"","Sw. ex Wahlenb.",Unresolved,,L,TRO,35134320,,"Fl. Suec. (ed. 2)","2: 791","791","1831"
tro-35134321,B,Encalyptaceae,,Encalypta,,"hedbergii",,"","P. de la Varde",Accepted,,M,TRO,35134321,,"Ark. Bot., n.s.,","3: 139. f. 6","139","1955"
tro-35134329,B,Encalyptaceae,,Encalypta,,"laevigata",,"","Bruch",Unresolved,,L,TRO,35134329,,"Flora","9: 275","275","1826"
tro-35134333,B,Encalyptaceae,,Encalypta,,"leiocarpa",,"","Kindb.",Unresolved,,L,TRO,35134333,,"Bull. Torrey Bot. Club","17: 273","273","1890"
tro-35134335,B,Encalyptaceae,,Encalypta,,"leiomitra",,"","(Kindb.) Kindb.",Accepted,,M,TRO,35134335,,"Cat. Canad. Pl., Musci","94","94","1892"
tro-35134341,B,Encalyptaceae,,Encalypta,,"litardierei",,"","Thér. & Trab.",Unresolved,,L,TRO,35134341,,"Bull. Soc. Hist. Nat. Afrique N.","21: 28","28","1930"
tro-35134342,B,Encalyptaceae,,Encalypta,,"longicollis",,"","Bruch",Accepted,,M,TRO,35134342,,"Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.","1: 282. 10","282","1832"
tro-35134347,B,Encalyptaceae,,Encalypta,,"microphylla",,"","Nees & Hornsch.",Accepted,,M,TRO,35134347,,"Bryol. Germ.","2(1): 44. 14 f. 3","44","1827"
tro-35134348,B,Encalyptaceae,,Encalypta,,"microstoma",,"","Bals.-Criv. & De Not.",Accepted,,M,TRO,35134348,,"Mem. Reale Accad. Sci. Torino","40: 342","342","1838"
tro-35134349,B,Encalyptaceae,,Encalypta,,"mutica",,"","I. Hagen",Accepted,,M,TRO,35134349,,"Tromsø Mus. Aarsh.","21–22: 91. 1 f. 4","91","1899"
tro-35134350,B,Encalyptaceae,,Encalypta,,"novae-valesiae",,"","Hampe",Accepted,,M,TRO,35134350,,"Linnaea","37: 513","513","1872"
tro-35200556,B,Encalyptaceae,,Encalypta,,"obovatifolia",,"","Nyholm",Accepted,,M,TRO,35200556,,"Lindbergia","20: 83, f. 1","83","1995"
tro-35134353,B,Encalyptaceae,,Encalypta,,"obtusata",,"","Cardot & Broth.",Accepted,,M,TRO,35134353,,"Kongl. Svenska Vetensk. Acad. Handl., n.s.","63(10): 25. 1 f. 17","25","1923"
