ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35158328,B,Entodontaceae,,Cribrodontium,,"werneri",,"","Herzog",Accepted,,M,TRO,35158328,,"Hedwigia","57: 242","242","1916"
tro-35158801,B,Entodontaceae,,Cuspidaria,,"schreberi",,"","(Willd. ex Brid.) Müll. Hal.",Accepted,,M,TRO,35158801,,"Nuovo Giorn. Bot. Ital., n.s.,","4: 273","273","1897"
tro-35159033,B,Entodontaceae,,Cylindrothecium,,"abbreviatum",,"","Schimp.",Accepted,,M,TRO,35159033,,"Mém. Soc. Sci. Nat. Cherbourg","16: 237","237","1872"
tro-35159037,B,Entodontaceae,,Cylindrothecium,,"aeruginosum",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35159037,,"Index Bryol. Suppl.","107","107","1900"
tro-35159038,B,Entodontaceae,,Cylindrothecium,,"akitense",,"","(Besch.) Paris",Accepted,,M,TRO,35159038,,"Index Bryol. Suppl.","107","107","1900"
tro-35159039,B,Entodontaceae,,Cylindrothecium,,"amblyophyllum",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35159039,,"Index Bryol. Suppl.","107","107","1900"
tro-35159040,B,Entodontaceae,,Cylindrothecium,,"amplirete",,"","Sull.",Accepted,,M,TRO,35159040,,"Proc. Amer. Acad. Arts","5: 284","284","1861"
tro-35159041,B,Entodontaceae,,Cylindrothecium,,"aneitense",,"","(Mitt.) Paris",Accepted,,M,TRO,35159041,,"Index Bryol. Suppl.","107","107","1900"
tro-35159042,B,Entodontaceae,,Cylindrothecium,,"angustifolium",,"","(Mitt.) Besch.",Accepted,,M,TRO,35159042,,"J. Bot. (Morot)","4: 204","204","1890"
tro-35159045,B,Entodontaceae,,Cylindrothecium,,"armittii",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35159045,,"Index Bryol. Suppl.","107","107","1900"
tro-35159046,B,Entodontaceae,,Cylindrothecium,,"attenuatum",,"","(Mitt.) Paris",Accepted,,M,TRO,35159046,,"Index Bryol.","295","295","1894"
tro-35159047,B,Entodontaceae,,Cylindrothecium,,"aurescens",,"","(Hampe) Schimp.",Accepted,,M,TRO,35159047,,"Mém. Soc. Sci. Nat. Cherbourg","16: 240","240","1872"
tro-35159050,B,Entodontaceae,,Cylindrothecium,,"bandongiae",,"","(Müll. Hal.) Bosch & Sande Lac.",Accepted,,M,TRO,35159050,,"Bryol. Jav.","2: 127. 230","127","1865"
tro-35159052,B,Entodontaceae,,Cylindrothecium,,"bernoullii",,"","(Hampe ex Müll. Hal.) Paris",Accepted,,M,TRO,35159052,,"Index Bryol. Suppl.","107","107","1900"
