ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35179405,B,Erpodiaceae,,Aulacopilum,,"abbreviatum",,"","Mitt.",Accepted,,M,TRO,35179405,,"J. Linn. Soc., Bot.","13: 308. 5D","308","1873"
tro-35179408,B,Erpodiaceae,,Aulacopilum,,"glaucum",,"","Wilson",Accepted,,M,TRO,35179408,,"London J. Bot.","7: 90. 4A","90","1848"
tro-35179409,B,Erpodiaceae,,Aulacopilum,,"hodgkinsoniae",,"","(Hampe & Müll. Hal.) Broth.",Accepted,,M,TRO,35179409,,"Nat. Pflanzenfam.","I(3): 711. 533E–K","711","1905"
tro-35179412,B,Erpodiaceae,,Aulacopilum,,"japonicum",,"","Broth. ex Cardot",Accepted,,M,TRO,35179412,,"Bull. Soc. Bot. Genève","1: 131","131","1909"
tro-35179413,B,Erpodiaceae,,Aulacopilum,,"luzonense",,"","E.B. Bartram",Accepted,,M,TRO,35179413,,"Philipp. J. Sci.","68: 169. f. 209","169","1939"
tro-35179415,B,Erpodiaceae,,Aulacopilum,,"piliferum",,"","Nog.",Accepted,,M,TRO,35179415,,"J. Jap. Bot.","28: 302. 64","302","1953"
tro-35183781,B,Erpodiaceae,,Aulacopilum,,"schaeferi",,"","H.A. Crum",Accepted,,M,TRO,35183781,,"Bryologist","91: 191. f. 1–6","191","1988"
tro-35179416,B,Erpodiaceae,,Aulacopilum,,"trichophyllum",,"","Ångstr.",Accepted,,M,TRO,35179416,,"Bot. Zeitung (Berlin)","20: 393","393","1862"
tro-35179417,B,Erpodiaceae,,Aulacopilum,,"tumidulum",,"","Thwaites & Mitt.",Accepted,,M,TRO,35179417,,"J. Linn. Soc., Bot.","13: 307. 5C","307","1873"
tro-35201142,B,Erpodiaceae,,Erpodium,,"abbreviatum",,"","(Mitt.) I.G. Stone",Accepted,,M,TRO,35201142,,"J. Bryol.","19: 488","488","1997"
tro-35168587,B,Erpodiaceae,,Erpodium,,"acrifolium",,"","Pursell",Accepted,,M,TRO,35168587,,"Bryologist","69: 465. f. 7–14","465","1966"
tro-35100066,B,Erpodiaceae,,Erpodium,,"australiense",,"","I.G. Stone",Accepted,,M,TRO,35100066,,"J. Bryol.","12: 191. f. 1: a–j, 2: a–k. pl. 1","191","1982"
tro-35135367,B,Erpodiaceae,,Erpodium,,"beccarii",,"","Müll. Hal.",Accepted,,M,TRO,35135367,,"Nuovo Giorn. Bot. Ital.","4: 18","18","1872"
tro-35135373,B,Erpodiaceae,,Erpodium,,"coronatum",,"","(Hook. f. & Wilson) Mitt.",Accepted,,M,TRO,35135373,,"J. Linn. Soc., Bot.","12: 403","403","1869"
tro-35135375,B,Erpodiaceae,,Erpodium,,"distichum",,"","Wager & Dixon",Accepted,,M,TRO,35135375,,"Trans. Roy. Soc. South Africa","8: 208. 14","208","1920"
tro-35135377,B,Erpodiaceae,,Erpodium,,"domingense",,"","(Spreng.) Brid.",Accepted,,M,TRO,35135377,,"Bryol. Univ.","2: 788","788","1827"
tro-35169383,B,Erpodiaceae,,Erpodium,,"domingense",var.,"cubense","(E. Britton) H.A. Crum",Accepted,,L,TRO,35169383,,"Nova Hedwigia","23: 209","209","1972"
tro-35201139,B,Erpodiaceae,,Erpodium,,"glaucum",,"","(Wilson) I.G. Stone",Accepted,,M,TRO,35201139,,"J. Bryol.","19: 487","487","1997"
tro-35135379,B,Erpodiaceae,,Erpodium,,"glaziovii",,"","Hampe",Accepted,,M,TRO,35135379,,"Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn","4: 54","54","1872"
tro-35135380,B,Erpodiaceae,,Erpodium,,"grossirete",,"","Müll. Hal.",Accepted,,M,TRO,35135380,,"Verh. K.K. Zool.-Bot. Ges. Wien","43: 13","13","1893"
tro-35135382,B,Erpodiaceae,,Erpodium,,"hodgkinsoniae",,"","Hampe & Müll. Hal.",Accepted,,M,TRO,35135382,,"Flora","70: 448","448","1887"
tro-35135383,B,Erpodiaceae,,Erpodium,,"holstii",,"","Broth.",Accepted,,M,TRO,35135383,,"Bot. Jahrb. Syst.","20: 215","215","1894"
tro-35169384,B,Erpodiaceae,,Erpodium,,"luzonense",,"","(E.B. Bartram) H.A. Crum",Accepted,,M,TRO,35169384,,"Nova Hedwigia","23: 216","216","1972"
tro-35135388,B,Erpodiaceae,,Erpodium,,"madagassum",,"","Paris & Renauld",Accepted,,M,TRO,35135388,,"Rev. Bryol.","30: 95","95","1903"
tro-35135390,B,Erpodiaceae,,Erpodium,,"mangiferae",,"","Müll. Hal.",Accepted,,M,TRO,35135390,,"Linnaea","37: 178","178","1873"
tro-35201141,B,Erpodiaceae,,Erpodium,,"noguchianum",,"","I.G. Stone",Accepted,,M,TRO,35201141,,"J. Bryol.","19: 488","488","1997"
tro-35135394,B,Erpodiaceae,,Erpodium,,"perrottetii",,"","(Mont.) A. Jaeger",Accepted,,M,TRO,35135394,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1874–75: 174 (Gen. Sp. Musc. 2: 90)","174 ","1876"
tro-35135396,B,Erpodiaceae,,Erpodium,,"pringlei",,"","E. Britton",Accepted,,M,TRO,35135396,,"Bull. Torrey Bot. Club","32: 268","268","1905"
tro-35201143,B,Erpodiaceae,,Erpodium,,"schaeferi",,"","(H.A. Crum) I.G. Stone",Accepted,,M,TRO,35201143,,"J. Bryol.","19: 488","488","1997"
tro-35135397,B,Erpodiaceae,,Erpodium,,"schimperi",,"","Müll. Hal.",Accepted,,M,TRO,35135397,,"Flora","70: 449","449","1887"
tro-35201138,B,Erpodiaceae,,Erpodium,,"solmsiellaceum",,"","(Müll. Hal. & Broth.) I.G. Stone",Accepted,,M,TRO,35201138,,"J. Bryol.","19: 487","487","1997"
tro-35135400,B,Erpodiaceae,,Erpodium,,"theriotii",,"","Broth. ex Corb.",Accepted,,M,TRO,35135400,,"Bull. Mus. Natl. Hist. Nat.","18: 111","111","1912"
tro-35135401,B,Erpodiaceae,,Erpodium,,"transvaaliense",,"","Broth. & Wager",Accepted,,M,TRO,35135401,,"Trans. Roy. Soc. South Africa","8: 208. 13","208","1920"
tro-35138706,B,Erpodiaceae,,Leptangium,,"breutelii",,"","A. Jaeger",Accepted,,M,TRO,35138706,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1874–75: 155 (Gen. Sp. Musc. 2: 71)","155 ","1876"
tro-35138708,B,Erpodiaceae,,Leptangium,,"perrottetii",,"","(Mont.) Mont.",Accepted,,M,TRO,35138708,,"Syll. Gen. Sp. Crypt.","26","26","1856"
tro-35138709,B,Erpodiaceae,,Leptangium,,"repens",,"","(Hook.) Mitt.",Accepted,,M,TRO,35138709,,"J. Proc. Linn. Soc., Bot.","4: 79","79","1859"
tro-35165973,B,Erpodiaceae,,Solmsiella,,"biseriata",,"","(Austin) Steere",Accepted,,M,TRO,35165973,,"Bryologist","37: 100","100","1935"
tro-35165975,B,Erpodiaceae,,Solmsiella,,"javanica",,"","Müll. Hal.",Accepted,,M,TRO,35165975,,"Bot. Centralbl.","19: 149","149","1884"
tro-35126644,B,Erpodiaceae,,Venturiella,,"sinensis",,"","(Venturi) Müll. Hal.",Accepted,,M,TRO,35126644,,"Nuovo Giorn. Bot. Ital., n.s.,","4: 262","262","1897"
tro-35128185,B,Erpodiaceae,,Wildia,,"solmsiellacea",,"","Müll. Hal. & Broth.",Accepted,,M,TRO,35128185,,"Oefvers. Förh. Finska Vetensk.-Soc.","33: 103","103","1891"
