ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35132338,B,Eustichiaceae,,Diplostichum,,"brotheri",,"","(Besch. ex Broth.) Müll. Hal.",Accepted,,M,TRO,35132338,,"Hedwigia","36: 85","85","1897"
tro-35140567,B,Eustichiaceae,,Diplostichum,,"jamesonii",,"","(Taylor) H. Rob.",Accepted,,M,TRO,35140567,,"Smithsonian Contr. Bot.","27: 37","37","1975"
tro-35132340,B,Eustichiaceae,,Diplostichum,,"longirostre",,"","(Brid.) Mont.",Accepted,,M,TRO,35132340,,"Ann. Sci. Nat., Bot., sér. 3,","4: 117","117","1845"
tro-35180004,B,Eustichiaceae,,Eustichia,,"jamesonii",,"","(Taylor) Müll. Hal.",Accepted,,M,TRO,35180004,,"Syn. Musc. Frond.","2: 523","523","1851"
tro-35180006,B,Eustichiaceae,,Eustichia,,"longirostris",,"","(Brid.) Brid.",Accepted,,M,TRO,35180006,,"Bryol. Univ.","2: 789","789","1827"
tro-35180007,B,Eustichiaceae,,Eustichia,,"lorentzii",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35180007,,"Index Bryol. Suppl.","153","153","1900"
tro-35180009,B,Eustichiaceae,,Eustichia,,"miradorica",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35180009,,"Index Bryol. Suppl.","153","153","1900"
tro-35180010,B,Eustichiaceae,,Eustichia,,"norvegica",,"","(Brid.) Brid.",Accepted,,M,TRO,35180010,,"Bryol. Univ.","2: 789","789","1827"
tro-35180011,B,Eustichiaceae,,Eustichia,,"poeppigii",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35180011,,"Index Bryol. Suppl.","153","153","1900"
tro-35180013,B,Eustichiaceae,,Eustichia,,"spruceana",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35180013,,"Index Bryol. Suppl.","153","153","1900"
tro-35180014,B,Eustichiaceae,,Eustichia,,"ulei",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35180014,,"Index Bryol. Suppl.","153","153","1900"
