ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35157973,B,Fissidentaceae,,Conomitrium,,"acutifolium",,"","S.O. Lindberg ex Müll. Hal.",Unresolved,,L,TRO,35157973,,"Bot. Zeitung (Berlin)","22: 347","347","1864"
tro-35157975,B,Fissidentaceae,,Conomitrium,,"amoenum",,"","(Müll. Hal.) Müll. Hal.",Accepted,,M,TRO,35157975,,"Syn. Musc. Frond.","2: 527","527","1851"
tro-35157977,B,Fissidentaceae,,Conomitrium,,"amplirete",,"","Müll. Hal.",Accepted,,M,TRO,35157977,,"Gen. Musc. Frond.","73","73","1900"
tro-35157978,B,Fissidentaceae,,Conomitrium,,"angustelimbatum",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35157978,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1874–75: 42","42","1876"
tro-35161987,B,Fissidentaceae,,Conomitrium,,"arboreum",,"","(Broth.) Kindb.",Accepted,,M,TRO,35161987,,"Enum. Bryin. Exot., suppl. 2,","106","106","1891"
tro-35157983,B,Fissidentaceae,,Conomitrium,,"beccarii",,"","Hampe",Accepted,,M,TRO,35157983,,"Nuovo Giorn. Bot. Ital.","4: 290","290","1872"
tro-35157989,B,Fissidentaceae,,Conomitrium,,"brachypus",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35157989,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1874–75: 128 (Gen. Sp. Musc. 2: 44)","128 ","1876"
tro-35157990,B,Fissidentaceae,,Conomitrium,,"braunii",,"","Müll. Hal.",Accepted,,M,TRO,35157990,,"Syn. Musc. Frond.","2: 527","527","1851"
tro-35157991,B,Fissidentaceae,,Conomitrium,,"brevicaule",,"","(Broth.) Paris",Accepted,,M,TRO,35157991,,"Index Bryol. (ed. 2)","1: 351","351","1904"
tro-35157994,B,Fissidentaceae,,Conomitrium,,"bryodictyon",,"","Besch.",Unresolved,,L,TRO,35157994,,"Rev. Bryol.","13: 50","50","1891"
tro-35157995,B,Fissidentaceae,,Conomitrium,,"bryum",,"","(Müll. Hal. ex Dusén) Müll. Hal.",Accepted,,M,TRO,35157995,,"Gen. Musc. Frond.","74","74","1900"
tro-35157998,B,Fissidentaceae,,Conomitrium,,"caripense",,"","Hampe & Müll. Hal.",Accepted,,M,TRO,35157998,,"Linnaea","38: 574","574","1874"
tro-35157999,B,Fissidentaceae,,Conomitrium,,"carnosum",,"","(Broth.) Paris",Accepted,,M,TRO,35157999,,"Index Bryol. (ed. 2)","1: 351","351","1904"
tro-35158003,B,Fissidentaceae,,Conomitrium,,"crassicolle",,"","Besch.",Accepted,,M,TRO,35158003,,"Rev. Bryol.","18: 51","51","1891"
tro-35158004,B,Fissidentaceae,,Conomitrium,,"cylindraceum",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35158004,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1874–75: 128 (Gen. Sp. Musc. 2: 44)","128 ","1876"
