ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-246958,A,Flacourtiaceae,,Gertrudia,,"amplifolia",,"","K.Schum.",Unresolved,,L,WCSP,246958,111694-1,"Fl. Schutzgeb. Südsee","455","","1900"
kew-247378,A,Flacourtiaceae,,Guidonia,,"apetala",,"","Kuntze",Unresolved,,L,WCSP,247378,114669-2,"Revis. Gen. Pl.","1: 44","","1891"
kew-247379,A,Flacourtiaceae,,Guidonia,,"calophylla",,"","Kuntze",Unresolved,,L,WCSP,247379,114671-2,"Revis. Gen. Pl.","1: 44","","1891"
kew-247380,A,Flacourtiaceae,,Guidonia,,"coriacea",,"","Kuntze",Unresolved,,L,WCSP,247380,114672-2,"Revis. Gen. Pl.","1: 44","","1891"
kew-247381,A,Flacourtiaceae,,Guidonia,,"corymbulosa",,"","Kuntze",Unresolved,,L,WCSP,247381,114673-2,"Revis. Gen. Pl.","1: 44","","1891"
kew-247382,A,Flacourtiaceae,,Guidonia,,"cupulata",,"","Kuntze",Unresolved,,L,WCSP,247382,114674-2,"Revis. Gen. Pl.","1: 44","","1891"
kew-247383,A,Flacourtiaceae,,Guidonia,,"icosandra",,"","(Sw.) Kuntze",Unresolved,,L,WCSP,247383,114682-2,"Revis. Gen. Pl.","1: 44","","1891"
kew-247384,A,Flacourtiaceae,,Guidonia,,"laetia",,"","Loefl. ex Willd.",Unresolved,,L,WCSP,247384,111702-1,"Sp. Pl.","2: 1163","","1799"
kew-4834857,A,Flacourtiaceae,,Guidonia,,"laetioides",,"","(A.Rich.) M.Gómez",Unresolved,,L,WCSP (in review),1031057,114684-2,"Dicc. Bot. Nom. Vulg. Cub. & Puerto-Riquenos","55","","1889"
kew-4834862,A,Flacourtiaceae,,Guidonia,,"ovata",,"","Baill. ex Laness.",Unresolved,,L,WCSP (in review),1031062,779747-1,"Pl. Util. Col. Franç.","379","","1886"
kew-247386,A,Flacourtiaceae,,Guidonia,,"procera",,"","(Poepp.) Kuntze",Unresolved,,L,WCSP,247386,114689-2,"Revis. Gen. Pl.","1: 44","","1891"
kew-247387,A,Flacourtiaceae,,Guidonia,,"serrata",,"","Kuntze",Unresolved,,L,WCSP,247387,114693-2,"Revis. Gen. Pl.","1: 44","","1891"
kew-247388,A,Flacourtiaceae,,Guidonia,,"suaveolens",,"","(Poepp.) Kuntze",Unresolved,,L,WCSP,247388,114696-2,"Revis. Gen. Pl.","1: 44","","1891"
kew-247389,A,Flacourtiaceae,,Guidonia,,"ternstroemiodes",,"","(Griseb.) Kuntze",Unresolved,,L,WCSP,247389,114700-2,"Revis. Gen. Pl.","1: 44","","1891"
kew-247390,A,Flacourtiaceae,,Guidonia,,"thamnia",,"","Kuntze",Unresolved,,L,WCSP,247390,114701-2,"Revis. Gen. Pl.","1: 44","","1891"
kew-345359,A,Flacourtiaceae,,Koelera,,"laurifolia",,"","Willd.",Unresolved,,L,WCSP,345359,,"Sp. Pl.","4: 750","","1805"
kew-130744,A,Flacourtiaceae,,Myladenia,,"serrata",,"","Airy Shaw",Unresolved,,L,WCSP,130744,352457-1,"Kew Bull.","32: 79","","1977"
