ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2813974,A,Frankeniaceae,,Franca,,"mollis",,"","Vis.",Unresolved,,L,WCSP (in review),941480,366205-1,"Mem. Reale Ist. Veneto Sci.","16: 158","","1871"
kew-2814121,A,Frankeniaceae,,Frankenia,,"adpressa",,"","Summerh.",Accepted,,M,WCSP (in review),941626,366214-1,"J. Linn. Soc., Bot.","48: 372","","1930"
kew-2814122,A,Frankeniaceae,,Frankenia,,"ambita",,"","Ostenf.",Accepted,,M,WCSP (in review),941627,366215-1,"Dansk Bot. Ark.","2(8): 24","","1918"
kew-2814128,A,Frankeniaceae,,Frankenia,×,"auriculata",,"","Pau",Unresolved,,L,WCSP (in review),941633,366220-1,"Bull. Acad. Int. Géogr. Bot.","14: 212","","1904"
kew-2814129,A,Frankeniaceae,,Frankenia,,"ballii",,"","Engl.",Unresolved,,L,WCSP (in review),941634,366221-1,"Veg. Erde","9(III 2): 527","","1921"
kew-2814133,A,Frankeniaceae,,Frankenia,,"boissieri",,"","Reut. ex Boiss.",Accepted,,M,WCSP (in review),941638,366224-1,"Voy. Bot. Espagne","2: 721","","1845"
kew-2814134,A,Frankeniaceae,,Frankenia,,"brachyphylla",,"","(Benth.) Summerh.",Accepted,,M,WCSP (in review),941639,366225-1,"J. Linn. Soc., Bot.","48: 355","","1930"
kew-2814135,A,Frankeniaceae,,Frankenia,,"bracteata",,"","Turcz.",Accepted,,M,WCSP (in review),941640,366226-1,"Bull. Soc. Imp. Naturalistes Moscou","27(2): 368","","1854"
kew-2814136,A,Frankeniaceae,,Frankenia,,"bucharica",,"","Basil.",Accepted,,M,WCSP (in review),941641,366227-1,"Bot. Mater. Gerb. Glavn. Bot. Sada RSFSR","2: 38","","1921"
kew-2814138,A,Frankeniaceae,,Frankenia,,"bucharica",subsp.,"mironovii","(Botsch.) Chrtek",Accepted,,L,WCSP (in review),941643,,"in Fl. Iran.","99: 5","","1972"
kew-2814139,A,Frankeniaceae,,Frankenia,,"bucharica",subsp.,"transkaratavica","(Botsch.) Chrtek",Accepted,,L,WCSP (in review),941644,,"in Fl. Iran.","99: 5","","1972"
kew-2814140,A,Frankeniaceae,,Frankenia,,"bucharica",subsp.,"vvedenskyi","(Botsch.) Chrtek",Accepted,,L,WCSP (in review),941645,,"in Fl. Iran.","99: 5","","1972"
kew-2814148,A,Frankeniaceae,,Frankenia,,"chilensis",,"","C.Presl ex Schult. & Schult.f.",Accepted,,M,WCSP (in review),941653,,"Syst. Veg.","7: 1618","","1830"
kew-2814149,A,Frankeniaceae,,Frankenia,,"chubutensis",,"","Speg.",Accepted,,M,WCSP (in review),941654,366236-1,"Anales Mus. Nac. Buenos Aires","7: 238","","1902"
kew-2814150,A,Frankeniaceae,,Frankenia,,"cinerea",,"","A.DC.",Accepted,,M,WCSP (in review),941655,366237-1,"Linnaea","25: 575","","1852"
kew-2814154,A,Frankeniaceae,,Frankenia,,"conferta",,"","Diels",Accepted,,M,WCSP (in review),941659,366241-1,"Bot. Jahrb. Syst.","35: 389","","1904"
kew-2814155,A,Frankeniaceae,,Frankenia,,"confusa",,"","Summerh.",Accepted,,M,WCSP (in review),941660,366242-1,"J. Linn. Soc., Bot.","48: 363","","1930"
kew-2814156,A,Frankeniaceae,,Frankenia,,"connata",,"","Sprague",Accepted,,M,WCSP (in review),941661,366243-1,"Bull. Misc. Inform. Kew","1925: 426","","1925"
kew-2814157,A,Frankeniaceae,,Frankenia,,"cordata",,"","J.M.Black",Accepted,,M,WCSP (in review),941662,366244-1,"Trans. & Proc. Roy. Soc. South Australia","42: 177","","1918"
kew-2814158,A,Frankeniaceae,,Frankenia,,"corymbosa",,"","Desf.",Accepted,,M,WCSP (in review),941663,366245-1,"Fl. Atlant.","1: 315","","1798"
kew-2814164,A,Frankeniaceae,,Frankenia,,"crispa",,"","J.M.Black",Accepted,,M,WCSP (in review),941669,366248-1,"Trans. & Proc. Roy. Soc. South Australia","56: 43","","1932"
kew-2814165,A,Frankeniaceae,,Frankenia,,"cupularis",,"","Summerh.",Accepted,,M,WCSP (in review),941670,366249-1,"J. Linn. Soc., Bot.","48: 371","","1930"
kew-2814166,A,Frankeniaceae,,Frankenia,,"cymbifolia",,"","Hook.",Unresolved,,L,WCSP (in review),941671,366250-1,"Hooker's Icon. Pl.","3: t. 265","","1840"
kew-2814167,A,Frankeniaceae,,Frankenia,,"decurrens",,"","Summerh.",Accepted,,M,WCSP (in review),941672,366251-1,"J. Linn. Soc., Bot.","48: 356","","1930"
kew-2814168,A,Frankeniaceae,,Frankenia,,"densa",,"","Summerh.",Accepted,,M,WCSP (in review),941673,366252-1,"J. Linn. Soc., Bot.","48: 373","","1930"
kew-2814170,A,Frankeniaceae,,Frankenia,,"desertorum",,"","Summerh.",Accepted,,M,WCSP (in review),941675,366254-1,"J. Linn. Soc., Bot.","48: 358","","1930"
kew-2814171,A,Frankeniaceae,,Frankenia,,"drummondii",,"","Benth.",Accepted,,M,WCSP (in review),941676,366255-1,"Fl. Austral.","1: 152","","1863"
kew-2814173,A,Frankeniaceae,,Frankenia,,"eremophila",,"","Summerh.",Accepted,,M,WCSP (in review),941678,366257-1,"J. Linn. Soc., Bot.","48: 375","","1930"
kew-2814174,A,Frankeniaceae,,Frankenia,,"ericifolia",,"","C.Sm. ex DC.",Accepted,,M,WCSP (in review),941679,366259-1,"Prodr.","1: 350","","1824"
kew-2814177,A,Frankeniaceae,,Frankenia,,"ericifolia",subsp.,"latifolia","(Webb & Berthel.) Brochmann, Lobin & Sunding",Accepted,,L,WCSP (in review),941682,988682-1,"Nordic J. Bot.","15: 622","","1995 publ. 1996"
kew-2814182,A,Frankeniaceae,,Frankenia,,"fecunda",,"","Summerh.",Accepted,,M,WCSP (in review),941687,366262-1,"J. Linn. Soc., Bot.","48: 368","","1930"
kew-2814183,A,Frankeniaceae,,Frankenia,,"fischeri",,"","Hicken",Accepted,,M,WCSP (in review),941688,366263-1,"Physis (Buenos Aires)","2: 108","","1916"
kew-2814184,A,Frankeniaceae,,Frankenia,,"flabellata",,"","Sprague",Accepted,,M,WCSP (in review),941689,366264-1,"Bull. Misc. Inform. Kew","1925: 427","","1925"
kew-2814185,A,Frankeniaceae,,Frankenia,,"floribunda",,"","Pomel",Unresolved,,L,WCSP (in review),941690,,"Nouv. Mat. Fl. Atl.","2: 343","","1875"
kew-2814188,A,Frankeniaceae,,Frankenia,,"foliosa",,"","J.M.Black",Accepted,,M,WCSP (in review),941693,366268-1,"Trans. & Proc. Roy. Soc. South Australia","42: 177","","1918"
kew-2814190,A,Frankeniaceae,,Frankenia,,"georgei",,"","Diels",Accepted,,M,WCSP (in review),941695,366271-1,"Bot. Jahrb. Syst.","35: 389","","1904"
kew-2814192,A,Frankeniaceae,,Frankenia,,"glomerata",,"","Turcz.",Accepted,,M,WCSP (in review),941697,366273-1,"Bull. Soc. Imp. Naturalistes Moscou","27(2): 368","","1854"
kew-2814194,A,Frankeniaceae,,Frankenia,,"gracilis",,"","Summerh.",Accepted,,M,WCSP (in review),941699,366275-1,"J. Linn. Soc., Bot.","48: 380","","1930"
kew-2814200,A,Frankeniaceae,,Frankenia,,"gypsophila",,"","I.M.Johnst.",Accepted,,M,WCSP (in review),941705,105639-2,"J. Arnold Arbor.","20: 237","","1939"
kew-2814201,A,Frankeniaceae,,Frankenia,,"hamata",,"","Summerh.",Accepted,,M,WCSP (in review),941706,366279-1,"J. Linn. Soc., Bot.","48: 381","","1930"
kew-2814202,A,Frankeniaceae,,Frankenia,,"hirsuta",,"","L.",Accepted,,M,WCSP (in review),941707,366280-1,"Sp. Pl.","331","","1753"
kew-2814206,A,Frankeniaceae,,Frankenia,,"hispidula",,"","Summerh.",Accepted,,M,WCSP (in review),941711,366283-1,"Bull. Misc. Inform. Kew","1939: 177","","1939"
kew-2814208,A,Frankeniaceae,,Frankenia,,"interioris",,"","Ostenf.",Accepted,,M,WCSP (in review),941713,366285-1,"Dansk Bot. Ark.","2(8): 52","","1918"
kew-2814213,A,Frankeniaceae,,Frankenia,,"irregularis",,"","Summerh.",Accepted,,M,WCSP (in review),941718,366288-1,"J. Linn. Soc., Bot.","48: 358","","1930"
kew-2814214,A,Frankeniaceae,,Frankenia,,"jamesii",,"","Torr. ex A.Gray",Accepted,,M,WCSP (in review),941719,277238-2,"Proc. Amer. Acad. Arts","8: 622","","1873"
kew-2814215,A,Frankeniaceae,,Frankenia,,"johnstonii",,"","Correll",Accepted,,M,WCSP (in review),941720,105640-2,"Rhodora","68: 424","","1966"
kew-2814216,A,Frankeniaceae,,Frankenia,×,"julii",,"","Sennen & Mauricio",Unresolved,,L,WCSP (in review),941721,366290-1,"Cat. Fl. Rif Orient.","16","","1933"
kew-2814217,A,Frankeniaceae,,Frankenia,,"juniperoides",,"","(Hieron.) M.N.Correa",Accepted,,M,WCSP (in review),941722,366291-1,"in Fl. Prov. Buenos Aires","4: 231","","1966"
kew-2814219,A,Frankeniaceae,,Frankenia,,"laevis",,"","L.",Accepted,,M,WCSP (in review),941724,366294-1,"Sp. Pl.","331","","1753"
kew-2814220,A,Frankeniaceae,,Frankenia,,"laevis",subsp.,"composita","(Pau & Font Quer) Nègre",Accepted,,L,WCSP (in review),941725,,"Trav. Inst. Sci. Chérifien, Sér. Bot.","12: 25","","1957"
kew-2814224,A,Frankeniaceae,,Frankenia,,"laevis",subsp.,"velutina","(DC.) Maire",Accepted,,L,WCSP (in review),941729,,"Cat. Pl. Maroc","2: 486","","1932"
kew-2814227,A,Frankeniaceae,,Frankenia,,"latior",,"","Sprague & Summerh.",Accepted,,M,WCSP (in review),941732,366299-1,"J. Linn. Soc., Bot.","48: 376","","1930"
kew-2814228,A,Frankeniaceae,,Frankenia,,"laxiflora",,"","Summerh.",Accepted,,M,WCSP (in review),941733,366300-1,"J. Linn. Soc., Bot.","48: 367","","1930"
kew-2814232,A,Frankeniaceae,,Frankenia,,"magnifica",,"","Summerh.",Accepted,,M,WCSP (in review),941737,366304-1,"J. Linn. Soc., Bot.","48: 368","","1930"
kew-2814234,A,Frankeniaceae,,Frankenia,,"margaritae",,"","Medrano",Accepted,,M,WCSP (in review),941739,105645-2,"Bol. Soc. Bot. México","32: 71","","1972 publ. 1973"
kew-2814236,A,Frankeniaceae,,Frankenia,,"microphylla",,"","Cav.",Accepted,,M,WCSP (in review),941741,366308-1,"Icon.","6: 76","","1801"
kew-2814241,A,Frankeniaceae,,Frankenia,,"mollis",,"","M.Bieb.",Unresolved,,L,WCSP (in review),941746,366310-1,"Fl. Taur.-Caucas.","3: 276","","1819"
kew-2814242,A,Frankeniaceae,,Frankenia,,"muscosa",,"","J.M.Black",Accepted,,M,WCSP (in review),941747,366311-1,"Trans. & Proc. Roy. Soc. South Australia","42: 177","","1918"
kew-2814244,A,Frankeniaceae,,Frankenia,,"neglecta",,"","Schult. & Schult.f.",Unresolved,,L,WCSP (in review),941749,366313-1,"Syst. Veg.","7: 1618","","1830"
kew-2814250,A,Frankeniaceae,,Frankenia,,"orthotricha",,"","(J.M.Black) J.M.Black",Accepted,,M,WCSP (in review),941755,366317-1,"Trans. & Proc. Roy. Soc. South Australia","56: 43","","1932"
kew-2814251,A,Frankeniaceae,,Frankenia,,"pallida",,"","Boiss.",Accepted,,M,WCSP (in review),941756,366318-1,"Diagn. Pl. Orient.","II, 1: 61","","1854"
