ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35103410,B,Funariaceae,,Amphoritheca,,"acidota",,"","(Taylor) A. Jaeger",Accepted,,M,TRO,35103410,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 219 (Gen. Sp. Musc. 1: 497)","219 ","1874"
tro-35103411,B,Funariaceae,,Amphoritheca,,"andicola",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35103411,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 219 (Gen. Sp. Musc. 1: 497)","219 ","1874"
tro-35103412,B,Funariaceae,,Amphoritheca,,"angustifolia",,"","(Jur. & Milde) A. Jaeger",Accepted,,M,TRO,35103412,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 221 (Gen. Sp. Musc. 1: 499)","221 ","1874"
tro-35103413,B,Funariaceae,,Amphoritheca,,"balansae",,"","(Besch.) A. Jaeger",Accepted,,M,TRO,35103413,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 432 (Gen. Sp. Musc. 2: 696)","432 ","1880"
tro-35103414,B,Funariaceae,,Amphoritheca,,"beccarii",,"","Hampe",Accepted,,M,TRO,35103414,,"Nuovo Giorn. Bot. Ital.","4: 273","273","1872"
tro-35103415,B,Funariaceae,,Amphoritheca,,"bonplandii",,"","(Hook.) A. Jaeger",Accepted,,M,TRO,35103415,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 219 (Gen. Sp. Musc. 1: 497)","219 ","1874"
tro-35103416,B,Funariaceae,,Amphoritheca,,"buseana",,"","(Dozy & Molk.) A. Jaeger",Accepted,,M,TRO,35103416,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 218 (Gen. Sp. Musc. 1: 496)","218 ","1874"
tro-35103417,B,Funariaceae,,Amphoritheca,,"clavellata",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35103417,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 220 (Gen. Sp. Musc. 1: 498)","220 ","1874"
tro-35103418,B,Funariaceae,,Amphoritheca,,"curviseta",,"","(Schwägr.) A. Jaeger",Accepted,,M,TRO,35103418,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 432 (Gen. Sp. Musc. 2: 696)","432 ","1880"
tro-35103419,B,Funariaceae,,Amphoritheca,,"diversinervis",,"","(Müll. Hal.) A. Jaeger",Accepted,,M,TRO,35103419,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 220 (Gen. Sp. Musc. 1: 498)","220 ","1874"
tro-35103420,B,Funariaceae,,Amphoritheca,,"dozyana",,"","(Müll. Hal.) A. Jaeger",Accepted,,M,TRO,35103420,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 432 (Gen. Sp. Musc. 2: 696)","432 ","1880"
tro-35103425,B,Funariaceae,,Amphoritheca,,"fascicularis",,"","(Hedw.) Hampe",Accepted,,M,TRO,35103425,,"Fl. Hercyn.","341","341","1873"
tro-35103426,B,Funariaceae,,Amphoritheca,,"jamesonii",,"","(Taylor) Hampe",Accepted,,M,TRO,35103426,,"Ann. Sci. Nat., Bot., sér. 5,","3: 340","340","1865"
tro-35103428,B,Funariaceae,,Amphoritheca,,"longicollis",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35103428,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 220 (Gen. Sp. Musc. 1: 498)","220 ","1874"
tro-35103429,B,Funariaceae,,Amphoritheca,,"longiseta",,"","(Schimp.) A. Jaeger",Accepted,,M,TRO,35103429,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 221 (Gen. Sp. Musc. 1: 499)","221 ","1874"
tro-35103431,B,Funariaceae,,Amphoritheca,,"nutans",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35103431,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 221 (Gen. Sp. Musc. 1: 499)","221 ","1874"
tro-35103432,B,Funariaceae,,Amphoritheca,,"obtusifolia",,"","(Hook. f.) A. Jaeger",Accepted,,M,TRO,35103432,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 220 (Gen. Sp. Musc. 1: 498)","220 ","1874"
tro-35161054,B,Funariaceae,,Amphoritheca,,"papillosa",,"","(Müll. Hal.) Kindb.",Accepted,,M,TRO,35161054,,"Enum. Bryin. Exot., Suppl. 1","85","85","1889"
tro-35103433,B,Funariaceae,,Amphoritheca,,"pilifera",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35103433,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 432 (Gen. Sp. Musc. 2: 696)","432 ","1880"
tro-35103434,B,Funariaceae,,Amphoritheca,,"planifolia",,"","(Thwaites & Mitt.) A. Jaeger",Accepted,,M,TRO,35103434,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 219 (Gen. Sp. Musc. 1: 497)","219 ","1874"
tro-35103437,B,Funariaceae,,Amphoritheca,,"riparia",,"","(Lindb.) A. Jaeger",Accepted,,M,TRO,35103437,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 221 (Gen. Sp. Musc. 1: 499)","221 ","1874"
tro-35103438,B,Funariaceae,,Amphoritheca,,"submarginata",,"","(Müll. Hal.) A. Jaeger",Accepted,,M,TRO,35103438,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 217 (Gen. Sp. Musc. 1: 495)","217 ","1874"
tro-35161137,B,Funariaceae,,Aphanorrhegma,,"aubertii",,"","(Besch.) Kindb.",Accepted,,M,TRO,35161137,,"Enum. Bryin. Exot., Suppl. 1","85","85","1889"
tro-35161138,B,Funariaceae,,Aphanorrhegma,,"cubense",,"","(Mitt.) Kindb.",Accepted,,M,TRO,35161138,,"Enum. Bryin. Exot.","40","40","1888"
tro-35178812,B,Funariaceae,,Aphanorrhegma,,"hampei",,"","(Limpr.) Kindb.",Accepted,,M,TRO,35178812,,"Eur. N. Amer. Bryin.","2: 403","403","1897"
tro-35183080,B,Funariaceae,,Aphanorrhegma,,"magdalenae",,"","(De Sloover) Ochyra",Accepted,,M,TRO,35183080,,"Acta Bot. Hung.","29: 178","178","1983"
tro-35178813,B,Funariaceae,,Aphanorrhegma,,"niloticum",,"","(Delile) Lindb.",Accepted,,M,TRO,35178813,,"Abh. Königl. Akad. Wiss. Berlin","1867: 37","37","1867"
tro-35190652,B,Funariaceae,,Aphanorrhegma,,"patens x physcomitrium eurystomum",,"","R.M. Schust. ex Váňa",Accepted,,M,TRO,35190652,,"J. Hattori Bot. Lab.","see J. Bryol. 11: 651. 1981","651",""
tro-35178816,B,Funariaceae,,Aphanorrhegma,,"serratum",,"","(Hook. & Wilson) Sull.",Accepted,,M,TRO,35178816,,"Manual","647","647","1848"
tro-35178817,B,Funariaceae,,Aphanorrhegma,,"serratum x physcomitrium turbinatum",,"","E. Britton",Unresolved,,L,TRO,35178817,,"Bull. Torrey Bot. Club","22: 65","65","1895"
tro-35113880,B,Funariaceae,,Brachymeniopsis,,"gymnostoma",,"","Broth.",Accepted,,M,TRO,35113880,,"Symb. Sin.","4: 48. 1 f. 13","48","1929"
tro-35182786,B,Funariaceae,,Bryobeckettia,,"bartlettii",,"","(Fife) Fife",Accepted,,M,TRO,35182786,,"J. Hattori Bot. Lab.","58: 191","191","1985"
tro-35217527,B,Funariaceae,,Clavitheca,,"poeltii",,"","(Ochyra) O. Werner, Ros & Goffinet",Accepted,,M,TRO,35217527,,"Bryologist","110: 113","113","2007"
tro-35186336,B,Funariaceae,,Corynotheca,,"poeltii",,"","Ochyra",Accepted,,M,TRO,35186336,,"Polish Bot. Stud.","1: 60","60","1990"
tro-35100054,B,Funariaceae,,Cygnicollum,,"immersum",,"","Fife & Magill",Accepted,,M,TRO,35100054,,"Bryologist","85: 99. f. 1–19","99","1982"
tro-100367508,B,Funariaceae,,Entosthodon,,"abramovae",,"","Fedosov & Ignatova",Accepted,,M,TRO,100367508,,"Arctoa","19: 76","76","2010"
tro-35182788,B,Funariaceae,,Entosthodon,,"acaulis",,"","(Hampe) Fife",Accepted,,M,TRO,35182788,,"J. Hattori Bot. Lab.","58: 192","192","1985"
tro-35134896,B,Funariaceae,,Entosthodon,,"acidotus",,"","(Taylor) Müll. Hal.",Accepted,,M,TRO,35134896,,"Syn. Musc. Frond.","2: 597","597","1851"
tro-35134903,B,Funariaceae,,Entosthodon,,"andicola",,"","Mitt.",Accepted,,M,TRO,35134903,,"J. Linn. Soc., Bot.","12: 244","244","1869"
tro-35134904,B,Funariaceae,,Entosthodon,,"angustifolius",,"","Jur. & Milde",Accepted,,M,TRO,35134904,,"Verh. Zool.-Bot. Ges. Wien","20: 595","595","1870"
tro-35134909,B,Funariaceae,,Entosthodon,,"apophysatus",,"","(Taylor) Mitt.",Accepted,,M,TRO,35134909,,"J. Proc. Linn. Soc., Bot.","4: 80","80","1859"
tro-35134911,B,Funariaceae,,Entosthodon,,"aristatus",,"","(Broth.) Paris",Accepted,,M,TRO,35134911,,"Index Bryol.","422","422","1896"
tro-35134912,B,Funariaceae,,Entosthodon,,"attenuatus",,"","(Dicks.) Bryhn",Accepted,,M,TRO,35134912,,"Kongel. Norske Vidensk. Selsk. Skr. (Trondheim)","1908(8): 25","25","1908"
tro-35134913,B,Funariaceae,,Entosthodon,,"balansae",,"","Besch.",Accepted,,M,TRO,35134913,,"Mém. Soc. Sci. Nat. Cherbourg","21: 263","263","1877"
tro-35134915,B,Funariaceae,,Entosthodon,,"beccarii",,"","(Hampe) Paris",Accepted,,M,TRO,35134915,,"Index Bryol.","422","422","1896"
tro-35134916,B,Funariaceae,,Entosthodon,,"bergianus",,"","(Hornsch.) Müll. Hal.",Accepted,,M,TRO,35134916,,"Syn. Musc. Frond.","1: 126","126","1848"
tro-35134919,B,Funariaceae,,Entosthodon,,"bescherellei",,"","Müll. Hal.",Unresolved,,L,TRO,35134919,,"Gen. Musc. Frond.","109","109","1900"
tro-35134920,B,Funariaceae,,Entosthodon,,"bolanderi",,"","Lesq.",Accepted,,M,TRO,35134920,,"Trans. Amer. Philos. Soc.","13: 10","10","1865"
tro-35134921,B,Funariaceae,,Entosthodon,,"bonplandii",,"","(Hook.) Mitt.",Accepted,,M,TRO,35134921,,"J. Linn. Soc., Bot.","12: 245","245","1869"
tro-35134922,B,Funariaceae,,Entosthodon,,"borbonicus",,"","Besch.",Accepted,,M,TRO,35134922,,"Ann. Sci. Nat., Bot., sér. 6,","9: 375","375","1880"
tro-35168832,B,Funariaceae,,Entosthodon,,"borneensis",,"","(Dixon) Z. Iwats.",Accepted,,M,TRO,35168832,,"J. Hattori Bot. Lab.","32: 272","272","1969"
tro-35134926,B,Funariaceae,,Entosthodon,,"buseanus",,"","Dozy & Molk.",Accepted,,M,TRO,35134926,,"Bryol. Jav.","1: 31. 22 f. 1–23","31","1855"
tro-35134928,B,Funariaceae,,Entosthodon,,"californicus",,"","(Sull. & Lesq.) H.A. Crum & L.E. Anderson",Accepted,,M,TRO,35134928,,"Bryologist","58: 13","13","1955"
tro-35134931,B,Funariaceae,,Entosthodon,,"cartilagineus",,"","Müll. Hal.",Accepted,,M,TRO,35134931,,"Nuovo Giorn. Bot. Ital., n.s.,","4: 9","9","1897"
tro-35134934,B,Funariaceae,,Entosthodon,,"chiloensis",,"","Mitt.",Accepted,,M,TRO,35134934,,"J. Linn. Soc., Bot.","12: 245","245","1869"
tro-35134937,B,Funariaceae,,Entosthodon,,"clavatus",,"","Mitt.",Accepted,,M,TRO,35134937,,"Thes. Cap.","1: 63. pl. 100, f. B","63","1859"
tro-35134939,B,Funariaceae,,Entosthodon,,"commutatus",,"","Durieu & Mont.",Accepted,,M,TRO,35134939,,"Ann. Sci. Nat., Bot., sér. 3,","12: 317","317","1849"
tro-35207895,B,Funariaceae,,Entosthodon,,"convexus",,"","(Spruce) Brugués",Accepted,,M,TRO,35207895,,"Orsis","15: 115","115","2000"
tro-35134943,B,Funariaceae,,Entosthodon,,"curviapiculatus",,"","Müll. Hal.",Accepted,,M,TRO,35134943,,"Flora","57: 483","483","1874"
tro-35134944,B,Funariaceae,,Entosthodon,,"curvipes",,"","(Müll. Hal.) Müll. Hal.",Accepted,,M,TRO,35134944,,"Syn. Musc. Frond.","1: 123","123","1848"
tro-35134946,B,Funariaceae,,Entosthodon,,"curvisetus",,"","(Schwägr.) Müll. Hal.",Accepted,,M,TRO,35134946,,"Syn. Musc. Frond.","1: 121","121","1848"
tro-35134947,B,Funariaceae,,Entosthodon,,"curvisetus",var.,"xanthocarpus","(P. de la Varde) Jelenc",Accepted,,L,TRO,35134947,,"Bull. Soc. Géogr. Archéol. Oran","75: 77","77","1952"
tro-100367509,B,Funariaceae,,Entosthodon,,"dagestanicus",,"","Fedosov & Ignatova",Accepted,,M,TRO,100367509,,"Arctoa","19: 76","76","2010"
tro-35134950,B,Funariaceae,,Entosthodon,,"deserticola",,"","(Trab.) Jelenc",Accepted,,M,TRO,35134950,,"Bull. Soc. Géogr. Archéol. Oran","75: 74","74","1952"
tro-35134952,B,Funariaceae,,Entosthodon,,"diversinervis",,"","Müll. Hal.",Accepted,,M,TRO,35134952,,"Bot. Zeitung (Berlin)","11: 20","20","1853"
tro-35134953,B,Funariaceae,,Entosthodon,,"dixonii",,"","Sim",Accepted,,M,TRO,35134953,,"Trans. Roy. Soc. South Africa","15: 296. ic","296","1926"
tro-35134954,B,Funariaceae,,Entosthodon,,"dozyanus",,"","Müll. Hal.",Accepted,,M,TRO,35134954,,"Bot. Zeitung (Berlin)","14: 210","210","1856"
tro-35134955,B,Funariaceae,,Entosthodon,,"drummondii",,"","Sull.",Accepted,,M,TRO,35134955,,"Musci Hep. U.S. (repr.)","156b [Schedae 35]","156","1856"
