ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2666289,A,Geraniaceae,,Aulacostigma,,"inerme",,"","Turcz.",Unresolved,,L,WCSP (in review),798293,371866-1,"Bull. Soc. Imp. Naturalistes Moscou","20(1): 150","","1847"
kew-2691873,A,Geraniaceae,,California,,"macrophylla",,"","(Hook. & Arn.) Aldasoro & al.",Accepted,,M,WCSP (in review),823512,,"Anales Jard. Bot. Madrid","59: 213","","2001 publ. 2002"
kew-2695434,A,Geraniaceae,,Campylia,,"cana",,"","Colvill ex Sweet",Unresolved,,L,WCSP (in review),826892,,"Geraniaceae","2: t. 114","","1822"
kew-2695435,A,Geraniaceae,,Campylia,,"capillaris",,"","Eckl. & Zeyh.",Unresolved,,L,WCSP (in review),826893,371982-1,"Enum. Pl. Afric. Austral","74","","1835"
kew-2695438,A,Geraniaceae,,Campylia,,"coronopifolia",,"","Sweet",Unresolved,,L,WCSP (in review),826896,371985-1,"Hort. Brit.","75","","1826"
kew-2695440,A,Geraniaceae,,Campylia,,"elegans",,"","Colvill ex Sweet",Unresolved,,L,WCSP (in review),826898,,"Geraniaceae","3: t. 222","","1824"
kew-2695441,A,Geraniaceae,,Campylia,,"eriostemon",,"","Eckl. & Zeyh.",Unresolved,,L,WCSP (in review),826899,371988-1,"Enum. Pl. Afric. Austral","73","","1835"
kew-2695442,A,Geraniaceae,,Campylia,,"holosericea",,"","Sweet",Unresolved,,L,WCSP (in review),826900,,"Geraniaceae","1: t. 75","","1822"
kew-2695443,A,Geraniaceae,,Campylia,,"laciniata",,"","Sweet",Unresolved,,L,WCSP (in review),826901,,"Geraniaceae","5: t. 401","","1828"
kew-2695446,A,Geraniaceae,,Campylia,,"tricolor",,"","Eckl. & Zeyh.",Unresolved,,L,WCSP (in review),826904,371993-1,"Enum. Pl. Afric. Austral","74","","1835"
kew-2695447,A,Geraniaceae,,Campylia,,"variegata",,"","Sweet",Unresolved,,L,WCSP (in review),826905,,"Geraniaceae","3: t. 266","","1825"
kew-2695448,A,Geraniaceae,,Campylia,,"verbasciflora",,"","Sweet",Unresolved,,L,WCSP (in review),826906,371995-1,"Geraniaceae","2: t. 157","","1823"
kew-2720655,A,Geraniaceae,,Ciconium,,"acetosum",,"","Hoffmanns.",Unresolved,,L,WCSP (in review),851056,372009-1,"Verz. Pfl.-Kult.","48","","1824"
kew-2720656,A,Geraniaceae,,Ciconium,,"amabile",,"","Hoffmanns.",Unresolved,,L,WCSP (in review),851057,372012-1,"Verz. Pfl.-Kult.","48","","1824"
kew-2720660,A,Geraniaceae,,Ciconium,,"cerinum",,"","Sweet",Unresolved,,L,WCSP (in review),851061,372016-1,"Geraniaceae","2: t. 176","","1823"
kew-2720676,A,Geraniaceae,,Ciconium,,"inquinans",,"","Hoffmanns.",Unresolved,,L,WCSP (in review),851077,372032-1,"Verz. Pfl.-Kult.","49","","1824"
kew-2720684,A,Geraniaceae,,Ciconium,,"marginatum",,"","Hoffmanns.",Unresolved,,L,WCSP (in review),851085,372040-1,"Verz. Pfl.-Kult.","49","","1824"
kew-2720688,A,Geraniaceae,,Ciconium,,"orbiculare",,"","Hoffmanns.",Unresolved,,L,WCSP (in review),851089,372044-1,"Verz. Pfl.-Kult.","49","","1824"
kew-2720691,A,Geraniaceae,,Ciconium,,"porphyrio",,"","Hoffmanns.",Unresolved,,L,WCSP (in review),851092,372047-1,"Verz. Pfl.-Kult.","50","","1824"
kew-2720704,A,Geraniaceae,,Ciconium,,"velutinum",,"","Hoffmanns.",Unresolved,,L,WCSP (in review),851105,372060-1,"Verz. Pfl.-Kult.","50","","1824"
kew-2738385,A,Geraniaceae,,Cortusina,,"odoratissima",,"","Eckl. & Zeyh.",Unresolved,,L,WCSP (in review),868662,372075-1,"Enum. Pl. Afric. Austral","77","","1835"
kew-2738386,A,Geraniaceae,,Cortusina,,"reniformis",,"","Eckl. & Zeyh.",Unresolved,,L,WCSP (in review),868663,372076-1,"Enum. Pl. Afric. Austral","77","","1835"
kew-2738387,A,Geraniaceae,,Cortusina,,"rubropurpurea",,"","Eckl. & Zeyh.",Unresolved,,L,WCSP (in review),868664,372077-1,"Enum. Pl. Afric. Austral","77","","1835"
kew-2738388,A,Geraniaceae,,Cortusina,,"sidifolia",,"","Eckl. & Zeyh.",Unresolved,,L,WCSP (in review),868665,372078-1,"Enum. Pl. Afric. Austral","77","","1835"
kew-2768474,A,Geraniaceae,,Dimacria,,"astragalifolia",,"","(Jacq.) Sweet",Unresolved,,L,WCSP (in review),898071,,"Geraniaceae","2: t. 103","","1822"
kew-2768475,A,Geraniaceae,,Dimacria,,"auriculata",,"","(Willd.) Sweet",Unresolved,,L,WCSP (in review),898072,,"Geraniaceae","4: t. 393","","1828"
kew-2768476,A,Geraniaceae,,Dimacria,,"barbata",,"","(Jacq.) Sweet",Unresolved,,L,WCSP (in review),898073,372094-1,"Hort. Brit.","77","","1826"
kew-2768478,A,Geraniaceae,,Dimacria,,"carnea",,"","(Jacq.) Sweet",Unresolved,,L,WCSP (in review),898075,372096-1,"Hort. Brit.","77","","1826"
kew-2768480,A,Geraniaceae,,Dimacria,,"depressa",,"","(Jacq.) Sweet",Unresolved,,L,WCSP (in review),898077,,"Geraniaceae","4: t. 290","","1826"
kew-2768482,A,Geraniaceae,,Dimacria,,"fissifolia",,"","(Pers.) Sweet",Unresolved,,L,WCSP (in review),898079,372100-1,"Hort. Brit.","77","","1826"
kew-2768484,A,Geraniaceae,,Dimacria,,"foliolosa",,"","(DC.) Sweet",Unresolved,,L,WCSP (in review),898081,,"Geraniaceae","2: t. 103","","1822"
kew-2768486,A,Geraniaceae,,Dimacria,,"heracleifolia",,"","(Lodd.) Sweet",Unresolved,,L,WCSP (in review),898083,372104-1,"Hort. Brit.","ed. 3: 110","","1839"
kew-2768488,A,Geraniaceae,,Dimacria,,"lanceifolia",,"","(G.Don) Sweet",Unresolved,,L,WCSP (in review),898085,,"Geraniaceae","4: t. 387","","1828"
kew-2768489,A,Geraniaceae,,Dimacria,,"lanceolata",,"","Sweet",Unresolved,,L,WCSP (in review),898086,372107-1,"Hort. Brit.","ed. 3: 110","","1839"
kew-2768491,A,Geraniaceae,,Dimacria,,"longiflora",,"","Sweet",Unresolved,,L,WCSP (in review),898088,372109-1,"Hort. Brit.","ed. 3: 110","","1839"
kew-2768492,A,Geraniaceae,,Dimacria,,"longifolia",,"","(Jacq.) Sweet",Unresolved,,L,WCSP (in review),898089,372110-1,"Hort. Brit.","ed. 3: 110","","1839"
kew-2768493,A,Geraniaceae,,Dimacria,,"oxalidifolia",,"","(Pers.) Sweet",Unresolved,,L,WCSP (in review),898090,372111-1,"Hort. Brit.","77","","1826"
kew-2768494,A,Geraniaceae,,Dimacria,,"pinnata",,"","(L'Hér.) Sweet",Unresolved,,L,WCSP (in review),898091,,"Geraniaceae","1: t. 46","","1820"
kew-2768495,A,Geraniaceae,,Dimacria,,"punctata",,"","(Willd.) Sweet",Unresolved,,L,WCSP (in review),898092,372113-1,"Hort. Brit.","77","","1826"
kew-2768496,A,Geraniaceae,,Dimacria,,"radiata",,"","(Vent.) Sweet",Unresolved,,L,WCSP (in review),898093,372114-1,"Hort. Brit.","77","","1826"
kew-2768498,A,Geraniaceae,,Dimacria,,"reflexa",,"","(Pers.) Sweet",Unresolved,,L,WCSP (in review),898095,372116-1,"Hort. Brit.","77","","1826"
kew-2768499,A,Geraniaceae,,Dimacria,,"revoluta",,"","(Pers.) Sweet",Unresolved,,L,WCSP (in review),898096,372117-1,"Hort. Brit.","77","","1826"
kew-2768503,A,Geraniaceae,,Dimacria,,"spathulata",,"","(Pers.) Sweet",Unresolved,,L,WCSP (in review),898100,372121-1,"Hort. Brit.","77","","1826"
kew-2768504,A,Geraniaceae,,Dimacria,,"sulphurea",,"","Sweet",Unresolved,,L,WCSP (in review),898101,,"Geraniaceae","2: t. 163","","1823"
kew-2768505,A,Geraniaceae,,Dimacria,,"tenella",,"","(Loudon) Sweet",Unresolved,,L,WCSP (in review),898102,372123-1,"Hort. Brit.","77","","1826"
kew-2768506,A,Geraniaceae,,Dimacria,,"undulata",,"","(Sol. ex Aiton) Sweet",Unresolved,,L,WCSP (in review),898103,372124-1,"Hort. Brit.","77","","1826"
kew-2768507,A,Geraniaceae,,Dimacria,,"virginea",,"","(Pers.) Sweet",Unresolved,,L,WCSP (in review),898104,372125-1,"Hort. Brit.","77","","1826"
kew-2798071,A,Geraniaceae,,Erodium,,"absinthoides",,"","Willd.",Accepted,,M,WCSP (in review),925881,372130-1,"Sp. Pl.","3: 627","","1800"
kew-2798074,A,Geraniaceae,,Erodium,,"absinthoides",subsp.,"armenum","(Trautv.) P.H.Davis",Accepted,,L,WCSP (in review),925884,,"Notes Roy. Bot. Gard. Edinburgh","28: 36","","1967"
kew-2798076,A,Geraniaceae,,Erodium,,"absinthoides",subsp.,"balcanicum","(Micevski) Greuter & Burdet",Accepted,,L,WCSP (in review),925886,952692-1,"Med. Checklist","3: 249","","1986"
