ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35157424,B,Gigaspermaceae,,Chamaebryum,,"pottioides",,"","Thér. & Dixon",Accepted,,M,TRO,35157424,,"J. Bot.","60: 106. 564 f. 4","106","1922"
tro-35217996,B,Gigaspermaceae,,Costesia,,"macrocarpa",,"","(Schimp.) Cuvertino, Miserere & Buffa",Accepted,,M,TRO,35217996,,"Bryologist","112: 288","288","2009"
tro-35158200,B,Gigaspermaceae,,Costesia,,"spongiosa",,"","Thér.",Accepted,,M,TRO,35158200,,"Revista Chilena Hist. Nat.","21: 12. 3","12","1917"
tro-35145880,B,Gigaspermaceae,,Gigaspermum,,"breutelii",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35145880,,"Index Bryol.","511","511","1896"
tro-35145882,B,Gigaspermaceae,,Gigaspermum,,"mouretii",,"","Corb.",Accepted,,M,TRO,35145882,,"Rev. Bryol.","40: 10","10","1913"
tro-35145883,B,Gigaspermaceae,,Gigaspermum,,"repens",,"","(Hook.) Lindb.",Accepted,,M,TRO,35145883,,"Öfvers. Förh. Kongl. Svenska Vetensk.-Akad.","21: 599","599","1865"
tro-35145886,B,Gigaspermaceae,,Gigaspermum,,"tumidum",,"","(Mitt.) Lindb. ex Paris",Accepted,,M,TRO,35145886,,"Index Bryol.","511","511","1896"
tro-35162813,B,Gigaspermaceae,,Lorentziella,,"gibertii",,"","Müll. Hal.",Unresolved,,L,TRO,35162813,,"Flora","71: 13","13","1888"
tro-35160595,B,Gigaspermaceae,,Lorentziella,,"glauca",,"","Müll. Hal.",Accepted,,M,TRO,35160595,,"Linnaea","42: 229","229","1879"
tro-35160596,B,Gigaspermaceae,,Lorentziella,,"globiceps",,"","Müll. Hal.",Accepted,,M,TRO,35160596,,"Linnaea","42: 231","231","1879"
tro-35160597,B,Gigaspermaceae,,Lorentziella,,"imbricata",,"","(Mitt.) Broth.",Accepted,,M,TRO,35160597,,"Nat. Pflanzenfam.","I(3): 511","511","1903"
tro-35160598,B,Gigaspermaceae,,Lorentziella,,"paraguensis",,"","Besch.",Unresolved,,L,TRO,35160598,,"Mém. Soc. Sci. Nat. Cherbourg","21: 259","259","1877"
tro-35160599,B,Gigaspermaceae,,Lorentziella,,"uruguensis",,"","Müll. Hal.",Accepted,,M,TRO,35160599,,"Mém. Soc. Sci. Nat. Cherbourg","21: 259","259","1877"
tro-35169705,B,Gigaspermaceae,,Neosharpiella,,"aztecorum",,"","H. Rob. & Delgad.",Accepted,,M,TRO,35169705,,"Bryologist","76: 537. f. 1–8","537","1973"
tro-35169706,B,Gigaspermaceae,,Neosharpiella,,"turgida",,"","(Mitt.) H. Rob. & Delgad.",Accepted,,M,TRO,35169706,,"Bryologist","76: 539","539","1973"
tro-35172418,B,Gigaspermaceae,,Oedipodiella,,"australis",,"","(Wager & Dixon) Dixon",Accepted,,M,TRO,35172418,,"J. Bot.","60: 105","105","1922"
