ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2730184,A,Gyrostemonaceae,,Codonocarpus,,"attenuatus",,"","(Hook.) H.Walter",Accepted,,M,WCSP (in review),860496,,"Pflanzenr.","IV, 83: 78","","1909"
kew-2730186,A,Gyrostemonaceae,,Codonocarpus,,"cotinifolius",,"","(Desf.) F.Muell.",Accepted,,M,WCSP (in review),860498,676198-1,"Pl. Victoria","1: 200","","1862"
kew-2730187,A,Gyrostemonaceae,,Codonocarpus,,"pyramidalis",,"","(F.Muell.) F.Muell.",Accepted,,M,WCSP (in review),860499,676199-1,"Pl. Victoria","1: 201","","1862"
kew-2752966,A,Gyrostemonaceae,,Cypselocarpus,,"haloragoides",,"","(Benth.) F.Muell.",Accepted,,M,WCSP (in review),882717,165489-1,"Fragm.","8: 36","","1873"
kew-2837041,A,Gyrostemonaceae,,Gyrostemon,,"acaciiformis",,"","F.Muell.",Unresolved,,L,WCSP (in review),964334,676220-1,"Linnaea","25: 439","","1852"
kew-2837044,A,Gyrostemonaceae,,Gyrostemon,,"australasicus",,"","(Moq.) Heimerl",Accepted,,L,WCSP (in review),964337,676223-1,"Nat. Pflanzenfam.","3(1b): 12","","1889"
kew-2837045,A,Gyrostemonaceae,,Gyrostemon,,"blancoi",,"","Llanos",Unresolved,,L,WCSP (in review),964338,676224-1,"Fragm. Fl. Philipp.","74","","1851"
kew-2837048,A,Gyrostemonaceae,,Gyrostemon,,"brownii",,"","S.Moore",Accepted,,M,WCSP (in review),964341,676227-1,"J. Linn. Soc., Bot.","45: 190","","1920"
kew-2837051,A,Gyrostemonaceae,,Gyrostemon,,"ditrigynus",,"","A.S.George",Accepted,,M,WCSP (in review),964344,907475-1,"in Fl. Australia","8: 392","","1982"
kew-2837053,A,Gyrostemonaceae,,Gyrostemon,,"osmus",,"","Halford",Accepted,,M,WCSP (in review),964346,,"Austrobaileya","7: 135","","2005"
kew-2837054,A,Gyrostemonaceae,,Gyrostemon,,"prostratus",,"","A.S.George",Accepted,,M,WCSP (in review),964347,899984-1,"in Fl. Australia","8: 393","","1982"
kew-2837057,A,Gyrostemonaceae,,Gyrostemon,,"racemigerus",,"","H.Walter",Accepted,,M,WCSP (in review),964350,,"Pflanzenr.","IV, 83: 74","","1909"
kew-2837058,A,Gyrostemonaceae,,Gyrostemon,,"ramulosus",,"","Desf.",Accepted,,M,WCSP (in review),964351,676237-1,"Mém. Mus. Hist. Nat.","6: 17","","1820"
kew-2837060,A,Gyrostemonaceae,,Gyrostemon,,"ramulosus",,"","Schltdl.",Unresolved,Illegitimate,L,WCSP (in review),964353,676236-1,"Linnaea","20: 632","","1847"
kew-2837063,A,Gyrostemonaceae,,Gyrostemon,,"reticulatus",,"","A.S.George",Accepted,,M,WCSP (in review),964356,899985-1,"in Fl. Australia","8: 393","","1982"
kew-2837065,A,Gyrostemonaceae,,Gyrostemon,,"sessilis",,"","A.S.George",Accepted,,M,WCSP (in review),964358,899986-1,"in Fl. Australia","8: 393","","1982"
kew-2837066,A,Gyrostemonaceae,,Gyrostemon,,"sheathii",,"","W.Fitzg.",Accepted,,M,WCSP (in review),964359,676239-1,"J. Proc. Mueller Bot. Soc. Western Australia","1(11): 81","","1902"
kew-2837069,A,Gyrostemonaceae,,Gyrostemon,,"subnudus",,"","(Nees) Diels",Accepted,,M,WCSP (in review),964362,676242-1,"Bot. Jahrb. Syst.","35: 195","","1904"
kew-2837070,A,Gyrostemonaceae,,Gyrostemon,,"tepperi",,"","(F.Muell. ex H.Walter) A.S.George",Accepted,,M,WCSP (in review),964363,910723-1,"in Fl. Australia","8: 392","","1982"
kew-2837071,A,Gyrostemonaceae,,Gyrostemon,,"thesioides",,"","(Hook.f.) A.S.George",Accepted,,M,WCSP (in review),964364,910724-1,"in Fl. Australia","8: 392","","1982"
kew-2516506,A,Gyrostemonaceae,,Tersonia,,"brevipes",,"","Moq.",Unresolved,,L,WCSP (in review),652743,676530-1,"Prodr.","13(2): 40","","1849"
kew-2443032,A,Gyrostemonaceae,,Tersonia,,"cyathiflora",,"","(Fenzl) A.S.George ex J.W.Green",Unresolved,,L,WCSP (in review),580612,942308-1,"Census Vasc. Pl. W. Australia","ed. 2: 6","","1985"
kew-2516524,A,Gyrostemonaceae,,Tersonia,,"subvolubilis",,"","Benth.",Unresolved,,L,WCSP (in review),652758,676531-1,"Fl. Austral.","5: 150","","1870"
kew-2466536,A,Gyrostemonaceae,,Walteranthus,,"erectus",,"","Keighery",Unresolved,,L,WCSP (in review),603986,907280-1,"Bot. Jahrb. Syst.","106: 110","","1985"
