ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-467122,A,Hanguanaceae,,Hanguana,,"bakoensis",,"","Siti Nurfazilah, Sofiman Othman & P.C.Boyce",Accepted,,H,WCSP,467122,60456119-2,"Acta Phytotax. Geobot.","60: 140","","2011"
kew-247954,A,Hanguanaceae,,Hanguana,,"bogneri",,"","Tillich & E.Sill",Accepted,,H,WCSP,247954,1011974-1,"Sendtnera","6: 216","","1999"
kew-467303,A,Hanguanaceae,,Hanguana,,"exultans",,"","Siti Nurfazilah, Mohd Fahmi, Sofiman Othman & P.C.Boyce",Accepted,,H,WCSP,467303,77109272-1,"Willdenowia","40: 207","","2010"
kew-247955,A,Hanguanaceae,,Hanguana,,"kassintu",,"","Blume",Accepted,,H,WCSP,247955,366174-1,"Enum. Pl. Javae","15","","1827"
kew-247956,A,Hanguanaceae,,Hanguana,,"major",,"","Airy Shaw",Accepted,,H,WCSP,247956,897900-1,"Kew Bull.","35: 819","","1981"
kew-247957,A,Hanguanaceae,,Hanguana,,"malayana",,"","(Jack) Merr.",Accepted,,H,WCSP,247957,535973-1,"Philipp. J. Sci., C","10: 3","","1915"
kew-467296,A,Hanguanaceae,,Hanguana,,"nitens",,"","Siti Nurfazilah, Mohd Fahmi, Sofiman Othman & P.C.Boyce",Accepted,,H,WCSP,467296,77109276-1,"Willdenowia","40: 207","","2010"
kew-467298,A,Hanguanaceae,,Hanguana,,"pantiensis",,"","Siti Nurfazilah, Mohd Fahmi, Sofiman Othman & P.C.Boyce",Accepted,,H,WCSP,467298,77109278-1,"Willdenowia","40: 208","","2010"
kew-467327,A,Hanguanaceae,,Hanguana,,"podzolica",,"","Siti Nurfazilah, Mohd Fahmi, Sofiman Othman & P.C.Boyce",Accepted,,H,WCSP,467327,77109279-1,"Willdenowia","40: 209","","2010"
kew-467326,A,Hanguanaceae,,Hanguana,,"stenopoda",,"","Siti Nurfazilah, Mohd Fahmi, Sofiman Othman & P.C.Boyce",Accepted,,H,WCSP,467326,77109281-1,"Willdenowia","40: 210","","2010"
