ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35201613,B,Haplomitriaceae,,Calobryum,,"dentatum",,"","D. Kumar & Udar",Accepted,,M,TRO,35201613,,"J. Indian Bot. Soc.","55: 23. f. 1–34","23","1976"
tro-35209651,B,Haplomitriaceae,,Calobryum,,"giganteum",,"","(Stephani) Grolle",Accepted,,M,TRO,35209651,,"J. Hattori Bot. Lab.","26: 5","5","1963"
tro-35215455,B,Haplomitriaceae,,Calobryum,,"rotundifolium",,"","(Mitt.) Schiffner",Accepted,,M,TRO,35215455,,"Oesterr. Bot. Z.","49: 389","389","1899"
tro-35190660,B,Haplomitriaceae,,Haplomitrium,,"andinum",,"","(Spruce) R.M. Schust.",Accepted,,M,TRO,35190660,,"J. Hattori Bot. Lab.","26: 225","225","1963"
tro-35208942,B,Haplomitriaceae,,Haplomitrium,,"blumei",,"","(Nees) R.M. Schust.",Accepted,,M,TRO,35208942,,"J. Hattori Bot. Lab.","26: 225","225","1963"
tro-35204178,B,Haplomitriaceae,,Haplomitrium,,"chilensis",,"","R.M. Schust.",Unresolved,,L,TRO,35204178,,"Bryologist","74: 133. f. 1–10","133","1971"
tro-35201836,B,Haplomitriaceae,,Haplomitrium,,"dentatum",,"","(D. Kumar & Udar) J.J. Engel",Accepted,,M,TRO,35201836,,"Ann. Missouri Bot. Gard.","68: 668","668","1981"
tro-35208192,B,Haplomitriaceae,,Haplomitrium,,"gibbsiae",,"","(Stephani) R.M. Schust.",Accepted,,M,TRO,35208192,,"J. Hattori Bot. Lab.","26: 225","225","1963"
tro-35211054,B,Haplomitriaceae,,Haplomitrium,,"grollei",,"","D. Kumar & Udar",Accepted,,M,TRO,35211054,,"Geophytology","7: 260. f. 1–15, pl. 1: f. 1–4","260","1977"
tro-35185189,B,Haplomitriaceae,,Haplomitrium,,"hookeri",,"","(Sm.) Nees",Accepted,,M,TRO,35185189,,"Naturgesch. Eur. Leberm.","1: 111","111","1833"
tro-35208941,B,Haplomitriaceae,,Haplomitrium,,"intermedium",,"","Berrie",Unresolved,,L,TRO,35208941,,"Vidensk. Meddel. Dansk Naturhist. Foren. Kjobenhavn","","","1962"
tro-35203194,B,Haplomitriaceae,,Haplomitrium,,"kashyapii",,"","Udar & D. Kumar",Accepted,,M,TRO,35203194,,"J. Indian Bot. Soc.","61: 73. f. 1–41","73","1982"
tro-35188825,B,Haplomitriaceae,,Haplomitrium,,"minutum",,"","(E.O. Campb.) J.J. Engel & R.M. Schust.",Accepted,,M,TRO,35188825,,"Bryologist","97: 65","65","1994"
tro-35202430,B,Haplomitriaceae,,Haplomitrium,,"mnioides",,"","(Lindb.) R.M. Schust.",Accepted,,M,TRO,35202430,,"J. Hattori Bot. Lab.","26: 225","225","1963"
tro-35201649,B,Haplomitriaceae,,Haplomitrium,,"monoicum",,"","J.J. Engel",Accepted,,M,TRO,35201649,,"Ann. Missouri Bot. Gard.","68: 668. f. 1–8","668","1981"
tro-35214942,B,Haplomitriaceae,,Mniopsis,,"hookeri",,"","Dumort.",Unresolved,,L,TRO,35214942,,"Index Bryol. Suppl.","","",""
tro-35190656,B,Haplomitriaceae,,Scalius,,"andinus",,"","Spruce",Accepted,,M,TRO,35190656,,"Trans. & Proc. Bot. Soc. Edinburgh","15: 532","532","1885"
tro-35190657,B,Haplomitriaceae,,Steereomitrium,,"minutum",,"","E.O. Campb.",Accepted,,M,TRO,35190657,,"Mem. New York Bot. Gard.","45: 569. f. 1–13","569","1987"
