ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35115292,B,Hedwigiaceae,,Braunia,,"alopecura",,"","(Brid.) Limpr.",Accepted,,M,TRO,35115292,,"Laubm. Deutschl.","1: 824","824","1889"
tro-35115294,B,Hedwigiaceae,,Braunia,,"arbuscula",,"","(Welw. & Duby) A. Gepp",Accepted,,M,TRO,35115294,,"Cat. Afr. Pl.","2(2): 291","291","1901"
tro-35115298,B,Hedwigiaceae,,Braunia,,"attenuata",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35115298,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1869–70: 172 (Gen. Sp. Musc. 1: 88)","172 ","1871"
tro-35115299,B,Hedwigiaceae,,Braunia,,"brachytheca",,"","(Dixon) Broth.",Accepted,,M,TRO,35115299,,"Nat. Pflanzenfam. (ed. 2)","11: 72","72","1925"
tro-35115300,B,Hedwigiaceae,,Braunia,,"californica",,"","Lesq.",Accepted,,M,TRO,35115300,,"Trans. Amer. Philos. Soc.","13: 8","8","1865"
tro-35115303,B,Hedwigiaceae,,Braunia,,"camptoclada",,"","P. de la Varde & Thér.",Accepted,,M,TRO,35115303,,"Bull. Soc. Bot. France","87: 358. 2 f. 11","358","1940"
tro-35115307,B,Hedwigiaceae,,Braunia,,"cirrhifolia",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35115307,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1874–75: 171 (Gen. Sp. Musc. 2: 87)","171 ","1876"
tro-35115308,B,Hedwigiaceae,,Braunia,,"cochlearifolia",,"","Müll. Hal.",Accepted,,M,TRO,35115308,,"Hedwigia","36: 105","105","1897"
tro-35115309,B,Hedwigiaceae,,Braunia,,"crenulata",,"","Müll. Hal.",Accepted,,M,TRO,35115309,,"Nuovo Giorn. Bot. Ital., n.s.,","4: 140","140","1897"
tro-35115310,B,Hedwigiaceae,,Braunia,,"delavayi",,"","Besch.",Accepted,,M,TRO,35115310,,"Ann. Sci. Nat., Bot., sér. 7,","15: 71","71","1892"
tro-35115311,B,Hedwigiaceae,,Braunia,,"diaphana",,"","(Müll. Hal.) A. Jaeger",Accepted,,M,TRO,35115311,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1874–75: 172 (Gen. Sp. Musc. 2: 88)","172 ","1876"
tro-35115312,B,Hedwigiaceae,,Braunia,,"divaricatula",,"","Herzog",Accepted,,M,TRO,35115312,,"Biblioth. Bot.","87: 105","105","1916"
tro-35115314,B,Hedwigiaceae,,Braunia,,"entodonticarpa",,"","Müll. Hal.",Accepted,,M,TRO,35115314,,"Flora","73: 485","485","1880"
tro-35115316,B,Hedwigiaceae,,Braunia,,"exserta",,"","Müll. Hal.",Accepted,,M,TRO,35115316,,"Linnaea","42: 379","379","1879"
tro-35115320,B,Hedwigiaceae,,Braunia,,"humboldtii",,"","(Hook.) Hook. f.",Accepted,,M,TRO,35115320,,"Handb. N. Zeal. Fl.","423","423","1867"
tro-35115324,B,Hedwigiaceae,,Braunia,,"laxifolia",,"","Herzog",Accepted,,M,TRO,35115324,,"Biblioth. Bot.","87: 105","105","1916"
tro-35115325,B,Hedwigiaceae,,Braunia,,"liebmanniana",,"","Schimp.",Accepted,,M,TRO,35115325,,"Mém. Soc. Sci. Nat. Cherbourg","16: 185","185","1872"
tro-35115327,B,Hedwigiaceae,,Braunia,,"macrocalyx",,"","Müll. Hal.",Accepted,,M,TRO,35115327,,"Bull. Herb. Boissier","6: 110","110","1898"
tro-35115328,B,Hedwigiaceae,,Braunia,,"macropelma",,"","(Müll. Hal.) A. Jaeger",Accepted,,M,TRO,35115328,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1874–75: 171 (Gen. Sp. Musc. 2: 87)","171 ","1876"
tro-35186309,B,Hedwigiaceae,,Braunia,,"nephelogenes",,"","de Luna & W.R. Buck",Accepted,,M,TRO,35186309,,"Bryologist","94: 401. f. 1–9","401","1991"
tro-35115337,B,Hedwigiaceae,,Braunia,,"plicata",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35115337,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1874–75: 171 (Gen. Sp. Musc. 2: 87)","171 ","1876"
tro-35168405,B,Hedwigiaceae,,Braunia,,"reflexifolia",,"","(Müll. Hal.) E.B. Bartram",Accepted,,M,TRO,35168405,,"Rev. Bryol. Lichénol.","33: 326","326","1964"
tro-35115343,B,Hedwigiaceae,,Braunia,,"rupestris",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35115343,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1874–75: 172 (Gen. Sp. Musc. 2: 88)","172 ","1876"
tro-35115344,B,Hedwigiaceae,,Braunia,,"schimperi",,"","Bruch & Schimp.",Accepted,,M,TRO,35115344,,"Bryol. Eur.","3: 162. 275A, B, (fasc. 29–31 Mon. 4. 1A, B)","162","1846"
tro-35115345,B,Hedwigiaceae,,Braunia,,"schimperianum",,"","(Hampe) A. Jaeger",Accepted,,M,TRO,35115345,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1874–75: 170 (Gen. Sp. Musc. 2: 86)","170 ","1876"
tro-35115347,B,Hedwigiaceae,,Braunia,,"secunda",,"","(Hook.) Bruch & Schimp.",Accepted,,M,TRO,35115347,,"Bryol. Eur.","3: 161 (fasc. 29–31. Monogr. 3)","161","1846"
tro-35115352,B,Hedwigiaceae,,Braunia,,"serrae",,"","Müll. Hal.",Accepted,,M,TRO,35115352,,"Bull. Herb. Boissier","6: 111","111","1898"
tro-35115354,B,Hedwigiaceae,,Braunia,,"squarrulosa",,"","(Hampe) Müll. Hal.",Accepted,,M,TRO,35115354,,"Linnaea","42: 380","380","1879"
tro-35115355,B,Hedwigiaceae,,Braunia,,"subincana",,"","Broth.",Accepted,,M,TRO,35115355,,"Bih. Kongl. Svenska Vetensk.-Akad. Handl.","26 Afd. 3(7): 37","37","1900"
tro-35115356,B,Hedwigiaceae,,Braunia,,"subplicata",,"","E. Britton",Accepted,,M,TRO,35115356,,"Bull. Torrey Bot. Club","23: 493","493","1896"
tro-35188243,B,Hedwigiaceae,,Braunia,,"tucumanensis",,"","Biasuso",Accepted,,M,TRO,35188243,,"Lilloa","38: 12. f. I: 6–7, IV: 1–7","12","1993"
tro-35148322,B,Hedwigiaceae,,Harrisonia,,"alpina",,"","C.H. Wright",Accepted,,M,TRO,35148322,,"Trans. Linn. Soc. London, Bot.","4: 258","258","1894"
tro-35148325,B,Hedwigiaceae,,Harrisonia,,"aquatica",,"","(Hedw.) Spreng.",Accepted,,M,TRO,35148325,,"Syst. Veg.","4(1): 145","145","1827"
tro-35148332,B,Hedwigiaceae,,Harrisonia,,"ciliata",,"","(Hedw.) Spreng. ex Huebener",Accepted,,M,TRO,35148332,,"Muscol. Germ.","711","711","1833"
tro-35148350,B,Hedwigiaceae,,Harrisonia,,"hornschuchiana",,"","(Hook.) Spreng.",Accepted,,M,TRO,35148350,,"Syst. Veg.","4(1): 146","146","1827"
tro-35148351,B,Hedwigiaceae,,Harrisonia,,"humboldtii",,"","(Hook.) Spreng.",Accepted,,M,TRO,35148351,,"Syst. Veg.","4(1): 145","145","1827"
tro-35148356,B,Hedwigiaceae,,Harrisonia,,"inermis",,"","(Müll. Hal.) Ångström",Accepted,,M,TRO,35148356,,"Öfvers. Förh. Kongl. Svenska Vetensk.-Akad.","33(4): 29","29","1876"
tro-35148364,B,Hedwigiaceae,,Harrisonia,,"orbiculata",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35148364,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1874–75: 169 (Gen. Sp. Musc. 2: 85)","169 ","1876"
tro-35148380,B,Hedwigiaceae,,Harrisonia,,"sciuroides",,"","(Bals.-Criv. & De Not.) Rabenh.",Accepted,,M,TRO,35148380,,"Deutschl. Krypt.-Fl.","2(3): 153","153","1848"
tro-35148381,B,Hedwigiaceae,,Harrisonia,,"secunda",,"","(Hook.) Spreng.",Accepted,,M,TRO,35148381,,"Syst. Veg.","4(1): 145","145","1827"
tro-35148408,B,Hedwigiaceae,,Hedwigia,,"alopecura",,"","(Brid.) Kindb.",Accepted,,M,TRO,35148408,,"Canad. Rec. Sci.","6: 18","18","1894"
tro-35148413,B,Hedwigiaceae,,Hedwigia,,"aquatica",,"","(Hedw.) Brid.",Accepted,,M,TRO,35148413,,"J. Bot. (Schrader)","1800(1): 271","271","1801"
tro-35148415,B,Hedwigiaceae,,Hedwigia,,"attenuata",,"","Mitt.",Accepted,,M,TRO,35148415,,"J. Proc. Linn. Soc., Bot., Suppl.","1: 123","123","1859"
tro-35217699,B,Hedwigiaceae,,Hedwigia,,"brevipilifera",,"","Biasuso",Accepted,,M,TRO,35217699,,"Lindbergia","32: 16","16","2007"
tro-35148417,B,Hedwigiaceae,,Hedwigia,,"bulbosa",,"","(Hedw.) Brid.",Accepted,,M,TRO,35148417,,"J. Bot. (Schrader)","1800(1): 272","272","1801"
tro-35148418,B,Hedwigiaceae,,Hedwigia,,"caespiticia",,"","(F. Weber & D. Mohr) Bach. Pyl.",Accepted,,M,TRO,35148418,,"Nomencl. Bot.","2: 196","196","1824"
tro-35148420,B,Hedwigiaceae,,Hedwigia,,"ciliata",,"","(Hedw.) P. Beauv.",Accepted,,M,TRO,35148420,,"Prodr. Aethéogam.","15","15","1805"
tro-35148427,B,Hedwigiaceae,,Hedwigia,,"ciliata",var.,"leucophaea","Bruch & Schimp.",Accepted,,L,TRO,35148427,,"Bryol. Eur.","3: 153. 273b (fasc. 29–31. Mon. 5 2b)","153","1846"
tro-35186541,B,Hedwigiaceae,,Hedwigia,,"ciliata",f.,"striata","(Wilson) G.N. Jones",Accepted,,L,TRO,35186541,,"Moss Fl. N. Amer.","2: 46","46","1933"
tro-35148436,B,Hedwigiaceae,,Hedwigia,,"ciliata",var.,"viridis","Bruch & Schimp.",Accepted,,L,TRO,35148436,,"Bryol. Eur.","3: 153. 273d (fasc. 29–31 Mon. 5. 2d)","153","1846"
tro-35148437,B,Hedwigiaceae,,Hedwigia,,"cirrhifolia",,"","(Mitt.) Mitt.",Accepted,,M,TRO,35148437,,"J. Linn. Soc., Bot.","12: 406","406","1869"
