ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35187691,B,Herbertaceae,,Herbertus,,"acanthelius",,"","Spruce",Accepted,,M,TRO,35187691,,"Trans. & Proc. Bot. Soc. Edinburgh","15: 344","344","1885"
tro-35185196,B,Herbertaceae,,Herbertus,,"aduncus",,"","(Dicks.) Gray",Accepted,,M,TRO,35185196,,"Nat. Arr. Brit. Pl.","1: 705","705","1821"
tro-35185198,B,Herbertaceae,,Herbertus,,"aduncus",subsp.,"tenuis","(A. Evans) H.A. Mill. & E.B. Bohrer",Accepted,,L,TRO,35185198,,"Rev. Bryol. Lichénol.","29: 29","29","1960"
tro-35217762,B,Herbertaceae,,Herbertus,,"angustevittatus",,"","(Stephani) Fulford",Accepted,,M,TRO,35217762,,"Mem. New York Bot. Gard.","11: 102","102","1962"
tro-35208947,B,Herbertaceae,,Herbertus,,"angustissimus",,"","(Herzog) H.A. Mill.",Accepted,,M,TRO,35208947,,"J. Hattori Bot. Lab.","28: 325","325","1965"
tro-35202982,B,Herbertaceae,,Herbertus,,"arcticus",,"","(Inoue & Steere) Schljakov",Accepted,,M,TRO,35202982,,"Novosti Syst. Niza. Rast.","19: 209","209","1982"
tro-35212640,B,Herbertaceae,,Herbertus,,"armitana",,"","(Stephani) H.A. Mill.",Accepted,,M,TRO,35212640,,"J. Hattori Bot. Lab.","28: 324","324","1965"
tro-35202314,B,Herbertaceae,,Herbertus,,"asparus",,"","Tixier",Accepted,,M,TRO,35202314,,"Bryophyt. Biblioth.","18: 64. f. 6","64","1979"
tro-35204045,B,Herbertaceae,,Herbertus,,"azoricus",,"","P.W. Richards",Accepted,,M,TRO,35204045,,"Ann. Bryol.","9: 137","137","1936"
tro-35191202,B,Herbertaceae,,Herbertus,,"bivittatus",,"","Spruce",Accepted,,M,TRO,35191202,,"Trans. & Proc. Bot. Soc. Edinburgh","15: 343","343","1885"
tro-35205366,B,Herbertaceae,,Herbertus,,"borealis",,"","Crundw.",Accepted,,M,TRO,35205366,,"Trans. Brit. Bryol. Soc.","6: ?","?","1970"
tro-35217376,B,Herbertaceae,,Herbertus,,"buchii",,"","Juslen",Accepted,,M,TRO,35217376,,"Ann. Bot. Fenn.","43: 416","416","2006"
tro-35187705,B,Herbertaceae,,Herbertus,,"cancerina",,"","Herzog",Unresolved,,L,TRO,35187705,,"Rev. Bryol. Lichénol.","11: 25","25","1939"
tro-35202341,B,Herbertaceae,,Herbertus,,"capensis",,"","(Stephani) Sim",Accepted,,M,TRO,35202341,,"Trans. Roy. Soc. South Africa","15: 75","75","1926"
tro-35208559,B,Herbertaceae,,Herbertus,,"ceylanicus",,"","(Stephani) Abeyw.",Accepted,,M,TRO,35208559,,"Ceylon J. Sci., Biol. Sci.","2: 43","43","1959"
tro-35212629,B,Herbertaceae,,Herbertus,,"circinatus",,"","(Stephani) H.A. Mill.",Accepted,,M,TRO,35212629,,"J. Hattori Bot. Lab.","28: 318","318","1965"
tro-35202221,B,Herbertaceae,,Herbertus,,"colombianus",,"","G. Reenen",Accepted,,M,TRO,35202221,,"Lindbergia","8: 117. f. 17–21","117","1982"
tro-35187703,B,Herbertaceae,,Herbertus,,"costaricensis",,"","Stephani",Unresolved,,L,TRO,35187703,,"Bull. Soc. Roy. Bot. Belgique","31: 178","178","1892"
tro-35212613,B,Herbertaceae,,Herbertus,,"darjeelingensis",,"","H.A. Mill.",Unresolved,,L,TRO,35212613,,"J. Hattori Bot. Lab.","28: 307","307","1965"
tro-35212626,B,Herbertaceae,,Herbertus,,"decurrens",,"","(Stephani) H.A. Mill.",Accepted,,M,TRO,35212626,,"J. Hattori Bot. Lab.","28: 317","317","1965"
tro-35208948,B,Herbertaceae,,Herbertus,,"delavayi",,"","Stephani",Accepted,,M,TRO,35208948,,"Hedwigia","34: 43","43","1895"
tro-35200935,B,Herbertaceae,,Herbertus,,"dicranus",,"","(Taylor) Trevis.",Accepted,,M,TRO,35200935,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 397","397","1877"
tro-35212642,B,Herbertaceae,,Herbertus,,"divaricatus",,"","(Herzog) H.A. Mill.",Accepted,,M,TRO,35212642,,"J. Hattori Bot. Lab.","28: 325","325","1965"
tro-35187693,B,Herbertaceae,,Herbertus,,"divergens",,"","(Stephani) Herzog",Accepted,,M,TRO,35187693,,"Hedwigia","74: 94","94","1934"
tro-35216576,B,Herbertaceae,,Herbertus,,"doggeltianus",,"","(Stephani) Demaret",Accepted,,M,TRO,35216576,,"Bull. Jard. Bot. État Brux.","16: 289","289","1942"
tro-35216274,B,Herbertaceae,,Herbertus,,"durandii",,"","(Stephani) Herzog",Accepted,,M,TRO,35216274,,"Rev. Bryol. Lichénol.","11: 25","25","1939"
tro-35202240,B,Herbertaceae,,Herbertus,,"elliottii",,"","(Spruce) Fulford",Accepted,,M,TRO,35202240,,"Mem. New York Bot. Gard.","45: 266","266","1987"
tro-35212649,B,Herbertaceae,,Herbertus,,"evittatus",,"","(Stephani) H.A. Mill.",Accepted,,M,TRO,35212649,,"J. Hattori Bot. Lab.","28: 327","327","1965"
tro-35212600,B,Herbertaceae,,Herbertus,,"fleischeri",,"","(Stephani) H.A. Mill.",Accepted,,M,TRO,35212600,,"J. Hattori Bot. Lab.","28: 307","307","1965"
tro-35208949,B,Herbertaceae,,Herbertus,,"fragilis",,"","(Stephani) Herzog",Accepted,,M,TRO,35208949,,"Ann. Bryol.","12: 80","80","1939"
tro-35215458,B,Herbertaceae,,Herbertus,,"gaochienii",,"","Fu Xing",Accepted,,M,TRO,35215458,,"Fl. Bryophyt. Sin.","9: 38. f. 15","38","2003"
tro-35208950,B,Herbertaceae,,Herbertus,,"giraldianus",,"","(Stephani) Nichols",Accepted,,M,TRO,35208950,,"Symb. Sin.","5: 27","27","1930"
tro-35212617,B,Herbertaceae,,Herbertus,,"giulianettii",,"","(Stephani) H.A. Mill.",Accepted,,M,TRO,35212617,,"J. Hattori Bot. Lab.","28: 311","311","1965"
tro-35215438,B,Herbertaceae,,Herbertus,,"grossevittatus",,"","(Stephani) S.W. Arnell ex Grolle",Accepted,,M,TRO,35215438,,"Bryophyt. Biblioth.","48: 73","73","1995"
tro-35187696,B,Herbertaceae,,Herbertus,,"grossispinus",,"","Fulford",Accepted,,M,TRO,35187696,,"Index Bryol.","","","1963"
tro-35185199,B,Herbertaceae,,Herbertus,,"hawaiiensis",,"","H.A. Mill.",Accepted,,M,TRO,35185199,,"J. Hattori Bot. Lab.","28: 317. f. 79","317","1965"
tro-35212612,B,Herbertaceae,,Herbertus,,"helleri",,"","(Stephani) W.E. Nicholson",Accepted,,M,TRO,35212612,,"Rev. Bryol. Lichénol.","13: 142","142",""
tro-35212595,B,Herbertaceae,,Herbertus,,"herpocladioides",,"","E.B. Bohrer & H.A. Mill.",Accepted,,M,TRO,35212595,,"Bryologist","62: 116","116","1959"
tro-35185200,B,Herbertaceae,,Herbertus,,"himalayanus",,"","(Stephani) Herzog",Accepted,,M,TRO,35185200,,"Ann. Bryol.","12: 80","80","1939"
tro-35208951,B,Herbertaceae,,Herbertus,,"huerlimannii",,"","H.A. Mill.",Accepted,,M,TRO,35208951,,"J. Hattori Bot. Lab.","31: 248. f. 1–9","248","1968"
tro-35205365,B,Herbertaceae,,Herbertus,,"hutchinsiae",,"","(Gottsche & Rabenh.) A. Evans",Accepted,,M,TRO,35205365,,"Bull. Torrey Bot. Club","44: 214","214","1917"
tro-35208952,B,Herbertaceae,,Herbertus,,"javanicus",,"","(Stephani) H.A. Mill.",Accepted,,M,TRO,35208952,,"J. Hattori Bot. Lab.","28: 319","319","1965"
tro-35187095,B,Herbertaceae,,Herbertus,,"juniperoideus",,"","(Sw.) Grolle",Accepted,,M,TRO,35187095,,"Rev. Bryol. Lichénol.","30:","","1961"
tro-35216855,B,Herbertaceae,,Herbertus,,"juniperoideus",subsp.,"acanthelius","(Spruce) K. Feldberg & J. Heinrichs",Accepted,,L,TRO,35216855,,"Bot. J. Linn. Soc.","151: 326","326","2006"
tro-35216857,B,Herbertaceae,,Herbertus,,"juniperoideus",subsp.,"pensilis","(Taylor) K. Feldberg & J. Heinrichs",Accepted,,L,TRO,35216857,,"Bot. J. Linn. Soc.","151: 329","329","2006"
tro-35208953,B,Herbertaceae,,Herbertus,,"kurzii",,"","(Stephani) H.A. Mill.",Accepted,,M,TRO,35208953,,"J. Hattori Bot. Lab.","28: 320","320","1965"
tro-35212638,B,Herbertaceae,,Herbertus,,"leratii",,"","(Stephani) H.A. Mill.",Accepted,,M,TRO,35212638,,"J. Hattori Bot. Lab.","28: 327","327","1965"
tro-35209920,B,Herbertaceae,,Herbertus,,"limbatus",,"","(Stephani) Herzog",Accepted,,M,TRO,35209920,,"Rev. Bryol. Lichénol.","11: 14","14","1938"
tro-35216578,B,Herbertaceae,,Herbertus,,"lobatus",,"","(Stephani) Demaret",Accepted,,M,TRO,35216578,,"Bull. Jard. Bot. État Brux.","16: 289","289","1942"
tro-35212597,B,Herbertaceae,,Herbertus,,"lochobasis",,"","H.A. Mill.",Unresolved,,L,TRO,35212597,,"J. Hattori Bot. Lab.","28: 306. f. 3, 9–10","306","1965"
