ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2836998,A,Hernandiaceae,,Gyrocarpus,,"americanus",,"","Jacq.",Accepted,,M,WCSP (in review),964291,170637-1,"Select. Stirp. Amer. Hist.","282","","1763"
kew-2837005,A,Hernandiaceae,,Gyrocarpus,,"americanus",subsp.,"sphenopterus","(R.Br.) Kubitzki",Accepted,,L,WCSP (in review),964298,,"Bot. Jahrb. Syst.","89: 185","","1969"
kew-2837007,A,Hernandiaceae,,Gyrocarpus,,"angustifolius",,"","(Verdc.) Thulin",Accepted,,M,WCSP (in review),964300,962618-1,"Kew Bull.","46: 278","","1991"
kew-2837011,A,Hernandiaceae,,Gyrocarpus,,"hababensis",,"","Chiov.",Accepted,,M,WCSP (in review),964304,430800-1,"Ann. Bot. (Rome)","9: 132","","1911"
kew-2837016,A,Hernandiaceae,,Gyrocarpus,,"jatrophifolius",,"","Domin",Accepted,,M,WCSP (in review),964309,430802-1,"Biblioth. Bot.","89: 128","","1925"
kew-2837018,A,Hernandiaceae,,Gyrocarpus,,"mocinoi",,"","Espejo",Accepted,,M,WCSP (in review),964311,961653-1,"Acta Bot. Mex.","13: 48","","1991"
kew-2840343,A,Hernandiaceae,,Hazomalania,,"voyronii",,"","(Jum.) Capuron",Unresolved,,L,WCSP (in review),967606,430804-1,"Adansonia","n.s., 6: 377","","1966"
tro-50154915,A,Hernandiaceae,,Hernandia,,"albiflora",,"","(C.T. White) Kubitzki",Accepted,,M,TRO,50154915,430805-1,"Bot. Jahrb. Syst.","89(1): 126","126","1969"
kew-2846828,A,Hernandiaceae,,Hernandia,,"beninensis",,"","Welw. ex Henriq.",Unresolved,,L,WCSP (in review),974053,,"Bol. Soc. Brot.","10: 155","","1893"
kew-2846829,A,Hernandiaceae,,Hernandia,,"bivalvis",,"","Benth.",Unresolved,,L,WCSP (in review),974054,464643-1,"Fl. Austral.","5: 314","","1870"
kew-2846830,A,Hernandiaceae,,Hernandia,,"catalpifolia",,"","Britton & Harris",Unresolved,,L,WCSP (in review),974055,120656-2,"Torreya","11: 174","","1911"
kew-2846831,A,Hernandiaceae,,Hernandia,,"cordigera",,"","Vieill.",Unresolved,,L,WCSP (in review),974056,464644-1,"Ann. Sci. Nat., Bot.","IV, 16: 62","","1861"
kew-2846832,A,Hernandiaceae,,Hernandia,,"cubensis",,"","Griseb.",Unresolved,,L,WCSP (in review),974057,,"Mem. Amer. Acad. Arts","n.s., 8: 188","","1861"
kew-2846833,A,Hernandiaceae,,Hernandia,,"didymantha",,"","Donn.Sm.",Accepted,,M,WCSP (in review),974058,120657-2,"Bot. Gaz.","31: 120","","1901"
kew-2846834,A,Hernandiaceae,,Hernandia,,"drakeana",,"","Nadeaud",Accepted,,M,WCSP (in review),974059,464647-1,"J. Bot. (Morot)","13: 4","","1899"
kew-2846835,A,Hernandiaceae,,Hernandia,,"guianensis",,"","Aubl.",Accepted,,M,WCSP (in review),974060,464648-1,"Hist. Pl. Guiane","2: 848","","1775"
kew-2846837,A,Hernandiaceae,,Hernandia,,"jamaicensis",,"","Britton & Harris",Unresolved,,L,WCSP (in review),974062,120659-2,"Bull. Torrey Bot. Club","35: 338","","1908"
kew-2846838,A,Hernandiaceae,,Hernandia,,"kunstleri",,"","King ex K.Heyne",Unresolved,,L,WCSP (in review),974063,430809-1,"Nutt. Pl. Ned.-Ind.","ed. 2, 1: 674","","1927"
kew-2846839,A,Hernandiaceae,,Hernandia,,"leucomphala",,"","Steud.",Unresolved,,L,WCSP (in review),974064,464649-1,"Nomencl. Bot.","ed. 2, 1: 752","","1840"
tro-15300034,A,Hernandiaceae,,Hernandia,,"lychnifera",,"","Grayum & N. Zamora",Accepted,,M,TRO,15300034,958556-1,"Novon","1(1): 17–20, f. 1–2","17","1991"
tro-15300032,A,Hernandiaceae,,Hernandia,,"mascarenensis",,"","(Meisn.) Kubitzki",Accepted,,M,TRO,15300032,430810-1,"Bot. Jahrb. Syst.","89: 142, f. 32","142","1969"
kew-2846842,A,Hernandiaceae,,Hernandia,,"moerenhoutiana",,"","Guill.",Accepted,,M,WCSP (in review),974067,464650-1,"Ann. Sci. Nat., Bot.","II, 7: 189","","1837"
tro-50154920,A,Hernandiaceae,,Hernandia,,"moerenhoutiana",subsp.,"samoensis","(Hochr.) Kubitzki",Accepted,,L,TRO,50154920,,"Bot. Jahrb. Syst.","89(1): 129, t. 25","129","1969"
kew-2846845,A,Hernandiaceae,,Hernandia,,"nukuhivensis",,"","F.Br.",Unresolved,,L,WCSP (in review),974070,430811-1,"Bernice P. Bishop Mus. Bull.","130: 86","","1935"
kew-2846846,A,Hernandiaceae,,Hernandia,,"nymphaeifolia",,"","(J.Presl) Kubitzki",Accepted,,M,WCSP (in review),974071,430812-1,"Bot. Jahrb. Syst.","90: 272","","1970"
kew-2846847,A,Hernandiaceae,,Hernandia,,"obovata",,"","O.C.Schmidt",Unresolved,,L,WCSP (in review),974072,120660-2,"Repert. Spec. Nov. Regni Veg.","27: 164","","1929"
kew-2846848,A,Hernandiaceae,,Hernandia,,"olivacea",,"","Gillespie",Accepted,,M,WCSP (in review),974073,430814-1,"Bernice P. Bishop Mus. Bull.","91: 9","","1932"
kew-2846853,A,Hernandiaceae,,Hernandia,,"papuana",,"","C.T.White",Unresolved,,L,WCSP (in review),974078,430816-1,"J. Arnold Arbor.","10: 216","","1929"
kew-2846856,A,Hernandiaceae,,Hernandia,,"rostrata",,"","Kubitzki",Unresolved,,L,WCSP (in review),974081,430818-1,"Bot. Jahrb. Syst.","89: 134","","1969"
kew-2846858,A,Hernandiaceae,,Hernandia,,"sonora",,"","L.",Accepted,,M,WCSP (in review),974083,316357-2,"Sp. Pl.","981","","1753"
kew-2846861,A,Hernandiaceae,,Hernandia,,"stenura",,"","Standl.",Accepted,,M,WCSP (in review),974086,120663-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","18: 1553","","1938"
tro-50154927,A,Hernandiaceae,,Hernandia,,"stokesii",,"","(F. Br.) Kubitzki",Accepted,,M,TRO,50154927,430821-1,"Bot. Jahrb. Syst.","89(1): 141","141","1969"
tro-50154930,A,Hernandiaceae,,Hernandia,,"tahiensis",,"","Moore",Unresolved,,L,TRO,50154930,,"Occas. Pap. Bernice Pauahi Bishop Mus.","16: 3, f. 2","3","1940"
kew-2846864,A,Hernandiaceae,,Hernandia,,"temarii",,"","Nadeaud",Accepted,,M,WCSP (in review),974089,464657-1,"J. Bot. (Morot)","11: 114","","1897"
tro-50138572,A,Hernandiaceae,,Hernandia,,"wendtii",,"","Espejo",Accepted,,M,TRO,50138572,982626-1,"Fl. Veracruz","67: 14, f. 3","14","1992"
kew-2861922,A,Hernandiaceae,,Illigera,,"appendiculata",,"","S.Vidal",Unresolved,,L,WCSP (in review),988639,170647-1,"Sin. Gen. Pl. Leños. Filip.","Atlas: t. 48 f. F","","1883"
tro-50053668,A,Hernandiaceae,,Illigera,,"aromatica",,"","S.Z. Huang & S.L. Mo",Accepted,,M,TRO,50053668,906402-1,"Guihaia","5(1): 17–18, f. 1–4","17","1985"
tro-15300067,A,Hernandiaceae,,Illigera,,"brevistaminata",,"","Y.R. Li",Accepted,,M,TRO,15300067,430824-1,"Acta Phytotax. Sin.","17(2): 77, pl. 1, f. 2–4","77","1979"
