ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35100298,B,Hookeriaceae,,Achrophyllum,,"anomalum",,"","(Schwägr.) H. Rob.",Accepted,,M,TRO,35100298,,"Phytologia","29: 118","118","1974"
tro-35100301,B,Hookeriaceae,,Achrophyllum,,"crassirete",,"","(Matteri) Matteri",Accepted,,M,TRO,35100301,,"Bol. Soc. Argent. Bot.","18(3–4): 13","13","1979"
tro-35169326,B,Hookeriaceae,,Achrophyllum,,"dentatum",,"","(Hook. f. & Wilson) Vitt & Crosby",Accepted,,M,TRO,35169326,,"Bryologist","75: 175","175","1972"
tro-35100305,B,Hookeriaceae,,Achrophyllum,,"haesselianum",,"","(Matteri) Matteri",Accepted,,M,TRO,35100305,,"Bol. Soc. Argent. Bot.","18(3–4): 13","13","1979"
tro-35100307,B,Hookeriaceae,,Achrophyllum,,"javense",,"","(Dixon ex J. Froehl.) Z. Iwats., B.C. Tan & A. Touw",Accepted,,M,TRO,35100307,,"J. Hattori Bot. Lab.","44: 149","149","1978"
tro-35100308,B,Hookeriaceae,,Achrophyllum,,"magellanicum",,"","(Besch.) Matteri",Accepted,,M,TRO,35100308,,"Bol. Soc. Argent. Bot.","18(3–4): 14","14","1979"
tro-35169327,B,Hookeriaceae,,Achrophyllum,,"quadrifarium",,"","(Sm.) Vitt & Crosby",Accepted,,M,TRO,35169327,,"Bryologist","75: 174","174","1972"
tro-35100317,B,Hookeriaceae,,Achrophyllum,,"tenuinerve",,"","(Broth.) H. Rob.",Accepted,,M,TRO,35100317,,"Phytologia","29: 118","118","1974"
tro-35178919,B,Hookeriaceae,,Archephemeropsis,,"trentepohlioides",,"","Renner",Accepted,,M,TRO,35178919,,"Ann. Jard. Bot. Buitenzorg","45: 88. 24–27, 37–40","88","1934"
tro-35186414,B,Hookeriaceae,,Beeveria,,"distichophylloides",,"","(Broth. & Dixon) Fife",Accepted,,M,TRO,35186414,,"Contr. Univ. Michigan Herb.","18: 142","142","1992"
tro-35183828,B,Hookeriaceae,,Brymela,,"acuminata",,"","(Mitt.) W.R. Buck",Accepted,,M,TRO,35183828,,"Brittonia","39: 217","217","1987"
tro-100364527,B,Hookeriaceae,,Brymela,,"angustiretis",,"","(E.B. Bartram) B. H. Allen",Accepted,,M,TRO,100364527,,"Monogr. Syst. Bot. Missouri Bot. Gard.","117: 445","445","2010"
tro-35183829,B,Hookeriaceae,,Brymela,,"callicostelloides",,"","(Herzog & Thér.) W.R. Buck",Accepted,,M,TRO,35183829,,"Brittonia","39: 217","217","1987"
tro-35218015,B,Hookeriaceae,,Brymela,,"cavifolia",,"","(Mitt.) Vaz-Imbassahy & D. P. Costa",Accepted,,M,TRO,35218015,,"Nova Hedwigia","88: 466","466","2009"
tro-100364528,B,Hookeriaceae,,Brymela,,"complanata",,"","B. H. Allen",Accepted,,M,TRO,100364528,,"Monogr. Syst. Bot. Missouri Bot. Gard.","117: 447","447","2010"
tro-100364529,B,Hookeriaceae,,Brymela,,"crosbyi",,"","(B.H. Allen) B. H. Allen",Accepted,,M,TRO,100364529,,"Monogr. Syst. Bot. Missouri Bot. Gard.","117: 449","449","2010"
tro-35183830,B,Hookeriaceae,,Brymela,,"cuspidata",,"","(A. Jaeger) W.R. Buck",Accepted,,M,TRO,35183830,,"Brittonia","39: 217","217","1989"
tro-35183831,B,Hookeriaceae,,Brymela,,"fissidentoides",,"","(Hook. f. & Wilson) W.R. Buck",Accepted,,M,TRO,35183831,,"Brittonia","39: 217","217","1989"
tro-35183873,B,Hookeriaceae,,Brymela,,"fluminensis",,"","(Geh. & Hampe) W.R. Buck",Accepted,,M,TRO,35183873,,"Brittonia","39: 217","217","1987"
tro-100364530,B,Hookeriaceae,,Brymela,,"laevinervis",,"","(Renauld & Cardot) B. H. Allen",Accepted,,M,TRO,100364530,,"Monogr. Syst. Bot. Missouri Bot. Gard.","117: 451","451","2010"
tro-35183874,B,Hookeriaceae,,Brymela,,"obtusifolia",,"","(E.B. Bartram) W.R. Buck",Accepted,,M,TRO,35183874,,"Brittonia","39: 218","218","1987"
tro-35183875,B,Hookeriaceae,,Brymela,,"parkeriana",,"","(Hook. & Grev.) W.R. Buck",Accepted,,M,TRO,35183875,,"Brittonia","39: 218","218","1987"
tro-35183876,B,Hookeriaceae,,Brymela,,"rugulosa",,"","(Mitt.) W.R. Buck",Accepted,,M,TRO,35183876,,"Brittonia","39: 218","218","1987"
tro-35182664,B,Hookeriaceae,,Brymela,,"tutezona",,"","Crosby & B.H. Allen",Accepted,,M,TRO,35182664,,"Monogr. Syst. Bot. Missouri Bot. Gard.","11: 211. f. 1–6","211","1985"
tro-35183877,B,Hookeriaceae,,Brymela,,"websteri",,"","(H.A. Crum & E.B. Bartram) W.R. Buck",Accepted,,M,TRO,35183877,,"Brittonia","39: 218","218","1987"
tro-35115767,B,Hookeriaceae,,Bryobrothera,,"crenulata",,"","(Broth. & Paris) Thér.",Accepted,,M,TRO,35115767,,"Rev. Bryol.","47: 26","26","1921"
tro-35161892,B,Hookeriaceae,,Chaetomitrella,,"lanceolata",,"","(Bosch & Sande Lac.) Hampe",Accepted,,M,TRO,35161892,,"Flora","63: 336","336","1880"
tro-35161893,B,Hookeriaceae,,Chaetomitrella,,"torquescens",,"","(Bosch & Sande Lac.) Hampe",Accepted,,M,TRO,35161893,,"Flora","63: 336","336","1880"
tro-35157325,B,Hookeriaceae,,Chaetomitriopsis,,"glaucocarpa",,"","(Reinw. ex Schwägr.) M. Fleisch.",Accepted,,M,TRO,35157325,,"Musci Buitenzorg","4: 1372. 223","1372","1923"
tro-35157329,B,Hookeriaceae,,Chaetomitrium,,"acanthocarpum",,"","Bosch & Sande Lac.",Accepted,,M,TRO,35157329,,"Bryol. Jav.","2: 53. 173","53","1862"
tro-35157330,B,Hookeriaceae,,Chaetomitrium,,"aneitense",,"","Broth. & Watts",Accepted,,M,TRO,35157330,,"J. & Proc. Roy. Soc. New South Wales","49: 146","146","1915"
tro-35157331,B,Hookeriaceae,,Chaetomitrium,,"auriculatum",,"","Dixon & Herzog",Accepted,,M,TRO,35157331,,"Hedwigia","66: 350","350","1926"
tro-35157332,B,Hookeriaceae,,Chaetomitrium,,"beccarii",,"","Dixon",Accepted,,M,TRO,35157332,,"J. Linn. Soc., Bot.","50: 108. 29","108","1935"
tro-35157333,B,Hookeriaceae,,Chaetomitrium,,"borbonicum",,"","Besch.",Accepted,,M,TRO,35157333,,"Ann. Sci. Nat., Bot., sér. 6,","10: 286","286","1880"
