ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-461014,A,Hydrocharitaceae,,Appertiella,,"hexandra",,"","C.D.K.Cook & L.Triest",Accepted,,H,WCSP,461014,899185-1,"Studies on Aquatic Vasc. Pl.","75","","1982"
tro-16100144,A,Hydrocharitaceae,,Beneditaea,,"hasiliensis",,"","Toleds.",Unresolved,,L,TRO,16100144,,"","","",""
kew-309306,A,Hydrocharitaceae,,Blyxa,,"aubertii",,"","Rich.",Accepted,,H,WCSP,309306,431616-1,"Mem. Cl. Sci. Math. Inst. Natl. France","1811(2): 19","","1814"
kew-309309,A,Hydrocharitaceae,,Blyxa,,"bulbosa",,"","H.Lév.",Unresolved,,L,WCSP,309309,431618-1,"Repert. Spec. Nov. Regni Veg.","11: 67","","1912"
kew-309316,A,Hydrocharitaceae,,Blyxa,,"echinosperma",,"","(C.B.Clarke) Hook.f.",Accepted,,H,WCSP,309316,431625-1,"Fl. Brit. India","5: 661","","1888"
kew-309320,A,Hydrocharitaceae,,Blyxa,,"hexandra",,"","C.D.K.Cook & Luond",Accepted,,H,WCSP,309320,896368-1,"Mitt. Bot. Staatssamml. München","16: 485","","1980"
kew-309321,A,Hydrocharitaceae,,Blyxa,,"japonica",,"","(Miq.) Maxim. ex Asch. & Gürke",Accepted,,H,WCSP,309321,431629-1,"Nat. Pflanzenfam.","2(1): 253","","1889"
kew-309322,A,Hydrocharitaceae,,Blyxa,,"japonica",var.,"alternifolia","(Miq.) C.D.K.Cook & Luond",Accepted,,L,WCSP,309322,921835-1,"Aquatic Bot.","15: 25","","1983"
kew-309323,A,Hydrocharitaceae,,Blyxa,,"javanica",,"","Hassk.",Accepted,,H,WCSP,309323,431630-1,"Tijdschr. Natuurl. Gesch. Physiol.","10: 121","","1843"
kew-309327,A,Hydrocharitaceae,,Blyxa,,"leiosperma",,"","Koidz.",Accepted,,H,WCSP,309327,431634-1,"Bot. Mag. (Tokyo)","31: 257","","1917"
kew-309330,A,Hydrocharitaceae,,Blyxa,,"novoguineensis",,"","Hartog",Accepted,,H,WCSP,309330,431637-1,"Acta Bot. Neerl.","6: 47","","1957"
kew-309331,A,Hydrocharitaceae,,Blyxa,,"octandra",,"","(Roxb.) Planch. ex Thwaites",Accepted,,H,WCSP,309331,1048814-2,"Enum. Pl. Zeyl.","332","","1864"
kew-309333,A,Hydrocharitaceae,,Blyxa,,"quadricostata",,"","Hartog",Accepted,,H,WCSP,309333,431640-1,"Blumea","21: 185","","1973"
kew-309334,A,Hydrocharitaceae,,Blyxa,,"radicans",,"","Ridl.",Accepted,,H,WCSP,309334,431641-1,"J. Linn. Soc., Bot.","21: 236","","1886"
kew-309337,A,Hydrocharitaceae,,Blyxa,,"senegalensis",,"","Dandy",Accepted,,H,WCSP,309337,431644-1,"J. Bot.","72: 42","","1934"
kew-309341,A,Hydrocharitaceae,,Blyxa,,"vietii",,"","C.D.K.Cook & Luond",Accepted,,H,WCSP,309341,896369-1,"Mitt. Bot. Staatssamml. München","16: 487","","1980"
kew-309440,A,Hydrocharitaceae,,Egeria,,"densa",,"","Planch.",Accepted,,H,WCSP,309440,431700-1,"Ann. Sci. Nat., Bot.","III, 11: 80","","1849"
