ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-16300036,A,Hydrostachyaceae,,Hydrostachys,,"angustisecta",,"","Engl.",Accepted,,M,TRO,16300036,688213-1,"Bot. Jahrb. Syst.","28: 391","391","1900"
kew-2856598,A,Hydrostachyaceae,,Hydrostachys,,"bismarckii",,"","Engl.",Unresolved,,L,WCSP (in review),983341,,"Bot. Jahrb. Syst.","20: 136","","1894"
kew-2856599,A,Hydrostachyaceae,,Hydrostachys,,"cristulata",,"","Wedd.",Unresolved,,L,WCSP (in review),983342,688215-1,"Prodr.","17: 89","","1873"
tro-16300016,A,Hydrostachyaceae,,Hydrostachys,,"decaryi",,"","H. Perrier",Accepted,,M,TRO,16300016,432882-1,"Arch. Bot. Bull. Mens.","3: 150–151","150","1929"
tro-16300005,A,Hydrostachyaceae,,Hydrostachys,,"distichophylla",,"","A. Juss.",Accepted,,M,TRO,16300005,688216-1,"Icon. Sel. Pl.","3: t. 94","t. 94","1837"
tro-50078951,A,Hydrostachyaceae,,Hydrostachys,,"distichophylla",var.,"hildebrandtii","(Engl.) C. Cusset",Accepted,,L,TRO,50078951,883414-1,"Adansonia, n.s.","13(1): 84","84","1973"
tro-50078947,A,Hydrostachyaceae,,Hydrostachys,,"fimbriata",,"","C. Cusset",Accepted,,M,TRO,50078947,432883-1,"Adansonia, n.s.","9(3): 448–449, t. 2, f. 3(map)","448","1969"
tro-16300018,A,Hydrostachyaceae,,Hydrostachys,,"imbricata",,"","A. Juss.",Accepted,,M,TRO,16300018,,"Icon. Sel. Pl.","3: 56, t. 92","56","1837"
kew-2856608,A,Hydrostachyaceae,,Hydrostachys,,"inaequalis",,"","Reimers",Unresolved,,L,WCSP (in review),983351,,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 83","","1934"
kew-2856609,A,Hydrostachyaceae,,Hydrostachys,,"insignis",,"","Mildbr. & Reimers",Accepted,,M,WCSP (in review),983352,,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 662","","1932"
tro-16300002,A,Hydrostachyaceae,,Hydrostachys,,"laciniata",,"","Warm.",Accepted,,M,TRO,16300002,,"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd., ser. 6,","9(2): 152","152","1899"
tro-16300022,A,Hydrostachyaceae,,Hydrostachys,,"longifida",,"","H. Perrier",Accepted,,M,TRO,16300022,432887-1,"Arch. Bot. Bull. Mens.","3: 157–158","157","1929"
kew-2856613,A,Hydrostachyaceae,,Hydrostachys,,"lufirensis",,"","C.Cusset",Unresolved,,L,WCSP (in review),983356,432889-1,"Adansonia","n.s., 13: 102","","1973"
kew-2856614,A,Hydrostachyaceae,,Hydrostachys,,"lukungensis",,"","(Hauman) C.Cusset",Unresolved,,L,WCSP (in review),983357,432890-1,"Adansonia","n.s., 13: 117","","1973"
tro-16300030,A,Hydrostachyaceae,,Hydrostachys,,"madagascariensis",,"","Steud.",Accepted,,M,TRO,16300030,688221-1,"Nomencl. Bot. (ed. 2)","1: 783","783","1840"
tro-16300009,A,Hydrostachyaceae,,Hydrostachys,,"maxima",,"","H. Perrier",Accepted,,M,TRO,16300009,432891-1,"Arch. Bot. Bull. Mens.","3: 146–147","146","1929"
tro-16300007,A,Hydrostachyaceae,,Hydrostachys,,"monoica",,"","H. Perrier",Accepted,,M,TRO,16300007,432892-1,"Arch. Bot. Bull. Mens.","3: 144–145","144","1929"
tro-16300023,A,Hydrostachyaceae,,Hydrostachys,,"multifida",,"","A. Juss.",Accepted,,M,TRO,16300023,,"Icon. Sel. Pl.","3, t. 93","3","1837"
kew-2856619,A,Hydrostachyaceae,,Hydrostachys,,"multipinnata",,"","Engl.",Unresolved,,L,WCSP (in review),983362,688223-1,"Bot. Jahrb. Syst.","20: 137","","1894"
kew-2856620,A,Hydrostachyaceae,,Hydrostachys,,"multisquamatus",,"","H.Perrier",Unresolved,,L,WCSP (in review),983363,,"Arch. Bot. Bull. Mens.","3: 149","","1929 publ. 1931"
kew-2856621,A,Hydrostachyaceae,,Hydrostachys,,"myriophylla",,"","Hauman",Unresolved,,L,WCSP (in review),983364,432894-1,"Bull. Soc. Roy. Bot. Belgique","78: 55","","1946"
