ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
ifn-19939,P,Hypodematiaceae,,Didymochlaena,,"dimidiata",,"","Kunze",Unresolved,,L,IPNI,17084740-1,17084740-1,"Linnaea","18. 122. 1844","","1844"
ifn-19940,P,Hypodematiaceae,,Didymochlaena,,"lunulata",,"","Desv.",Unresolved,,L,IPNI,17084750-1,17084750-1,"M","6(3): 282","","1827"
tro-26601312,P,Hypodematiaceae,,Didymochlaena,,"microphylla",,"","(Bonap.) C. Chr.",Accepted,,M,TRO,26601312,17320140-1,"Cat. Pl. Madag., Pterid.","30","30","1932"
ifn-19944,P,Hypodematiaceae,,Didymochlaena,,"polycarpa",,"","Baker",Unresolved,,L,IPNI,17084760-1,17084760-1,"Syn. Fil. (Hooker & Baker)","248","","1867"
ifn-19945,P,Hypodematiaceae,,Didymochlaena,,"pulcherrima",,"","Herter",Unresolved,,L,IPNI,80048-2,80048-2,"Revista Sudamer. Bot.","6: 130","","1940"
tro-26601305,P,Hypodematiaceae,,Didymochlaena,,"truncatula",,"","(Sw.) J. Sm.",Accepted,,M,TRO,26601305,17084790-1,"J. Bot. (Hooker)","4: 196","196","1841-1842"
ifn-14168,P,Hypodematiaceae,,Leucostegia,,"affinis",,"","J.Sm",Unresolved,,L,IPNI,17133860-1,17133860-1,"J. Bot. (Hooker)","3: 416","","1841"
ifn-14169,P,Hypodematiaceae,,Leucostegia,,"alternifrons",,"","M.R.Almeida & S.M.Almeida",Unresolved,,L,IPNI,17564920-1,17564920-1,"J. Bombay Nat. Hist. Soc.","90(3): 423","","1994 [1993 publ. 1994]"
ifn-14171,P,Hypodematiaceae,,Leucostegia,,"borneensis",,"","J.Sm.",Unresolved,,L,IPNI,17133880-1,17133880-1,"Ferns br. and for.","77. 1866","","1866"
tro-50110353,P,Hypodematiaceae,,Leucostegia,,"chaerophylla",,"","(Wall. ex Hook.) J. Sm.",Accepted,,M,TRO,50110353,17133890-1,"London J. Bot.","1: 426","426","1842"
ifn-14173,P,Hypodematiaceae,,Leucostegia,,"cicutarioides",,"","C.Chr.",Unresolved,,L,IPNI,17338030-1,17338030-1,"Index Filic., Suppl. Tertium pro Annis 1917-1933","120","","1934"
ifn-14179,P,Hypodematiaceae,,Leucostegia,,"falcinella",,"","J.Sm.",Unresolved,,L,IPNI,17133910-1,17133910-1,"J. Bot. (Hooker)","3: 416","","1841"
ifn-14181,P,Hypodematiaceae,,Leucostegia,,"gymnocarpa",,"","C.Chr.",Unresolved,,L,IPNI,17338110-1,17338110-1,"Index Filic., Suppl. Tertium pro Annis 1917-1933","120","","1934"
ifn-14184,P,Hypodematiaceae,,Leucostegia,,"hosei",,"","Copel.",Unresolved,,L,IPNI,17338140-1,17338140-1,"Sarawak Mus. Journ.","2. 336. 1917","","1917"
ifn-14185,P,Hypodematiaceae,,Leucostegia,,"hymenophylla",,"","Bedd.",Unresolved,,L,IPNI,17133950-1,17133950-1,"Ferns br. Ind. Suppl.","4. 1876.","","1876"
ifn-14186,P,Hypodematiaceae,,Leucostegia,,"hymenophylloides",,"","Bedd.",Unresolved,,L,IPNI,17133960-1,17133960-1,"Ferns br. Ind. Suppl.","4. 1876.","","1876"
tro-26613631,P,Hypodematiaceae,,Leucostegia,,"immersa",,"","Wall. ex C. Presl",Accepted,,M,TRO,26613631,17133970-1,"Tent. Pterid.","95, pl. 4, f. 11","95","1836"
ifn-14188,P,Hypodematiaceae,,Leucostegia,,"ligulata",,"","J.Sm.",Unresolved,,L,IPNI,17133980-1,17133980-1,"London J. Bot.","1. 426. 1842","","1842"
ifn-14189,P,Hypodematiaceae,,Leucostegia,,"loxoscaphoides",,"","C.Chr.",Unresolved,,L,IPNI,17338180-1,17338180-1,"Index Filic., Suppl. Tertium pro Annis 1917-1933","120","","1934"
ifn-14190,P,Hypodematiaceae,,Leucostegia,,"mac",,"","Gillivrayi Fourn.",Unresolved,,L,IPNI,17133990-1,17133990-1,"Ann. Sci. Nat., Bot.","s","","1873"
ifn-14194,P,Hypodematiaceae,,Leucostegia,,"nephrodioides",,"","Copel.",Unresolved,,L,IPNI,17338230-1,17338230-1,"Sarawak Mus. Journ.","2. 336. 1917","","1917"
ifn-14195,P,Hypodematiaceae,,Leucostegia,,"nodosa",,"","Bedd.",Unresolved,,L,IPNI,17134030-1,17134030-1,"Ferns br. Ind. Suppl.","4. 1876","","1876"
ifn-14196,P,Hypodematiaceae,,Leucostegia,,"pallida",,"","Copel.",Unresolved,,L,IPNI,17338240-1,17338240-1,"Philipp. J. Sci.","34: 252","","1927"
ifn-14199,P,Hypodematiaceae,,Leucostegia,,"parvula",,"","J.Sm.",Unresolved,,L,IPNI,17134040-1,17134040-1,"London J. Bot.","1. 426. 1842.","","1842"
ifn-14203,P,Hypodematiaceae,,Leucostegia,,"subdigitata",,"","C.Chr.",Unresolved,,L,IPNI,17338310-1,17338310-1,"Index Filic., Suppl. Tertium pro Annis 1917-1933","121","","1934"
ifn-14204,P,Hypodematiaceae,,Leucostegia,,"subsericea",,"","E.Fourn.",Unresolved,,L,IPNI,17134070-1,17134070-1,"Ann. Sci. Nat., Bot.","s","","1873 (1872)"
tro-100356658,P,Hypodematiaceae,,Leucostegia,,"truncata",,"","(D. Don) Fraser-Jenk.",Accepted,,M,TRO,100356658,77100268-1,"Taxon. Revis. Indian Subcontinental Pteridophytes","348","348","2008"
