ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35190868,B,Jungermanniaceae,,Alicularia,,"biloba",,"","Horik.",Accepted,,M,TRO,35190868,,"J. Sci. Hiroshima Univ., Ser. B, Div. 2, Bot.","1: 77. f. 1; pl. 10: 7–14","77","1932"
tro-35190915,B,Jungermanniaceae,,Alicularia,,"compressa",,"","(Hook.) Nees",Accepted,,M,TRO,35190915,,"Syn. Hepat.","12","12","1844"
tro-35190916,B,Jungermanniaceae,,Alicularia,,"connata",,"","Horik.",Accepted,,M,TRO,35190916,,"J. Sci. Hiroshima Univ., Ser. B, Div. 2, Bot.","1: 56. f. 1","56","1931"
tro-35190917,B,Jungermanniaceae,,Alicularia,,"flexuosa",,"","(Lehm.) Nees",Accepted,,M,TRO,35190917,,"Syn. Hepat.","11","11","1844"
tro-35190918,B,Jungermanniaceae,,Alicularia,,"grandistipula",,"","Herzog",Unresolved,,L,TRO,35190918,,"Biblioth. Bot.","88: 30","30","1921"
tro-35190921,B,Jungermanniaceae,,Alicularia,,"insecta",,"","(Lindb.) Levier",Accepted,,M,TRO,35190921,,"Boll. Soc. Bot. Ital.","1905: 208","208","1905"
tro-35190941,B,Jungermanniaceae,,Alicularia,,"japonica",,"","(Stephani) Stephani",Accepted,,M,TRO,35190941,,"Sp. Hepat.","2: 45","45","1901"
tro-35190942,B,Jungermanniaceae,,Alicularia,,"lindmanii",,"","(Stephani) Stephani",Accepted,,M,TRO,35190942,,"Sp. Hepat.","2: 43","43","1901"
tro-35190943,B,Jungermanniaceae,,Alicularia,,"minor",,"","(Nees) Limpr.",Accepted,,M,TRO,35190943,,"Krypt.-Fl. Schlesien","1: 251","251","1876"
tro-35190944,B,Jungermanniaceae,,Alicularia,,"mulleriana",,"","(Schiffner) Müll. Hal.",Accepted,,M,TRO,35190944,,"Bull. Herb. Boissier, sér. 2,","5: 593","593","1905"
tro-35190945,B,Jungermanniaceae,,Alicularia,,"notoscyphoides",,"","(Schiffner) Stephani",Accepted,,M,TRO,35190945,,"Sp. Hepat.","2: 44","44","1901"
