ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-372195,A,Lecythidaceae,,Allantoma,,"decandra",,"","(Ducke) S.A.Mori, Ya Y.Huang & Prance",Accepted,,H,iPlants,372195,77094245-1,"Brittonia","60: 80","","2008"
kew-372196,A,Lecythidaceae,,Allantoma,,"integrifolia",,"","(Ducke) S.A.Mori, Ya Y.Huang & Prance",Accepted,,H,iPlants,372196,77094246-1,"Brittonia","60: 80","","2008"
kew-372182,A,Lecythidaceae,,Allantoma,,"kuhlmannii",,"","(Ducke) S.A.Mori, Ya Y.Huang & Prance",Accepted,,H,iPlants,372182,77094247-1,"Brittonia","60: 80","","2008"
kew-313377,A,Lecythidaceae,,Allantoma,,"lineata",,"","(Mart. ex O.Berg) Miers",Accepted,,H,iPlants,313377,590593-1,"Trans. Linn. Soc. London","30: 297","","1874"
kew-372191,A,Lecythidaceae,,Allantoma,,"pachyantha",,"","(A.C.Sm.) S.A.Mori, Ya Y.Huang & Prance",Accepted,,H,iPlants,372191,77094249-1,"Brittonia","60: 80","","2008"
kew-372175,A,Lecythidaceae,,Allantoma,,"pauciramosa",,"","(W.A.Rodrigues) S.A.Mori, Ya Y.Huang & Prance",Accepted,,H,iPlants,372175,77094250-1,"Brittonia","60: 80","","2008"
kew-372192,A,Lecythidaceae,,Allantoma,,"pluriflora",,"","S.A.Mori, Ya Y.Huang & Prance",Accepted,,H,iPlants,372192,77094248-1,"Brittonia","60: 80","","2008"
kew-372176,A,Lecythidaceae,,Allantoma,,"uaupensis",,"","(Spruce ex O.Berg) S.A.Mori, Ya Y.Huang & Prance",Accepted,,H,iPlants,372176,77094251-1,"Brittonia","60: 80","","2008"
kew-312896,A,Lecythidaceae,,Asteranthos,,"brasiliensis",,"","Desf.",Accepted,,H,iPlants,312896,590680-1,"Mém. Mus. Hist. Nat.","6: 9","","1820"
kew-313389,A,Lecythidaceae,,Barringtonia,,"acutangula",,"","(L.) Gaertn.",Accepted,,H,iPlants,313389,591177-1,"Fruct. Sem. Pl.","2: 97","","1791"
kew-313392,A,Lecythidaceae,,Barringtonia,,"acutangula",subsp.,"spicata","(Blume) Payens",Accepted,,L,iPlants,313392,,"Blumea","15: 231","","1967"
kew-313397,A,Lecythidaceae,,Barringtonia,,"apiculata",,"","Lauterb.",Accepted,,H,iPlants,313397,469055-1,"Bot. Jahrb. Syst.","57: 350","","1922"
kew-313401,A,Lecythidaceae,,Barringtonia,,"ashtonii",,"","Payens",Accepted,,H,iPlants,313401,469059-1,"Blumea","15: 218","","1968"
kew-313402,A,Lecythidaceae,,Barringtonia,,"asiatica",,"","(L.) Kurz",Accepted,,H,iPlants,313402,469061-1,"Prelim. Rep. Forest Pegu","App. A: lxv","","1875"
kew-313403,A,Lecythidaceae,,Barringtonia,,"augusta",,"","Kurz",Accepted,,H,iPlants,313403,591184-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","42(2): 233","","1874"
kew-462477,A,Lecythidaceae,,Barringtonia,,"badia",,"","Prance",Accepted,,H,iPlants,462477,77104902-1,"Blumea","55: 14","","2010"
kew-313407,A,Lecythidaceae,,Barringtonia,,"belagaensis",,"","Chantar.",Accepted,,H,iPlants,313407,985580-1,"Kew Bull.","50: 695","","1995"
kew-313416,A,Lecythidaceae,,Barringtonia,,"calyptrata",,"","(Miers) R.Br. ex Benth.",Accepted,,H,iPlants,313416,,"Queensland Agric. J.","18: 125","","1907"
kew-313417,A,Lecythidaceae,,Barringtonia,,"calyptrocalyx",,"","K.Schum.",Accepted,,H,iPlants,313417,591189-1,"Fl. Kais. Wilh. Land","91","","1889"
kew-313418,A,Lecythidaceae,,Barringtonia,,"calyptrocalyx",var.,"boridiensis","(R.Knuth) Payens",Accepted,,L,iPlants,313418,,"Blumea","15: 213","","1967"
kew-462464,A,Lecythidaceae,,Barringtonia,,"chaniana",,"","(Whitmore) Prance",Accepted,,H,iPlants,462464,77104898-1,"Blumea","55: 14","","2010"
kew-313429,A,Lecythidaceae,,Barringtonia,,"conoidea",,"","Griff.",Accepted,,H,iPlants,313429,,"Not. Pl. Asiat.","4: 656","","1854"
kew-313430,A,Lecythidaceae,,Barringtonia,,"corneri",,"","Kiew & K.M.Wong",Accepted,,H,iPlants,313430,975182-1,"Malayan Nat. J.","41: 457","","1988"
kew-313433,A,Lecythidaceae,,Barringtonia,,"curranii",,"","Merr.",Accepted,,H,iPlants,313433,469079-1,"Philipp. J. Sci., C","1(Suppl.): 211","","1906"
kew-313444,A,Lecythidaceae,,Barringtonia,,"edulis",,"","Seem.",Accepted,,H,iPlants,313444,591196-1,"Fl. Vit.","82","","1866"
kew-313447,A,Lecythidaceae,,Barringtonia,,"filirachis",,"","Payens",Accepted,,H,iPlants,313447,469088-1,"Blumea","15: 198","","1967"
kew-313452,A,Lecythidaceae,,Barringtonia,,"fusiformis",,"","King",Accepted,,H,iPlants,313452,591199-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","70: 140","","1901"
kew-313453,A,Lecythidaceae,,Barringtonia,,"gigantostachya",,"","Koord. & Valeton",Accepted,,H,iPlants,313453,591200-1,"Bull. Inst. Bot. Buitenzorg","2: 9","","1899"
kew-313454,A,Lecythidaceae,,Barringtonia,,"gigantostachya",var.,"megistophylla","(Merr.) Payens",Accepted,,L,iPlants,313454,,"Blumea","15: 207","","1967"
kew-462476,A,Lecythidaceae,,Barringtonia,,"glomerata",,"","Prance",Accepted,,H,iPlants,462476,77104903-1,"Blumea","55: 17","","2010"
kew-313459,A,Lecythidaceae,,Barringtonia,,"hallieri",,"","R.Knuth",Accepted,,H,iPlants,313459,,"Pflanzenr.","IV, 219: 34","","1939"
kew-313460,A,Lecythidaceae,,Barringtonia,,"havilandii",,"","Ridl.",Accepted,,H,iPlants,313460,469097-1,"Bull. Misc. Inform. Kew","1938: 284","","1938"
kew-313465,A,Lecythidaceae,,Barringtonia,,"integrifolia",,"","(Montrouz.) Schltr.",Accepted,,H,iPlants,313465,469098-1,"Bot. Jahrb. Syst.","39: 200","","1906"
kew-461187,A,Lecythidaceae,,Barringtonia,,"jebbiana",,"","Takeuchi",Accepted,,H,iPlants,461187,,"Harvard Pap. Bot.","15: 27","","2010"
kew-313468,A,Lecythidaceae,,Barringtonia,,"josephstaalensis",,"","W.N.Takeuchi",Accepted,,H,iPlants,313468,1018845-1,"Sida","19: 9","","2000"
kew-313471,A,Lecythidaceae,,Barringtonia,,"khaoluangensis",,"","Chantar.",Accepted,,H,iPlants,313471,985578-1,"Kew Bull.","50: 684","","1995"
kew-313474,A,Lecythidaceae,,Barringtonia,,"lanceolata",,"","(Ridl.) Payens",Accepted,,H,iPlants,313474,469106-1,"Blumea","15: 250","","1967"
kew-462462,A,Lecythidaceae,,Barringtonia,,"latiffiana",,"","(El-Sherif) Prance",Accepted,,H,iPlants,462462,77104899-1,"Blumea","55: 14","","2010"
