ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35188219,B,Leptodontaceae,,Caduciella,,"guangdongensis",,"","Enroth",Accepted,,M,TRO,35188219,,"Bryologist","96: 471. f. 1–7","471","1993"
tro-35186313,B,Leptodontaceae,,Caduciella,,"mariei",,"","(Besch.) Enroth",Accepted,,M,TRO,35186313,,"J. Bryol.","16: 612","612","1991"
tro-35138243,B,Leptodontaceae,,Lasia,,"coronata",,"","(Mont.) Müll. Hal.",Accepted,,M,TRO,35138243,,"Linnaea","42: 424","424","1879"
tro-35138246,B,Leptodontaceae,,Lasia,,"flagellacea",,"","Müll. Hal.",Accepted,,M,TRO,35138246,,"Flora","73: 487","487","1890"
tro-35138247,B,Leptodontaceae,,Lasia,,"floridana",,"","(Lindb.) Kindb.",Accepted,,M,TRO,35138247,,"Enum. Bryin. Exot.","21","21","1888"
tro-35138248,B,Leptodontaceae,,Lasia,,"fruticella",,"","Mitt.",Accepted,,M,TRO,35138248,,"Trans. Linn. Soc. London, Bot.","3: 173,","173,","1891"
tro-35138249,B,Leptodontaceae,,Lasia,,"geniculata",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35138249,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 204 (Gen. Sp. Musc. 2: 108)","204 ","1877"
tro-35138251,B,Leptodontaceae,,Lasia,,"indica",,"","Wilson",Accepted,,M,TRO,35138251,,"J. Proc. Linn. Soc., Bot., Suppl.","2: 124","124","1859"
tro-35138254,B,Leptodontaceae,,Lasia,,"marginata",,"","(Michx.) Brid.",Accepted,,M,TRO,35138254,,"Muscol. Recent. Suppl.","4: 133","133","1819"
tro-35138255,B,Leptodontaceae,,Lasia,,"nitida",,"","(Lindb.) A. Jaeger",Accepted,,M,TRO,35138255,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 203 (Gen. Sp. Musc. 2: 107)","203 ","1877"
tro-35138257,B,Leptodontaceae,,Lasia,,"ohioensis",,"","(Sull.) A. Jaeger",Accepted,,M,TRO,35138257,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 204 (Gen. Sp. Musc. 2: 108)","204 ","1877"
tro-35138260,B,Leptodontaceae,,Lasia,,"producta",,"","(Hornsch.) A. Jaeger",Accepted,,M,TRO,35138260,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 204 (Gen. Sp. Musc. 2: 108)","204 ","1877"
tro-35138264,B,Leptodontaceae,,Lasia,,"sinensis",,"","Besch.",Accepted,,M,TRO,35138264,,"Ann. Sci. Nat., Bot., sér. 7,","15: 72","72","1892"
tro-35138265,B,Leptodontaceae,,Lasia,,"smithii",,"","(Hedw.) Brid.",Accepted,,M,TRO,35138265,,"Muscol. Recent. Suppl.","4: 133","133","1819"
tro-35138824,B,Leptodontaceae,,Leptodon,,"abietinus",,"","(Hook.) Kindb.",Accepted,,M,TRO,35138824,,"Eur. N. Amer. Bryin.","1: 20","20","1897"
tro-100367153,B,Leptodontaceae,,Leptodon,,"acuminatus",,"","(M. Fleisch.) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100367153,,"Taxon","60(1): 45","45","2011"
tro-35138825,B,Leptodontaceae,,Leptodon,,"australis",,"","Müll. Hal.",Unresolved,,L,TRO,35138825,,"Hedwigia","41: 132","132","1902"
tro-35218107,B,Leptodontaceae,,Leptodon,,"corsicus",,"","Enroth, A. Sotiaux, D. Quandt & Vanderp.",Accepted,,M,TRO,35218107,,"J. Bryol.","31: 189","189","2009"
tro-35138832,B,Leptodontaceae,,Leptodon,,"dillenii",,"","Lindb.",Unresolved,,L,TRO,35138832,,"Moss. Dillen. Hist. Musc.","53","53","1883"
tro-35138834,B,Leptodontaceae,,Leptodon,,"flexuosus",,"","(Harv.) A. Jaeger",Accepted,,M,TRO,35138834,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 202 (Gen. Sp. Musc. 2: 106)","202 ","1877"
tro-35186360,B,Leptodontaceae,,Leptodon,,"fuciformis",,"","(Brid.) Enroth",Accepted,,M,TRO,35186360,,"J. Hattori Bot. Lab.","71: 89","89","1992"
tro-35138837,B,Leptodontaceae,,Leptodon,,"irriguus",,"","(Renauld) C. Mohr",Accepted,,M,TRO,35138837,,"Pl. Life Alabama","306","306","1901"
tro-35138838,B,Leptodontaceae,,Leptodon,,"longisetus",,"","Mont.",Accepted,,M,TRO,35138838,,"Hist. Nat. Îles Canaries","3(3): 20","20","1840"
tro-35138841,B,Leptodontaceae,,Leptodon,,"nitidus",,"","(Lindb.) Sull.",Accepted,,M,TRO,35138841,,"Icon. Musc. Suppl.","80. 60","80","1874"
