ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35186144,B,Leskeaceae,,Bryonorrisia,,"acutifolia",,"","(Mitt.) Enroth",Accepted,,M,TRO,35186144,,"J. Bryol.","16: 407","407","1991"
tro-35183218,B,Leskeaceae,,Bryonorrisia,,"secunda",,"","(Dixon & Badhw.) L. R. Stark & W.R. Buck",Accepted,,M,TRO,35183218,,"Brittonia","38: 52","52","1986"
tro-35186357,B,Leskeaceae,,Chileobryon,,"callicostelloides",,"","(Broth. ex Thér.) Enroth",Accepted,,M,TRO,35186357,,"Nova Hedwigia","54: 138","138","1992"
tro-35162289,B,Leskeaceae,,Duthiella,,"declinata",,"","(Mitt.) Zanten",Accepted,,M,TRO,35162289,,"Blumea","9: 559. 9 f. 3","559","1959"
tro-35133635,B,Leskeaceae,,Duthiella,,"flaccida",,"","(Cardot) Broth.",Accepted,,M,TRO,35133635,,"Nat. Pflanzenfam.","I(3): 1010","1010","1908"
tro-35162291,B,Leskeaceae,,Duthiella,,"flaccida",var.,"rigida","(Broth.) Zanten",Accepted,,L,TRO,35162291,,"Blumea","9: 568. 11 f. 3c, d","568","1959"
tro-35133637,B,Leskeaceae,,Duthiella,,"formosana",,"","Nog.",Accepted,,M,TRO,35133637,,"Trans. Nat. Hist. Soc. Taiwan","24: 469. 1","469","1934"
tro-35133638,B,Leskeaceae,,Duthiella,,"guilbertii",,"","Thér. & P. de la Varde",Accepted,,M,TRO,35133638,,"Rev. Bryol. Lichénol.","15: 146","146","1945"
tro-35133642,B,Leskeaceae,,Duthiella,,"media",,"","Nog.",Accepted,,M,TRO,35133642,,"J. Hattori Bot. Lab.","2: 61. 14","61","1947"
tro-35133644,B,Leskeaceae,,Duthiella,,"myuriiformis",,"","Sakurai",Accepted,,M,TRO,35133644,,"Bot. Mag. (Tokyo)","50: 518. 6","518","1936"
