ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2621793,A,Linaceae,,Adenolinum,,"lewisii",,"","(Pursh) Á.Löve & D.Löve",Unresolved,,L,WCSP (in review),754153,909911-1,"Taxon","31: 348","","1982"
kew-2621799,A,Linaceae,,Adenolinum,,"pratense",,"","(Norton) W.A.Weber",Unresolved,,L,WCSP (in review),754159,4364-2,"Phytologia","55: 2","","1984"
kew-2621802,A,Linaceae,,Adenolinum,,"sibiricum",,"","Rchb.",Unresolved,,L,WCSP (in review),754162,543888-1,"Handb. Nat. Pfl.-Syst.","307","","1837"
kew-2640136,A,Linaceae,,Anisadenia,,"pubescens",,"","Griff.",Accepted,,M,WCSP (in review),772241,543895-1,"Itin. Pl. Khasyah Mts.","54, 833","","1848"
kew-2640137,A,Linaceae,,Anisadenia,,"saxatilis",,"","Wall. ex Meisn.",Accepted,,M,WCSP (in review),772242,543897-1,"Pl. Vasc. Gen.","96","","1838"
kew-2705672,A,Linaceae,,Cathartolinum,,"alatum",,"","Small",Unresolved,,L,WCSP (in review),836369,50023-2,"N. Amer. Fl.","25: 81","","1907"
kew-2705675,A,Linaceae,,Cathartolinum,,"aristatum",,"","Small",Unresolved,,L,WCSP (in review),836372,50025-2,"N. Amer. Fl.","25: 83","","1907"
kew-2705676,A,Linaceae,,Cathartolinum,,"australe",,"","Small",Unresolved,,L,WCSP (in review),836373,50026-2,"N. Amer. Fl.","25: 81","","1907"
kew-2705677,A,Linaceae,,Cathartolinum,,"bahamense",,"","Small",Unresolved,,L,WCSP (in review),836374,50027-2,"N. Amer. Fl.","25: 75","","1907"
kew-2705678,A,Linaceae,,Cathartolinum,,"berlandieri",,"","Small",Unresolved,,L,WCSP (in review),836375,50028-2,"N. Amer. Fl.","25: 82","","1907"
kew-2705681,A,Linaceae,,Cathartolinum,,"carteri",,"","Small",Unresolved,,L,WCSP (in review),836378,50030-2,"N. Amer. Fl.","25: 81","","1907"
kew-2705685,A,Linaceae,,Cathartolinum,,"compactum",,"","Small",Unresolved,,L,WCSP (in review),836382,50032-2,"N. Amer. Fl.","25: 81","","1907"
kew-2705688,A,Linaceae,,Cathartolinum,,"coulterianum",,"","Small",Unresolved,,L,WCSP (in review),836385,50034-2,"N. Amer. Fl.","25: 76","","1907"
kew-2705690,A,Linaceae,,Cathartolinum,,"curtissii",,"","(Small) Small",Unresolved,,L,WCSP (in review),836387,50036-2,"N. Amer. Fl.","25: 72","","1907"
kew-2705691,A,Linaceae,,Cathartolinum,,"digynum",,"","Small",Unresolved,,L,WCSP (in review),836388,50037-2,"N. Amer. Fl.","25: 78","","1907"
kew-2705695,A,Linaceae,,Cathartolinum,,"floridanum",,"","Small",Unresolved,,L,WCSP (in review),836392,50041-2,"N. Amer. Fl.","25: 72","","1907"
kew-2705697,A,Linaceae,,Cathartolinum,,"greggii",,"","Small",Unresolved,,L,WCSP (in review),836394,50042-2,"N. Amer. Fl.","25: 77","","1907"
kew-2705699,A,Linaceae,,Cathartolinum,,"harperi",,"","Small",Unresolved,,L,WCSP (in review),836396,50044-2,"N. Amer. Fl.","25: 78","","1907"
kew-2705702,A,Linaceae,,Cathartolinum,,"kingii",,"","Small",Unresolved,,L,WCSP (in review),836399,50047-2,"N. Amer. Fl.","25: 73","","1907"
kew-2705703,A,Linaceae,,Cathartolinum,,"lecheoides",,"","Small",Unresolved,,L,WCSP (in review),836400,50048-2,"N. Amer. Fl.","25: 79","","1907"
kew-2705706,A,Linaceae,,Cathartolinum,,"medium",,"","Small",Unresolved,,L,WCSP (in review),836403,50051-2,"N. Amer. Fl.","25: 72","","1907"
kew-2705708,A,Linaceae,,Cathartolinum,,"mexicanum",,"","Small",Unresolved,,L,WCSP (in review),836405,50053-2,"N. Amer. Fl.","25: 79","","1907"
kew-2705710,A,Linaceae,,Cathartolinum,,"multicaule",,"","Small",Unresolved,,L,WCSP (in review),836407,50055-2,"N. Amer. Fl.","25: 84","","1907"
kew-2705711,A,Linaceae,,Cathartolinum,,"neomexicanum",,"","Small",Unresolved,,L,WCSP (in review),836408,50056-2,"N. Amer. Fl.","25: 73","","1907"
kew-2705712,A,Linaceae,,Cathartolinum,,"orizabae",,"","Small",Unresolved,,L,WCSP (in review),836409,50057-2,"N. Amer. Fl.","25: 79","","1907"
kew-2705714,A,Linaceae,,Cathartolinum,,"pringlei",,"","Small",Unresolved,,L,WCSP (in review),836411,50058-2,"N. Amer. Fl.","25: 74","","1907"
kew-2705715,A,Linaceae,,Cathartolinum,,"puberulum",,"","Small",Unresolved,,L,WCSP (in review),836412,50059-2,"N. Amer. Fl.","25: 80","","1907"
kew-2705716,A,Linaceae,,Cathartolinum,,"rigidum",,"","Small",Unresolved,,L,WCSP (in review),836413,50060-2,"N. Amer. Fl.","25: 82","","1907"
kew-2705717,A,Linaceae,,Cathartolinum,,"rupestre",,"","Small",Unresolved,,L,WCSP (in review),836414,50061-2,"N. Amer. Fl.","25: 76","","1907"
kew-2705719,A,Linaceae,,Cathartolinum,,"sanctum",,"","Small",Unresolved,,L,WCSP (in review),836416,50062-2,"N. Amer. Fl.","25: 82","","1907"
kew-2705721,A,Linaceae,,Cathartolinum,,"scabrellum",,"","Small",Unresolved,,L,WCSP (in review),836418,50063-2,"N. Amer. Fl.","25: 74","","1907"
kew-2705723,A,Linaceae,,Cathartolinum,,"sedoides",,"","(Porter) Small",Unresolved,,L,WCSP (in review),836420,543948-1,"N. Amer. Fl.","25: 76","","1907"
kew-2705725,A,Linaceae,,Cathartolinum,,"striatum",,"","Small",Unresolved,,L,WCSP (in review),836422,50066-2,"N. Amer. Fl.","25: 71","","1907"
kew-2705727,A,Linaceae,,Cathartolinum,,"subteres",,"","(Trel.) Small",Unresolved,,L,WCSP (in review),836424,50067-2,"N. Amer. Fl.","25: 83","","1907"
kew-2705729,A,Linaceae,,Cathartolinum,,"sulcatum",,"","Small",Unresolved,,L,WCSP (in review),836426,50068-2,"N. Amer. Fl.","25: 78","","1907"
kew-2705730,A,Linaceae,,Cathartolinum,,"tenellum",,"","Small",Unresolved,,L,WCSP (in review),836427,50069-2,"N. Amer. Fl.","25: 77","","1907"
kew-2705732,A,Linaceae,,Cathartolinum,,"vernale",,"","Small",Unresolved,,L,WCSP (in review),836429,50070-2,"N. Amer. Fl.","25: 80","","1907"
kew-2705733,A,Linaceae,,Cathartolinum,,"vestitum",,"","Wooton & Standl.",Unresolved,,L,WCSP (in review),836430,50071-2,"Contr. U. S. Natl. Herb.","16: 142","","1913"
kew-2705734,A,Linaceae,,Cathartolinum,,"virginianum",,"","(L.) Rchb.",Unresolved,,L,WCSP (in review),836431,543959-1,"Handb. Nat. Pfl.-Syst.","307","","1837"
kew-2727913,A,Linaceae,,Cliococca,,"selaginoides",,"","(Lam.) C.M.Rogers & Mildner",Accepted,,M,WCSP (in review),858246,61219-2,"Rhodora","73: 563","","1971"
kew-2779380,A,Linaceae,,Durandea,,"angustifolia",,"","Stapf",Accepted,,M,WCSP (in review),907441,543966-1,"Bull. Misc. Inform. Kew","1908: 11","","1908"
kew-2779381,A,Linaceae,,Durandea,,"deplanchei",,"","Stapf",Accepted,,M,WCSP (in review),907442,,"Hooker's Icon. Pl.","29: t. 2822","","1909"
kew-2779382,A,Linaceae,,Durandea,,"jenkinsii",,"","(F.Muell.) Stapf",Accepted,,L,WCSP (in review),907443,543968-1,"Hooker's Icon. Pl.","29: t. 2822","","1909"
kew-2779383,A,Linaceae,,Durandea,,"latifolia",,"","(Vieill.) Stapf",Accepted,,M,WCSP (in review),907444,543969-1,"Hooker's Icon. Pl.","29: t. 2822","","1909"
kew-2779387,A,Linaceae,,Durandea,,"oreogena",,"","(Schltr.) Stapf",Accepted,,L,WCSP (in review),907448,543972-1,"Bull. Misc. Inform. Kew","1908: 12","","1908"
kew-2779391,A,Linaceae,,Durandea,,"racemosa",,"","(Vieill.) Stapf",Accepted,,M,WCSP (in review),907452,543976-1,"Hooker's Icon. Pl.","29: t. 2822","","1909"
kew-2779396,A,Linaceae,,Durandea,,"viscosa",,"","Stapf",Accepted,,M,WCSP (in review),907457,,"Hooker's Icon. Pl.","29: t. 2822","","1909"
kew-2779397,A,Linaceae,,Durandea,,"vitiensis",,"","Stapf",Accepted,,M,WCSP (in review),907458,,"Hooker's Icon. Pl.","29: t. 2822","","1909"
kew-2840704,A,Linaceae,,Hebepetalum,,"humiriifolia",,"","(Planch.) Benth.",Accepted,,M,WCSP (in review),967966,544169-1,"Gen. Pl.","1: 245","","1862"
kew-2840705,A,Linaceae,,Hebepetalum,,"latifolia",,"","Benth.",Unresolved,,L,WCSP (in review),967967,544170-1,"Gen. Pl.","1: 245","","1862"
kew-2840706,A,Linaceae,,Hebepetalum,,"neblinae",,"","Jardim & P.E.Berry",Accepted,,M,WCSP (in review),967968,319385-2,"Novon","9: 522","","1999 publ. 2000"
kew-2840709,A,Linaceae,,Hebepetalum,,"roraimense",,"","Secco & Manni Silva",Accepted,,M,WCSP (in review),967971,959612-1,"Bol. Mus. Paraense Emilio Goeldi, Bot.","6: 121","","1990 publ. 1991"
tro-50145371,A,Linaceae,,Hebepetalum,,"roraimense",,"","Secco & S.M.B. Silva",Unresolved,,L,TRO,50145371,2959612-1,"Bol. Mus. Paraense ""Emílio Goeldi"", n.s., Bot.","8(2): 260","260","1992"
tro-18700085,A,Linaceae,,Hesperolinon,,"adenophyllum",,"","(A. Gray) Small",Accepted,,M,TRO,18700085,120935-2,"N. Amer. Fl.","25(1): 85","85","1907"
tro-18700086,A,Linaceae,,Hesperolinon,,"bicarpellatum",,"","(H. Sharsm.) H. Sharsm.",Accepted,,M,TRO,18700086,120936-2,"Univ. Calif. Publ. Bot.","32(4): 297","297","1961"
tro-18700087,A,Linaceae,,Hesperolinon,,"breweri",,"","(A. Gray) Small",Accepted,,M,TRO,18700087,120937-2,"N. Amer. Fl.","25(1): 85","85","1907"
tro-18700088,A,Linaceae,,Hesperolinon,,"californicum",,"","(Benth.) Small",Accepted,,M,TRO,18700088,120938-2,"N. Amer. Fl.","25(1): 86","86","1907"
tro-18700089,A,Linaceae,,Hesperolinon,,"clevelandii",,"","(Greene) Small",Accepted,,M,TRO,18700089,120939-2,"N. Amer. Fl.","25(1): 85","85","1907"
tro-18700090,A,Linaceae,,Hesperolinon,,"congestum",,"","(A. Gray) Small",Accepted,,M,TRO,18700090,120941-2,"N. Amer. Fl.","25(1): 86","86","1907"
tro-18700091,A,Linaceae,,Hesperolinon,,"didymocarpum",,"","H. Sharsm.",Accepted,,M,TRO,18700091,120942-2,"Univ. Calif. Publ. Bot.","32(4): 302–303, f. 11h, 15a, 17a, 18b, 20","302","1961"
tro-18700092,A,Linaceae,,Hesperolinon,,"disjunctum",,"","H. Sharsm.",Accepted,,M,TRO,18700092,120943-2,"Univ. Calif. Publ. Bot.","32(4): 300–302, f. 1c, 3, 5i–l, 10e–f, 15c–e, 20","300","1961"
