ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2620156,A,Loasaceae,,Acrolasia,,"affinis",,"","(Greene) Rydb.",Unresolved,,L,WCSP (in review),752528,3622-2,"Bull. Torrey Bot. Club","30: 278","","1903"
kew-2620157,A,Loasaceae,,Acrolasia,,"albicaulis",,"","(Douglas ex Hook.) Rydb.",Unresolved,,L,WCSP (in review),752529,3623-2,"Bull. Torrey Bot. Club","30: 277","","1903"
kew-2620160,A,Loasaceae,,Acrolasia,,"bartonioides",,"","C.Presl",Unresolved,,L,WCSP (in review),752532,544930-1,"Reliq. Haenk.","2: 39","","1831"
kew-2620161,A,Loasaceae,,Acrolasia,,"catalinensis",,"","Millsp.",Unresolved,,L,WCSP (in review),752533,3626-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","5: 177","","1923"
kew-2620162,A,Loasaceae,,Acrolasia,,"compacta",,"","(A.Nelson) Rydb.",Unresolved,,L,WCSP (in review),752534,3627-2,"Bull. Torrey Bot. Club","30: 278","","1903"
kew-2620163,A,Loasaceae,,Acrolasia,,"congesta",,"","(Torr. & A.Gray) Rydb.",Unresolved,,L,WCSP (in review),752535,3628-2,"Bull. Torrey Bot. Club","30: 277","","1903"
kew-2620164,A,Loasaceae,,Acrolasia,,"ctenophora",,"","(Rydb.) Rydb.",Unresolved,,L,WCSP (in review),752536,3629-2,"Bull. Torrey Bot. Club","30: 277","","1903"
kew-2620167,A,Loasaceae,,Acrolasia,,"dispersa",,"","(S.Watson) Rydb.",Unresolved,,L,WCSP (in review),752539,544937-1,"Fl. Rocky Mts.","574","","1917"
kew-2620168,A,Loasaceae,,Acrolasia,,"elata",,"","Phil.",Unresolved,,L,WCSP (in review),752540,3633-2,"Anales Univ. Chile","85: 5","","1894"
kew-2620169,A,Loasaceae,,Acrolasia,,"gracilenta",,"","(Torr. & A.Gray) Rydb.",Unresolved,,L,WCSP (in review),752541,3634-2,"Bull. Torrey Bot. Club","30: 278","","1903"
kew-2620171,A,Loasaceae,,Acrolasia,,"humilis",,"","Osterh.",Unresolved,,L,WCSP (in review),752543,3636-2,"Bull. Torrey Bot. Club","49: 183","","1922"
kew-2620172,A,Loasaceae,,Acrolasia,,"integrifolia",,"","(Rydb.) Rydb.",Unresolved,,L,WCSP (in review),752544,3637-2,"Bull. Torrey Bot. Club","30: 278","","1903"
kew-2620174,A,Loasaceae,,Acrolasia,,"micrantha",,"","(Torr. & A.Gray) Rydb.",Unresolved,,L,WCSP (in review),752546,3639-2,"Bull. Torrey Bot. Club","30: 278","","1903"
kew-2620177,A,Loasaceae,,Acrolasia,,"nitens",,"","(Greene) Rydb.",Unresolved,,L,WCSP (in review),752549,3642-2,"Bull. Torrey Bot. Club","30: 278","","1903"
kew-2620178,A,Loasaceae,,Acrolasia,,"parviflora",,"","(A.Heller) A.Heller",Unresolved,,L,WCSP (in review),752550,3643-2,"Muhlenbergia","1: 138","","1906"
kew-2620179,A,Loasaceae,,Acrolasia,,"pectinata",,"","(Kellogg) Rydb.",Unresolved,,L,WCSP (in review),752551,3644-2,"Bull. Torrey Bot. Club","30: 278","","1903"
kew-2620180,A,Loasaceae,,Acrolasia,,"pinetorum",,"","(A.Heller) A.Heller",Unresolved,,L,WCSP (in review),752552,3645-2,"Muhlenbergia","2: 99","","1905"
kew-2620181,A,Loasaceae,,Acrolasia,,"pinnatifida",,"","Phil.",Unresolved,,L,WCSP (in review),752553,3646-2,"Anales Univ. Chile","85: 6","","1894"
kew-2620182,A,Loasaceae,,Acrolasia,,"solieri",,"","Gay",Unresolved,,L,WCSP (in review),752554,544952-1,"Fl. Chil.","2: 430","","1847"
kew-2620184,A,Loasaceae,,Acrolasia,,"tenerrima",,"","(Rydb.) Rydb.",Unresolved,,L,WCSP (in review),752556,3647-2,"Bull. Torrey Bot. Club","30: 277","","1903"
