ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-26621950,P,Lomariopsidaceae,,Cyclopeltis,,"crenata",,"","(Fée) C. Chr.",Accepted,,M,TRO,26621950,17317370-1,"Index Filic., Suppl. 3,","64","64","1934"
ifn-19703,P,Lomariopsidaceae,,Cyclopeltis,,"cumingiana",,"","C.V.Morton",Unresolved,,L,IPNI,17433920-1,17433920-1,"Contr. U.S. Natl. Herb.","38: 46. 1967.","","1967"
tro-50225241,P,Lomariopsidaceae,,Cyclopeltis,,"favrellii",,"","Kjellb.",Unresolved,,L,TRO,50225241,,"Bot. Jahrb. Syst.","66: 48","48","1933"
ifn-19704,P,Lomariopsidaceae,,Cyclopeltis,,"fevrellii",,"","Kjellberg",Unresolved,,L,IPNI,17317380-1,17317380-1,"Bot. Jahrb. Syst.","66. 48. 1933.","","1933"
ifn-19705,P,Lomariopsidaceae,,Cyclopeltis,,"kingii",,"","Hosok.",Unresolved,,L,IPNI,17383310-1,17383310-1,"Trans. Nat. Hist. Soc. Formosa","26: 70. 1936.","","1936"
tro-50225235,P,Lomariopsidaceae,,Cyclopeltis,,"latupana",,"","Alderw.",Unresolved,,L,TRO,50225235,17281810-1,"Bull. Jard. Bot. Buitenzorg, sér. 2,","16: 5","5","1914"
tro-50225242,P,Lomariopsidaceae,,Cyclopeltis,,"mirabilis",,"","Copel.",Unresolved,,L,TRO,50225242,17244590-1,"Philipp. J. Sci.","3: 346","346","1909"
tro-50225237,P,Lomariopsidaceae,,Cyclopeltis,,"novoguineensis",,"","Rosenst.",Unresolved,,L,TRO,50225237,17244600-1,"Repert. Spec. Nov. Regni Veg.","10: 329","329","1912"
tro-26614483,P,Lomariopsidaceae,,Cyclopeltis,,"rigida",,"","Holttum",Unresolved,,L,TRO,26614483,17542050-1,"Blumea","35: 556","556","1991"
tro-26602765,P,Lomariopsidaceae,,Cyclopeltis,,"semicordata",,"","(Sw.) J. Sm.",Accepted,,M,TRO,26602765,1148359-2,"Bot. Mag.","72: Comp. 36","Comp. 36","1846"
tro-50225236,P,Lomariopsidaceae,,Cyclopeltis,,"zamboangana",,"","Copel.",Unresolved,,L,TRO,50225236,17383320-1,"Philipp. J. Sci.","81: 21","21","1952"
ifn-23394,P,Lomariopsidaceae,,Hemicardion,,"cochinchinae",,"","F",Unresolved,,L,IPNI,17116780-1,17116780-1,"M","282. 1850-52","","1850"
ifn-23396,P,Lomariopsidaceae,,Hemicardion,,"cumingianum",,"","F",Unresolved,,L,IPNI,17116800-1,17116800-1,"M","283 t. 22 A. f. 2. 1850-52","","1850"
ifn-23397,P,Lomariopsidaceae,,Hemicardion,,"macrosorum",,"","F",Unresolved,,L,IPNI,17116810-1,17116810-1,"","","","1857"
ifn-66304,P,Lomariopsidaceae,,Hemicardion,,"nephrolepis",,"","F",Unresolved,,L,IPNI,17116820-1,17116820-1,"M","282. 1850-52","","1850"
