ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2620389,A,Loranthaceae,,Acrostachys,,"sandersonii",,"","Tiegh.",Unresolved,,L,WCSP (in review),752761,547628-1,"Bull. Soc. Bot. France","41: 504","","1894"
kew-2620410,A,Loranthaceae,,Acrostephanus,,"poggei",,"","(Engl.) Tiegh.",Unresolved,,L,WCSP (in review),752782,547633-1,"Bull. Soc. Bot. France","42: 268","","1895"
tro-50332560,A,Loranthaceae,,Acrostephanus,,"rubro-viridis",,"","Tiegh.",Unresolved,,L,TRO,50332560,,"","","",""
kew-2620411,A,Loranthaceae,,Acrostephanus,,"rubroviridis",,"","(Tiegh.) A.Chev.",Unresolved,,L,WCSP (in review),752783,547634-1,"Actes Congr. Int. Bot. Paris","1900: 269","","1900"
kew-2620413,A,Loranthaceae,,Acrostephanus,,"truncatus",,"","(Engl.) Tiegh.",Unresolved,,L,WCSP (in review),752785,547636-1,"Bull. Soc. Bot. France","42: 268","","1895"
kew-2620414,A,Loranthaceae,,Acrostephanus,,"tschintschochensis",,"","(Engl.) Tiegh.",Unresolved,,L,WCSP (in review),752786,547637-1,"Bull. Soc. Bot. France","42: 268","","1895"
kew-2620602,A,Loranthaceae,,Actinanthella,,"menyharthii",,"","(Engl. & Schinz) Balle",Accepted,,M,WCSP (in review),752974,547638-1,"Bull. Séances Inst. Roy. Colon. Belge","25: 1626","","1954"
kew-2620603,A,Loranthaceae,,Actinanthella,,"wyliei",,"","(Sprague) Wiens",Accepted,,M,WCSP (in review),752975,547639-1,"Bothalia","12: 423","","1978"
kew-2624607,A,Loranthaceae,,Aetanthus,,"andreanus",,"","(Tiegh.) Engl.",Accepted,,M,WCSP (in review),756958,6070-2,"Nat. Pflanzenfam.","Nachtr. 1: 136","","1897"
kew-2624608,A,Loranthaceae,,Aetanthus,,"cauliflorus",,"","Ule",Accepted,,M,WCSP (in review),756959,6071-2,"Verh. Bot. Vereins Prov. Brandenburg","48: 153","","1906"
kew-2624609,A,Loranthaceae,,Aetanthus,,"colombianus",,"","A.C.Sm.",Accepted,,M,WCSP (in review),756960,6072-2,"Bull. Torrey Bot. Club","59: 513","","1932"
kew-2624610,A,Loranthaceae,,Aetanthus,,"coriaceus",,"","Pacz.",Accepted,,M,WCSP (in review),756961,,"Bot. Jahrb. Syst.","45: 437","","1911"
