ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35102620,B,Meesiaceae,,Amblyodon,,"dealbatus",,"","(Sw. ex Hedw.) Bruch & Schimp.",Accepted,,M,TRO,35102620,,"Bryol. Eur.","4: 7 (fasc. 10 Monogr. 5)","7","1841"
tro-35162207,B,Meesiaceae,,Amblyodum,,"uliginosum",,"","(Hedw.) P. Beauv.",Accepted,,M,TRO,35162207,,"Dict. Sci. Nat.","2: 23","23","1804"
tro-35132333,B,Meesiaceae,,Diplocomium,,"hexastichum",,"","Funck",Accepted,,M,TRO,35132333,,"Deutschl. Moose","43","43","1820"
tro-35132334,B,Meesiaceae,,Diplocomium,,"longisetum",,"","(Hedw.) F. Weber & D. Mohr",Accepted,,M,TRO,35132334,,"Index Mus. Pl. Crypt.","[3]","","1803"
tro-35150768,B,Meesiaceae,,Meesia,,"aquatica",,"","R. Br. bis",Unresolved,,L,TRO,35150768,,"Trans. & Proc. New Zealand Inst.","31: 465. 63","465","1899"
tro-35150769,B,Meesiaceae,,Meesia,,"aquatilis",,"","R. Br. bis",Unresolved,,L,TRO,35150769,,"Trans. & Proc. New Zealand Inst.","31: 465. 64","465","1899"
tro-35150772,B,Meesiaceae,,Meesia,,"buchananii",,"","R. Br. bis",Unresolved,,L,TRO,35150772,,"Trans. & Proc. New Zealand Inst.","31: 464. 62","464","1899"
tro-35150780,B,Meesiaceae,,Meesia,,"hexasticha",,"","(Funck) Bruch",Accepted,,M,TRO,35150780,,"Flora","9: 163. 165","163","1826"
tro-35150783,B,Meesiaceae,,Meesia,,"kirkii",,"","R. Br. bis",Unresolved,,L,TRO,35150783,,"Trans. & Proc. New Zealand Inst.","31: 463. 60","463","1899"
tro-35150784,B,Meesiaceae,,Meesia,,"lavardei",,"","Thér.",Accepted,,M,TRO,35150784,,"Rev. Bryol. Lichénol.","10: 11. f. 1","11","1937"
tro-35150785,B,Meesiaceae,,Meesia,,"longiseta",,"","Hedw.",Accepted,,M,TRO,35150785,,"Sp. Musc. Frond.","173","173","1801"
tro-35150791,B,Meesiaceae,,Meesia,,"longiseta x triquetra",,"","Lindb. & Arnell",Accepted,,M,TRO,35150791,,"Kongl. Svenska Vetensk. Acad. Handl., n.s.","23(10): 30","30","1890"
tro-35150792,B,Meesiaceae,,Meesia,,"longiseta x tristicha",,"","Paris",Accepted,,M,TRO,35150792,,"Index Bryol. (ed. 2)","3: 223","223","1905"
tro-35150798,B,Meesiaceae,,Meesia,,"muelleri",,"","Müll. Hal. & Hampe",Accepted,,M,TRO,35150798,,"Linnaea","28: 208","208","1856"
tro-35150799,B,Meesiaceae,,Meesia,,"novae-zealandia",,"","Dixon & Sainsbury",Accepted,,M,TRO,35150799,,"Trans. & Proc. Roy. Soc. New Zealand","75: 181","181","1945"
tro-35150803,B,Meesiaceae,,Meesia,,"squarrosa",,"","(Hedw.) Wahlenb.",Accepted,,M,TRO,35150803,,"Fl. Lapp.","356","356","1812"
tro-35150805,B,Meesiaceae,,Meesia,,"stygia",,"","(Sw.) Brid.",Accepted,,M,TRO,35150805,,"Muscol. Recent.","2(3): 172","172","1803"
tro-35150811,B,Meesiaceae,,Meesia,,"triquetra",,"","(L. ex Jolycl.) Ångström",Accepted,,M,TRO,35150811,,"Nova Acta Regiae Soc. Sci. Upsal.","12: 357","357","1844"
tro-35150820,B,Meesiaceae,,Meesia,,"ulei",,"","Müll. Hal.",Accepted,,M,TRO,35150820,,"Bull. Herb. Boissier","6: 89","89","1898"
tro-35150821,B,Meesiaceae,,Meesia,,"uliginosa",,"","Hedw.",Accepted,,M,TRO,35150821,,"Sp. Musc. Frond.","173","173","1801"
tro-35150822,B,Meesiaceae,,Meesia,,"uliginosa",var.,"alpina","(Funck ex Bruch) Hampe",Accepted,,L,TRO,35150822,,"Flora","20: 278","278","1837"
tro-35150825,B,Meesiaceae,,Meesia,,"uliginosa",var.,"minor","(Brid.) F. Weber & D. Mohr",Accepted,,L,TRO,35150825,,"Bot. Taschenbuch","374","374","1807"
tro-35150827,B,Meesiaceae,,Meesia,,"vagans",,"","(Hook. & Wilson) Müll. Hal.",Accepted,,M,TRO,35150827,,"Syn. Musc. Frond.","1: 467","467","1848"
tro-35182469,B,Meesiaceae,,Neomeesia,,"paludella",,"","(Besch.) Deguchi",Accepted,,M,TRO,35182469,,"Bull. Natl. Sci. Mus., Tokyo, B","9: 147","147","1983"
tro-35101128,B,Meesiaceae,,Paludella,,"squarrosa",,"","(Hedw.) Brid.",Accepted,,M,TRO,35101128,,"Muscol. Recent. Suppl.","3: 72","72","1817"
