ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2615204,A,Meliaceae,,Acanthotrichilia,,"triacantha",,"","(Urb.) O.F.Cook & G.N.Collins",Unresolved,,L,WCSP (in review),747609,576944-1,"Contr. U. S. Natl. Herb.","8: 65","","1903"
kew-2620023,A,Meliaceae,,Acrilia,,"sloanei",,"","Griseb.",Unresolved,,L,WCSP (in review),752397,576945-1,"Fl. Brit. W. I.","129","","1859"
kew-2626162,A,Meliaceae,,Aglaia,,"agglomerata",,"","Merr. & L.M.Perry",Accepted,,M,WCSP (in review),758506,576952-1,"J. Arnold Arbor.","21: 322","","1940"
kew-2626164,A,Meliaceae,,Aglaia,,"aherniana",,"","G.Perkins",Accepted,,M,WCSP (in review),758508,,"Fragm. Fl. Philipp.","1: 32","","1904"
kew-2626165,A,Meliaceae,,Aglaia,,"allocotantha",,"","Harms",Unresolved,,L,WCSP (in review),758509,576955-1,"Bot. Jahrb. Syst.","72: 175","","1942"
kew-2626167,A,Meliaceae,,Aglaia,,"amplexicaulis",,"","A.C.Sm.",Accepted,,M,WCSP (in review),758511,576957-1,"Bernice P. Bishop Mus. Bull.","141: 78","","1936"
kew-2626168,A,Meliaceae,,Aglaia,,"anamallayana",,"","(Bedd.) Kosterm.",Unresolved,,L,WCSP (in review),758512,,"Reinwardtia","7: 257","","1966"
kew-2626171,A,Meliaceae,,Aglaia,,"angustifolia",,"","(Miq.) Miq.",Accepted,,L,WCSP (in review),758515,576961-1,"Ann. Mus. Bot. Lugduno-Batavi","4: 55","","1868"
tro-20401022,A,Meliaceae,,Aglaia,,"anomallayanum",,"","Kost.",Unresolved,,L,TRO,20401022,,"","","",""
kew-2626176,A,Meliaceae,,Aglaia,,"apiocarpa",,"","(Thwaites) Hiern",Accepted,,M,WCSP (in review),758520,576966-1,"Fl. Brit. India","1: 555","","1875"
kew-2626180,A,Meliaceae,,Aglaia,,"araeantha",,"","Harms",Unresolved,,L,WCSP (in review),758524,576970-1,"Bot. Jahrb. Syst.","72: 162","","1942"
kew-2626181,A,Meliaceae,,Aglaia,,"archboldiana",,"","A.C.Sm.",Accepted,,M,WCSP (in review),758525,576971-1,"Sargentia","1: 44","","1942"
kew-2626182,A,Meliaceae,,Aglaia,,"argentea",,"","Blume",Accepted,,M,WCSP (in review),758526,576972-1,"Bijdr.","170","","1825"
